File path:,
File note:,
File date:,01/06/17
File time:,20:36:24
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.356,0.370,0.361,0.374
Ek:,279.0,277.1,278.7,292.2
Pm:,74.89,64.77,64.56,69.04
Em:,6270,,386.5,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.256,1.706,0.339,1.489
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,4.504,30,0.000000,0.000000,0.000000,0.000000,0.751,1.120,0.329,,0.280,0.0452,4.521,0.458,3869,0.163,2.746,,40.91,0.752,1.107,0.004461,0.007440,0.008675,0.600,,13,0.0107,0.752,36,0.000446,1.091
,2,22,07:06,426,5.113,40,7.447,7.530,57.64,0.0173,0.852,1.288,0.339,,0.287,0.0435,4.351,0.400,4349,0.010,2.387,,18.85,0.855,1.280,0.0122,0.0189,0.0225,0.646,,16,0.0119,0.855,36,0.000731,1.253
,3,49,08:09,489,5.289,40,15.78,15.99,123.4,0.0366,0.881,1.300,0.322,,0.276,0.0418,4.181,0.340,4323,0.001,2.365,,15.70,0.881,1.281,0.0173,0.0188,0.0255,0.919,,12,0.0118,0.881,36,0.000505,1.263
,4,81,09:13,553,5.328,41,25.74,25.02,166.7,0.0598,0.888,1.302,0.318,,0.046,0.0342,3.418,0.340,4240,0.000,2.362,,13.14,0.874,1.262,0.0218,0.0200,0.0296,1.091,,13,0.0131,0.874,36,-0.000180,1.269
,5,118,10:16,616,5.375,41,35.01,34.25,266.8,0.0813,0.896,1.274,0.297,,0.316,0.0375,3.755,0.370,4080,0.022,2.414,,13.16,0.895,1.265,0.0166,0.0226,0.0281,0.736,,16,0.009333,0.895,36,0.000948,1.230
,6,163,11:19,679,5.418,42,44.51,43.94,444.8,0.103,0.903,1.242,0.273,0.051,0.253,0.0453,4.531,0.322,4131,0.048,2.475,,10.07,0.903,1.239,0.0264,0.0203,0.0334,1.300,,19,0.0101,0.903,36,0.000869,1.208
,7,216,12:22,742,5.638,42,48.87,53.52,562.2,0.113,0.940,1.214,0.226,0.201,0.236,0.0432,4.322,0.344,3203,0.072,2.532,,9.727,0.931,1.205,0.0224,0.0170,0.0281,1.319,,12,0.009552,0.931,36,0.000190,1.198
,8,279,13:25,805,5.479,43,59.73,62.77,651.2,0.139,0.913,1.162,0.214,0.219,0.180,0.0388,3.876,0.376,4400,0.120,2.646,,8.731,0.913,1.156,0.0157,0.0229,0.0277,0.685,,13,0.007144,0.913,36,0.000547,1.136
,9,353,14:28,868,5.672,43,82.06,65.69,279.2,0.191,0.945,1.232,0.232,0.187,0.029,0.0131,1.313,0.410,3549,0.057,2.496,,7.019,0.900,1.125,0.0238,0.0214,0.0321,1.112,,21,0.006223,0.900,36,0.000477,1.108
,10,442,15:31,931,5.277,43,67.43,68.29,,0.157,0.879,1.038,0.153,0.395,,,,,,0.254,2.963,,4.829,0.879,1.038,0.0235,0.0228,0.0328,1.031,,12,0.006118,0.879,36,-0.000017,1.038
