File path:,
File note:,
File date:,01/06/17
File time:,22:37:41
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.333,0.319,0.332,0.328
Ek:,264.5,277.4,258.1,230.0
Pm:,135.4,83.54,131.9,72.82
Em:,,3066,,1089
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.194,0.255,0.145,0.171
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:32,32,7.354,45,0.000000,0.000000,0.000000,0.000000,1.226,1.818,0.326,,0.287,0.0463,4.632,0.440,3920,0.061,2.129,,50.10,1.216,1.797,0.007872,0.008502,0.0116,0.926,,12,0.0192,1.216,36,0.000525,1.778
,2,22,06:51,411,7.751,48,7.269,7.021,53.59,0.0279,1.292,1.929,0.330,0.006,0.051,0.0404,4.045,0.410,4605,0.000,2.007,,19.30,1.300,1.907,0.0211,0.0233,0.0314,0.908,,13,0.0196,1.300,36,0.001312,1.860
,3,49,07:54,474,8.087,49,14.77,14.88,128.7,0.0566,1.348,1.929,0.301,0.094,0.208,0.0436,4.362,0.350,3677,0.000,2.007,,22.16,1.341,1.912,0.0170,0.0194,0.0258,0.876,,12,0.0184,1.341,36,0.000690,1.887
,4,81,08:57,537,8.245,49,22.74,23.21,206.5,0.0872,1.374,1.911,0.281,0.150,0.198,0.0423,4.234,0.384,3792,0.010,2.027,,14.70,1.352,1.903,0.0283,0.0245,0.0375,1.155,,12,0.0194,1.352,36,0.001345,1.855
,5,118,10:00,600,8.271,48,30.95,31.66,317.9,0.119,1.379,1.869,0.262,0.194,0.298,0.0447,4.474,0.260,4131,0.033,2.072,,15.17,1.374,1.842,0.0201,0.0235,0.0309,0.856,,14,0.0148,1.374,36,0.000194,1.835
,6,163,11:03,663,8.295,49,39.31,40.47,436.6,0.151,1.382,1.822,0.241,0.246,0.246,0.0445,4.448,0.284,4195,0.059,2.125,,14.29,1.381,1.818,0.0221,0.0212,0.0306,1.046,,14,0.0136,1.381,36,0.001197,1.775
,7,216,12:06,726,8.341,49,45.97,49.10,530.7,0.176,1.390,1.766,0.213,0.321,0.034,0.0408,4.080,0.324,2960,0.092,2.192,,11.65,1.390,1.759,0.0216,0.0233,0.0318,0.927,,16,0.0125,1.390,36,0.001201,1.716
,8,279,13:09,789,7.919,47,58.94,57.49,639.9,0.226,1.320,1.673,0.211,0.300,0.033,0.0381,3.809,0.346,3651,0.153,2.314,,11.75,1.324,1.667,0.0174,0.0234,0.0291,0.745,,12,0.0115,1.324,36,0.001080,1.628
,9,353,14:12,852,7.462,46,69.54,65.72,960.3,0.267,1.244,1.549,0.197,0.311,0.033,0.0452,4.518,0.316,2960,0.246,2.500,,11.19,1.240,1.551,0.0169,0.0220,0.0278,0.766,,13,0.0107,1.240,36,0.001184,1.508
,10,442,15:15,915,7.329,44,61.69,73.24,,0.236,1.222,1.420,0.140,0.480,,,,,,0.359,2.727,,4.671,1.222,1.420,0.0355,0.0233,0.0424,1.525,,12,0.006506,1.222,36,0.000941,1.386
