File path:,
File note:,
File date:,02/06/17
File time:,15:52:06
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.382,0.402,0.394,0.398
Ek:,388.2,337.6,345.1,321.0
Pm:,93.83,105.7,97.02,106.6
Em:,,858.4,743.0,954.6
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.140,0.143,0.270,0.128
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,15.25,37,0.000000,0.000000,0.000000,0.000000,2.542,4.150,0.387,,0.345,0.0547,5.472,0.565,1821,0.049,1.633,,91.17,2.532,4.072,0.0111,0.0127,0.0169,0.871,,15,0.0529,2.532,36,0.000550,4.052
,2,22,06:37,397,16.20,40,8.102,8.179,69.81,0.0542,2.701,4.275,0.368,0.048,0.360,0.0527,5.269,0.481,2563,0.018,1.585,,30.33,2.700,4.188,0.0291,0.0395,0.0491,0.735,,14,0.0496,2.700,36,-0.000029,4.189
,3,49,07:40,460,16.69,41,17.70,17.60,148.9,0.118,2.781,4.353,0.361,0.076,0.310,0.0505,5.046,0.447,2589,0.000,1.557,,36.96,2.782,4.301,0.0289,0.0292,0.0411,0.987,,13,0.0497,2.782,36,0.001468,4.248
,4,81,08:43,523,16.97,41,28.06,27.96,240.3,0.188,2.828,4.328,0.346,0.111,0.306,0.0493,4.927,0.486,2448,0.006,1.566,,26.93,2.800,4.267,0.0416,0.0352,0.0545,1.180,,15,0.0502,2.800,36,0.000224,4.259
,5,118,09:46,586,17.10,41,38.99,38.91,345.9,0.261,2.850,4.256,0.330,0.143,0.308,0.0487,4.868,0.444,2512,0.023,1.593,,28.17,2.798,4.210,0.0384,0.0322,0.0501,1.190,,12,0.0509,2.798,36,0.001261,4.164
,6,163,10:49,649,17.06,40,51.24,50.90,465.4,0.343,2.843,4.147,0.314,0.172,0.297,0.0474,4.742,0.496,2371,0.050,1.635,,29.43,2.828,4.104,0.0327,0.0284,0.0433,1.152,,17,0.0405,2.828,36,0.001166,4.062
,7,216,11:52,712,16.93,39,62.01,63.35,660.2,0.415,2.822,3.959,0.287,0.221,0.362,0.0508,5.075,0.380,2320,0.100,1.712,,24.09,2.791,3.919,0.0311,0.0350,0.0468,0.889,,12,0.0384,2.791,36,0.001179,3.877
,8,279,12:55,775,16.68,38,76.89,76.10,789.4,0.515,2.781,3.839,0.276,0.238,0.286,0.0470,4.698,0.464,2192,0.134,1.766,,23.94,2.749,3.817,0.0269,0.0357,0.0447,0.753,,12,0.0368,2.749,36,0.001426,3.766
,9,353,13:59,839,16.22,38,93.05,88.65,1003,0.623,2.703,3.671,0.264,0.250,0.041,0.0472,4.720,0.538,2192,0.186,1.846,,19.76,2.721,3.647,0.0331,0.0331,0.0468,1.000,,12,0.0324,2.721,36,0.001597,3.589
,10,442,15:02,902,16.26,38,99.30,98.25,1218,0.664,2.709,3.494,0.225,0.340,0.276,0.0457,4.575,0.477,2243,0.246,1.940,,15.27,2.723,3.471,0.0247,0.0422,0.0489,0.586,,12,0.0220,2.723,36,0.001133,3.430
,11,547,16:05,965,16.00,37,105.9,106.4,1514,0.709,2.667,3.308,0.194,0.409,0.232,0.0460,4.597,0.578,2000,0.316,2.049,,14.85,2.652,3.299,0.0330,0.0285,0.0436,1.161,,13,0.0222,2.652,36,0.000727,3.273
,12,671,17:08,1028,15.44,37,118.0,114.6,1843,0.790,2.574,3.123,0.176,0.442,0.072,0.0456,4.561,0.522,2000,0.394,2.170,,10.60,2.575,3.110,0.0350,0.0365,0.0505,0.960,,13,0.0194,2.575,36,0.001064,3.072
,13,819,18:11,1091,14.99,36,120.7,122.1,2772,0.807,2.498,2.929,0.147,0.512,0.230,0.0562,5.621,0.351,1603,0.486,2.314,,8.636,2.486,2.897,0.0368,0.0302,0.0476,1.222,,14,0.0172,2.486,36,-0.000573,2.918
,14,995,19:14,1154,14.25,37,140.1,128.3,3008,0.938,2.375,2.764,0.141,0.514,0.023,0.0502,5.020,0.560,3152,0.575,2.452,,6.971,2.439,2.781,0.0331,0.0362,0.0491,0.916,,15,0.0105,2.439,36,0.001419,2.729
,15,1204,20:17,1217,13.92,36,125.9,132.9,,0.842,2.319,2.590,0.105,0.622,,,,,,0.681,2.617,,5.321,2.319,2.590,0.0256,0.0440,0.0509,0.583,,12,0.0113,2.319,36,0.001940,2.520
,16,1451,21:20,1280,13.70,37,99.31,136.0,,0.665,2.283,2.450,0.068,0.742,,,,,,0.777,2.766,,3.275,2.283,2.450,0.0400,0.0319,0.0512,1.254,,12,0.009391,2.283,36,0.000769,2.423
,17,1745,22:23,1343,12.63,39,198.4,137.9,,1.327,2.105,2.375,0.114,0.562,,,,,,0.833,2.854,,4.241,2.105,2.375,0.0343,0.0536,0.0637,0.640,,35,0.004660,2.105,36,0.000213,2.368
,18,2094,23:26,1406,12.51,40,210.7,138.9,,1.410,2.086,2.319,0.101,0.605,,,,,,0.877,2.923,,4.236,2.086,2.319,0.0368,0.0410,0.0551,0.900,,16,0.001810,2.086,36,0.002919,2.214
,19,2508,24:29,1469,12.40,46,146.2,139.3,,0.978,2.067,2.195,0.058,0.762,,,,,,0.984,3.089,,2.111,2.067,2.195,0.0413,0.0443,0.0606,0.933,,36,0.002025,2.067,36,0.000891,2.163
,20,3000,25:32,1532,12.34,47,154.5,139.5,,1.034,2.057,2.169,0.051,0.788,,,,,,1.007,3.126,,2.346,2.057,2.169,0.0256,0.0401,0.0476,0.637,,17,0.003195,2.057,36,0.001018,2.132
,21,0,26:35,1595,13.50,26,0.000000,0.000000,0.000000,0.000000,2.250,3.317,0.322,,0.274,0.0539,5.391,0.648,1552,0.313,2.044,,62.41,2.246,3.260,0.0105,0.0124,0.0162,0.853,,12,0.0368,2.246,36,0.000635,3.237
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,15.25,44,0.000000,0.000000,0.000000,0.000000,2.027,3.397,0.403,,0.290,0.0629,4.195,0.602,1731,0.047,1.449,,101.9,2.056,3.317,0.008097,0.009357,0.0124,0.865,,12,0.0488,2.056,36,0.000106,3.313
,2,22,06:37,397,16.20,47,8.545,8.553,49.89,0.0438,2.154,3.523,0.388,0.069,0.203,0.0565,3.766,0.574,2320,0.010,1.398,,29.81,2.193,3.413,0.0264,0.0313,0.0409,0.845,,14,0.0468,2.193,36,-0.000536,3.432
,3,49,07:40,460,16.69,48,18.11,18.32,110.9,0.0928,2.243,3.559,0.370,0.119,0.241,0.0564,3.757,0.490,2397,0.000,1.384,,36.06,2.277,3.467,0.0203,0.0261,0.0330,0.777,,12,0.0437,2.277,36,-0.000062,3.469
,4,81,08:43,523,16.97,48,29.12,28.92,173.4,0.149,2.273,3.549,0.360,0.142,0.161,0.0533,3.555,0.501,2243,0.003,1.387,,29.26,2.291,3.469,0.0329,0.0233,0.0403,1.413,,12,0.0440,2.291,36,0.000903,3.436
,5,118,09:46,586,17.10,48,40.84,39.99,243.6,0.209,2.278,3.483,0.346,0.165,0.128,0.0514,3.428,0.554,2243,0.022,1.413,,29.21,2.292,3.408,0.0270,0.0271,0.0382,0.996,,12,0.0416,2.292,36,0.000663,3.384
,6,163,10:49,649,17.06,47,51.97,51.92,358.5,0.266,2.285,3.355,0.319,0.213,0.272,0.0548,3.652,0.464,2320,0.061,1.467,,37.18,2.277,3.301,0.0185,0.0204,0.0275,0.903,,12,0.0384,2.277,36,0.000397,3.286
,7,216,11:52,712,16.93,46,63.09,64.07,485.8,0.323,2.285,3.228,0.292,0.262,0.295,0.0560,3.735,0.430,2243,0.102,1.525,,26.51,2.269,3.197,0.0283,0.0206,0.0350,1.378,,13,0.0366,2.269,36,0.001263,3.152
,8,279,12:55,775,16.68,45,75.59,76.24,630.3,0.387,2.268,3.110,0.271,0.300,0.234,0.0563,3.751,0.513,2077,0.144,1.583,,23.99,2.271,3.047,0.0249,0.0206,0.0323,1.208,,14,0.0309,2.271,36,-0.000939,3.080
,9,353,13:59,839,16.22,44,84.56,87.26,735.1,0.433,2.267,2.981,0.240,0.365,0.318,0.0519,3.458,0.516,2128,0.194,1.652,,20.67,2.248,2.948,0.0195,0.0277,0.0339,0.706,,12,0.0253,2.248,36,0.000065,2.945
