File path:,
File note:,
File date:,02/06/17
File time:,16:26:05
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.293,0.319,0.318,0.324
Ek:,1053,722.1,539.2,581.8
Pm:,215.6,186.4,138.6,188.3
Em:,2090,1576,1489,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.197,0.142,0.201,0.145
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:33,33,9.895,65,0.000000,0.000000,0.000000,0.000000,1.649,2.566,0.357,,0.147,0.0517,5.174,0.614,2243,0.000,2.444,,70.07,1.675,2.508,0.007258,0.009412,0.0119,0.771,,14,0.0293,1.675,36,0.000508,2.489
,2,22,06:51,411,9.646,38,6.614,6.370,69.03,0.0311,1.608,2.299,0.301,,0.315,0.0521,5.210,0.510,2909,0.116,2.728,,16.86,1.602,2.247,0.0255,0.0285,0.0383,0.895,,15,0.0234,1.602,36,-0.000842,2.277
,3,49,07:54,474,9.864,39,14.05,14.01,160.8,0.0661,1.644,2.305,0.287,,0.402,0.0545,5.448,0.416,2960,0.113,2.720,,16.74,1.629,2.245,0.0263,0.0257,0.0368,1.022,,12,0.0235,1.629,36,-0.001077,2.283
,4,81,08:57,537,9.952,40,22.01,22.81,276.6,0.104,1.659,2.277,0.272,,0.377,0.0567,5.671,0.340,2960,0.127,2.753,,18.35,1.646,2.266,0.0153,0.0301,0.0338,0.507,,13,0.0222,1.646,36,0.000910,2.233
,5,118,10:00,600,9.739,41,33.21,32.66,373.6,0.156,1.623,2.259,0.281,,0.321,0.0526,5.258,0.436,3331,0.136,2.776,,14.25,1.611,2.207,0.0323,0.0265,0.0418,1.219,,12,0.0236,1.611,36,-0.000519,2.226
,6,163,11:03,663,9.708,42,44.85,44.19,501.6,0.211,1.618,2.232,0.275,,0.233,0.0511,5.110,0.506,2640,0.149,2.809,,18.17,1.610,2.197,0.0255,0.0199,0.0323,1.282,,12,0.0221,1.610,36,0.000381,2.184
,7,216,12:06,726,9.512,41,59.08,57.14,656.7,0.278,1.585,2.182,0.274,,0.272,0.0505,5.048,0.412,2448,0.176,2.873,,14.05,1.561,2.131,0.0282,0.0291,0.0406,0.969,,12,0.0240,1.561,36,-0.000771,2.159
,8,279,13:09,789,9.733,42,65.59,71.72,926.8,0.309,1.622,2.121,0.235,0.070,0.304,0.0552,5.516,0.408,2128,0.210,2.957,,12.91,1.629,2.101,0.0214,0.0296,0.0365,0.722,,14,0.0160,1.629,36,0.000195,2.094
,9,353,14:12,852,9.244,43,91.03,87.76,1183,0.428,1.541,2.076,0.258,,0.082,0.0556,5.564,0.364,2960,0.236,3.020,,10.22,1.572,2.054,0.0343,0.0323,0.0471,1.060,,19,0.0167,1.572,36,0.000562,2.033
,10,442,15:16,916,9.921,43,86.61,105.6,800.5,0.408,1.654,2.057,0.196,0.207,0.032,0.0301,3.007,0.830,2934,0.248,3.049,,9.288,1.582,1.996,0.0336,0.0292,0.0446,1.151,,16,0.0153,1.582,36,0.000009,1.996
