File path:,
File note:,
File date:,03/06/17
File time:,01:59:46
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.388,0.398,0.391,0.399
Ek:,312.8,292.7,301.8,286.6
Pm:,100.4,111.6,113.6,103.0
Em:,909.2,1323,1336,1048
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.140,0.091,0.083,0.097
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:49,49,24.10,55,0.000000,0.000000,0.000000,0.000000,4.017,6.527,0.385,,0.249,0.0570,5.700,0.654,1552,0.093,1.711,,111.3,4.071,6.371,0.0140,0.0152,0.0207,0.925,,12,0.0847,4.071,36,0.000320,6.360
,2,22,07:07,427,26.11,59,8.019,8.247,71.72,0.0854,4.351,6.847,0.364,0.041,0.312,0.0541,5.414,0.550,1923,0.042,1.631,,37.80,4.356,6.728,0.0332,0.0533,0.0627,0.623,,12,0.0829,4.356,36,0.001496,6.674
,3,49,08:10,490,26.78,61,17.70,17.61,154.7,0.189,4.463,6.988,0.361,0.061,0.210,0.0524,5.243,0.592,1872,0.021,1.598,,43.25,4.539,6.865,0.0246,0.0478,0.0538,0.515,,12,0.0780,4.539,36,0.000728,6.839
,4,81,09:13,553,27.69,62,28.60,27.70,243.5,0.305,4.615,7.134,0.353,0.094,0.177,0.0499,4.991,0.574,1923,0.000,1.565,,33.62,4.689,6.943,0.0442,0.0504,0.0671,0.877,,14,0.0763,4.689,36,-0.000284,6.953
,5,118,10:17,617,28.36,62,39.16,38.16,388.9,0.417,4.727,7.076,0.332,0.144,0.170,0.0547,5.473,0.547,1923,0.008,1.578,,42.18,4.816,6.954,0.0220,0.0457,0.0507,0.482,,13,0.0768,4.816,36,0.000354,6.941
,6,163,11:20,680,29.77,62,48.00,49.32,493.4,0.511,4.962,7.033,0.294,0.238,0.266,0.0503,5.026,0.495,2141,0.014,1.587,,35.81,4.966,6.926,0.0343,0.0427,0.0548,0.804,,12,0.0670,4.966,36,0.000422,6.911
,7,216,12:22,742,30.07,62,60.17,60.56,658.1,0.641,5.011,6.946,0.279,0.274,0.236,0.0506,5.059,0.473,2051,0.027,1.608,,31.06,5.024,6.842,0.0400,0.0428,0.0585,0.934,,12,0.0645,5.024,36,0.000550,6.822
,8,279,13:26,806,30.16,62,72.11,71.66,863.5,0.768,5.027,6.779,0.258,0.316,0.221,0.0514,5.139,0.508,2192,0.052,1.647,,27.36,5.032,6.698,0.0434,0.0427,0.0609,1.016,,12,0.0613,5.032,36,0.001238,6.653
,9,353,14:29,869,30.67,61,79.29,81.07,1048,0.844,5.111,6.592,0.225,0.395,0.225,0.0493,4.928,0.530,2000,0.082,1.694,,23.00,5.153,6.535,0.0403,0.0446,0.0601,0.904,,15,0.0432,5.153,36,0.001519,6.481
,10,442,15:32,932,30.45,59,87.57,88.46,1338,0.933,5.075,6.329,0.198,0.452,0.262,0.0503,5.025,0.489,2077,0.127,1.764,,24.87,5.038,6.286,0.0262,0.0428,0.0502,0.613,,12,0.0471,5.038,36,0.000865,6.255
