File path:,
File note:,
File date:,03/06/17
File time:,03:31:19
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.404,0.412,0.406,0.414
Ek:,297.9,303.3,300.9,295.2
Pm:,120.5,124.8,107.7,122.3
Em:,,,1032,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.118,0.904,0.124,0.203
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,20.11,58,0.000000,0.000000,0.000000,0.000000,3.352,5.793,0.421,,0.264,0.0508,5.084,0.610,1949,0.114,1.428,,123.3,3.405,5.650,0.0126,0.0131,0.0182,0.961,,12,0.0736,3.405,36,0.000816,5.620
,2,22,07:09,429,22.65,66,8.694,8.577,64.55,0.0705,3.774,6.241,0.395,0.081,0.260,0.0487,4.872,0.536,2448,0.034,1.326,,39.85,3.824,6.103,0.0404,0.0405,0.0572,0.995,,12,0.0725,3.824,36,0.001310,6.056
,3,49,08:12,492,23.69,69,19.03,18.27,143.0,0.154,3.948,6.455,0.388,0.114,0.214,0.0484,4.845,0.532,2717,0.000,1.282,,47.31,4.004,6.301,0.0322,0.0363,0.0485,0.885,,12,0.0755,4.004,36,0.001025,6.264
,4,81,09:15,555,25.34,69,27.43,28.68,233.9,0.222,4.223,6.386,0.339,0.223,0.316,0.0480,4.796,0.503,2717,0.011,1.296,,45.09,4.200,6.323,0.0333,0.0333,0.0471,0.999,,12,0.0679,4.200,36,0.002143,6.246
,5,118,10:18,618,25.61,69,38.78,39.41,341.9,0.314,4.269,6.358,0.329,0.244,0.284,0.0481,4.812,0.458,2448,0.015,1.302,,32.35,4.267,6.253,0.0434,0.0435,0.0614,0.997,,12,0.0666,4.267,36,0.001213,6.210
,6,163,11:21,681,26.37,68,47.84,50.77,481.4,0.388,4.396,6.222,0.293,0.316,0.278,0.0490,4.904,0.510,2320,0.037,1.330,,40.99,4.396,6.165,0.0273,0.0334,0.0432,0.817,,13,0.0578,4.396,36,0.001544,6.109
,7,216,12:24,744,26.44,67,59.97,62.13,605.6,0.486,4.406,6.100,0.278,0.346,0.327,0.0466,4.656,0.454,2512,0.058,1.357,,30.31,4.372,6.049,0.0374,0.0407,0.0553,0.919,,12,0.0564,4.372,36,0.002787,5.948
,8,279,13:27,807,26.49,67,73.45,73.26,824.3,0.595,4.415,5.993,0.263,0.373,0.252,0.0491,4.906,0.537,2243,0.077,1.381,,26.46,4.456,5.892,0.0399,0.0369,0.0543,1.081,,13,0.0453,4.456,36,-0.000246,5.901
,9,353,14:30,870,26.60,66,85.05,83.64,1050,0.689,4.433,5.840,0.241,0.418,0.210,0.0494,4.938,0.506,2000,0.105,1.417,,20.43,4.493,5.732,0.0425,0.0433,0.0607,0.983,,20,0.0388,4.493,36,-0.000786,5.761
,10,442,15:33,933,26.85,66,93.38,93.16,1415,0.757,4.476,5.674,0.211,0.481,0.300,0.0532,5.316,0.398,1872,0.138,1.458,,20.34,4.444,5.661,0.0447,0.0398,0.0598,1.125,,12,0.0455,4.444,36,0.002340,5.577
