File path:,
File note:,
File date:,03/06/17
File time:,08:32:55
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.242,0.224,0.234,0.241
Ek:,286.0,433.1,266.6,228.3
Pm:,65.65,64.42,59.03,84.50
Em:,1213,731.3,1060,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.314,0.338,0.256,0.211
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,9.835,51,0.000000,0.000000,0.000000,0.000000,1.639,2.586,0.366,,0.315,0.0537,5.371,0.568,2563,0.000,1.719,,69.33,1.635,2.542,0.009894,0.008570,0.0131,1.154,,12,0.0324,1.635,36,0.000754,2.515
,2,22,07:06,426,7.387,45,5.604,5.123,73.11,0.0256,1.231,1.652,0.255,0.060,0.243,0.0552,5.519,0.426,3408,0.565,2.690,,14.64,1.225,1.639,0.0196,0.0203,0.0283,0.965,,12,0.0165,1.225,36,0.000403,1.624
,3,49,08:10,490,6.939,32,10.49,10.90,144.4,0.0479,1.157,1.472,0.214,0.139,0.178,0.0489,4.895,0.424,3715,0.757,3.020,,10.59,1.155,1.463,0.0170,0.0235,0.0290,0.722,,12,0.0112,1.155,36,0.000484,1.445
,4,81,09:13,553,7.350,34,15.54,17.07,265.7,0.0709,1.225,1.516,0.192,0.246,0.031,0.0545,5.446,0.340,4669,0.706,2.932,,13.91,1.226,1.505,0.0113,0.0166,0.0201,0.683,,13,0.0120,1.226,36,0.000602,1.483
,5,118,10:16,616,7.403,35,24.15,23.39,425.7,0.110,1.234,1.551,0.205,0.209,0.032,0.0599,5.991,0.478,3472,0.667,2.865,,10.77,1.257,1.544,0.0200,0.0176,0.0267,1.135,,12,0.0117,1.257,36,0.000540,1.525
,6,163,11:19,679,7.850,35,26.35,30.06,528.7,0.120,1.308,1.561,0.162,0.378,0.135,0.0539,5.386,0.366,2640,0.657,2.848,,8.262,1.301,1.542,0.0201,0.0211,0.0291,0.951,,12,0.0114,1.301,36,0.000016,1.541
,7,216,12:22,742,8.068,36,25.65,36.68,,0.117,1.345,1.526,0.119,0.535,,,,,,0.695,2.913,,5.775,1.345,1.526,0.0251,0.0188,0.0314,1.339,,13,0.007676,1.345,36,-0.001158,1.568
,8,279,13:25,805,8.082,39,39.66,43.11,698.9,0.181,1.347,1.570,0.142,0.456,0.022,0.0416,4.160,0.466,5283,0.647,2.830,,7.617,1.346,1.573,0.0206,0.0216,0.0299,0.955,,12,0.009379,1.346,36,0.000807,1.544
,9,353,14:28,868,8.035,40,53.05,48.91,1167,0.242,1.339,1.576,0.150,0.426,0.024,0.0549,5.488,0.444,3229,0.641,2.820,,6.619,1.347,1.574,0.0276,0.0204,0.0343,1.352,,13,0.009646,1.347,36,-0.000047,1.576
,10,442,15:31,931,8.122,42,60.95,54.10,1061,0.278,1.354,1.570,0.138,0.472,0.021,0.0399,3.986,0.471,1949,0.647,2.831,,6.491,1.347,1.545,0.0241,0.0189,0.0306,1.276,,14,0.008191,1.347,36,-0.000418,1.561
