File path:,
File note:,
File date:,03/06/17
File time:,15:12:11
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.405,0.418,0.413,0.417
Ek:,398.2,405.2,382.1,377.3
Pm:,101.9,126.2,106.5,124.4
Em:,,1170,680.0,993.5
AlphaW:,2.000,2.000,2.000,2.000
SErP:,1.439,0.088,0.295,0.107
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.39,41,0.000000,0.000000,0.000000,0.000000,1.898,3.205,0.408,,0.279,0.0575,5.748,0.670,1680,0.056,1.458,,81.72,1.935,3.129,0.008388,0.0120,0.0146,0.701,,12,0.0433,1.935,36,0.000278,3.119
,2,22,07:08,428,12.36,46,8.541,8.661,66.96,0.0405,2.061,3.369,0.388,0.073,0.200,0.0505,5.054,0.634,1923,0.005,1.387,,23.10,2.064,3.280,0.0416,0.0322,0.0526,1.292,,12,0.0438,2.064,36,0.000371,3.266
,3,49,08:12,492,12.47,46,18.83,18.66,161.4,0.0893,2.078,3.374,0.384,0.084,0.216,0.0547,5.469,0.571,1949,0.004,1.385,,33.10,2.117,3.293,0.0202,0.0292,0.0355,0.691,,12,0.0424,2.117,36,0.000348,3.281
,4,81,09:14,554,12.98,47,29.27,29.66,244.8,0.139,2.163,3.386,0.361,0.140,0.162,0.0502,5.018,0.628,1808,0.000,1.380,,30.92,2.180,3.304,0.0215,0.0293,0.0363,0.733,,12,0.0398,2.180,36,0.000423,3.289
,5,118,10:17,617,12.87,47,41.97,41.33,378.7,0.199,2.146,3.330,0.356,0.145,0.136,0.0533,5.330,0.676,1680,0.017,1.403,,27.37,2.164,3.266,0.0302,0.0266,0.0403,1.133,,13,0.0411,2.164,36,0.000230,3.258
,6,163,11:21,681,13.11,47,54.94,54.13,491.9,0.261,2.186,3.297,0.337,0.185,0.127,0.0501,5.011,0.628,1552,0.027,1.417,,24.58,2.192,3.217,0.0212,0.0359,0.0417,0.592,,12,0.0387,2.192,36,0.000148,3.212
,7,216,12:24,744,13.42,46,66.51,67.47,713.9,0.316,2.237,3.233,0.308,0.247,0.319,0.0549,5.488,0.518,1808,0.048,1.445,,25.64,2.245,3.209,0.0211,0.0311,0.0376,0.677,,12,0.0321,2.245,36,0.001499,3.155
,8,279,13:27,807,13.58,47,81.88,81.17,922.7,0.389,2.263,3.204,0.293,0.279,0.299,0.0549,5.492,0.533,1501,0.057,1.458,,20.47,2.256,3.154,0.0308,0.0312,0.0439,0.989,,12,0.0339,2.256,36,-0.000065,3.156
,9,353,14:30,870,13.69,47,96.42,94.73,1087,0.458,2.282,3.139,0.273,0.320,0.237,0.0511,5.114,0.606,1552,0.079,1.488,,17.67,2.258,3.117,0.0328,0.0359,0.0486,0.913,,12,0.0325,2.258,36,0.000970,3.082
,10,442,15:33,933,13.83,47,110.6,100.7,1354,0.525,2.305,3.074,0.250,0.370,0.275,0.0509,5.087,0.522,1603,0.102,1.520,,16.85,2.285,3.042,0.0314,0.0321,0.0449,0.976,,12,0.0290,2.285,36,0.000908,3.010
,11,547,16:36,996,13.64,47,116.3,97.90,1869,0.552,2.273,2.887,0.213,0.443,0.296,0.0567,5.673,0.432,1539,0.173,1.618,,12.54,2.267,2.861,0.0281,0.0381,0.0473,0.737,,12,0.0234,2.267,36,0.000752,2.834
,12,671,17:39,1059,13.10,45,133.0,94.61,2361,0.631,2.183,2.723,0.198,0.461,0.261,0.0584,5.843,0.607,1603,0.244,1.716,,9.393,2.171,2.700,0.0472,0.0309,0.0564,1.526,,13,0.0219,2.171,36,0.000789,2.672
,13,819,18:42,1122,12.66,45,128.7,90.97,2759,0.611,2.109,2.503,0.157,0.549,0.224,0.0559,5.594,0.440,963.2,0.353,1.867,,8.720,2.108,2.489,0.0311,0.0307,0.0438,1.012,,17,0.0139,2.108,36,0.000052,2.487
,14,995,19:45,1185,11.97,45,137.3,87.22,3167,0.652,1.995,2.314,0.138,0.583,0.151,0.0529,5.285,0.380,1360,0.464,2.019,,8.834,1.994,2.294,0.0237,0.0243,0.0339,0.974,,13,0.0126,1.994,36,0.000086,2.291
,15,1204,20:48,1248,11.49,44,93.92,83.65,,0.446,1.915,2.077,0.078,0.747,,,,,,0.631,2.250,,3.419,1.915,2.077,0.0303,0.0364,0.0474,0.833,,19,0.007753,1.915,36,-0.000903,2.109
,16,1451,21:51,1311,10.40,45,173.9,80.53,,0.825,1.734,1.970,0.120,0.596,,,,,,0.719,2.372,,5.100,1.734,1.970,0.0323,0.0332,0.0463,0.972,,12,0.009631,1.734,36,0.001431,1.918
,17,1745,22:54,1374,10.36,46,91.70,78.06,,0.435,1.727,1.823,0.053,0.813,,,,,,0.857,2.563,,1.854,1.727,1.823,0.0339,0.0390,0.0517,0.871,,15,0.004097,1.727,36,-0.000097,1.827
,18,2094,23:57,1437,10.23,49,48.34,76.30,,0.229,1.704,1.745,0.023,0.915,,,,,,0.941,2.678,,0.754,1.704,1.745,0.0324,0.0425,0.0534,0.764,,12,0.003962,1.704,36,0.000077,1.742
,19,2508,25:00,1500,9.603,52,199.3,75.22,,0.946,1.600,1.739,0.079,0.707,,,,,,0.948,2.687,,2.628,1.600,1.739,0.0359,0.0384,0.0526,0.934,,30,0.002586,1.600,36,0.001052,1.701
,20,3000,26:04,1564,9.757,56,10.42,74.64,,0.0494,1.626,1.632,0.003,0.987,,,,,,1.075,2.863,,0.0903,1.626,1.632,0.0523,0.0347,0.0627,1.508,,33,0.000685,1.626,36,-0.000686,1.657
,21,0,27:07,1627,10.06,29,0.000000,0.000000,0.000000,0.000000,1.677,2.521,0.335,,0.194,0.0534,5.339,0.688,1488,0.343,1.853,,68.71,1.698,2.480,0.007023,0.008954,0.0114,0.784,,13,0.0275,1.698,36,0.000297,2.469
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.39,49,0.000000,0.000000,0.000000,0.000000,1.569,2.675,0.413,,0.294,0.0660,4.402,0.658,1629,0.048,1.574,,79.83,1.600,2.593,0.008058,0.009480,0.0124,0.850,,12,0.0406,1.600,36,-0.000151,2.598
,2,22,07:08,428,12.36,55,8.747,8.946,54.17,0.0339,1.683,2.793,0.398,0.003,0.232,0.0613,4.089,0.668,1872,0.004,1.508,,37.88,1.703,2.710,0.0179,0.0197,0.0266,0.908,,12,0.0415,1.703,36,-0.000223,2.718
,3,49,08:12,492,12.47,56,19.01,19.28,119.1,0.0736,1.716,2.804,0.388,0.029,0.225,0.0605,4.036,0.597,1923,0.000,1.502,,38.28,1.741,2.732,0.0140,0.0217,0.0259,0.644,,12,0.0391,1.741,36,0.000274,2.722
,4,81,09:14,554,12.98,56,30.39,30.67,201.7,0.118,1.746,2.794,0.375,0.059,0.243,0.0620,4.135,0.533,1731,0.004,1.507,,30.71,1.769,2.714,0.0188,0.0244,0.0308,0.768,,13,0.0390,1.769,36,-0.000482,2.731
,5,118,10:17,617,12.87,56,43.60,42.77,317.5,0.169,1.738,2.756,0.369,0.066,0.263,0.0670,4.468,0.573,1731,0.018,1.528,,38.02,1.765,2.691,0.0122,0.0211,0.0244,0.579,,12,0.0394,1.765,36,0.000053,2.689
,6,163,11:21,681,13.11,57,56.26,56.07,434.5,0.218,1.782,2.722,0.345,0.121,0.241,0.0664,4.426,0.638,1603,0.030,1.547,,23.74,1.817,2.659,0.0280,0.0218,0.0355,1.284,,13,0.0350,1.817,36,0.000213,2.651
,7,216,12:24,744,13.42,56,75.51,69.95,554.1,0.292,1.765,2.714,0.350,0.108,0.113,0.0639,4.260,0.649,1501,0.033,1.552,,34.99,1.823,2.655,0.0136,0.0195,0.0238,0.700,,15,0.0335,1.823,36,0.000639,2.632
,8,279,13:27,807,13.58,56,85.14,84.26,742.6,0.330,1.847,2.659,0.305,0.211,0.264,0.0663,4.420,0.566,1552,0.055,1.584,,21.86,1.859,2.622,0.0279,0.0210,0.0349,1.328,,12,0.0333,1.859,36,0.001133,2.581
,9,353,14:30,870,13.69,56,99.87,98.45,896.6,0.387,1.876,2.616,0.283,0.262,0.240,0.0633,4.218,0.564,1360,0.072,1.610,,23.10,1.867,2.571,0.0224,0.0207,0.0305,1.084,,13,0.0307,1.867,36,0.000024,2.570
,10,442,15:33,933,13.83,56,106.8,109.8,1156,0.413,1.908,2.515,0.242,0.354,0.243,0.0652,4.344,0.470,1411,0.115,1.674,,18.13,1.898,2.470,0.0209,0.0235,0.0315,0.890,,13,0.0264,1.898,36,0.000219,2.462
,11,547,16:36,996,13.64,55,122.8,115.9,1314,0.475,1.873,2.415,0.224,0.384,0.196,0.0599,3.990,0.709,1437,0.161,1.744,,20.91,1.865,2.394,0.0107,0.0229,0.0253,0.469,,12,0.0226,1.865,36,0.000243,2.385
,12,671,17:39,1059,13.10,53,128.4,120.7,1692,0.497,1.818,2.249,0.191,0.450,0.259,0.0628,4.186,0.540,1181,0.247,1.873,,15.57,1.794,2.221,0.0143,0.0233,0.0274,0.615,,12,0.0200,1.794,36,-0.000258,2.230
,13,819,18:42,1122,12.66,53,145.5,124.0,2061,0.563,1.709,2.079,0.178,0.462,0.155,0.0627,4.179,0.678,1488,0.349,2.026,,9.975,1.712,2.055,0.0287,0.0188,0.0343,1.532,,12,0.0168,1.712,36,-0.000106,2.059
,14,995,19:45,1185,11.97,51,128.7,125.8,2074,0.498,1.666,1.914,0.129,0.586,0.192,0.0519,3.462,0.674,912.0,0.465,2.200,,7.511,1.660,1.914,0.0242,0.0236,0.0338,1.026,,13,0.009666,1.660,36,0.000381,1.900
,15,1204,20:48,1248,11.49,50,118.5,126.2,,0.459,1.550,1.719,0.098,0.660,,,,,,0.631,2.450,,4.586,1.550,1.719,0.0265,0.0256,0.0369,1.036,,12,0.009982,1.550,36,-0.000306,1.730
,16,1451,21:51,1311,10.40,50,114.9,125.6,,0.445,1.492,1.620,0.079,0.715,,,,,,0.731,2.600,,3.410,1.492,1.620,0.0301,0.0225,0.0376,1.341,,12,0.005549,1.492,36,0.000551,1.600
,17,1745,22:54,1374,10.36,52,126.5,124.5,,0.490,1.424,1.536,0.073,0.729,,,,,,0.826,2.742,,2.821,1.424,1.536,0.0310,0.0244,0.0395,1.272,,22,0.004491,1.424,36,0.000444,1.520
,18,2094,23:57,1437,10.23,53,100.3,123.1,,0.388,1.376,1.445,0.048,0.812,,,,,,0.941,2.915,,1.387,1.376,1.445,0.0357,0.0349,0.0499,1.022,,23,0.004217,1.376,36,-0.000306,1.456
,19,2508,25:00,1500,9.603,56,139.7,122.0,,0.541,1.352,1.431,0.056,0.780,,,,,,0.959,2.942,,1.886,1.352,1.431,0.0282,0.0314,0.0423,0.898,,12,0.002382,1.352,36,0.001498,1.377
,20,3000,26:04,1564,9.757,61,145.6,121.2,,0.564,1.304,1.371,0.049,0.802,,,,,,1.046,3.072,,1.625,1.304,1.371,0.0296,0.0282,0.0409,1.050,,13,0.003289,1.304,36,0.000235,1.362
,21,0,27:07,1627,10.06,35,0.000000,0.000000,0.000000,0.000000,1.405,2.109,0.334,,0.288,0.0627,4.179,0.650,1488,0.330,1.997,,60.53,1.400,2.073,0.007742,0.007983,0.0111,0.970,,12,0.0279,1.400,36,0.000384,2.059
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.39,51,0.000000,0.000000,0.000000,0.000000,1.379,2.320,0.405,,0.292,0.0651,3.619,0.666,1680,0.037,1.408,,103.5,1.403,2.259,0.005789,0.005910,0.008273,0.980,,12,0.0348,1.403,36,-0.000154,2.264
,2,22,07:08,428,12.36,57,8.736,8.837,46.90,0.0303,1.448,2.401,0.397,0.063,0.285,0.0637,3.540,0.570,2000,0.003,1.361,,35.90,1.475,2.349,0.0170,0.0174,0.0244,0.978,,12,0.0345,1.475,36,0.000417,2.334
,3,49,08:12,492,12.47,58,18.84,19.01,100.5,0.0654,1.481,2.407,0.385,0.093,0.197,0.0613,3.405,0.581,1923,0.000,1.357,,33.21,1.497,2.345,0.0171,0.0190,0.0255,0.897,,12,0.0351,1.497,36,0.000001,2.345
,4,81,09:14,554,12.98,57,29.53,30.17,155.2,0.102,1.529,2.407,0.365,0.140,0.160,0.0573,3.181,0.598,1872,0.000,1.358,,31.97,1.536,2.347,0.0199,0.0157,0.0254,1.266,,13,0.0327,1.536,36,0.000061,2.345
,5,118,10:17,617,12.87,58,43.07,41.97,250.8,0.149,1.508,2.374,0.365,0.133,0.249,0.0635,3.529,0.522,1872,0.014,1.376,,33.79,1.532,2.309,0.0151,0.0173,0.0230,0.874,,13,0.0316,1.532,36,-0.000173,2.316
,6,163,11:21,681,13.11,57,56.95,54.85,331.8,0.198,1.527,2.347,0.349,0.164,0.181,0.0609,3.381,0.586,1680,0.026,1.392,,28.22,1.554,2.288,0.0178,0.0189,0.0260,0.942,,13,0.0297,1.554,36,-0.000170,2.294
,7,216,12:24,744,13.42,57,67.14,68.20,438.4,0.233,1.585,2.300,0.311,0.248,0.267,0.0607,3.370,0.574,1680,0.046,1.420,,29.73,1.576,2.266,0.0188,0.0136,0.0232,1.377,,12,0.0293,1.576,36,0.000382,2.252
,8,279,13:27,807,13.58,57,83.97,81.85,585.7,0.291,1.589,2.273,0.301,0.266,0.256,0.0627,3.486,0.504,1680,0.059,1.437,,25.45,1.588,2.231,0.0176,0.0181,0.0253,0.973,,12,0.0284,1.588,36,0.000278,2.221
,9,353,14:30,870,13.69,57,97.98,95.25,707.4,0.340,1.609,2.227,0.278,0.315,0.235,0.0599,3.328,0.631,1629,0.081,1.467,,26.11,1.614,2.198,0.0166,0.0150,0.0223,1.104,,12,0.0240,1.614,36,0.000689,2.173
,10,442,15:33,933,13.83,57,107.2,102.6,811.5,0.372,1.632,2.155,0.243,0.390,0.210,0.0549,3.049,0.474,1488,0.117,1.516,,18.15,1.615,2.117,0.0169,0.0219,0.0276,0.775,,14,0.0208,1.615,36,0.000142,2.111
,11,547,16:36,996,13.64,56,115.1,105.4,1043,0.399,1.612,2.041,0.210,0.453,0.277,0.0570,3.166,0.578,1488,0.179,1.601,,16.00,1.597,2.027,0.0149,0.0224,0.0269,0.667,,13,0.0178,1.597,36,0.000473,2.010
