File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,17:19:22
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.396,0.407,0.396,0.403
Ek:,574.1,520.8,527.6,537.7
Pm:,143.7,139.4,132.1,142.0
Em:,,841.3,,851.3
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.184,0.082,0.183,0.175
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,10.26,36,0.000000,0.000000,0.000000,0.000000,1.711,2.753,0.379,,0.220,0.0544,5.440,0.691,1629,0.179,1.842,,80.05,1.745,2.703,0.005599,0.0106,0.0120,0.529,,12,0.0333,1.745,36,0.000458,2.686
,2,22,07:09,429,11.36,43,8.403,8.544,68.55,0.0387,1.893,3.063,0.382,,0.225,0.0517,5.174,0.638,1872,0.059,1.655,,29.78,1.933,2.986,0.0245,0.0255,0.0354,0.960,,17,0.0348,1.933,36,-0.000191,2.993
,3,49,08:11,491,11.68,43,18.24,18.59,148.3,0.0840,1.946,3.099,0.372,0.019,0.220,0.0503,5.026,0.599,1731,0.047,1.636,,23.97,1.966,3.049,0.0253,0.0374,0.0452,0.676,,12,0.0368,1.966,36,0.000592,3.027
,4,81,09:14,554,11.85,44,29.98,29.91,235.4,0.138,1.976,3.136,0.370,0.032,0.214,0.0483,4.827,0.592,1872,0.035,1.617,,27.50,2.007,3.066,0.0244,0.0298,0.0385,0.820,,16,0.0339,2.007,36,0.000767,3.038
,5,118,10:18,618,12.45,45,40.55,42.22,338.5,0.187,2.075,3.161,0.344,0.105,0.295,0.0476,4.764,0.606,1821,0.027,1.604,,27.16,2.069,3.125,0.0269,0.0280,0.0389,0.961,,14,0.0336,2.069,36,0.001230,3.081
,6,163,11:21,681,12.46,46,56.97,56.17,507.8,0.262,2.077,3.193,0.350,0.095,0.250,0.0517,5.174,0.607,1603,0.016,1.588,,24.63,2.116,3.138,0.0263,0.0321,0.0415,0.821,,12,0.0327,2.116,36,0.000276,3.128
,7,216,12:24,744,12.94,47,72.49,71.26,641.7,0.334,2.156,3.245,0.336,0.140,0.291,0.0493,4.933,0.567,1603,0.000,1.562,,24.90,2.143,3.198,0.0237,0.0351,0.0424,0.675,,12,0.0368,2.143,36,0.001070,3.160
,8,279,13:27,807,12.53,48,98.27,87.48,803.3,0.453,2.088,3.223,0.352,0.094,0.052,0.0478,4.781,0.634,1603,0.007,1.573,,23.18,2.109,3.144,0.0326,0.0305,0.0447,1.066,,14,0.0378,2.109,36,-0.000090,3.147
,9,353,14:30,870,13.39,48,104.9,104.4,989.7,0.483,2.232,3.176,0.297,0.228,0.257,0.0466,4.656,0.652,1552,0.022,1.597,,23.07,2.213,3.134,0.0299,0.0264,0.0399,1.130,,12,0.0325,2.213,36,0.000741,3.107
,10,442,15:33,933,13.70,50,117.0,122.0,1402,0.539,2.283,3.105,0.265,0.303,0.357,0.0527,5.266,0.579,1757,0.045,1.633,,18.12,2.261,3.084,0.0280,0.0357,0.0454,0.783,,13,0.0296,2.261,36,0.000842,3.054
,11,547,16:36,996,13.48,50,142.3,139.6,1600,0.655,2.247,3.036,0.260,0.305,0.217,0.0486,4.858,0.606,1552,0.069,1.670,,17.62,2.241,2.994,0.0242,0.0352,0.0427,0.686,,14,0.0266,2.241,36,0.000483,2.976
,12,671,17:39,1059,13.46,50,147.9,144.1,2221,0.681,2.243,2.877,0.220,0.391,0.286,0.0550,5.495,0.426,1283,0.128,1.763,,13.10,2.251,2.860,0.0360,0.0294,0.0465,1.223,,17,0.0201,2.251,36,0.001218,2.816
,13,819,18:42,1122,12.88,49,161.3,145.6,2415,0.743,2.147,2.674,0.197,0.430,0.100,0.0490,4.897,0.608,1283,0.214,1.896,,10.83,2.157,2.662,0.0258,0.0388,0.0466,0.665,,18,0.0177,2.157,36,0.001093,2.622
,14,995,19:45,1185,12.24,49,161.9,147.9,2611,0.746,2.041,2.437,0.163,0.499,0.025,0.0436,4.358,0.508,1283,0.332,2.081,,8.463,2.034,2.429,0.0261,0.0387,0.0467,0.677,,16,0.0143,2.034,36,0.000719,2.404
,15,1204,20:48,1248,11.04,49,163.0,150.8,,0.751,1.841,2.129,0.135,0.542,,,,,,0.524,2.382,,4.538,1.841,2.129,0.0421,0.0476,0.0635,0.885,,21,0.009899,1.841,36,0.000193,2.122
,16,1451,21:51,1311,10.46,48,167.7,153.8,,0.773,1.744,1.972,0.116,0.587,,,,,,0.646,2.571,,3.321,1.744,1.972,0.0566,0.0389,0.0687,1.453,,13,0.006264,1.744,36,0.001811,1.907
,17,1745,22:54,1374,9.889,49,107.1,156.7,,0.493,1.648,1.756,0.061,0.761,,,,,,0.848,2.888,,1.837,1.648,1.756,0.0476,0.0343,0.0587,1.385,,25,0.004378,1.648,36,-0.000884,1.788
,18,2094,23:57,1437,9.248,52,182.5,159.1,,0.840,1.541,1.689,0.087,0.651,,,,,,0.922,3.003,,2.737,1.541,1.689,0.0347,0.0411,0.0538,0.846,,13,0.005470,1.541,36,0.001883,1.621
,19,2508,25:01,1501,9.086,56,179.5,160.9,,0.827,1.514,1.631,0.072,0.706,,,,,,0.990,3.109,,1.939,1.514,1.631,0.0390,0.0459,0.0602,0.849,,32,0.000419,1.514,36,0.002768,1.531
,20,3000,26:03,1563,8.739,65,399.0,161.9,,1.838,1.456,1.680,0.133,0.466,,,,,,0.932,3.019,,3.348,1.456,1.680,0.0407,0.0529,0.0667,0.770,,20,0.002408,1.456,36,0.003875,1.540
,21,0,27:07,1627,9.586,28,0.000000,0.000000,0.000000,0.000000,1.598,2.425,0.341,,0.177,0.0488,4.884,0.725,1437,0.338,2.091,,59.43,1.597,2.373,0.009026,0.009419,0.0130,0.958,,12,0.0272,1.597,36,0.000481,2.355
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,10.26,43,0.000000,0.000000,0.000000,0.000000,1.421,2.297,0.381,,0.273,0.0619,4.127,0.682,1603,0.161,1.731,,81.89,1.444,2.243,0.005595,0.007988,0.009753,0.700,,13,0.0310,1.444,36,0.000032,2.242
,2,22,07:09,429,11.36,51,8.464,8.768,56.04,0.0322,1.564,2.542,0.385,0.014,0.276,0.0634,4.230,0.628,1872,0.049,1.564,,29.58,1.578,2.483,0.0212,0.0220,0.0306,0.965,,13,0.0377,1.578,36,0.000048,2.481
,3,49,08:11,491,11.68,53,18.78,19.03,117.1,0.0714,1.596,2.588,0.383,0.028,0.254,0.0595,3.968,0.602,1872,0.030,1.536,,32.38,1.620,2.522,0.0135,0.0244,0.0279,0.551,,12,0.0355,1.620,36,0.000284,2.512
,4,81,09:14,554,11.85,53,29.54,30.53,184.1,0.112,1.651,2.600,0.365,0.077,0.237,0.0566,3.774,0.628,1808,0.026,1.529,,29.41,1.678,2.543,0.0199,0.0216,0.0294,0.919,,16,0.0308,1.678,36,0.000542,2.523
,5,118,10:18,618,12.45,54,43.29,42.98,266.6,0.165,1.672,2.641,0.367,0.081,0.187,0.0563,3.752,0.596,1680,0.010,1.506,,24.57,1.689,2.581,0.0296,0.0211,0.0363,1.405,,14,0.0337,1.689,36,0.000398,2.567
,6,163,11:21,681,12.46,55,57.81,56.97,388.3,0.220,1.716,2.659,0.355,0.115,0.231,0.0593,3.956,0.655,1501,0.003,1.495,,28.13,1.740,2.593,0.0200,0.0228,0.0303,0.876,,12,0.0330,1.740,36,-0.000642,2.616
,7,216,12:24,744,12.94,57,77.44,71.96,563.9,0.294,1.710,2.666,0.358,0.107,0.129,0.0650,4.336,0.582,1411,0.000,1.491,,22.75,1.758,2.596,0.0253,0.0268,0.0369,0.942,,12,0.0358,1.758,36,0.000122,2.592
,8,279,13:27,807,12.53,56,95.49,87.92,701.6,0.363,1.753,2.666,0.342,0.147,0.173,0.0626,4.176,0.586,1360,0.000,1.492,,28.99,1.791,2.600,0.0203,0.0191,0.0279,1.063,,12,0.0329,1.791,36,0.000243,2.591
,9,353,14:30,870,13.39,58,105.4,104.3,799.2,0.401,1.841,2.625,0.299,0.249,0.260,0.0564,3.760,0.452,1168,0.015,1.514,,26.79,1.821,2.587,0.0173,0.0227,0.0286,0.763,,12,0.0318,1.821,36,0.000331,2.575
,10,442,15:33,933,13.70,58,114.6,121.3,1105,0.436,1.902,2.568,0.259,0.339,0.263,0.0623,4.153,0.592,1168,0.038,1.548,,16.20,1.906,2.505,0.0247,0.0275,0.0370,0.898,,12,0.0262,1.906,36,-0.000966,2.540
,11,547,16:36,996,13.48,58,135.1,135.0,1489,0.513,1.894,2.515,0.247,0.363,0.276,0.0678,4.520,0.596,1040,0.060,1.581,,16.02,1.899,2.444,0.0240,0.0241,0.0341,0.996,,12,0.0256,1.899,36,-0.001161,2.486
,12,671,17:39,1059,13.46,58,152.2,138.1,1649,0.578,1.836,2.374,0.227,0.393,0.198,0.0612,4.081,0.654,1309,0.123,1.675,,15.09,1.844,2.356,0.0244,0.0236,0.0339,1.037,,12,0.0217,1.844,36,0.000669,2.332
