File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,17:56:10
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.419,0.435,0.425,0.430
Ek:,559.9,511.8,549.2,541.0
Pm:,157.1,140.8,173.9,186.3
Em:,1085,,1266,1588
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.195,0.110,0.098,0.056
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,13.47,39,0.000000,0.000000,0.000000,0.000000,2.245,3.692,0.392,,0.228,0.0504,5.040,0.712,1552,0.184,1.710,,128.6,2.271,3.601,0.007352,0.007273,0.0103,1.011,,13,0.0443,2.271,36,0.000562,3.581
,2,22,12:08,728,15.25,55,8.776,9.038,68.78,0.0513,2.542,4.229,0.399,0.005,0.290,0.0519,5.192,0.633,1731,0.033,1.493,,30.73,2.583,4.145,0.0346,0.0373,0.0509,0.929,,15,0.0504,2.583,36,0.000500,4.128
,3,49,13:11,791,15.74,57,19.30,19.65,147.9,0.113,2.624,4.328,0.394,0.032,0.232,0.0501,5.011,0.644,1872,0.010,1.459,,41.16,2.656,4.247,0.0257,0.0289,0.0387,0.887,,13,0.0523,2.656,36,0.000782,4.219
,4,81,14:14,854,15.79,58,31.19,31.59,252.9,0.182,2.632,4.280,0.385,0.047,0.224,0.0518,5.185,0.555,1731,0.021,1.475,,32.15,2.655,4.199,0.0254,0.0407,0.0480,0.623,,13,0.0544,2.655,36,0.000602,4.177
,5,118,15:18,918,15.83,58,45.88,44.57,361.9,0.268,2.639,4.318,0.389,0.043,0.200,0.0509,5.093,0.615,1603,0.012,1.462,,31.02,2.690,4.243,0.0337,0.0370,0.0501,0.911,,14,0.0515,2.690,36,0.000685,4.218
,6,163,16:20,980,16.30,59,61.59,59.24,476.0,0.360,2.717,4.368,0.378,0.076,0.166,0.0485,4.849,0.623,1629,0.000,1.446,,28.98,2.759,4.259,0.0315,0.0411,0.0518,0.765,,13,0.0505,2.759,36,0.000352,4.246
,7,216,17:23,1043,16.89,61,76.20,75.08,653.7,0.445,2.815,4.349,0.353,0.135,0.178,0.0503,5.025,0.594,1552,0.005,1.452,,26.09,2.852,4.251,0.0429,0.0323,0.0536,1.328,,12,0.0481,2.852,36,0.000895,4.219
,8,279,18:27,1107,17.43,61,93.51,92.05,801.4,0.546,2.905,4.370,0.335,0.181,0.174,0.0477,4.770,0.604,1360,0.000,1.445,,31.35,2.919,4.292,0.0294,0.0324,0.0438,0.908,,12,0.0474,2.919,36,0.000277,4.282
,9,353,19:30,1170,18.16,63,106.3,109.7,1058,0.621,3.027,4.332,0.301,0.260,0.374,0.0498,4.977,0.478,1552,0.009,1.457,,27.25,3.002,4.290,0.0277,0.0383,0.0473,0.724,,14,0.0422,3.002,36,0.001461,4.237
,10,442,20:33,1233,18.01,63,131.7,128.0,1377,0.769,3.001,4.276,0.298,0.262,0.253,0.0517,5.172,0.526,1360,0.022,1.477,,23.65,2.990,4.217,0.0353,0.0380,0.0519,0.927,,13,0.0460,2.990,36,0.001041,4.179
,11,547,21:36,1296,17.99,63,150.5,146.3,1734,0.879,2.998,4.137,0.275,0.305,0.241,0.0527,5.265,0.599,1437,0.056,1.526,,17.61,3.001,4.108,0.0482,0.0404,0.0629,1.195,,12,0.0406,3.001,36,0.001701,4.047
,12,671,22:39,1359,17.82,63,164.2,152.2,2119,0.959,2.970,3.933,0.245,0.362,0.214,0.0524,5.245,0.608,1283,0.111,1.605,,18.23,2.962,3.882,0.0346,0.0367,0.0505,0.944,,12,0.0358,2.962,36,0.000207,3.875
,13,819,23:42,1422,17.21,61,173.8,155.4,2588,1.015,2.868,3.640,0.212,0.420,0.222,0.0525,5.247,0.592,1232,0.200,1.734,,23.34,2.860,3.624,0.0196,0.0262,0.0327,0.750,,12,0.0286,2.860,36,0.000947,3.590
,14,995,24:45,1485,16.82,60,162.5,157.0,2997,0.949,2.803,3.349,0.163,0.529,0.157,0.0500,5.002,0.488,784.0,0.305,1.885,,10.89,2.802,3.311,0.0297,0.0362,0.0468,0.819,,16,0.0189,2.802,36,0.000040,3.310
,15,1204,25:48,1548,14.92,59,191.5,156.9,3051,1.119,2.487,2.957,0.159,0.501,0.026,0.0421,4.208,0.554,2512,0.478,2.135,,8.740,2.501,2.954,0.0304,0.0420,0.0518,0.724,,14,0.0150,2.501,36,0.001525,2.899
,16,1451,26:51,1611,13.97,60,188.5,155.3,2693,1.101,2.328,2.675,0.130,0.564,0.020,0.0308,3.082,0.384,2000,0.633,2.360,,6.101,2.316,2.638,0.0332,0.0411,0.0529,0.808,,19,0.009968,2.316,36,0.000345,2.626
,17,1745,27:54,1674,13.08,58,148.6,152.7,,0.868,2.180,2.383,0.085,0.689,,,,,,0.834,2.650,,3.324,2.180,2.383,0.0417,0.0446,0.0610,0.937,,12,0.008312,2.180,36,0.000435,2.367
,18,2094,28:57,1737,12.59,61,97.43,149.5,,0.569,2.098,2.200,0.047,0.820,,,,,,0.986,2.870,,1.640,2.098,2.200,0.0431,0.0452,0.0624,0.953,,26,0.004426,2.098,36,-0.000649,2.223
,19,2508,30:00,1800,11.49,67,266.7,146.3,,1.557,1.915,2.143,0.106,0.580,,,,,,1.039,2.946,,3.165,1.915,2.143,0.0466,0.0548,0.0720,0.850,,19,0.005325,1.915,36,-0.000647,2.166
,20,3000,31:04,1864,11.20,74,230.2,143.5,,1.345,1.867,2.022,0.077,0.684,,,,,,1.161,3.122,,2.049,1.867,2.022,0.0559,0.0511,0.0757,1.094,,14,0.0101,1.867,36,-0.001283,2.069
,21,0,32:07,1927,12.16,35,0.000000,0.000000,0.000000,0.000000,2.027,3.167,0.360,,0.185,0.0491,4.911,0.704,1360,0.380,1.993,,73.18,2.056,3.117,0.009803,0.0107,0.0145,0.917,,14,0.0342,2.056,36,0.000827,3.088
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,13.47,48,0.000000,0.000000,0.000000,0.000000,1.840,3.100,0.407,,0.264,0.0620,4.132,0.734,1488,0.173,1.322,,139.5,1.883,3.006,0.004724,0.006516,0.008048,0.725,,12,0.0436,1.883,36,-0.000121,3.011
,2,22,12:08,728,15.25,68,8.909,9.371,54.17,0.0411,2.107,3.541,0.405,0.127,0.292,0.0613,4.089,0.620,1680,0.027,1.157,,50.97,2.139,3.456,0.0116,0.0231,0.0258,0.502,,12,0.0516,2.139,36,-0.000002,3.456
,3,49,13:11,791,15.74,71,19.90,20.33,115.5,0.0918,2.149,3.618,0.406,0.134,0.278,0.0587,3.914,0.627,1923,0.005,1.132,,37.57,2.192,3.519,0.0203,0.0289,0.0353,0.704,,12,0.0495,2.192,36,-0.000224,3.527
,4,81,14:14,854,15.79,71,32.40,32.60,191.6,0.149,2.160,3.600,0.400,0.145,0.239,0.0589,3.928,0.593,1757,0.010,1.138,,37.41,2.206,3.513,0.0234,0.0259,0.0349,0.905,,12,0.0505,2.206,36,0.000452,3.496
,5,118,15:18,918,15.83,71,45.02,45.86,272.1,0.208,2.230,3.606,0.382,0.185,0.271,0.0574,3.830,0.579,1757,0.008,1.136,,32.98,2.260,3.520,0.0244,0.0294,0.0382,0.831,,12,0.0469,2.260,36,0.000144,3.515
,6,163,16:20,980,16.30,72,62.42,60.75,385.6,0.288,2.237,3.625,0.383,0.184,0.251,0.0589,3.929,0.590,1680,0.003,1.130,,32.17,2.270,3.541,0.0243,0.0311,0.0395,0.780,,12,0.0490,2.270,36,0.000607,3.519
,7,216,17:23,1043,16.89,74,78.18,76.68,529.3,0.361,2.309,3.619,0.362,0.228,0.258,0.0610,4.069,0.588,1552,0.005,1.132,,36.44,2.340,3.535,0.0236,0.0228,0.0328,1.038,,12,0.0468,2.340,36,0.000519,3.517
,8,279,18:27,1107,17.43,73,93.38,93.59,634.0,0.431,2.412,3.625,0.335,0.287,0.289,0.0566,3.773,0.642,1552,0.003,1.130,,29.06,2.411,3.550,0.0240,0.0310,0.0392,0.776,,12,0.0444,2.411,36,-0.000370,3.563
,9,353,19:30,1170,18.16,75,118.5,111.0,874.1,0.547,2.415,3.635,0.336,0.286,0.125,0.0617,4.112,0.692,1232,0.000,1.127,,28.42,2.465,3.541,0.0275,0.0260,0.0378,1.056,,12,0.0465,2.465,36,0.000089,3.537
,10,442,20:33,1233,18.01,75,125.9,128.8,1070,0.581,2.521,3.525,0.285,0.384,0.281,0.0603,4.019,0.536,1360,0.031,1.162,,25.71,2.514,3.466,0.0178,0.0325,0.0371,0.547,,12,0.0389,2.514,36,0.000305,3.455
,11,547,21:36,1296,17.99,75,148.6,142.1,1235,0.686,2.503,3.437,0.272,0.404,0.236,0.0562,3.749,0.562,1411,0.058,1.192,,25.84,2.493,3.409,0.0226,0.0273,0.0354,0.829,,13,0.0355,2.493,36,0.001045,3.371
,12,671,22:39,1359,17.82,74,158.9,146.3,1546,0.733,2.482,3.252,0.237,0.465,0.234,0.0574,3.826,0.526,1360,0.118,1.260,,16.84,2.485,3.209,0.0287,0.0319,0.0430,0.900,,12,0.0286,2.485,36,-0.000220,3.217
,13,819,23:42,1422,17.21,72,178.4,150.5,1908,0.823,2.363,3.021,0.218,0.487,0.182,0.0580,3.868,0.566,1283,0.203,1.356,,18.29,2.356,2.986,0.0248,0.0239,0.0344,1.039,,14,0.0272,2.356,36,0.000428,2.970
,14,995,24:45,1485,16.82,71,178.8,154.6,1932,0.825,2.287,2.787,0.180,0.556,0.191,0.0484,3.225,0.582,1283,0.304,1.470,,14.13,2.283,2.776,0.0229,0.0264,0.0350,0.870,,13,0.0177,2.283,36,0.000540,2.757
