File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,18:32:57
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.425,0.435,0.420,0.421
Ek:,511.0,499.5,544.9,596.0
Pm:,151.8,144.1,144.8,193.5
Em:,1014,834.8,,3190
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.154,0.206,0.160,0.120
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,10.09,33,0.000000,0.000000,0.000000,0.000000,1.681,2.761,0.391,,0.278,0.0540,5.402,0.685,1629,0.141,1.630,,97.77,1.710,2.697,0.005920,0.008168,0.0101,0.725,,14,0.0333,1.710,36,0.000051,2.695
,2,22,12:08,728,10.88,42,8.737,9.145,68.37,0.0383,1.814,3.009,0.397,0.009,0.261,0.0516,5.161,0.630,1757,0.047,1.496,,33.52,1.837,2.959,0.0153,0.0298,0.0335,0.515,,12,0.0376,1.837,36,0.000770,2.931
,3,49,13:11,791,10.89,43,20.09,19.84,149.0,0.0881,1.814,3.075,0.410,,0.112,0.0505,5.050,0.631,1821,0.025,1.464,,31.37,1.862,3.003,0.0208,0.0298,0.0364,0.699,,12,0.0411,1.862,36,0.000531,2.984
,4,81,14:14,854,11.53,44,30.89,31.81,249.4,0.135,1.922,3.106,0.381,0.066,0.344,0.0511,5.114,0.566,2128,0.014,1.449,,36.99,1.905,3.074,0.0185,0.0256,0.0316,0.721,,12,0.0393,1.905,36,0.001415,3.023
,5,118,15:17,917,11.62,45,44.68,44.75,362.9,0.196,1.937,3.118,0.379,0.075,0.196,0.0511,5.107,0.628,1552,0.011,1.444,,23.21,1.956,3.050,0.0303,0.0361,0.0471,0.839,,17,0.0372,1.956,36,-0.000232,3.058
,6,163,16:20,980,12.18,45,55.99,59.27,496.2,0.245,2.030,3.092,0.344,0.156,0.308,0.0506,5.055,0.525,1757,0.019,1.456,,27.36,2.024,3.034,0.0244,0.0277,0.0369,0.883,,16,0.0335,2.024,36,-0.000037,3.036
,7,216,17:23,1043,12.29,46,75.56,74.81,622.7,0.331,2.049,3.151,0.350,0.150,0.244,0.0479,4.788,0.628,1808,0.000,1.429,,26.03,2.036,3.091,0.0262,0.0309,0.0405,0.847,,12,0.0376,2.036,36,0.000516,3.072
,8,279,18:26,1106,12.20,47,98.15,91.30,878.8,0.430,2.034,3.138,0.352,0.144,0.177,0.0523,5.231,0.602,1501,0.004,1.435,,19.29,2.038,3.062,0.0406,0.0342,0.0531,1.187,,16,0.0381,2.038,36,-0.000086,3.065
,9,353,19:29,1169,12.62,48,111.2,108.2,998.7,0.487,2.104,3.071,0.315,0.223,0.272,0.0470,4.698,0.606,1808,0.026,1.466,,21.59,2.097,3.019,0.0257,0.0341,0.0427,0.754,,13,0.0313,2.097,36,0.000172,3.013
,10,442,20:32,1232,12.70,49,128.8,125.6,1320,0.565,2.117,2.988,0.291,0.269,0.247,0.0496,4.958,0.391,1629,0.054,1.507,,18.95,2.103,2.967,0.0292,0.0350,0.0456,0.834,,12,0.0308,2.103,36,0.001352,2.919
,11,547,21:36,1296,12.82,48,142.4,139.6,1854,0.624,2.137,2.889,0.260,0.334,0.337,0.0563,5.630,0.392,1552,0.091,1.558,,17.75,2.132,2.873,0.0298,0.0293,0.0418,1.017,,15,0.0266,2.132,36,0.001328,2.825
,12,671,22:38,1358,12.83,49,154.3,146.0,2205,0.677,2.138,2.777,0.230,0.397,0.293,0.0546,5.458,0.474,1437,0.135,1.621,,11.47,2.137,2.735,0.0423,0.0304,0.0521,1.392,,12,0.0221,2.137,36,-0.000106,2.739
,13,819,23:42,1422,12.28,50,173.7,150.2,2371,0.761,2.046,2.597,0.212,0.420,0.212,0.0481,4.807,0.354,1309,0.213,1.733,,9.564,2.030,2.566,0.0448,0.0336,0.0560,1.333,,13,0.0213,2.030,36,0.000074,2.563
,14,995,24:45,1485,11.89,48,150.1,151.8,2734,0.658,1.982,2.334,0.151,0.558,0.024,0.0456,4.563,0.228,963.2,0.350,1.929,,8.440,1.980,2.334,0.0210,0.0363,0.0419,0.577,,19,0.0120,1.980,36,0.001329,2.286
,15,1204,25:48,1548,10.70,47,177.3,150.7,2984,0.777,1.783,2.091,0.147,0.536,0.141,0.0412,4.116,0.516,2691,0.507,2.153,,6.335,1.777,2.079,0.0339,0.0336,0.0477,1.008,,23,0.008836,1.777,36,0.000800,2.051
,16,1451,26:51,1611,10.01,49,179.8,147.1,,0.788,1.669,1.905,0.124,0.583,,,,,,0.654,2.363,,4.552,1.669,1.905,0.0397,0.0334,0.0519,1.189,,16,0.006122,1.669,36,0.000564,1.885
,17,1745,27:54,1674,9.297,49,189.4,141.3,,0.830,1.549,1.738,0.109,0.610,,,,,,0.813,2.590,,2.552,1.549,1.738,0.0646,0.0360,0.0739,1.794,,14,0.004976,1.549,36,0.001645,1.679
,18,2094,28:57,1737,8.739,54,196.9,134.1,,0.863,1.456,1.608,0.094,0.643,,,,,,0.960,2.800,,2.299,1.456,1.608,0.0499,0.0428,0.0657,1.166,,22,0.005406,1.456,36,-0.000168,1.614
,19,2508,30:00,1800,8.902,58,109.9,126.5,,0.482,1.484,1.552,0.044,0.829,,,,,,1.031,2.901,,0.939,1.484,1.552,0.0467,0.0553,0.0724,0.845,,30,0.001440,1.484,36,-0.000749,1.579
,20,3000,31:03,1863,8.418,63,84.33,119.1,,0.370,1.403,1.443,0.028,0.884,,,,,,1.183,3.119,,0.580,1.403,1.443,0.0517,0.0471,0.0700,1.098,,13,0.005897,1.403,36,-0.000914,1.476
,21,0,32:06,1926,9.063,26,0.000000,0.000000,0.000000,0.000000,1.511,2.351,0.358,,0.207,0.0471,4.705,0.759,1437,0.340,1.915,,49.98,1.518,2.297,0.0123,0.009604,0.0156,1.278,,13,0.0255,1.518,36,0.000256,2.288
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,10.09,40,0.000000,0.000000,0.000000,0.000000,1.388,2.300,0.396,,0.285,0.0630,4.199,0.682,1552,0.137,1.501,,108.5,1.410,2.242,0.005566,0.005277,0.007669,1.055,,12,0.0324,1.410,36,-0.000048,2.244
,2,22,12:08,728,10.88,50,8.961,9.367,54.35,0.0320,1.488,2.511,0.407,0.033,0.281,0.0615,4.102,0.638,1872,0.041,1.374,,27.48,1.500,2.440,0.0263,0.0219,0.0342,1.197,,12,0.0386,1.500,36,-0.000556,2.460
,3,49,13:11,791,10.89,51,19.96,20.31,115.3,0.0713,1.526,2.575,0.407,0.047,0.241,0.0586,3.908,0.560,2000,0.016,1.340,,38.41,1.556,2.502,0.0172,0.0176,0.0246,0.981,,12,0.0360,1.556,36,0.000140,2.497
,4,81,14:14,854,11.53,53,32.07,32.54,204.6,0.114,1.561,2.584,0.396,0.075,0.284,0.0629,4.195,0.586,1808,0.012,1.336,,31.39,1.577,2.522,0.0227,0.0198,0.0301,1.149,,12,0.0380,1.577,36,0.000117,2.517
,5,118,15:17,917,11.62,54,46.19,45.74,294.5,0.165,1.566,2.573,0.391,0.084,0.177,0.0622,4.145,0.644,1680,0.016,1.341,,31.66,1.598,2.525,0.0219,0.0194,0.0293,1.130,,12,0.0383,1.598,36,0.000788,2.497
,6,163,16:20,980,12.18,54,58.28,60.53,376.6,0.208,1.651,2.570,0.358,0.162,0.254,0.0575,3.836,0.580,1680,0.018,1.343,,26.97,1.669,2.500,0.0238,0.0196,0.0308,1.211,,14,0.0318,1.669,36,-0.000469,2.516
,7,216,17:23,1043,12.29,55,77.40,76.32,509.5,0.276,1.678,2.615,0.358,0.169,0.309,0.0588,3.917,0.462,1808,0.000,1.320,,24.68,1.676,2.557,0.0254,0.0251,0.0357,1.014,,12,0.0349,1.676,36,0.000246,2.549
,8,279,18:26,1106,12.20,57,103.0,93.04,678.9,0.368,1.642,2.602,0.369,0.141,0.159,0.0606,4.041,0.662,1552,0.005,1.327,,25.18,1.687,2.533,0.0212,0.0261,0.0336,0.813,,12,0.0344,1.687,36,-0.000269,2.542
,9,353,19:29,1169,12.62,56,112.0,110.2,875.9,0.400,1.725,2.528,0.317,0.249,0.273,0.0618,4.120,0.445,1629,0.035,1.365,,24.52,1.726,2.479,0.0193,0.0239,0.0307,0.808,,13,0.0319,1.726,36,0.000216,2.471
,10,442,20:32,1232,12.70,56,121.5,127.7,933.4,0.434,1.806,2.490,0.275,0.344,0.305,0.0526,3.507,0.554,1488,0.050,1.386,,19.78,1.784,2.473,0.0234,0.0258,0.0348,0.910,,13,0.0255,1.784,36,0.000744,2.446
,11,547,21:36,1296,12.82,57,139.0,139.4,1335,0.496,1.792,2.402,0.254,0.381,0.327,0.0608,4.053,0.590,1411,0.089,1.437,,16.89,1.795,2.352,0.0155,0.0291,0.0329,0.531,,15,0.0217,1.795,36,-0.000383,2.365
,12,671,22:38,1358,12.83,56,157.1,142.8,1594,0.561,1.760,2.298,0.234,0.414,0.336,0.0592,3.945,0.394,1488,0.138,1.502,,13.20,1.749,2.263,0.0257,0.0292,0.0389,0.881,,12,0.0211,1.749,36,-0.000214,2.271
,13,819,23:42,1422,12.28,56,175.4,144.1,1850,0.626,1.680,2.137,0.214,0.440,0.251,0.0563,3.751,0.498,1603,0.223,1.615,,14.33,1.672,2.123,0.0212,0.0232,0.0315,0.914,,12,0.0181,1.672,36,0.000849,2.093
,14,995,24:45,1485,11.89,56,185.5,143.2,1947,0.662,1.592,1.957,0.186,0.485,0.162,0.0487,3.249,0.504,1360,0.336,1.764,,12.40,1.589,1.938,0.0185,0.0212,0.0281,0.874,,12,0.0129,1.589,36,0.000001,1.938
,15,1204,25:48,1548,10.70,55,148.6,140.1,,0.531,1.502,1.713,0.123,0.628,,,,,,0.526,2.015,,5.985,1.502,1.713,0.0266,0.0232,0.0353,1.148,,15,0.009789,1.502,36,-0.000397,1.727
,16,1451,26:51,1611,10.01,55,193.5,135.1,,0.691,1.338,1.544,0.133,0.569,,,,,,0.694,2.235,,5.509,1.338,1.544,0.0249,0.0279,0.0374,0.891,,12,0.009119,1.338,36,0.000373,1.531
,17,1745,27:54,1674,9.297,56,168.3,128.8,,0.601,1.258,1.392,0.096,0.664,,,,,,0.879,2.480,,3.540,1.258,1.392,0.0275,0.0261,0.0379,1.052,,14,0.006947,1.258,36,-0.000559,1.412
,18,2094,28:57,1737,8.739,61,76.05,122.1,,0.271,1.244,1.291,0.036,0.867,,,,,,1.025,2.673,,1.122,1.244,1.291,0.0309,0.0281,0.0418,1.100,,27,0.001589,1.244,36,-0.000877,1.323
,19,2508,30:00,1800,8.902,65,136.1,115.6,,0.486,1.170,1.237,0.054,0.794,,,,,,1.114,2.790,,1.842,1.170,1.237,0.0239,0.0275,0.0364,0.872,,12,0.005579,1.170,36,0.000579,1.216
,20,3000,31:03,1863,8.418,69,184.1,110.2,,0.657,1.149,1.225,0.061,0.766,,,,,,1.136,2.819,,1.674,1.149,1.225,0.0309,0.0326,0.0449,0.948,,15,0.002601,1.149,36,-0.000478,1.242
,21,0,32:06,1926,9.063,32,0.000000,0.000000,0.000000,0.000000,1.241,1.974,0.371,,0.240,0.0575,3.834,0.730,1360,0.325,1.748,,78.55,1.257,1.925,0.004313,0.007324,0.008500,0.589,,12,0.0252,1.257,36,-0.000078,1.928
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,10.09,41,0.000000,0.000000,0.000000,0.000000,1.212,1.997,0.393,,0.281,0.0605,3.360,0.667,1629,0.114,1.406,,118.6,1.232,1.945,0.003720,0.004719,0.006009,0.788,,12,0.0268,1.232,36,-0.000058,1.947
,2,22,12:08,728,10.88,52,8.785,9.064,42.60,0.0276,1.297,2.160,0.399,0.082,0.287,0.0579,3.215,0.528,1808,0.030,1.300,,28.13,1.319,2.105,0.0170,0.0222,0.0279,0.763,,12,0.0284,1.319,36,0.000204,2.097
,3,49,13:11,791,10.89,53,19.36,19.70,93.68,0.0609,1.327,2.194,0.395,0.100,0.203,0.0571,3.175,0.633,1757,0.014,1.279,,31.58,1.353,2.146,0.0135,0.0212,0.0251,0.637,,12,0.0293,1.353,36,0.000396,2.131
,4,81,14:14,854,11.53,54,31.69,31.64,155.5,0.0997,1.346,2.211,0.391,0.112,0.279,0.0574,3.187,0.602,1872,0.006,1.269,,39.61,1.360,2.154,0.0108,0.0169,0.0200,0.639,,13,0.0298,1.360,36,0.000032,2.153
,5,118,15:17,917,11.62,55,44.60,44.60,228.5,0.140,1.371,2.204,0.378,0.141,0.244,0.0579,3.215,0.586,1808,0.009,1.274,,34.15,1.392,2.154,0.0135,0.0178,0.0223,0.758,,12,0.0287,1.392,36,0.000577,2.133
,6,163,16:20,980,12.18,55,59.36,59.22,334.4,0.187,1.390,2.187,0.364,0.168,0.257,0.0613,3.407,0.554,1680,0.017,1.283,,31.04,1.412,2.132,0.0133,0.0190,0.0232,0.699,,12,0.0278,1.412,36,-0.000198,2.139
,7,216,17:23,1043,12.29,57,79.93,74.96,414.0,0.252,1.401,2.224,0.370,0.163,0.189,0.0573,3.183,0.606,1808,0.000,1.262,,29.98,1.415,2.164,0.0146,0.0203,0.0250,0.719,,12,0.0296,1.415,36,-0.000227,2.172
,8,279,18:26,1106,12.20,57,93.89,91.79,532.0,0.295,1.458,2.198,0.337,0.234,0.289,0.0570,3.166,0.565,1821,0.012,1.277,,26.03,1.443,2.154,0.0202,0.0184,0.0273,1.100,,12,0.0296,1.443,36,0.000435,2.138
,9,353,19:29,1169,12.62,57,113.5,109.2,717.8,0.357,1.461,2.153,0.321,0.260,0.122,0.0608,3.377,0.639,1437,0.033,1.303,,19.99,1.502,2.096,0.0181,0.0236,0.0297,0.769,,12,0.0236,1.502,36,-0.000296,2.106
,10,442,20:32,1232,12.70,57,129.2,127.3,799.3,0.407,1.489,2.105,0.292,0.318,0.089,0.0541,3.003,0.615,1437,0.057,1.334,,22.33,1.508,2.059,0.0138,0.0205,0.0247,0.672,,12,0.0214,1.508,36,-0.000451,2.076
