File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,19:09:44
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.393,0.421,0.402,0.411
Ek:,628.1,552.0,541.0,560.3
Pm:,156.2,146.9,166.5,145.6
Em:,,,1321,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.241,0.288,0.145,0.307
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.925,33,0.000000,0.000000,0.000000,0.000000,1.654,2.682,0.383,,0.270,0.0525,5.253,0.675,1603,0.156,1.778,,103.0,1.687,2.618,0.005711,0.007014,0.009045,0.814,,14,0.0305,1.687,36,0.000281,2.608
,2,22,12:08,728,11.02,42,8.470,8.503,66.35,0.0373,1.837,2.988,0.385,0.001,0.273,0.0501,5.008,0.597,1923,0.038,1.596,,27.99,1.860,2.923,0.0229,0.0303,0.0380,0.757,,18,0.0333,1.860,36,0.000687,2.898
,3,49,13:11,791,11.58,42,17.56,18.54,153.5,0.0773,1.930,3.009,0.358,0.074,0.368,0.0520,5.200,0.579,2051,0.031,1.585,,28.48,1.907,2.975,0.0250,0.0280,0.0375,0.892,,18,0.0350,1.907,36,0.001023,2.938
,4,81,14:14,854,11.79,44,28.70,29.89,255.4,0.126,1.966,3.044,0.354,0.091,0.350,0.0524,5.236,0.482,1872,0.019,1.566,,30.20,1.963,3.018,0.0151,0.0315,0.0349,0.481,,13,0.0337,1.963,36,0.001408,2.967
,5,118,15:17,917,11.91,45,42.18,42.31,366.7,0.186,1.985,3.090,0.357,0.091,0.326,0.0516,5.160,0.534,1872,0.003,1.543,,24.76,1.971,3.030,0.0280,0.0323,0.0428,0.867,,14,0.0359,1.971,36,0.000215,3.022
,6,163,16:21,981,12.12,45,56.56,56.46,513.4,0.249,2.020,3.093,0.347,0.118,0.300,0.0523,5.230,0.606,1552,0.003,1.541,,30.06,2.035,3.039,0.0190,0.0275,0.0334,0.693,,12,0.0329,2.035,36,0.000361,3.026
,7,216,17:24,1044,12.05,47,76.04,71.88,622.4,0.335,2.009,3.101,0.352,0.107,0.056,0.0478,4.785,0.630,1680,0.000,1.538,,27.10,2.030,3.069,0.0267,0.0275,0.0384,0.971,,12,0.0373,2.030,36,0.002514,2.979
,8,279,18:27,1107,12.06,46,97.53,88.60,877.7,0.429,2.010,3.090,0.350,0.111,0.098,0.0522,5.224,0.675,1437,0.003,1.543,,23.25,2.053,3.015,0.0261,0.0321,0.0414,0.814,,12,0.0365,2.053,36,0.000164,3.009
,9,353,19:30,1170,12.62,48,108.4,106.2,1111,0.477,2.103,3.036,0.307,0.211,0.266,0.0523,5.225,0.607,1603,0.021,1.570,,26.04,2.112,3.012,0.0242,0.0247,0.0346,0.978,,12,0.0310,2.112,36,0.001468,2.959
,10,442,20:33,1233,12.88,48,130.9,124.8,1262,0.576,2.146,3.049,0.296,0.241,0.248,0.0474,4.743,0.558,1501,0.017,1.563,,20.04,2.161,3.003,0.0301,0.0293,0.0420,1.030,,12,0.0268,2.161,36,0.000760,2.976
,11,547,21:36,1296,13.37,49,139.4,143.6,1737,0.614,2.229,2.992,0.255,0.339,0.215,0.0527,5.274,0.566,1232,0.036,1.593,,16.28,2.244,2.941,0.0311,0.0294,0.0428,1.060,,12,0.0250,2.244,36,-0.000182,2.947
,12,671,22:39,1359,13.49,50,154.5,155.1,1979,0.680,2.248,2.920,0.230,0.394,0.325,0.0490,4.898,0.534,1437,0.062,1.632,,13.01,2.220,2.842,0.0314,0.0361,0.0478,0.870,,20,0.0207,2.220,36,-0.001390,2.892
,13,819,23:42,1422,13.26,51,166.6,151.2,2549,0.733,2.210,2.774,0.203,0.447,0.271,0.0517,5.168,0.867,1283,0.118,1.718,,11.33,2.194,2.734,0.0337,0.0337,0.0477,1.001,,12,0.0222,2.194,36,-0.000161,2.740
,14,995,24:45,1485,12.91,52,153.8,146.6,2199,0.677,2.152,2.545,0.155,0.556,0.130,0.0367,3.669,0.526,1040,0.218,1.873,,8.126,2.125,2.511,0.0362,0.0307,0.0475,1.182,,15,0.0126,2.125,36,0.000030,2.510
,15,1204,25:48,1548,12.08,51,132.5,141.4,,0.583,2.013,2.262,0.110,0.658,,,,,,0.371,2.108,,4.449,2.013,2.262,0.0366,0.0423,0.0559,0.866,,15,0.0123,2.013,36,-0.000346,2.274
,16,1451,26:51,1611,10.34,51,227.9,136.0,,1.003,1.723,2.044,0.157,0.477,,,,,,0.517,2.332,,5.431,1.723,2.044,0.0413,0.0423,0.0591,0.976,,12,0.0115,1.723,36,0.001987,1.973
,17,1745,27:54,1674,9.950,53,164.8,130.6,,0.725,1.658,1.831,0.094,0.660,,,,,,0.693,2.603,,2.614,1.658,1.831,0.0343,0.0565,0.0661,0.607,,12,0.009033,1.658,36,-0.001156,1.873
,18,2094,28:58,1738,9.486,58,68.71,125.6,,0.302,1.581,1.635,0.033,0.871,,,,,,0.897,2.916,,0.745,1.581,1.635,0.0549,0.0466,0.0720,1.178,,12,0.008494,1.581,36,0.000044,1.633
,19,2508,30:00,1800,8.930,63,180.7,121.4,,0.795,1.488,1.604,0.072,0.714,,,,,,0.933,2.972,,1.809,1.488,1.604,0.0467,0.0435,0.0639,1.074,,36,0.002327,1.488,36,-0.000775,1.632
,20,3000,31:03,1863,8.740,67,161.8,118.2,,0.712,1.457,1.540,0.054,0.779,,,,,,1.014,3.096,,1.231,1.457,1.540,0.0366,0.0567,0.0675,0.645,,12,0.003093,1.457,36,0.000812,1.511
,21,0,32:06,1926,9.594,28,0.000000,0.000000,0.000000,0.000000,1.599,2.530,0.368,,0.201,0.0504,5.044,0.705,1309,0.226,1.884,,61.95,1.624,2.467,0.007571,0.0113,0.0136,0.670,,13,0.0283,1.624,36,0.000211,2.460
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.925,39,0.000000,0.000000,0.000000,0.000000,1.365,2.257,0.395,,0.277,0.0633,4.218,0.709,1501,0.158,1.569,,117.1,1.397,2.184,0.004719,0.004781,0.006718,0.987,,12,0.0311,1.397,36,-0.000291,2.195
,2,22,12:08,728,11.02,50,8.587,9.083,53.69,0.0302,1.524,2.500,0.390,0.057,0.277,0.0608,4.053,0.699,1757,0.045,1.416,,35.59,1.544,2.428,0.0152,0.0197,0.0248,0.769,,15,0.0344,1.544,36,-0.000204,2.435
,3,49,13:11,791,11.58,52,19.20,19.75,122.2,0.0676,1.545,2.541,0.392,0.062,0.280,0.0621,4.140,0.641,1923,0.029,1.393,,33.65,1.569,2.471,0.0185,0.0194,0.0268,0.952,,12,0.0356,1.569,36,-0.000142,2.476
,4,81,14:14,854,11.79,52,31.56,31.73,210.1,0.111,1.574,2.579,0.390,0.076,0.289,0.0646,4.306,0.584,1872,0.013,1.373,,30.95,1.610,2.496,0.0204,0.0201,0.0286,1.016,,12,0.0353,1.610,36,-0.000405,2.511
,5,118,15:17,917,11.91,54,42.96,44.74,284.0,0.151,1.651,2.596,0.364,0.139,0.315,0.0599,3.997,0.593,1731,0.007,1.364,,28.40,1.646,2.549,0.0219,0.0231,0.0318,0.951,,12,0.0360,1.646,36,0.000606,2.527
,6,163,16:21,981,12.12,55,61.12,59.44,385.5,0.215,1.633,2.613,0.375,0.117,0.134,0.0589,3.927,0.715,1501,0.000,1.355,,32.69,1.665,2.540,0.0149,0.0222,0.0268,0.668,,12,0.0354,1.665,36,-0.000301,2.551
,7,216,17:24,1044,12.05,56,80.84,75.28,506.6,0.285,1.633,2.610,0.374,0.118,0.055,0.0584,3.895,0.639,1501,0.001,1.356,,28.99,1.673,2.548,0.0217,0.0210,0.0302,1.036,,12,0.0367,1.673,36,0.000565,2.528
,8,279,18:27,1107,12.06,55,90.86,92.23,687.1,0.320,1.718,2.547,0.326,0.222,0.166,0.0613,4.090,0.664,1360,0.026,1.390,,23.03,1.748,2.485,0.0209,0.0242,0.0320,0.865,,13,0.0310,1.748,36,-0.000593,2.507
,9,353,19:30,1170,12.62,57,110.2,109.8,890.5,0.388,1.744,2.536,0.312,0.252,0.266,0.0628,4.189,0.562,1488,0.031,1.396,,19.60,1.755,2.486,0.0277,0.0249,0.0373,1.111,,13,0.0300,1.755,36,-0.000037,2.487
,10,442,20:33,1233,12.88,58,136.2,128.1,1053,0.480,1.759,2.543,0.308,0.263,0.092,0.0594,3.958,0.618,1437,0.028,1.392,,23.23,1.781,2.485,0.0174,0.0248,0.0303,0.699,,15,0.0291,1.781,36,0.000299,2.474
,11,547,21:36,1296,13.37,58,143.8,146.2,1317,0.506,1.831,2.484,0.263,0.363,0.199,0.0600,3.998,0.568,1488,0.052,1.425,,18.04,1.840,2.464,0.0256,0.0232,0.0346,1.104,,12,0.0252,1.840,36,0.000932,2.431
,12,671,22:39,1359,13.49,60,149.5,143.8,1657,0.526,1.877,2.416,0.223,0.451,0.293,0.0615,4.101,0.602,1437,0.082,1.465,,21.31,1.861,2.402,0.0156,0.0201,0.0254,0.776,,13,0.0221,1.861,36,0.000860,2.371
,13,819,23:42,1422,13.26,60,170.9,139.8,1938,0.602,1.827,2.308,0.209,0.471,0.119,0.0590,3.930,0.519,1283,0.132,1.533,,13.77,1.840,2.287,0.0219,0.0239,0.0324,0.918,,12,0.0177,1.840,36,0.000287,2.277
,14,995,24:45,1485,12.91,59,194.4,135.1,2252,0.685,1.716,2.132,0.195,0.480,0.152,0.0564,3.758,0.490,1680,0.225,1.660,,9.635,1.721,2.115,0.0292,0.0286,0.0409,1.021,,12,0.0160,1.721,36,0.000447,2.099
,15,1204,25:48,1548,12.08,59,171.0,130.0,2967,0.602,1.626,1.896,0.142,0.593,0.023,0.0614,4.092,0.880,835.2,0.379,1.867,,7.016,1.639,1.889,0.0268,0.0234,0.0355,1.145,,14,0.0104,1.639,36,0.000317,1.877
,16,1451,26:51,1611,10.34,59,220.3,124.8,2563,0.776,1.456,1.716,0.152,0.535,0.031,0.0440,2.933,0.846,1603,0.523,2.063,,8.307,1.444,1.753,0.0288,0.0235,0.0372,1.225,,14,0.0112,1.444,36,0.002377,1.668
,17,1745,27:54,1674,9.950,57,124.2,119.8,,0.437,1.412,1.521,0.071,0.763,,,,,,0.718,2.328,,2.886,1.412,1.521,0.0235,0.0292,0.0375,0.804,,24,0.004065,1.412,36,-0.000876,1.552
,18,2094,28:58,1738,9.486,62,80.23,115.5,,0.283,1.348,1.401,0.038,0.865,,,,,,0.865,2.526,,1.292,1.348,1.401,0.0219,0.0353,0.0416,0.622,,16,0.003539,1.348,36,-0.001356,1.450
