File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,20:23:19
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.411,0.435,0.414,0.442
Ek:,603.1,498.9,552.5,482.6
Pm:,156.7,161.3,144.7,155.1
Em:,,1145,,1146
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.116,0.124,0.581,0.232
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.342,33,0.000000,0.000000,0.000000,0.000000,1.557,2.573,0.395,,0.284,0.0542,5.425,0.686,1680,0.165,1.591,,97.56,1.579,2.510,0.005738,0.007629,0.009546,0.752,,12,0.0326,1.579,36,0.000135,2.505
,2,22,12:09,729,10.42,40,8.528,8.880,69.80,0.0343,1.737,2.836,0.388,0.053,0.276,0.0527,5.269,0.625,1821,0.057,1.443,,25.77,1.749,2.764,0.0247,0.0307,0.0394,0.803,,15,0.0354,1.749,36,0.000196,2.757
,3,49,13:12,792,10.40,41,19.57,19.35,160.4,0.0787,1.734,2.886,0.399,0.034,0.290,0.0544,5.436,0.566,2000,0.039,1.418,,26.57,1.758,2.828,0.0286,0.0284,0.0403,1.009,,12,0.0372,1.758,36,0.000064,2.825
,4,81,14:14,854,10.94,41,30.43,31.16,241.9,0.122,1.824,2.921,0.376,0.098,0.354,0.0496,4.958,0.530,2320,0.026,1.401,,29.83,1.811,2.887,0.0184,0.0310,0.0361,0.593,,18,0.0336,1.811,36,0.001228,2.843
,5,118,15:17,917,11.11,43,45.04,44.05,366.2,0.181,1.852,2.996,0.382,0.097,0.247,0.0515,5.154,0.563,1731,0.001,1.366,,30.91,1.871,2.923,0.0243,0.0238,0.0340,1.023,,13,0.0368,1.871,36,-0.000116,2.927
,6,163,16:21,981,11.41,44,58.67,58.71,554.1,0.236,1.901,2.970,0.360,0.144,0.256,0.0564,5.645,0.496,1552,0.009,1.378,,21.49,1.938,2.894,0.0332,0.0296,0.0445,1.121,,15,0.0331,1.938,36,-0.000638,2.917
,7,216,17:24,1044,11.86,46,73.57,74.63,691.6,0.296,1.977,2.998,0.341,0.194,0.301,0.0532,5.317,0.568,1488,0.000,1.365,,27.51,1.974,2.949,0.0218,0.0280,0.0354,0.778,,17,0.0335,1.974,36,0.000555,2.929
,8,279,18:27,1107,11.68,45,97.69,91.82,910.0,0.393,1.947,2.996,0.350,0.172,0.180,0.0542,5.416,0.606,1552,0.000,1.366,,20.12,1.957,2.920,0.0341,0.0337,0.0479,1.012,,12,0.0378,1.957,36,-0.000150,2.926
,9,353,19:30,1170,12.18,46,105.6,109.8,1082,0.425,2.031,2.897,0.299,0.278,0.328,0.0509,5.090,0.426,1680,0.035,1.413,,18.34,1.999,2.842,0.0359,0.0287,0.0460,1.251,,13,0.0310,1.999,36,-0.000187,2.849
,10,442,20:33,1233,12.47,47,122.0,128.8,1497,0.490,2.079,2.872,0.276,0.331,0.234,0.0562,5.623,0.570,1360,0.044,1.425,,18.47,2.085,2.815,0.0349,0.0184,0.0395,1.900,,18,0.0280,2.085,36,-0.000202,2.822
,11,547,21:36,1296,12.49,48,140.5,147.8,1680,0.565,2.082,2.802,0.257,0.368,0.286,0.0510,5.099,0.493,1757,0.070,1.461,,16.70,2.066,2.780,0.0279,0.0323,0.0427,0.863,,13,0.0268,2.066,36,0.000893,2.748
,12,671,22:39,1359,12.43,50,151.6,162.5,2272,0.609,2.071,2.676,0.226,0.428,0.262,0.0562,5.622,0.578,1309,0.120,1.530,,10.75,2.055,2.658,0.0444,0.0343,0.0561,1.292,,12,0.0248,2.055,36,0.000780,2.630
,13,819,23:42,1422,11.67,48,173.4,180.0,2665,0.697,1.945,2.468,0.212,0.437,0.272,0.0540,5.404,0.512,1411,0.215,1.658,,8.977,1.948,2.414,0.0388,0.0345,0.0519,1.125,,15,0.0191,1.948,36,-0.001218,2.458
,14,995,24:45,1485,11.00,48,189.6,196.2,3464,0.762,1.833,2.265,0.191,0.465,0.182,0.0578,5.781,0.520,1117,0.324,1.807,,6.509,1.857,2.235,0.0386,0.0434,0.0581,0.890,,13,0.0140,1.857,36,0.000087,2.232
,15,1204,25:48,1548,10.26,49,281.0,210.1,930.4,1.130,1.711,2.231,0.233,0.339,0.030,0.0128,1.283,0.750,8413,0.344,1.834,,9.189,1.676,2.084,0.0270,0.0353,0.0445,0.763,,18,0.009137,1.676,36,0.002183,2.006
,16,1451,26:51,1611,9.368,51,203.4,221.4,,0.818,1.561,1.816,0.140,0.544,,,,,,0.651,2.254,,4.290,1.561,1.816,0.0504,0.0313,0.0593,1.613,,14,0.009568,1.561,36,0.002558,1.724
,17,1745,27:54,1674,8.686,51,207.5,230.0,,0.834,1.448,1.643,0.119,0.585,,,,,,0.825,2.491,,3.217,1.448,1.643,0.0379,0.0474,0.0607,0.799,,12,0.005273,1.448,36,0.002138,1.566
,18,2094,28:57,1737,8.281,57,228.8,236.1,,0.920,1.380,1.549,0.109,0.602,,,,,,0.935,2.641,,2.671,1.380,1.549,0.0340,0.0535,0.0634,0.635,,12,0.008975,1.380,36,0.002123,1.473
,19,2508,30:00,1800,7.875,63,232.6,239.9,,0.935,1.312,1.447,0.093,0.645,,,,,,1.072,2.829,,1.959,1.312,1.447,0.0457,0.0510,0.0685,0.895,,15,0.002598,1.312,36,0.001493,1.393
,20,3000,31:03,1863,7.578,70,393.8,242.1,,1.583,1.263,1.454,0.131,0.499,,,,,,1.062,2.815,,2.427,1.263,1.454,0.0619,0.0484,0.0786,1.280,,12,0.009091,1.263,36,0.001421,1.403
,21,0,32:06,1926,8.626,26,0.000000,0.000000,0.000000,0.000000,1.438,2.284,0.370,,0.240,0.0506,5.060,0.699,1411,0.313,1.792,,55.67,1.458,2.240,0.009849,0.0100,0.0140,0.984,,16,0.0252,1.458,36,0.000158,2.235
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.342,39,0.000000,0.000000,0.000000,0.000000,1.286,2.152,0.402,,0.340,0.0664,4.425,0.685,1629,0.167,1.572,,104.1,1.308,2.083,0.005299,0.005238,0.007451,1.012,,12,0.0314,1.308,36,-0.000215,2.091
,2,22,12:09,729,10.42,47,8.863,9.355,54.57,0.0289,1.424,2.384,0.403,0.026,0.264,0.0618,4.119,0.697,1923,0.053,1.418,,35.33,1.447,2.311,0.0169,0.0177,0.0245,0.951,,12,0.0349,1.447,36,-0.000192,2.318
,3,49,13:12,792,10.40,49,19.84,20.29,126.3,0.0647,1.434,2.410,0.405,0.027,0.231,0.0642,4.280,0.612,1808,0.042,1.404,,31.26,1.461,2.348,0.0211,0.0190,0.0284,1.115,,12,0.0366,1.461,36,-0.000088,2.351
,4,81,14:14,854,10.94,50,32.76,32.50,207.4,0.107,1.462,2.455,0.404,0.038,0.264,0.0638,4.253,0.598,1808,0.022,1.378,,32.08,1.501,2.382,0.0182,0.0206,0.0275,0.884,,15,0.0344,1.501,36,0.000040,2.381
,5,118,15:17,917,11.11,52,44.87,45.68,287.5,0.146,1.543,2.490,0.380,0.103,0.251,0.0607,4.046,0.644,1680,0.008,1.358,,25.74,1.569,2.427,0.0214,0.0256,0.0333,0.835,,12,0.0336,1.569,36,-0.000126,2.431
,6,163,16:21,981,11.41,52,60.59,60.44,373.8,0.197,1.577,2.510,0.372,0.127,0.216,0.0571,3.809,0.654,1680,0.000,1.347,,29.53,1.603,2.447,0.0171,0.0229,0.0286,0.747,,14,0.0315,1.603,36,-0.000199,2.454
,7,216,17:24,1044,11.86,54,75.87,76.20,539.4,0.247,1.620,2.497,0.351,0.173,0.307,0.0622,4.147,0.564,1680,0.005,1.354,,29.96,1.620,2.457,0.0187,0.0208,0.0279,0.898,,12,0.0342,1.620,36,0.000744,2.430
,8,279,18:27,1107,11.68,53,97.89,92.89,700.7,0.319,1.604,2.472,0.351,0.169,0.111,0.0626,4.170,0.583,1411,0.015,1.368,,19.00,1.650,2.407,0.0291,0.0272,0.0398,1.072,,14,0.0315,1.650,36,-0.000116,2.411
,9,353,19:30,1170,12.18,55,116.4,110.0,838.9,0.379,1.635,2.439,0.330,0.213,0.281,0.0592,3.946,0.502,1872,0.029,1.387,,22.35,1.632,2.397,0.0193,0.0282,0.0342,0.684,,12,0.0307,1.632,36,0.000367,2.383
,10,442,20:33,1233,12.47,55,126.0,127.4,1140,0.411,1.714,2.397,0.285,0.313,0.243,0.0643,4.284,0.536,1411,0.047,1.411,,21.24,1.718,2.364,0.0188,0.0239,0.0304,0.789,,12,0.0279,1.718,36,0.000560,2.344
,11,547,21:36,1296,12.49,56,142.8,141.5,1335,0.465,1.726,2.335,0.261,0.361,0.274,0.0608,4.052,0.515,1731,0.075,1.448,,14.35,1.725,2.286,0.0288,0.0265,0.0391,1.087,,12,0.0242,1.725,36,-0.000342,2.298
,12,671,22:39,1359,12.43,57,150.1,150.2,1695,0.489,1.718,2.214,0.224,0.435,0.195,0.0629,4.195,0.588,1283,0.134,1.528,,13.06,1.723,2.192,0.0243,0.0265,0.0360,0.915,,12,0.0198,1.723,36,0.000178,2.186
,13,819,23:42,1422,11.67,56,163.3,156.7,2005,0.532,1.630,2.036,0.199,0.469,0.206,0.0610,4.066,0.489,1437,0.233,1.661,,10.61,1.619,2.008,0.0211,0.0300,0.0367,0.703,,13,0.0183,1.619,36,-0.000146,2.013
,14,995,24:45,1485,11.00,55,187.5,160.5,2219,0.611,1.525,1.880,0.188,0.472,0.186,0.0555,3.703,0.722,1232,0.335,1.799,,8.472,1.537,1.844,0.0263,0.0249,0.0362,1.055,,17,0.0117,1.537,36,-0.000794,1.873
,15,1204,25:48,1548,10.26,55,166.6,161.2,,0.543,1.396,1.620,0.138,0.573,,,,,,0.549,2.087,,5.694,1.396,1.620,0.0257,0.0298,0.0394,0.863,,12,0.0129,1.396,36,-0.000486,1.638
