File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,21:00:06
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.417,0.420,0.403,0.437
Ek:,503.1,545.6,559.8,475.7
Pm:,132.6,187.9,144.5,131.3
Em:,,1814,754.4,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.344,0.080,0.258,0.149
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.192,32,0.000000,0.000000,0.000000,0.000000,1.532,2.522,0.393,,0.279,0.0559,5.593,0.685,1603,0.151,1.499,,102.7,1.559,2.464,0.005955,0.006499,0.008814,0.916,,16,0.0312,1.559,36,0.000132,2.460
,2,22,12:08,728,10.41,39,8.009,8.973,70.81,0.0319,1.735,2.728,0.364,0.131,0.399,0.0534,5.345,0.538,2128,0.064,1.387,,34.48,1.734,2.696,0.0134,0.0245,0.0279,0.546,,12,0.0309,1.734,36,0.000660,2.673
,3,49,13:11,791,10.38,40,19.22,19.46,147.4,0.0765,1.729,2.846,0.392,0.086,0.282,0.0500,4.996,0.578,2192,0.020,1.329,,25.98,1.754,2.781,0.0209,0.0335,0.0395,0.625,,12,0.0330,1.754,36,0.000409,2.766
,4,81,14:14,854,10.75,41,30.30,31.19,255.7,0.121,1.792,2.864,0.374,0.132,0.244,0.0524,5.243,0.568,1808,0.014,1.321,,30.27,1.806,2.799,0.0177,0.0277,0.0328,0.640,,15,0.0342,1.806,36,0.000608,2.777
,5,118,15:18,918,10.69,43,45.24,43.85,382.6,0.180,1.781,2.889,0.383,0.115,0.224,0.0538,5.385,0.579,1757,0.005,1.309,,28.26,1.825,2.834,0.0256,0.0249,0.0357,1.025,,12,0.0354,1.825,36,0.000502,2.816
,6,163,16:21,981,11.13,43,58.89,58.04,524.9,0.234,1.854,2.903,0.361,0.168,0.316,0.0535,5.347,0.581,1949,0.000,1.303,,24.57,1.858,2.850,0.0268,0.0303,0.0404,0.884,,16,0.0338,1.858,36,0.000612,2.828
,7,216,17:23,1043,11.52,44,72.05,73.20,712.1,0.287,1.920,2.881,0.334,0.228,0.338,0.0547,5.475,0.458,1757,0.008,1.313,,25.77,1.919,2.847,0.0236,0.0272,0.0360,0.870,,12,0.0321,1.919,36,0.000779,2.819
,8,279,18:26,1106,11.75,45,87.93,89.27,928.2,0.350,1.959,2.860,0.315,0.268,0.279,0.0552,5.524,0.526,1501,0.015,1.322,,16.90,1.927,2.807,0.0334,0.0399,0.0521,0.838,,12,0.0382,1.927,36,-0.000099,2.811
,9,353,19:30,1170,11.87,46,111.4,105.7,1084,0.443,1.979,2.892,0.316,0.271,0.321,0.0510,5.097,0.486,1808,0.004,1.308,,22.22,1.961,2.862,0.0326,0.0241,0.0406,1.354,,12,0.0324,1.961,36,0.000828,2.832
,10,442,20:33,1233,12.31,47,124.5,122.6,1350,0.495,2.051,2.855,0.282,0.345,0.239,0.0507,5.070,0.525,1821,0.017,1.325,,16.59,2.035,2.808,0.0263,0.0385,0.0466,0.683,,14,0.0287,2.035,36,-0.000103,2.812
,11,547,21:36,1296,12.61,48,138.1,131.4,1837,0.549,2.101,2.811,0.252,0.408,0.345,0.0558,5.578,0.517,1629,0.033,1.345,,16.31,2.101,2.765,0.0276,0.0300,0.0407,0.920,,12,0.0245,2.101,36,0.000520,2.746
,12,671,22:39,1359,12.36,50,156.6,127.9,2196,0.623,2.060,2.687,0.233,0.438,0.230,0.0544,5.436,0.341,1437,0.081,1.408,,10.71,2.059,2.650,0.0401,0.0379,0.0552,1.057,,16,0.0226,2.059,36,-0.000078,2.653
,13,819,23:42,1422,12.11,50,158.5,123.9,3070,0.631,2.018,2.502,0.194,0.514,0.284,0.0623,6.225,0.281,1232,0.160,1.512,,7.967,2.019,2.496,0.0405,0.0441,0.0599,0.919,,12,0.0185,2.019,36,0.000871,2.465
,14,995,24:45,1485,11.28,50,180.7,119.3,2843,0.719,1.880,2.298,0.182,0.519,0.044,0.0475,4.745,0.605,1821,0.264,1.646,,7.509,1.889,2.278,0.0263,0.0445,0.0517,0.590,,12,0.0146,1.889,36,0.000403,2.263
,15,1204,25:48,1548,10.41,51,151.9,114.5,,0.604,1.735,1.985,0.126,0.634,,,,,,0.462,1.905,,4.947,1.735,1.985,0.0309,0.0401,0.0506,0.769,,20,0.0113,1.735,36,-0.000043,1.987
,16,1451,26:51,1611,10.15,52,83.94,109.9,,0.334,1.691,1.795,0.058,0.820,,,,,,0.618,2.107,,1.929,1.691,1.795,0.0385,0.0376,0.0538,1.024,,12,0.006660,1.691,36,0.001014,1.758
,17,1745,27:54,1674,8.995,56,171.6,105.8,,0.683,1.499,1.663,0.098,0.678,,,,,,0.746,2.275,,2.986,1.499,1.663,0.0353,0.0419,0.0548,0.842,,29,0.003934,1.499,36,0.001085,1.624
,18,2094,28:57,1737,8.793,59,47.73,102.4,,0.190,1.466,1.500,0.023,0.920,,,,,,0.936,2.522,,0.546,1.466,1.500,0.0471,0.0412,0.0626,1.143,,12,0.003979,1.466,36,0.001440,1.448
,19,2508,30:00,1800,7.869,66,228.4,99.86,,0.909,1.312,1.443,0.091,0.670,,,,,,1.012,2.621,,1.970,1.312,1.443,0.0426,0.0514,0.0667,0.829,,18,0.005000,1.312,36,0.000561,1.423
,20,3000,31:03,1863,8.122,71,74.75,98.23,,0.297,1.354,1.388,0.025,0.907,,,,,,1.091,2.724,,0.489,1.354,1.388,0.0564,0.0426,0.0707,1.323,,12,0.000602,1.354,36,-0.000236,1.397
,21,0,32:07,1927,8.760,26,0.000000,0.000000,0.000000,0.000000,1.460,2.348,0.378,,0.250,0.0531,5.307,0.730,1309,0.236,1.610,,71.49,1.484,2.288,0.005395,0.009864,0.0112,0.547,,12,0.0277,1.484,36,-0.000058,2.290
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.192,39,0.000000,0.000000,0.000000,0.000000,1.269,2.114,0.400,,0.317,0.0654,4.359,0.698,1629,0.146,1.486,,90.71,1.289,2.048,0.006702,0.004997,0.008360,1.341,,12,0.0308,1.289,36,-0.000146,2.053
,2,22,12:08,728,10.41,46,8.145,9.056,54.91,0.0264,1.442,2.290,0.370,0.122,0.416,0.0622,4.144,0.597,2077,0.058,1.371,,26.84,1.431,2.235,0.0212,0.0211,0.0300,1.004,,16,0.0306,1.431,36,-0.000106,2.239
,3,49,13:11,791,10.38,49,19.15,19.68,125.3,0.0620,1.438,2.360,0.391,0.089,0.344,0.0637,4.247,0.553,2051,0.027,1.331,,29.50,1.456,2.275,0.0159,0.0228,0.0278,0.697,,14,0.0325,1.456,36,-0.000960,2.309
,4,81,14:14,854,10.75,50,30.47,31.61,200.6,0.0987,1.481,2.373,0.376,0.126,0.329,0.0617,4.113,0.541,1949,0.021,1.323,,30.29,1.476,2.341,0.0193,0.0210,0.0285,0.918,,12,0.0335,1.476,36,0.000745,2.314
,5,118,15:18,918,10.69,50,43.91,44.57,309.0,0.142,1.506,2.399,0.372,0.141,0.328,0.0652,4.348,0.592,1808,0.010,1.309,,43.78,1.531,2.335,0.0123,0.0136,0.0184,0.902,,12,0.0322,1.531,36,-0.000257,2.344
,6,163,16:21,981,11.13,51,62.10,59.18,402.2,0.201,1.500,2.423,0.381,0.125,0.198,0.0615,4.097,0.544,1680,0.000,1.296,,28.32,1.526,2.356,0.0203,0.0212,0.0293,0.961,,13,0.0349,1.526,36,0.000004,2.356
,7,216,17:23,1043,11.52,51,79.29,74.91,564.8,0.257,1.529,2.416,0.367,0.156,0.262,0.0651,4.342,0.573,1731,0.003,1.300,,22.13,1.580,2.347,0.0247,0.0243,0.0347,1.017,,13,0.0311,1.580,36,-0.000422,2.362
,8,279,18:26,1106,11.75,53,93.87,91.73,727.3,0.304,1.599,2.410,0.336,0.225,0.237,0.0649,4.329,0.628,1552,0.006,1.303,,24.36,1.625,2.338,0.0199,0.0215,0.0293,0.929,,14,0.0295,1.625,36,-0.000688,2.363
,9,353,19:30,1170,11.87,55,111.8,109.2,824.8,0.362,1.653,2.419,0.317,0.272,0.270,0.0582,3.880,0.577,1629,0.002,1.298,,25.65,1.646,2.378,0.0166,0.0233,0.0286,0.713,,15,0.0283,1.646,36,0.000672,2.354
,10,442,20:33,1233,12.31,55,120.9,127.2,1080,0.392,1.726,2.376,0.274,0.365,0.357,0.0609,4.059,0.585,1603,0.020,1.321,,16.79,1.718,2.336,0.0238,0.0280,0.0368,0.849,,13,0.0237,1.718,36,-0.000338,2.348
,11,547,21:36,1296,12.61,56,139.5,145.0,1412,0.452,1.740,2.335,0.255,0.402,0.363,0.0643,4.286,0.472,1552,0.038,1.345,,17.24,1.719,2.277,0.0217,0.0240,0.0324,0.902,,12,0.0251,1.719,36,-0.000674,2.301
,12,671,22:39,1359,12.36,57,165.8,157.2,1701,0.537,1.684,2.236,0.247,0.406,0.214,0.0631,4.209,0.412,1437,0.084,1.404,,15.16,1.679,2.197,0.0215,0.0265,0.0342,0.812,,12,0.0250,1.679,36,-0.000004,2.197
,13,819,23:42,1422,12.11,55,170.6,168.0,2099,0.553,1.640,2.072,0.208,0.476,0.224,0.0638,4.256,0.390,1488,0.170,1.516,,12.38,1.640,2.040,0.0241,0.0215,0.0323,1.123,,14,0.0172,1.640,36,-0.000342,2.052
,14,995,24:45,1485,11.28,56,190.5,176.6,1983,0.617,1.546,1.911,0.191,0.494,0.184,0.0496,3.309,0.606,1757,0.268,1.643,,9.178,1.558,1.894,0.0206,0.0303,0.0366,0.680,,15,0.0113,1.558,36,0.000042,1.892
,15,1204,25:48,1548,10.41,56,173.0,182.8,,0.560,1.427,1.667,0.144,0.586,,,,,,0.454,1.884,,5.742,1.427,1.667,0.0308,0.0282,0.0417,1.092,,12,0.007163,1.427,36,0.001329,1.619
,16,1451,26:51,1611,10.15,56,185.8,186.5,,0.602,1.315,1.508,0.128,0.605,,,,,,0.607,2.083,,4.648,1.315,1.508,0.0332,0.0249,0.0415,1.334,,13,0.006060,1.315,36,0.000004,1.507
,17,1745,27:54,1674,8.995,56,216.6,187.9,,0.702,1.190,1.358,0.124,0.589,,,,,,0.784,2.312,,4.153,1.190,1.358,0.0298,0.0275,0.0406,1.082,,19,0.005140,1.190,36,0.000361,1.345
,18,2094,28:57,1737,8.793,62,188.1,187.4,,0.609,1.174,1.290,0.090,0.691,,,,,,0.879,2.435,,3.067,1.174,1.290,0.0275,0.0259,0.0378,1.060,,12,0.003717,1.174,36,0.000469,1.273
,19,2508,30:00,1800,7.869,69,157.5,185.8,,0.510,1.109,1.184,0.063,0.771,,,,,,1.047,2.653,,1.726,1.109,1.184,0.0242,0.0356,0.0431,0.679,,17,0.002514,1.109,36,0.000126,1.179
,20,3000,31:03,1863,8.122,72,225.9,183.6,,0.732,1.053,1.139,0.075,0.717,,,,,,1.128,2.758,,1.806,1.053,1.139,0.0343,0.0329,0.0475,1.043,,12,0.0109,1.053,36,0.000007,1.138
,21,0,32:07,1927,8.760,31,0.000000,0.000000,0.000000,0.000000,1.214,1.968,0.383,,0.273,0.0638,4.252,0.721,1309,0.231,1.595,,77.46,1.234,1.918,0.006747,0.005699,0.008832,1.184,,12,0.0270,1.234,36,-0.000237,1.926
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.192,40,0.000000,0.000000,0.000000,0.000000,1.099,1.815,0.394,,0.277,0.0622,3.457,0.686,1680,0.122,1.661,,111.6,1.120,1.760,0.002862,0.004975,0.005739,0.575,,12,0.0250,1.120,36,-0.000104,1.764
,2,22,12:08,728,10.41,47,8.455,8.701,43.62,0.0240,1.204,1.955,0.384,0.023,0.275,0.0593,3.293,0.622,2128,0.041,1.542,,29.37,1.224,1.904,0.0163,0.0165,0.0232,0.989,,12,0.0262,1.224,36,-0.000420,1.919
,3,49,13:11,791,10.38,48,18.77,18.92,98.56,0.0533,1.235,2.002,0.383,0.040,0.272,0.0601,3.340,0.602,1872,0.017,1.506,,27.57,1.253,1.945,0.0190,0.0164,0.0251,1.154,,12,0.0269,1.253,36,-0.000351,1.957
,4,81,14:14,854,10.75,50,30.28,30.42,163.6,0.0861,1.265,2.020,0.374,0.068,0.267,0.0604,3.355,0.606,1808,0.008,1.492,,28.31,1.266,1.966,0.0211,0.0128,0.0247,1.645,,13,0.0286,1.266,36,-0.000314,1.977
,5,118,15:18,918,10.69,51,44.30,42.91,233.5,0.126,1.272,2.036,0.375,0.069,0.225,0.0591,3.286,0.628,1808,0.000,1.481,,22.95,1.284,1.961,0.0178,0.0235,0.0295,0.759,,13,0.0281,1.284,36,-0.001185,2.004
,6,163,16:21,981,11.13,52,58.78,57.04,342.4,0.167,1.300,2.033,0.361,0.105,0.232,0.0628,3.488,0.554,1680,0.002,1.483,,27.58,1.329,1.972,0.0184,0.0144,0.0233,1.275,,13,0.0256,1.329,36,-0.000392,1.987
,7,216,17:23,1043,11.52,51,72.48,72.28,469.5,0.206,1.349,2.031,0.336,0.166,0.343,0.0650,3.609,0.433,1757,0.003,1.484,,20.01,1.354,1.987,0.0256,0.0186,0.0317,1.374,,12,0.0256,1.354,36,0.000016,1.987
,8,279,18:26,1106,11.75,54,88.44,88.62,554.6,0.251,1.378,2.018,0.317,0.209,0.270,0.0594,3.301,0.551,1629,0.009,1.494,,23.79,1.383,1.975,0.0142,0.0205,0.0249,0.692,,12,0.0240,1.383,36,-0.000167,1.981
,9,353,19:30,1170,11.87,55,108.4,105.6,702.9,0.308,1.410,2.035,0.307,0.238,0.304,0.0595,3.307,0.490,1552,0.000,1.481,,21.42,1.387,1.992,0.0203,0.0196,0.0282,1.034,,13,0.0254,1.387,36,-0.000174,1.998
,10,442,20:33,1233,12.31,55,118.7,123.3,858.6,0.337,1.466,2.003,0.268,0.328,0.276,0.0581,3.226,0.568,1488,0.016,1.505,,18.24,1.459,1.967,0.0134,0.0244,0.0279,0.549,,13,0.0206,1.459,36,-0.000403,1.981
