File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,21:36:53
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.408,0.418,0.402,0.426
Ek:,617.5,554.3,607.6,561.0
Pm:,159.4,148.5,154.3,183.0
Em:,,765.7,,2692
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.183,0.232,0.988,0.126
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.880,34,0.000000,0.000000,0.000000,0.000000,1.647,2.730,0.397,,0.281,0.0570,5.696,0.674,1629,0.171,1.603,,98.87,1.680,2.661,0.005865,0.008007,0.009925,0.732,,12,0.0346,1.680,36,0.000293,2.651
,2,22,12:08,728,10.95,41,8.664,8.828,74.13,0.0367,1.825,3.010,0.394,0.034,0.261,0.0560,5.596,0.592,1808,0.062,1.454,,27.92,1.857,2.938,0.0234,0.0308,0.0387,0.759,,12,0.0391,1.857,36,0.000257,2.928
,3,49,13:11,791,11.22,43,19.10,19.24,162.3,0.0808,1.870,3.065,0.390,0.054,0.280,0.0550,5.500,0.570,2000,0.042,1.428,,36.47,1.896,2.986,0.0162,0.0251,0.0299,0.645,,12,0.0392,1.896,36,-0.000397,3.000
,4,81,14:14,854,11.56,45,30.49,31.01,268.4,0.129,1.927,3.091,0.376,0.091,0.272,0.0550,5.502,0.558,1808,0.034,1.416,,31.57,1.942,3.013,0.0194,0.0278,0.0339,0.697,,13,0.0387,1.942,36,-0.000791,3.041
,5,118,15:17,917,11.57,45,44.44,43.87,418.6,0.188,1.928,3.093,0.377,0.091,0.268,0.0589,5.890,0.458,1808,0.033,1.415,,27.70,1.943,3.016,0.0254,0.0292,0.0387,0.871,,12,0.0423,1.943,36,-0.000101,3.019
,6,163,16:20,980,11.92,47,60.05,58.52,538.6,0.254,1.986,3.144,0.368,0.119,0.178,0.0549,5.487,0.545,1603,0.016,1.392,,26.40,2.015,3.051,0.0229,0.0319,0.0392,0.717,,12,0.0414,2.015,36,-0.000583,3.072
,7,216,17:24,1044,12.52,46,74.97,74.45,631.4,0.317,2.086,3.195,0.347,0.178,0.153,0.0485,4.854,0.690,1680,0.000,1.369,,22.16,2.093,3.129,0.0335,0.0326,0.0467,1.026,,14,0.0367,2.093,36,0.000889,3.097
,8,279,18:27,1107,12.36,47,96.69,91.69,921.0,0.409,2.060,3.152,0.347,0.172,0.222,0.0548,5.482,0.652,1872,0.014,1.388,,19.52,2.095,3.068,0.0288,0.0407,0.0499,0.708,,14,0.0363,2.095,36,-0.000774,3.096
,9,353,19:30,1170,13.23,49,101.7,109.8,1242,0.430,2.205,3.097,0.288,0.305,0.422,0.0584,5.841,0.361,1629,0.032,1.413,,20.74,2.198,3.070,0.0269,0.0323,0.0420,0.834,,19,0.0295,2.198,36,0.001013,3.034
,10,442,20:33,1233,12.85,49,139.3,128.9,1535,0.589,2.142,3.127,0.315,0.244,0.141,0.0577,5.768,0.633,1437,0.022,1.399,,16.94,2.194,3.021,0.0326,0.0364,0.0488,0.897,,14,0.0332,2.194,36,-0.001991,3.093
,11,547,21:36,1296,13.55,51,143.8,148.2,1730,0.609,2.258,3.063,0.263,0.361,0.218,0.0525,5.253,0.556,1360,0.043,1.429,,17.22,2.255,3.013,0.0307,0.0316,0.0440,0.971,,14,0.0281,2.255,36,0.000211,3.006
,12,671,22:39,1359,13.52,53,155.7,159.2,2371,0.659,2.253,2.934,0.232,0.422,0.324,0.0587,5.867,0.666,1552,0.089,1.492,,11.77,2.253,2.882,0.0436,0.0308,0.0534,1.415,,15,0.0236,2.253,36,-0.000582,2.903
,13,819,23:42,1422,13.16,52,160.7,157.7,2685,0.680,2.193,2.729,0.196,0.489,0.259,0.0544,5.445,0.452,1168,0.171,1.604,,9.206,2.182,2.719,0.0441,0.0382,0.0583,1.154,,12,0.0205,2.182,36,0.001087,2.680
,14,995,24:45,1485,12.22,53,189.3,154.8,2239,0.801,2.037,2.515,0.190,0.479,0.094,0.0374,3.737,0.698,2128,0.270,1.740,,10.24,2.053,2.510,0.0299,0.0331,0.0446,0.905,,13,0.0115,2.053,36,0.001924,2.441
,15,1204,25:48,1548,10.66,53,245.2,150.6,3828,1.038,1.777,2.232,0.204,0.397,0.153,0.0528,5.280,0.178,2960,0.431,1.960,,7.013,1.809,2.201,0.0351,0.0436,0.0559,0.804,,14,0.0119,1.809,36,0.000436,2.185
,16,1451,26:51,1611,10.38,54,241.0,145.4,,1.020,1.729,2.074,0.166,0.483,,,,,,0.541,2.110,,5.455,1.729,2.074,0.0362,0.0518,0.0631,0.699,,12,0.0119,1.729,36,0.004042,1.928
,17,1745,27:54,1674,9.565,55,167.1,139.5,,0.707,1.594,1.763,0.096,0.667,,,,,,0.812,2.482,,3.352,1.594,1.763,0.0370,0.0342,0.0504,1.082,,20,0.004290,1.594,36,0.000682,1.739
,18,2094,28:57,1737,9.290,59,91.04,133.5,,0.385,1.548,1.619,0.043,0.839,,,,,,0.974,2.703,,0.945,1.548,1.619,0.0535,0.0518,0.0744,1.033,,12,0.002863,1.548,36,0.000076,1.616
,19,2508,30:00,1800,8.740,62,122.9,128.1,,0.520,1.457,1.532,0.049,0.811,,,,,,1.086,2.857,,1.026,1.457,1.532,0.0377,0.0627,0.0731,0.602,,12,0.006522,1.457,36,-0.000830,1.562
,20,3000,31:03,1863,,70,-3701999,123.6,,,,,,,,,,,,,,,,1.414,1.393,0.0374,0.0650,0.0750,0.575,,13,0.007869,1.414,36,-0.004928,1.570
,21,0,32:06,1926,9.443,28,0.000000,0.000000,0.000000,0.000000,1.574,2.564,0.386,,0.251,0.0534,5.342,0.764,1360,0.246,1.706,,63.35,1.592,2.492,0.009582,0.0105,0.0142,0.912,,12,0.0321,1.592,36,-0.000176,2.499
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.880,41,0.000000,0.000000,0.000000,0.000000,1.367,2.286,0.402,,0.341,0.0679,4.524,0.677,1603,0.154,1.571,,150.2,1.388,2.213,0.002227,0.005026,0.005497,0.443,,12,0.0342,1.388,36,-0.000262,2.223
,2,22,12:08,728,10.95,50,8.636,9.007,55.22,0.0299,1.527,2.514,0.393,0.047,0.281,0.0625,4.168,0.638,1821,0.050,1.429,,28.03,1.538,2.438,0.0205,0.0248,0.0321,0.828,,13,0.0368,1.538,36,-0.000051,2.440
,3,49,13:11,791,11.22,52,19.23,19.58,128.9,0.0666,1.549,2.549,0.392,0.055,0.275,0.0655,4.370,0.584,1872,0.035,1.409,,26.79,1.584,2.469,0.0214,0.0251,0.0330,0.853,,12,0.0359,1.584,36,-0.000230,2.477
