File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,22:13:41
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.413,0.423,0.414,0.425
Ek:,637.5,642.7,660.6,660.2
Pm:,185.8,210.7,191.3,204.7
Em:,1296,1636,1307,1447
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.109,0.080,0.077,0.093
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.91,38,0.000000,0.000000,0.000000,0.000000,1.985,3.222,0.384,,0.272,0.0532,5.321,0.688,1552,0.286,1.491,,101.2,2.018,3.148,0.006999,0.008708,0.0112,0.804,,14,0.0377,2.018,36,0.000218,3.140
,2,22,12:08,728,13.50,49,8.347,8.923,66.82,0.0440,2.250,3.625,0.379,0.118,0.274,0.0504,5.043,0.593,1731,0.143,1.326,,26.73,2.266,3.567,0.0348,0.0341,0.0487,1.020,,13,0.0428,2.266,36,0.000869,3.536
,3,49,13:11,791,13.72,51,19.49,19.46,150.3,0.103,2.286,3.796,0.398,0.099,0.205,0.0510,5.095,0.595,1821,0.092,1.266,,36.83,2.342,3.710,0.0287,0.0235,0.0371,1.219,,12,0.0462,2.342,36,0.000687,3.685
,4,81,14:14,854,14.73,53,30.20,31.39,249.4,0.159,2.455,3.914,0.373,0.169,0.320,0.0511,5.113,0.593,1757,0.059,1.228,,23.69,2.444,3.858,0.0439,0.0404,0.0597,1.088,,12,0.0463,2.444,36,0.001392,3.808
,5,118,15:17,917,14.99,55,44.50,44.45,355.0,0.235,2.499,4.012,0.377,0.171,0.218,0.0500,4.996,0.506,1552,0.033,1.198,,29.55,2.508,3.913,0.0323,0.0349,0.0475,0.927,,13,0.0495,2.508,36,0.000256,3.904
,6,163,16:20,980,15.35,56,60.52,59.35,489.0,0.319,2.558,4.069,0.371,0.190,0.239,0.0498,4.982,0.583,1629,0.019,1.181,,30.89,2.601,3.964,0.0288,0.0334,0.0441,0.861,,13,0.0436,2.601,36,0.000205,3.956
,7,216,17:24,1044,16.00,59,74.20,75.60,731.7,0.391,2.666,4.061,0.344,0.250,0.355,0.0562,5.625,0.514,1488,0.021,1.183,,28.55,2.651,4.003,0.0280,0.0382,0.0474,0.732,,13,0.0489,2.651,36,0.000671,3.979
,8,279,18:27,1107,16.22,59,94.77,93.23,924.0,0.500,2.703,4.094,0.340,0.262,0.350,0.0550,5.500,0.568,1488,0.012,1.174,,25.36,2.688,4.017,0.0298,0.0431,0.0524,0.692,,13,0.0489,2.688,36,-0.000256,4.027
,9,353,19:30,1170,16.61,59,113.5,111.8,1154,0.598,2.768,4.080,0.321,0.300,0.274,0.0543,5.429,0.562,1488,0.016,1.178,,28.02,2.757,4.031,0.0260,0.0373,0.0455,0.697,,15,0.0468,2.757,36,0.000917,3.998
,10,442,20:33,1233,17.10,62,138.1,131.5,1418,0.728,2.849,4.145,0.313,0.325,0.268,0.0533,5.327,0.682,1411,0.000,1.159,,25.96,2.836,4.071,0.0264,0.0396,0.0476,0.667,,12,0.0476,2.836,36,0.000182,4.064
,11,547,21:36,1296,17.68,64,152.8,151.5,1655,0.805,2.946,4.088,0.279,0.392,0.230,0.0503,5.025,0.644,1488,0.014,1.176,,21.55,2.955,4.014,0.0355,0.0340,0.0491,1.045,,15,0.0373,2.955,36,0.000144,4.009
,12,671,22:39,1359,17.69,66,176.1,168.7,2022,0.928,2.948,3.997,0.262,0.422,0.227,0.0500,5.004,0.560,1488,0.037,1.202,,23.12,2.930,3.935,0.0240,0.0363,0.0435,0.661,,12,0.0390,2.930,36,-0.000273,3.945
,13,819,23:42,1422,17.64,66,190.1,176.9,2530,1.002,2.940,3.829,0.232,0.477,0.275,0.0513,5.129,0.570,1232,0.082,1.255,,18.33,2.896,3.792,0.0250,0.0419,0.0488,0.597,,12,0.0367,2.896,36,0.000436,3.776
,14,995,24:45,1485,16.84,64,188.5,182.7,3502,0.994,2.807,3.462,0.189,0.548,0.286,0.0585,5.845,0.404,1309,0.197,1.388,,12.35,2.801,3.431,0.0278,0.0427,0.0510,0.652,,12,0.0249,2.801,36,0.000545,3.411
,15,1204,25:48,1548,15.37,65,217.2,185.5,3822,1.145,2.562,3.126,0.180,0.542,0.028,0.0527,5.271,0.530,1309,0.326,1.537,,10.21,2.601,3.129,0.0324,0.0402,0.0517,0.807,,17,0.0186,2.601,36,0.001506,3.075
,16,1451,26:51,1611,14.09,64,197.4,185.2,,1.041,2.348,2.717,0.136,0.623,,,,,,0.525,1.768,,5.471,2.348,2.717,0.0395,0.0548,0.0676,0.720,,15,0.0135,2.348,36,-0.002970,2.824
,17,1745,27:54,1674,13.38,68,196.9,181.7,,1.038,2.230,2.514,0.113,0.672,,,,,,0.649,1.911,,4.187,2.230,2.514,0.0435,0.0520,0.0677,0.836,,13,0.009195,2.230,36,0.000532,2.495
,18,2094,28:57,1737,12.78,69,152.5,175.4,,0.804,2.130,2.298,0.073,0.775,,,,,,0.804,2.091,,2.797,2.130,2.298,0.0384,0.0459,0.0598,0.837,,24,0.005862,2.130,36,0.000898,2.266
,19,2508,30:01,1801,11.76,75,253.1,167.2,,1.334,1.960,2.180,0.101,0.677,,,,,,0.901,2.204,,3.780,1.960,2.180,0.0328,0.0481,0.0582,0.681,,13,0.0103,1.960,36,0.000683,2.156
,20,3000,31:04,1864,11.53,80,132.3,157.9,,0.697,1.922,2.011,0.044,0.851,,,,,,1.061,2.390,,1.067,1.922,2.011,0.0552,0.0621,0.0831,0.890,,35,0.002505,1.922,36,-0.000401,2.025
,21,0,32:06,1926,12.39,36,0.000000,0.000000,0.000000,0.000000,2.065,3.492,0.409,,0.291,0.0533,5.333,0.756,1232,0.187,1.376,,94.80,2.109,3.403,0.008674,0.0105,0.0136,0.823,,15,0.0425,2.109,36,0.000051,3.401
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.91,46,0.000000,0.000000,0.000000,0.000000,1.653,2.713,0.391,,0.280,0.0635,4.234,0.693,1437,0.270,1.773,,117.2,1.677,2.647,0.006942,0.004503,0.008275,1.542,,12,0.0380,1.677,36,-0.000101,2.650
,2,22,12:08,728,13.50,60,8.795,9.147,53.01,0.0380,1.840,3.066,0.400,,0.285,0.0600,4.002,0.663,1757,0.124,1.569,,35.76,1.867,2.967,0.0199,0.0234,0.0308,0.850,,12,0.0423,1.867,36,-0.000732,2.993
,3,49,13:11,791,13.72,64,19.85,19.95,120.7,0.0857,1.904,3.200,0.405,,0.248,0.0613,4.089,0.586,1808,0.077,1.503,,39.03,1.943,3.126,0.0176,0.0247,0.0303,0.715,,12,0.0463,1.943,36,0.000526,3.107
,4,81,14:14,854,14.73,65,30.28,32.19,187.4,0.131,2.055,3.282,0.374,0.078,0.331,0.0576,3.841,0.652,1808,0.050,1.466,,31.11,2.052,3.220,0.0261,0.0269,0.0375,0.970,,13,0.0431,2.052,36,0.000631,3.197
,5,118,15:17,917,14.99,67,45.34,45.59,286.5,0.196,2.068,3.358,0.384,0.065,0.274,0.0605,4.031,0.590,1680,0.026,1.432,,38.49,2.083,3.276,0.0160,0.0265,0.0310,0.605,,13,0.0468,2.083,36,0.000036,3.275
,6,163,16:20,980,15.35,69,61.71,60.89,402.5,0.266,2.109,3.394,0.379,0.085,0.240,0.0615,4.100,0.591,1629,0.015,1.417,,33.48,2.143,3.319,0.0273,0.0221,0.0351,1.233,,12,0.0474,2.143,36,0.000881,3.287
,7,216,17:24,1044,16.00,70,81.96,77.59,530.8,0.354,2.137,3.444,0.379,0.091,0.219,0.0612,4.080,0.654,1603,0.001,1.397,,32.07,2.171,3.337,0.0269,0.0244,0.0364,1.101,,12,0.0470,2.171,36,-0.000642,3.360
,8,279,18:27,1107,16.22,72,95.34,95.73,716.6,0.412,2.241,3.405,0.342,0.176,0.348,0.0640,4.265,0.450,1680,0.012,1.413,,33.15,2.232,3.356,0.0246,0.0234,0.0339,1.052,,13,0.0454,2.232,36,0.000967,3.322
,9,353,19:30,1170,16.61,72,121.4,114.9,873.7,0.524,2.261,3.446,0.344,0.176,0.220,0.0617,4.110,0.612,1552,0.000,1.396,,35.84,2.292,3.354,0.0198,0.0220,0.0296,0.898,,13,0.0431,2.292,36,-0.000499,3.372
,10,442,20:33,1233,17.10,75,136.2,135.2,1128,0.588,2.373,3.430,0.308,0.260,0.262,0.0636,4.239,0.518,1437,0.005,1.402,,27.28,2.374,3.368,0.0242,0.0272,0.0364,0.892,,12,0.0425,2.374,36,0.000429,3.352
,11,547,21:36,1296,17.68,76,154.5,155.8,1300,0.667,2.458,3.426,0.282,0.321,0.294,0.0592,3.947,0.518,1309,0.006,1.404,,24.08,2.445,3.362,0.0153,0.0349,0.0381,0.438,,12,0.0370,2.445,36,-0.000660,3.385
,12,671,22:39,1359,17.69,77,178.6,174.8,1637,0.771,2.447,3.335,0.266,0.350,0.225,0.0608,4.052,0.586,1360,0.033,1.442,,18.61,2.460,3.282,0.0335,0.0289,0.0442,1.160,,12,0.0335,2.460,36,0.000764,3.255
