File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,22:50:28
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.413,0.413,0.412,0.398
Ek:,985.1,1094,1005,1109
Pm:,263.8,285.9,300.9,310.4
Em:,1882,,2561,2229
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.088,0.096,0.065,0.069
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.40,39,0.000000,0.000000,0.000000,0.000000,1.900,3.051,0.377,,0.266,0.0658,6.582,0.709,1437,0.000,2.255,,98.25,1.945,2.975,0.006125,0.008517,0.0105,0.719,,12,0.0412,1.945,36,0.000014,2.975
,2,22,12:08,728,10.40,41,9.197,8.983,98.00,0.0473,1.734,2.979,0.418,,0.316,0.0740,7.397,0.657,1731,0.024,2.310,,31.06,1.776,2.862,0.0289,0.0196,0.0350,1.474,,12,0.0489,1.776,36,-0.000996,2.898
,3,49,13:11,791,10.69,41,19.76,19.74,227.9,0.102,1.782,2.987,0.403,,0.279,0.0772,7.725,0.623,1731,0.021,2.303,,29.27,1.834,2.880,0.0191,0.0302,0.0357,0.631,,12,0.0495,1.834,36,-0.000260,2.889
,4,81,14:14,854,11.10,42,30.62,32.11,361.4,0.157,1.851,2.976,0.378,,0.394,0.0741,7.409,0.646,2000,0.025,2.312,,26.71,1.871,2.858,0.0247,0.0275,0.0370,0.897,,12,0.0450,1.871,36,-0.001095,2.898
,5,118,15:17,917,11.10,42,44.46,45.92,511.3,0.228,1.850,2.968,0.377,,0.394,0.0719,7.195,0.559,2077,0.028,2.318,,24.47,1.868,2.867,0.0241,0.0329,0.0408,0.733,,12,0.0453,1.868,36,-0.000424,2.882
,6,163,16:20,980,11.01,43,62.94,62.03,719.9,0.323,1.834,2.988,0.386,,0.275,0.0733,7.334,0.639,1731,0.021,2.302,,27.18,1.867,2.868,0.0227,0.0290,0.0368,0.784,,12,0.0484,1.867,36,-0.001250,2.913
,7,216,17:23,1043,11.05,44,82.02,80.08,1074,0.421,1.842,2.969,0.380,,0.321,0.0826,8.259,0.564,1680,0.028,2.317,,21.21,1.920,2.847,0.0316,0.0302,0.0437,1.044,,12,0.0443,1.920,36,-0.001246,2.892
,8,279,18:26,1106,11.51,46,98.97,100.3,1322,0.508,1.918,2.973,0.355,,0.307,0.0787,7.869,0.596,1680,0.026,2.314,,21.24,1.966,2.875,0.0257,0.0342,0.0428,0.751,,12,0.0434,1.966,36,-0.000118,2.880
,9,353,19:30,1170,11.58,47,119.8,122.5,1548,0.615,1.929,2.921,0.339,,0.240,0.0728,7.284,0.532,1552,0.045,2.356,,20.26,1.943,2.846,0.0323,0.0307,0.0446,1.053,,12,0.0431,1.943,36,0.000072,2.843
,10,442,20:33,1233,11.36,47,146.6,147.0,2028,0.753,1.894,2.834,0.332,,0.342,0.0762,7.619,0.478,1629,0.077,2.428,,17.36,1.923,2.737,0.0305,0.0356,0.0469,0.857,,15,0.0372,1.923,36,-0.001222,2.781
,11,547,21:36,1296,11.22,48,180.3,173.3,2577,0.926,1.870,2.790,0.330,,0.232,0.0782,7.824,0.585,1437,0.094,2.466,,17.20,1.900,2.692,0.0284,0.0362,0.0460,0.784,,12,0.0412,1.900,36,-0.001060,2.730
,12,671,22:39,1359,11.46,52,198.0,200.9,2876,1.017,1.911,2.710,0.295,,0.325,0.0712,7.117,0.490,1488,0.126,2.538,,16.32,1.900,2.640,0.0297,0.0343,0.0454,0.865,,12,0.0349,1.900,36,-0.001106,2.680
,13,819,23:42,1422,11.11,53,252.4,229.6,3615,1.297,1.852,2.677,0.308,,0.044,0.0733,7.329,0.680,1360,0.140,2.570,,10.89,1.928,2.606,0.0493,0.0381,0.0623,1.294,,12,0.0313,1.928,36,-0.000410,2.621
,14,995,24:45,1485,11.72,55,254.2,257.3,3919,1.306,1.954,2.624,0.256,0.075,0.295,0.0654,6.541,0.418,1629,0.163,2.622,,9.728,1.951,2.585,0.0527,0.0384,0.0652,1.370,,15,0.0275,1.951,36,0.000389,2.571
,15,1204,25:48,1548,11.68,58,301.3,260.5,6112,1.548,1.946,2.595,0.250,0.086,0.169,0.0843,8.430,0.650,1232,0.176,2.651,,7.328,2.015,2.535,0.0515,0.0488,0.0710,1.055,,12,0.0251,2.015,36,0.000142,2.530
,16,1451,26:51,1611,11.92,61,303.4,262.6,5889,1.559,1.987,2.512,0.209,0.218,0.312,0.0674,6.739,0.406,1411,0.215,2.739,,7.973,1.955,2.453,0.0404,0.0477,0.0625,0.846,,12,0.0277,1.955,36,-0.000947,2.487
,17,1745,27:54,1674,11.72,66,282.6,263.7,,1.452,1.953,2.331,0.162,0.360,,,,,,0.309,2.952,,5.000,1.953,2.331,0.0466,0.0594,0.0755,0.785,,12,0.0220,1.953,36,-0.000567,2.351
,18,2094,28:57,1737,11.51,71,205.0,263.6,,1.053,1.919,2.127,0.098,0.586,,,,,,0.434,3.234,,2.429,1.919,2.127,0.0589,0.0622,0.0857,0.947,,12,0.0170,1.919,36,-0.003701,2.260
