File path:,D:\FRRF revelle\Act2Data1.a2d
File note:,
File date:,03/06/17
File time:,23:27:16
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.341,0.341,0.333,0.343
Ek:,538.0,523.1,570.7,512.7
Pm:,115.9,134.3,141.1,149.6
Em:,,1231,1302,1591
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.664,0.166,0.150,0.105
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,9.036,28,0.000000,0.000000,0.000000,0.000000,1.506,2.175,0.307,,0.279,0.0467,4.672,0.606,2051,0.324,2.041,,70.84,1.516,2.152,0.005741,0.006906,0.008980,0.831,,12,0.0191,1.516,36,0.000563,2.132
,2,22,12:08,728,10.24,35,6.755,7.348,61.16,0.0337,1.707,2.464,0.307,0.140,0.293,0.0462,4.617,0.565,1923,0.169,1.801,,17.57,1.714,2.420,0.0271,0.0297,0.0402,0.913,,12,0.0228,1.714,36,0.000068,2.418
,3,49,13:11,791,10.38,36,15.69,15.96,128.0,0.0784,1.731,2.546,0.320,0.121,0.111,0.0434,4.338,0.658,2269,0.131,1.743,,23.00,1.744,2.488,0.0196,0.0257,0.0323,0.761,,12,0.0241,1.744,36,0.000294,2.477
,4,81,14:14,854,10.84,38,25.12,25.63,210.6,0.125,1.807,2.619,0.310,0.164,0.110,0.0432,4.317,0.558,2192,0.099,1.694,,20.60,1.819,2.600,0.0233,0.0299,0.0379,0.780,,13,0.0249,1.819,36,0.001675,2.539
,5,118,15:18,918,11.27,39,36.59,36.12,312.4,0.183,1.879,2.723,0.310,0.184,0.160,0.0440,4.396,0.579,2397,0.057,1.630,,20.98,1.878,2.691,0.0259,0.0289,0.0387,0.896,,12,0.0268,1.878,36,0.001239,2.646
,6,163,16:21,981,11.82,41,47.45,47.93,490.9,0.237,1.970,2.778,0.291,0.244,0.252,0.0500,5.001,0.562,1821,0.036,1.598,,21.94,1.961,2.731,0.0196,0.0291,0.0351,0.676,,15,0.0276,1.961,36,-0.000100,2.735
,7,216,17:24,1044,12.18,43,63.72,60.64,527.4,0.318,2.030,2.880,0.295,0.250,0.074,0.0405,4.055,0.608,1872,0.000,1.541,,23.10,2.036,2.810,0.0213,0.0258,0.0335,0.827,,16,0.0249,2.036,36,0.000176,2.803
,8,279,18:27,1107,12.36,43,73.18,74.21,774.5,0.365,2.061,2.794,0.262,0.321,0.292,0.0461,4.610,0.462,2128,0.031,1.589,,19.38,2.055,2.761,0.0253,0.0262,0.0364,0.967,,15,0.0221,2.055,36,0.000440,2.745
,9,353,19:30,1170,12.25,44,89.83,88.24,1020,0.449,2.042,2.739,0.254,0.333,0.255,0.0480,4.798,0.515,1731,0.051,1.620,,19.39,2.038,2.719,0.0192,0.0294,0.0351,0.653,,12,0.0226,2.038,36,0.000604,2.697
,10,442,20:33,1233,12.40,44,105.9,102.7,1324,0.529,2.067,2.718,0.240,0.369,0.208,0.0498,4.975,0.602,1552,0.059,1.633,,13.66,2.070,2.685,0.0343,0.0292,0.0451,1.175,,12,0.0217,2.070,36,-0.000104,2.689
,11,547,21:36,1296,12.45,44,115.7,115.7,1785,0.578,2.075,2.631,0.211,0.432,0.182,0.0542,5.418,0.466,1283,0.094,1.687,,12.45,2.076,2.578,0.0232,0.0330,0.0403,0.705,,15,0.0201,2.076,36,-0.000884,2.610
,12,671,22:39,1359,12.18,45,135.7,113.1,1977,0.678,2.030,2.544,0.202,0.445,0.058,0.0489,4.892,0.646,1411,0.132,1.744,,11.59,2.032,2.543,0.0284,0.0337,0.0441,0.842,,14,0.0184,2.032,36,0.001091,2.504
,13,819,23:42,1422,12.10,46,140.3,109.8,2776,0.701,2.016,2.433,0.171,0.516,0.196,0.0563,5.628,0.648,1283,0.183,1.824,,8.060,2.005,2.412,0.0416,0.0287,0.0505,1.451,,14,0.0173,2.005,36,0.000377,2.399
,14,995,24:45,1485,11.76,45,139.8,106.0,3305,0.698,1.960,2.280,0.141,0.586,0.212,0.0552,5.516,0.296,1040,0.263,1.946,,6.859,1.967,2.265,0.0282,0.0330,0.0434,0.854,,19,0.0110,1.967,36,0.000248,2.256
,15,1204,25:48,1548,11.16,47,141.0,101.9,,0.704,1.859,2.106,0.117,0.636,,,,,,0.367,2.107,,4.714,1.859,2.106,0.0331,0.0405,0.0523,0.818,,12,0.0144,1.859,36,-0.000977,2.141
,16,1451,26:51,1611,10.63,48,122.0,97.82,,0.609,1.772,1.935,0.084,0.723,,,,,,0.488,2.294,,3.013,1.772,1.935,0.0345,0.0416,0.0540,0.829,,19,0.008486,1.772,36,0.000487,1.917
,17,1745,27:54,1674,9.822,52,123.0,93.99,,0.614,1.637,1.761,0.070,0.752,,,,,,0.635,2.520,,2.330,1.637,1.761,0.0320,0.0426,0.0533,0.751,,12,0.005728,1.637,36,-0.001169,1.803
,18,2094,28:57,1737,9.097,51,166.6,90.70,,0.832,1.516,1.647,0.080,0.706,,,,,,0.748,2.694,,2.974,1.516,1.647,0.0270,0.0349,0.0441,0.774,,12,0.008711,1.516,36,-0.001355,1.696
