File path:,
File note:,
File date:,04/06/17
File time:,17:30:56
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.374,0.382,0.363,0.373
Ek:,1033,1127,950.4,1062
Pm:,594.9,322.7,252.8,317.3
Em:,,2636,2114,4166
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.081,0.071,0.108,0.087
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:35,35,21.63,37,0.000000,0.000000,0.000000,0.000000,3.606,5.535,0.349,,0.246,0.0596,5.960,0.785,1309,0.073,1.757,,108.7,3.665,5.401,0.0113,0.0113,0.0160,0.998,,12,0.0664,3.665,36,-0.000117,5.406
,2,22,11:37,697,22.31,54,8.233,8.146,97.73,0.0868,3.718,5.941,0.374,0.013,0.326,0.0738,7.377,0.723,1411,0.000,1.637,,32.26,3.807,5.699,0.0407,0.0422,0.0586,0.966,,13,0.0851,3.807,36,-0.002295,5.781
,3,49,12:40,760,18.24,44,17.87,17.91,215.4,0.188,3.040,4.785,0.365,,0.326,0.0730,7.298,0.661,1629,0.242,2.033,,34.38,3.089,4.601,0.0221,0.0380,0.0440,0.580,,12,0.0703,3.089,36,-0.001578,4.658
,4,81,13:43,823,15.33,39,29.73,29.15,373.7,0.314,2.556,4.038,0.367,,0.332,0.0766,7.661,0.601,1603,0.471,2.409,,26.47,2.651,3.882,0.0316,0.0341,0.0465,0.924,,15,0.0545,2.651,36,-0.001027,3.919
,5,118,14:46,886,10.54,31,41.25,41.73,542.8,0.435,1.756,2.701,0.350,,0.248,0.0764,7.639,0.720,1360,1.200,3.602,,16.55,1.794,2.623,0.0421,0.0272,0.0501,1.550,,12,0.0400,1.794,36,-0.000219,2.631
,6,163,15:49,949,5.414,18,57.25,56.43,684.5,0.604,0.902,1.391,0.351,,0.263,0.0697,6.973,0.580,1680,3.272,6.994,,16.62,0.915,1.343,0.0159,0.0202,0.0257,0.786,,12,0.0193,0.915,36,-0.000572,1.363
,7,216,16:52,1012,5.723,19,72.37,72.94,839.2,0.763,0.954,1.434,0.335,,0.349,0.0645,6.452,0.465,1949,3.142,6.781,,13.32,0.958,1.415,0.0209,0.0271,0.0343,0.771,,12,0.0177,0.958,36,0.000718,1.389
,8,279,17:55,1075,6.016,19,91.99,91.49,1133,0.970,1.003,1.496,0.330,,0.231,0.0674,6.742,0.758,1552,2.972,6.503,,14.01,0.998,1.453,0.0203,0.0254,0.0325,0.799,,14,0.0220,0.998,36,-0.000390,1.467
,9,353,18:58,1138,6.248,19,112.6,111.9,1558,1.187,1.041,1.529,0.319,,0.320,0.0733,7.327,0.684,1488,2.886,6.363,,12.98,1.062,1.488,0.0227,0.0237,0.0328,0.956,,19,0.0177,1.062,36,-0.000060,1.490
,10,442,20:01,1201,6.572,21,128.5,134.6,1668,1.355,1.095,1.544,0.291,,0.251,0.0627,6.266,0.644,1680,2.847,6.299,,14.01,1.093,1.530,0.0237,0.0203,0.0312,1.167,,15,0.0179,1.093,36,0.000497,1.512
,11,547,21:04,1264,6.874,22,152.8,158.9,2482,1.611,1.146,1.590,0.279,,0.399,0.0754,7.536,0.883,1309,2.738,6.120,,11.11,1.139,1.542,0.0211,0.0295,0.0363,0.714,,16,0.0193,1.139,36,-0.000248,1.551
,12,671,22:07,1327,7.085,22,173.3,184.7,2766,1.828,1.181,1.592,0.258,,0.373,0.0684,6.845,0.525,1629,2.732,6.110,,11.12,1.165,1.565,0.0213,0.0291,0.0360,0.733,,12,0.0185,1.165,36,0.000096,1.562
,13,819,23:10,1390,7.139,23,208.7,211.6,3300,2.201,1.190,1.597,0.255,,0.287,0.0669,6.691,0.575,1603,2.721,6.093,,9.377,1.203,1.558,0.0279,0.0256,0.0378,1.090,,12,0.0149,1.203,36,-0.000577,1.579
,14,995,24:14,1454,7.242,24,244.3,239.0,3698,2.576,1.207,1.600,0.246,,0.308,0.0617,6.172,0.625,1629,2.714,6.081,,8.132,1.203,1.560,0.0292,0.0328,0.0439,0.891,,13,0.0157,1.203,36,-0.000669,1.584
,15,1204,25:17,1517,7.189,25,291.3,267.5,6184,3.072,1.198,1.581,0.242,,0.066,0.0853,8.529,0.373,963.2,2.759,6.155,,7.994,1.226,1.534,0.0195,0.0331,0.0384,0.589,,12,0.0173,1.226,36,-0.000679,1.558
