File path:,
File note:,
File date:,04/06/17
File time:,21:41:30
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.394,0.406,0.399,0.419
Ek:,477.9,483.7,455.0,439.8
Pm:,143.6,156.3,161.3,155.7
Em:,1600,1289,1596,1348
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.124,0.119,0.060,0.093
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,10.31,36,0.000000,0.000000,0.000000,0.000000,1.718,2.858,0.399,,0.286,0.0645,6.445,0.758,1360,0.094,1.519,,103.4,1.742,2.780,0.005963,0.008071,0.0100,0.739,,12,0.0416,1.742,36,-0.000185,2.786
,2,22,11:37,697,11.46,43,8.524,8.471,83.04,0.0374,1.910,3.118,0.387,0.073,0.277,0.0627,6.268,0.610,2000,0.003,1.392,,26.61,1.956,3.048,0.0331,0.0243,0.0411,1.362,,14,0.0424,1.956,36,0.000354,3.035
,3,49,12:39,759,11.84,43,17.57,18.35,178.1,0.0771,1.973,3.076,0.359,0.135,0.327,0.0604,6.037,0.610,2000,0.017,1.411,,26.25,1.967,2.999,0.0228,0.0320,0.0393,0.711,,13,0.0415,1.967,36,-0.000433,3.014
,4,81,13:43,823,11.92,43,29.02,29.36,303.3,0.127,1.986,3.095,0.358,0.139,0.309,0.0622,6.219,0.559,2051,0.011,1.403,,32.54,1.983,3.039,0.0244,0.0214,0.0324,1.142,,13,0.0425,1.983,36,0.000887,3.007
,5,118,14:46,886,11.83,43,42.52,41.20,462.7,0.187,1.971,3.081,0.360,0.132,0.256,0.0651,6.512,0.549,1821,0.015,1.409,,30.62,2.009,3.016,0.0226,0.0239,0.0329,0.947,,12,0.0410,2.009,36,0.000656,2.992
,6,163,15:49,949,12.21,44,56.97,54.41,622.2,0.250,2.035,3.128,0.350,0.165,0.239,0.0634,6.339,0.610,2000,0.000,1.388,,19.12,2.040,3.078,0.0438,0.0320,0.0543,1.369,,12,0.0454,2.040,36,0.001125,3.037
,7,216,16:52,1012,13.08,45,65.40,68.47,775.6,0.287,2.181,3.127,0.303,0.277,0.356,0.0596,5.962,0.492,2128,0.000,1.388,,17.90,2.162,3.088,0.0372,0.0359,0.0517,1.035,,13,0.0359,2.162,36,0.001094,3.049
,8,279,17:55,1075,13.16,45,83.21,83.27,1063,0.365,2.193,3.125,0.298,0.288,0.345,0.0633,6.327,0.498,1872,0.001,1.389,,26.44,2.173,3.068,0.0241,0.0238,0.0339,1.011,,12,0.0386,2.173,36,0.000141,3.063
,9,353,18:58,1138,13.20,45,103.6,98.33,1332,0.455,2.200,3.113,0.293,0.298,0.042,0.0627,6.267,0.649,1501,0.005,1.394,,17.52,2.254,3.039,0.0268,0.0359,0.0448,0.746,,12,0.0354,2.254,36,-0.000160,3.044
,10,442,20:01,1201,13.67,45,108.4,113.6,1750,0.476,2.279,3.019,0.245,0.402,0.210,0.0657,6.574,0.601,1309,0.036,1.438,,19.22,2.273,2.966,0.0236,0.0273,0.0361,0.865,,13,0.0325,2.273,36,-0.000305,2.977
,11,547,21:04,1264,13.81,46,126.9,123.9,1898,0.557,2.301,2.997,0.232,0.432,0.292,0.0576,5.762,0.490,1488,0.044,1.449,,15.39,2.270,2.971,0.0342,0.0301,0.0456,1.135,,13,0.0298,2.270,36,0.000593,2.950
,12,671,22:07,1327,13.67,46,141.9,130.6,2649,0.623,2.278,2.889,0.212,0.471,0.192,0.0655,6.555,0.632,1283,0.083,1.503,,13.73,2.279,2.847,0.0265,0.0317,0.0414,0.836,,12,0.0264,2.279,36,-0.000255,2.856
,13,819,23:10,1390,13.66,46,163.7,136.1,3242,0.719,2.277,2.846,0.200,0.495,0.067,0.0657,6.573,0.748,1232,0.099,1.525,,9.883,2.288,2.817,0.0381,0.0374,0.0534,1.019,,12,0.0288,2.288,36,0.000134,2.812
,14,995,24:13,1453,13.51,46,161.3,140.0,3654,0.708,2.252,2.687,0.162,0.576,0.230,0.0610,6.097,0.414,1488,0.164,1.615,,9.450,2.253,2.671,0.0333,0.0292,0.0443,1.140,,12,0.0173,2.253,36,0.000729,2.645
,15,1204,25:16,1516,12.89,46,138.6,142.4,,0.608,2.148,2.428,0.115,0.679,,,,,,0.288,1.788,,4.925,2.148,2.428,0.0437,0.0362,0.0567,1.206,,13,0.0115,2.148,36,0.000347,2.415
,16,1451,26:20,1580,11.84,44,131.5,143.5,,0.577,1.973,2.170,0.091,0.728,,,,,,0.442,2.001,,4.325,1.973,2.170,0.0275,0.0362,0.0455,0.761,,14,0.008430,1.973,36,-0.000023,2.171
,17,1745,27:22,1642,10.67,44,141.2,143.5,,0.620,1.779,1.936,0.081,0.738,,,,,,0.616,2.243,,2.817,1.779,1.936,0.0430,0.0353,0.0556,1.219,,12,0.008086,1.779,36,-0.000380,1.949
,18,2094,28:25,1705,9.992,43,108.9,142.9,,0.478,1.665,1.757,0.052,0.820,,,,,,0.781,2.471,,1.936,1.665,1.757,0.0344,0.0323,0.0472,1.066,,17,0.005873,1.665,36,-0.000991,1.792
,19,2508,29:28,1768,9.222,46,188.5,142.2,,0.828,1.537,1.662,0.075,0.728,,,,,,0.882,2.612,,2.425,1.537,1.662,0.0339,0.0388,0.0515,0.872,,26,0.003876,1.537,36,0.000734,1.636
