File path:,
File note:,
File date:,05/06/17
File time:,10:53:49
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.396,0.406,0.403,0.415
Ek:,509.9,511.9,491.5,435.3
Pm:,127.8,131.3,125.2,114.2
Em:,,,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.255,0.145,0.565,0.492
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,8.156,29,0.000000,0.000000,0.000000,0.000000,1.359,2.336,0.418,,0.261,0.0510,5.100,0.652,1872,0.093,1.389,,116.4,1.384,2.281,0.003663,0.006781,0.007707,0.540,,12,0.0296,1.384,36,0.000327,2.269
,2,22,11:37,697,9.299,37,8.647,8.535,64.37,0.0287,1.550,2.553,0.393,0.108,0.229,0.0486,4.859,0.622,2128,0.000,1.270,,23.75,1.562,2.494,0.0306,0.0246,0.0393,1.244,,12,0.0309,1.562,36,0.000187,2.488
,3,49,12:40,760,9.548,37,17.85,18.52,146.8,0.0592,1.591,2.503,0.364,0.164,0.337,0.0497,4.974,0.493,2397,0.020,1.296,,26.52,1.575,2.479,0.0181,0.0289,0.0341,0.627,,16,0.0301,1.575,36,0.001148,2.438
,4,81,13:43,823,9.411,36,31.08,29.69,231.9,0.103,1.568,2.545,0.384,0.127,0.130,0.0475,4.754,0.602,2192,0.003,1.275,,20.69,1.597,2.498,0.0310,0.0306,0.0436,1.014,,12,0.0292,1.597,36,0.001136,2.457
,5,118,14:46,886,10.00,38,40.06,41.75,361.4,0.133,1.667,2.523,0.339,0.224,0.296,0.0509,5.086,0.570,1949,0.012,1.286,,23.42,1.658,2.506,0.0255,0.0258,0.0362,0.990,,12,0.0291,1.658,36,0.001350,2.458
,6,163,15:49,949,10.00,38,53.14,55.30,504.9,0.176,1.667,2.474,0.326,0.247,0.194,0.0514,5.144,0.521,1923,0.032,1.311,,18.56,1.663,2.423,0.0294,0.0286,0.0410,1.027,,13,0.0290,1.663,36,0.000002,2.423
,7,216,16:52,1012,9.912,38,71.70,69.79,584.8,0.238,1.652,2.473,0.332,0.233,0.176,0.0450,4.496,0.537,1949,0.033,1.312,,21.99,1.636,2.446,0.0272,0.0248,0.0368,1.095,,12,0.0295,1.636,36,0.000783,2.418
,8,279,17:55,1075,10.14,38,84.71,85.17,816.9,0.281,1.690,2.427,0.304,0.291,0.332,0.0486,4.862,0.506,2000,0.052,1.336,,19.74,1.683,2.410,0.0203,0.0308,0.0369,0.659,,12,0.0230,1.683,36,0.001082,2.371
,9,353,18:58,1138,9.996,40,106.3,101.0,1077,0.352,1.666,2.384,0.301,0.289,0.267,0.0507,5.066,0.544,1872,0.071,1.361,,16.27,1.661,2.359,0.0327,0.0277,0.0429,1.181,,13,0.0241,1.661,36,0.000200,2.352
,10,442,20:01,1201,10.42,40,111.6,117.2,1309,0.370,1.736,2.323,0.253,0.395,0.221,0.0492,4.919,0.457,1949,0.099,1.396,,10.34,1.741,2.280,0.0385,0.0351,0.0521,1.098,,16,0.0187,1.741,36,-0.000553,2.300
,11,547,21:04,1264,10.32,41,133.5,127.7,1730,0.442,1.720,2.275,0.244,0.408,0.150,0.0525,5.252,0.610,1488,0.122,1.426,,12.74,1.724,2.278,0.0238,0.0364,0.0435,0.653,,12,0.0198,1.724,36,0.002091,2.203
,12,671,22:07,1327,9.998,44,158.2,126.8,2222,0.525,1.666,2.180,0.236,0.413,0.038,0.0550,5.499,0.612,1552,0.171,1.488,,10.72,1.680,2.179,0.0384,0.0264,0.0466,1.455,,12,0.0222,1.680,36,0.000934,2.145
,13,819,23:10,1390,9.900,44,168.3,124.7,2926,0.558,1.650,2.077,0.206,0.473,0.206,0.0593,5.932,0.256,1680,0.229,1.562,,7.647,1.669,2.057,0.0330,0.0385,0.0507,0.855,,16,0.0135,1.669,36,0.000195,2.050
,14,995,24:13,1453,9.958,44,135.7,121.4,,0.450,1.660,1.922,0.136,0.634,,,,,,0.329,1.688,,5.111,1.660,1.922,0.0356,0.0369,0.0513,0.966,,19,0.009732,1.660,36,-0.000696,1.947
