File path:,
File note:,
File date:,06/06/17
File time:,16:35:24
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.338,0.356,0.366,0.367
Ek:,407.5,355.5,344.9,325.7
Pm:,105.6,81.62,97.01,88.49
Em:,1001,512.5,849.3,1839
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.101,0.370,0.296,0.177
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,6.848,34,0.000000,0.000000,0.000000,0.000000,1.141,1.795,0.364,,0.195,0.0599,5.995,0.614,1872,0.056,1.706,,85.97,1.163,1.752,0.004421,0.005225,0.006844,0.846,,12,0.0233,1.163,36,0.000074,1.749
,2,22,12:08,728,7.682,40,7.136,7.232,73.38,0.0228,1.280,1.895,0.324,0.151,0.317,0.0554,5.539,0.438,2192,0.000,1.616,,17.72,1.272,1.867,0.0238,0.0237,0.0336,1.003,,12,0.0216,1.272,36,0.000362,1.854
,3,49,13:11,791,7.762,40,15.36,15.59,164.3,0.0491,1.294,1.884,0.313,0.177,0.274,0.0557,5.567,0.507,2243,0.006,1.625,,16.71,1.287,1.851,0.0226,0.0251,0.0337,0.899,,15,0.0219,1.287,36,-0.000131,1.856
,4,81,14:14,854,7.908,40,23.81,24.80,303.0,0.0760,1.318,1.867,0.294,0.224,0.368,0.0621,6.211,0.408,2192,0.015,1.641,,17.44,1.308,1.827,0.0183,0.0235,0.0298,0.777,,13,0.0211,1.308,36,-0.000252,1.836
,5,118,15:18,918,7.678,42,37.62,34.59,418.0,0.120,1.280,1.878,0.319,0.161,0.107,0.0588,5.882,0.518,1872,0.009,1.631,,17.32,1.296,1.847,0.0212,0.0237,0.0318,0.895,,12,0.0231,1.296,36,0.000360,1.834
,6,163,16:21,981,7.949,41,44.84,45.36,584.9,0.143,1.325,1.828,0.275,0.264,0.304,0.0596,5.959,0.453,2051,0.037,1.676,,13.01,1.310,1.803,0.0278,0.0257,0.0379,1.082,,13,0.0202,1.310,36,0.000113,1.799
,7,216,17:24,1044,7.926,42,58.42,56.61,719.9,0.187,1.321,1.811,0.270,0.272,0.343,0.0553,5.535,0.432,2128,0.047,1.692,,12.64,1.329,1.773,0.0239,0.0257,0.0351,0.932,,15,0.0154,1.329,36,-0.000531,1.792
,8,279,18:27,1107,7.969,41,65.87,68.21,972.8,0.210,1.328,1.739,0.236,0.348,0.187,0.0579,5.790,0.382,2128,0.090,1.762,,14.42,1.319,1.723,0.0174,0.0220,0.0280,0.790,,13,0.0179,1.319,36,0.000268,1.714
,9,353,19:30,1170,8.119,42,72.95,79.73,1067,0.233,1.353,1.706,0.207,0.422,0.261,0.0502,5.018,0.466,2077,0.111,1.796,,11.89,1.341,1.693,0.0157,0.0251,0.0296,0.624,,12,0.0143,1.341,36,0.000465,1.676
,10,442,20:33,1233,7.864,43,96.86,89.73,1384,0.309,1.311,1.679,0.219,0.381,0.289,0.0520,5.198,0.578,1872,0.129,1.825,,13.23,1.305,1.645,0.0130,0.0222,0.0257,0.586,,12,0.0135,1.305,36,-0.000704,1.670
