File path:,
File note:,
File date:,07/06/17
File time:,01:31:05
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.337,0.340,0.326,0.345
Ek:,536.6,462.2,485.5,438.5
Pm:,151.7,127.7,99.94,119.7
Em:,1612,1292,,1196
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.128,0.131,0.139,0.130
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,6.474,37,0.000000,0.000000,0.000000,0.000000,1.079,1.675,0.356,,0.132,0.0556,5.559,0.670,1680,0.160,1.702,,60.28,1.103,1.635,0.006716,0.005729,0.008828,1.172,,12,0.0201,1.103,36,0.000104,1.631
,2,22,12:06,726,7.650,46,7.155,7.271,74.84,0.0221,1.275,1.890,0.325,0.184,0.332,0.0565,5.649,0.464,2320,0.028,1.508,,18.93,1.281,1.857,0.0218,0.0212,0.0304,1.028,,12,0.0205,1.281,36,0.000139,1.852
,3,49,13:09,789,7.574,47,16.34,15.80,160.1,0.0505,1.262,1.894,0.333,0.165,0.105,0.0543,5.426,0.534,2000,0.026,1.505,,19.35,1.286,1.844,0.0194,0.0213,0.0288,0.910,,12,0.0225,1.286,36,-0.000186,1.850
,4,81,14:12,852,7.667,47,24.86,25.36,282.2,0.0769,1.278,1.844,0.307,0.219,0.132,0.0579,5.786,0.573,2051,0.054,1.546,,19.42,1.285,1.835,0.0177,0.0221,0.0283,0.800,,12,0.0227,1.285,36,0.001416,1.784
,5,118,15:15,915,7.947,48,34.85,35.73,386.8,0.108,1.324,1.880,0.295,0.257,0.256,0.0544,5.443,0.577,2243,0.034,1.516,,18.36,1.320,1.851,0.0147,0.0249,0.0289,0.589,,13,0.0206,1.320,36,0.000112,1.847
,6,163,16:18,978,8.219,51,48.09,47.42,498.9,0.149,1.370,1.943,0.295,0.272,0.261,0.0508,5.083,0.548,2128,0.000,1.467,,17.62,1.354,1.904,0.0148,0.0275,0.0312,0.537,,13,0.0220,1.354,36,-0.000410,1.919
,7,216,17:21,1041,8.374,51,58.45,59.98,675.4,0.181,1.396,1.914,0.271,0.326,0.042,0.0519,5.193,0.574,1808,0.015,1.490,,15.79,1.414,1.906,0.0170,0.0261,0.0312,0.652,,12,0.0175,1.414,36,0.001301,1.859
,8,279,18:24,1104,8.249,51,73.69,73.39,1032,0.228,1.375,1.868,0.264,0.333,0.350,0.0614,6.143,0.139,1283,0.040,1.526,,16.13,1.372,1.848,0.0223,0.0193,0.0295,1.155,,12,0.0188,1.372,36,0.000694,1.823
,9,353,19:28,1168,8.552,51,85.80,87.25,1239,0.265,1.425,1.883,0.243,0.389,0.206,0.0583,5.831,0.482,1552,0.032,1.514,,15.89,1.425,1.855,0.0165,0.0215,0.0271,0.767,,13,0.0185,1.425,36,0.000281,1.845
,10,442,20:30,1230,8.674,54,98.85,101.6,1449,0.306,1.446,1.862,0.224,0.434,0.193,0.0545,5.446,0.554,1680,0.043,1.531,,13.63,1.439,1.830,0.0176,0.0227,0.0287,0.776,,12,0.0171,1.439,36,-0.000244,1.839
,11,547,21:33,1293,8.709,55,113.6,115.5,1861,0.351,1.451,1.832,0.208,0.469,0.157,0.0565,5.650,0.349,1821,0.061,1.556,,9.012,1.454,1.813,0.0280,0.0284,0.0399,0.985,,12,0.0148,1.454,36,0.000269,1.803
,12,671,22:36,1356,8.489,55,142.8,126.3,2040,0.442,1.415,1.797,0.213,0.450,0.032,0.0505,5.048,0.560,2000,0.081,1.586,,8.879,1.457,1.784,0.0296,0.0219,0.0368,1.351,,12,0.0116,1.457,36,0.000697,1.759
,13,819,23:40,1420,8.203,56,141.6,135.8,2611,0.438,1.367,1.653,0.173,0.529,0.133,0.0529,5.293,0.582,2051,0.176,1.724,,8.399,1.365,1.652,0.0228,0.0255,0.0342,0.895,,15,0.0109,1.365,36,0.000768,1.624
,14,995,24:43,1483,8.146,56,143.0,143.4,,0.442,1.358,1.586,0.144,0.598,,,,,,0.225,1.798,,5.688,1.358,1.586,0.0269,0.0297,0.0401,0.904,,14,0.0105,1.358,36,0.000476,1.569
,15,1204,25:46,1546,7.922,59,166.8,148.6,,0.516,1.320,1.533,0.139,0.604,,,,,,0.268,1.860,,4.693,1.320,1.533,0.0298,0.0340,0.0452,0.878,,15,0.007494,1.320,36,0.000948,1.498
,16,1451,26:49,1609,7.334,62,160.1,151.3,,0.495,1.222,1.374,0.110,0.661,,,,,,0.414,2.075,,3.850,1.222,1.374,0.0284,0.0273,0.0394,1.042,,13,0.008077,1.222,36,-0.000058,1.376
,17,1745,27:52,1672,6.980,62,152.3,151.4,,0.471,1.163,1.275,0.087,0.717,,,,,,0.524,2.236,,3.584,1.163,1.275,0.009779,0.0295,0.0310,0.332,,12,0.003927,1.163,36,0.000970,1.240
,18,2094,28:55,1735,6.528,68,231.7,149.3,,0.716,1.088,1.223,0.111,0.632,,,,,,0.588,2.330,,2.458,1.088,1.223,0.0368,0.0409,0.0551,0.899,,29,0.002394,1.088,36,0.002099,1.148
,19,2508,29:58,1798,6.196,73,108.8,145.4,,0.337,1.033,1.079,0.043,0.842,,,,,,0.800,2.640,,1.044,1.033,1.079,0.0327,0.0307,0.0449,1.067,,14,0.005123,1.033,36,-0.002112,1.155
,20,3000,31:01,1861,6.134,77,173.5,140.1,,0.537,1.022,1.085,0.058,0.790,,,,,,0.791,2.627,,1.157,1.022,1.085,0.0403,0.0363,0.0542,1.112,,36,0.000722,1.022,36,-0.000339,1.097
,21,0,32:04,1924,6.722,33,0.000000,0.000000,0.000000,0.000000,1.120,1.675,0.331,,0.165,0.0615,6.149,0.724,1360,0.160,1.702,,41.87,1.140,1.638,0.007489,0.009216,0.0119,0.813,,13,0.0202,1.140,36,0.000187,1.631
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,6.474,44,0.000000,0.000000,0.000000,0.000000,0.894,1.377,0.351,,0.246,0.0658,4.387,0.633,1757,0.150,1.822,,79.84,0.909,1.344,0.003574,0.004119,0.005454,0.868,,12,0.0181,0.909,36,0.000022,1.343
,2,22,12:06,726,7.650,56,7.169,7.298,54.26,0.0186,1.050,1.557,0.326,0.149,0.309,0.0614,4.096,0.457,2563,0.017,1.611,,25.40,1.044,1.531,0.009144,0.0169,0.0192,0.542,,12,0.0197,1.044,36,0.000401,1.517
,3,49,13:09,789,7.574,56,15.59,15.79,122.0,0.0405,1.046,1.534,0.318,0.162,0.271,0.0620,4.135,0.529,2141,0.033,1.635,,22.05,1.047,1.499,0.0143,0.0147,0.0205,0.967,,13,0.0191,1.047,36,-0.000280,1.509
,4,81,14:12,852,7.667,55,25.58,25.24,217.6,0.0664,1.041,1.522,0.316,0.164,0.185,0.0669,4.461,0.546,1808,0.041,1.648,,15.70,1.065,1.474,0.0156,0.0208,0.0260,0.752,,12,0.0181,1.065,36,-0.000576,1.494
,5,118,15:15,915,7.947,58,33.62,35.37,291.8,0.0873,1.110,1.552,0.285,0.254,0.376,0.0616,4.107,0.430,2448,0.021,1.617,,19.84,1.091,1.531,0.0129,0.0180,0.0222,0.717,,12,0.0182,1.091,36,0.000329,1.520
,6,163,16:18,978,8.219,59,50.44,46.66,422.4,0.131,1.091,1.580,0.309,0.199,0.175,0.0645,4.303,0.479,2051,0.003,1.588,,19.50,1.101,1.536,0.0154,0.0161,0.0223,0.957,,13,0.0195,1.101,36,-0.000560,1.556
