File path:,
File note:,
File date:,07/06/17
File time:,02:10:01
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.361,0.372,0.368,0.378
Ek:,366.1,364.5,368.7,385.7
Pm:,102.4,116.6,112.0,92.15
Em:,919.3,1209,1066,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.205,0.103,0.121,0.083
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,19.09,44,0.000000,0.000000,0.000000,0.000000,3.182,5.039,0.369,,0.208,0.0723,7.233,0.724,1360,0.230,1.531,,105.6,3.254,4.889,0.0111,0.0108,0.0155,1.026,,12,0.0753,3.254,36,-0.000050,4.891
,2,22,12:06,726,22.97,62,7.602,7.710,93.66,0.0669,3.828,5.850,0.346,0.199,0.207,0.0707,7.070,0.673,1731,0.060,1.319,,34.33,3.904,5.687,0.0369,0.0366,0.0519,1.010,,12,0.0819,3.904,36,-0.000225,5.695
,3,49,13:09,789,23.24,62,16.27,16.56,215.1,0.143,3.873,5.799,0.332,0.226,0.234,0.0729,7.288,0.618,1872,0.069,1.331,,33.31,3.958,5.654,0.0374,0.0345,0.0509,1.083,,12,0.0747,3.958,36,-0.000064,5.657
,4,81,14:12,852,23.90,65,26.92,26.24,335.6,0.237,3.984,5.967,0.332,0.238,0.064,0.0688,6.880,0.650,1680,0.039,1.293,,31.64,4.106,5.822,0.0289,0.0459,0.0542,0.630,,12,0.0778,4.106,36,0.000500,5.804
,5,118,15:15,915,24.74,65,37.91,36.42,489.3,0.334,4.124,6.076,0.321,0.271,0.118,0.0689,6.886,0.641,1629,0.020,1.270,,27.45,4.213,5.901,0.0486,0.0377,0.0615,1.290,,12,0.0802,4.213,36,-0.001114,5.941
,6,163,16:18,978,26.67,67,46.13,47.50,696.6,0.406,4.445,6.200,0.283,0.365,0.240,0.0710,7.097,0.577,1629,0.000,1.244,,41.27,4.446,6.085,0.0138,0.0373,0.0397,0.369,,12,0.0789,4.446,36,0.000367,6.072
,7,216,17:21,1041,27.04,68,57.61,58.91,935.3,0.507,4.507,6.147,0.267,0.398,0.279,0.0719,7.190,0.549,1757,0.009,1.255,,26.52,4.484,6.061,0.0469,0.0366,0.0595,1.282,,12,0.0768,4.484,36,0.000894,6.029
,8,279,18:24,1104,27.29,68,71.05,70.50,1232,0.625,4.548,6.101,0.255,0.423,0.216,0.0734,7.335,0.526,1501,0.016,1.265,,25.49,4.560,5.990,0.0359,0.0431,0.0561,0.832,,13,0.0710,4.560,36,-0.000238,5.999
,9,353,19:27,1167,27.94,68,82.69,81.79,1564,0.728,4.657,6.081,0.234,0.469,0.196,0.0736,7.357,0.554,1488,0.019,1.269,,20.30,4.676,5.964,0.0391,0.0500,0.0635,0.781,,12,0.0631,4.676,36,0.000346,5.952
,10,442,20:31,1231,28.57,68,92.80,89.70,1951,0.817,4.762,6.027,0.210,0.521,0.191,0.0733,7.329,0.711,1309,0.029,1.280,,18.35,4.787,5.899,0.0393,0.0461,0.0606,0.854,,12,0.0564,4.787,36,-0.001354,5.947
,11,547,21:34,1294,29.24,69,100.0,95.64,2157,0.880,4.873,5.964,0.183,0.581,0.190,0.0655,6.548,0.614,1488,0.040,1.294,,16.02,4.840,5.901,0.0461,0.0476,0.0662,0.968,,12,0.0515,4.840,36,0.000018,5.901
,12,671,22:36,1356,28.70,69,110.7,99.84,2741,0.974,4.783,5.728,0.165,0.613,0.141,0.0678,6.783,0.649,1501,0.082,1.347,,15.70,4.769,5.669,0.0260,0.0510,0.0573,0.510,,12,0.0451,4.769,36,0.000427,5.653
,13,819,23:40,1420,27.71,66,116.3,102.1,3190,1.023,4.618,5.383,0.142,0.654,0.114,0.0647,6.468,0.428,912.0,0.152,1.433,,10.46,4.623,5.331,0.0442,0.0513,0.0677,0.862,,12,0.0335,4.623,36,0.000074,5.329
,14,995,24:43,1483,26.18,64,131.9,102.3,3683,1.161,4.364,5.031,0.133,0.664,0.173,0.0615,6.146,0.554,1488,0.232,1.534,,12.76,4.351,5.008,0.0322,0.0402,0.0515,0.802,,14,0.0283,4.351,36,0.001174,4.965
