File path:,
File note:,
File date:,07/06/17
File time:,10:01:35
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.320,0.341,0.345,0.371
Ek:,458.6,344.2,277.8,262.1
Pm:,92.80,89.96,89.22,78.98
Em:,,841.5,1052,1630
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.211,0.272,0.180,0.288
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,7.023,30,0.000000,0.000000,0.000000,0.000000,1.171,1.870,0.374,,0.210,0.0607,6.067,0.693,1731,0.077,1.814,,76.26,1.194,1.827,0.004949,0.006669,0.008304,0.742,,13,0.0248,1.194,36,0.000226,1.819
,2,22,12:08,728,7.916,34,7.290,6.877,75.17,0.0233,1.319,1.973,0.331,0.099,0.283,0.0567,5.674,0.502,2512,0.021,1.719,,20.17,1.329,1.926,0.0173,0.0241,0.0296,0.718,,15,0.0224,1.329,36,-0.000107,1.930
,3,49,13:11,791,8.265,35,15.30,14.88,173.5,0.0488,1.378,2.003,0.312,0.159,0.284,0.0588,5.879,0.383,2371,0.005,1.694,,17.73,1.382,1.993,0.0218,0.0266,0.0344,0.819,,16,0.0221,1.382,36,0.001380,1.943
,4,81,14:14,854,8.594,36,23.36,23.77,289.0,0.0745,1.432,2.013,0.288,0.225,0.336,0.0592,5.924,0.510,2512,0.000,1.685,,17.77,1.424,1.984,0.0227,0.0218,0.0315,1.040,,12,0.0221,1.424,36,-0.000132,1.988
,5,118,15:18,918,8.678,37,33.24,33.31,452.7,0.106,1.446,2.013,0.282,0.244,0.150,0.0637,6.370,0.442,2192,0.000,1.685,,16.45,1.468,1.993,0.0204,0.0245,0.0319,0.836,,12,0.0215,1.468,36,0.000902,1.960
,6,163,16:21,981,8.792,37,42.67,43.92,589.0,0.136,1.465,1.985,0.262,0.291,0.116,0.0600,6.000,0.548,2192,0.014,1.709,,14.78,1.469,1.966,0.0196,0.0273,0.0336,0.717,,12,0.0212,1.469,36,0.000409,1.951
,7,216,17:24,1044,8.815,37,53.74,55.15,756.3,0.171,1.469,1.956,0.249,0.320,0.294,0.0581,5.814,0.474,2320,0.029,1.735,,13.38,1.457,1.939,0.0183,0.0310,0.0360,0.589,,12,0.0202,1.457,36,0.000792,1.910
,8,279,18:27,1107,8.924,37,60.19,66.91,1080,0.192,1.487,1.896,0.216,0.398,0.319,0.0643,6.425,0.501,1603,0.062,1.789,,13.20,1.487,1.879,0.0153,0.0254,0.0297,0.603,,13,0.0164,1.487,36,0.000108,1.875
,9,353,19:30,1170,8.855,38,70.53,78.82,1167,0.225,1.476,1.844,0.200,0.433,0.067,0.0549,5.488,0.338,1808,0.092,1.840,,10.92,1.467,1.832,0.0226,0.0247,0.0334,0.915,,12,0.0170,1.467,36,0.000522,1.813
,10,442,20:33,1233,8.937,37,70.97,90.81,1568,0.226,1.490,1.774,0.161,0.532,0.167,0.0589,5.890,0.261,1437,0.135,1.912,,7.064,1.486,1.746,0.0213,0.0299,0.0367,0.712,,12,0.0127,1.486,36,-0.000642,1.769
,11,547,21:36,1296,8.679,38,91.65,98.07,1714,0.292,1.446,1.738,0.168,0.505,0.106,0.0520,5.204,0.591,1437,0.159,1.952,,6.474,1.434,1.710,0.0354,0.0236,0.0426,1.502,,15,0.0127,1.434,36,-0.000330,1.722
,12,671,22:39,1359,8.464,37,98.65,108.3,2206,0.315,1.411,1.654,0.147,0.551,0.024,0.0546,5.458,0.437,2051,0.217,2.051,,8.081,1.404,1.650,0.0227,0.0204,0.0306,1.115,,17,0.0108,1.404,36,0.000489,1.633
,13,819,23:42,1422,8.145,39,109.4,117.7,,0.349,1.357,1.567,0.134,0.577,,,,,,0.285,2.165,,5.008,1.357,1.567,0.0349,0.0230,0.0418,1.520,,12,0.0105,1.357,36,0.000739,1.540
,14,995,24:45,1485,7.730,39,113.1,125.5,,0.361,1.288,1.454,0.114,0.621,,,,,,0.385,2.334,,3.816,1.288,1.454,0.0304,0.0309,0.0433,0.984,,13,0.008008,1.288,36,0.000123,1.449
,15,1204,25:48,1548,7.187,41,173.1,131.6,,0.552,1.198,1.399,0.144,0.508,,,,,,0.439,2.425,,4.340,1.198,1.399,0.0293,0.0360,0.0464,0.814,,35,0.005744,1.198,36,0.000391,1.385
,16,1451,26:51,1611,7.040,43,116.6,136.1,,0.372,1.173,1.276,0.080,0.706,,,,,,0.578,2.659,,2.493,1.173,1.276,0.0322,0.0256,0.0411,1.256,,14,0.005289,1.173,36,0.001154,1.234
,17,1745,27:54,1674,6.465,44,167.1,139.0,,0.533,1.077,1.192,0.096,0.632,,,,,,0.690,2.847,,2.261,1.077,1.192,0.0311,0.0398,0.0505,0.781,,14,0.006800,1.077,36,0.000239,1.183
,18,2094,28:57,1737,5.932,50,341.7,140.8,,1.090,0.989,1.182,0.163,0.368,,,,,,0.704,2.871,,3.465,0.989,1.182,0.0424,0.0360,0.0556,1.180,,16,0.004896,0.989,36,0.001525,1.127
,19,2508,30:00,1800,,49,-3094871,141.7,,,,,,,,,,,,,,,,1.046,0.982,0.0435,0.0402,0.0593,1.081,,12,0.007333,1.046,36,-0.002580,1.075
,20,3000,31:04,1864,5.714,58,256.4,142.1,,0.818,0.952,1.041,0.085,0.636,,,,,,0.934,3.258,,1.659,0.952,1.041,0.0357,0.0400,0.0537,0.892,,17,0.003617,0.952,36,0.001298,0.995
,21,0,32:07,1927,6.675,24,0.000000,0.000000,0.000000,0.000000,1.112,1.572,0.292,,0.289,0.0606,6.061,0.702,1437,0.281,2.158,,37.44,1.109,1.541,0.006721,0.009385,0.0115,0.716,,13,0.0174,1.109,36,0.000069,1.539
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,7.023,36,0.000000,0.000000,0.000000,0.000000,0.969,1.540,0.371,,0.240,0.0679,4.525,0.689,1731,0.082,1.934,,105.7,0.983,1.502,0.003050,0.003852,0.004913,0.792,,12,0.0226,0.983,36,-0.000058,1.504
,2,22,12:08,728,7.916,41,7.477,7.276,59.04,0.0199,1.072,1.623,0.340,0.036,0.290,0.0668,4.456,0.578,2192,0.026,1.835,,21.97,1.071,1.583,0.0162,0.0168,0.0233,0.962,,12,0.0234,1.071,36,0.000052,1.582
,3,49,13:11,791,8.265,42,15.37,15.59,120.3,0.0409,1.140,1.661,0.314,0.123,0.270,0.0611,4.076,0.554,2640,0.003,1.794,,23.23,1.144,1.634,0.0173,0.0121,0.0211,1.425,,12,0.0201,1.144,36,0.000474,1.616
,4,81,14:14,854,8.594,43,24.11,24.64,205.4,0.0641,1.170,1.666,0.298,0.170,0.253,0.0632,4.211,0.537,2269,0.000,1.788,,17.63,1.175,1.641,0.0177,0.0195,0.0264,0.907,,12,0.0189,1.175,36,0.000435,1.625
,5,118,15:18,918,8.678,43,32.91,34.11,313.2,0.0875,1.194,1.656,0.279,0.220,0.261,0.0661,4.407,0.464,2320,0.006,1.798,,14.96,1.191,1.636,0.0228,0.0191,0.0297,1.192,,12,0.0196,1.191,36,0.000432,1.620
,6,163,16:21,981,8.792,43,46.16,44.33,428.6,0.123,1.178,1.643,0.283,0.203,0.047,0.0655,4.366,0.587,1923,0.014,1.813,,18.73,1.209,1.602,0.0123,0.0170,0.0210,0.725,,12,0.0172,1.209,36,-0.000117,1.606
,7,216,17:24,1044,8.815,44,53.38,54.77,581.5,0.142,1.201,1.595,0.247,0.291,0.229,0.0671,4.471,0.448,2192,0.044,1.867,,12.39,1.209,1.585,0.0210,0.0220,0.0304,0.956,,12,0.0157,1.209,36,0.000813,1.556
,8,279,18:27,1107,8.924,43,67.82,65.27,746.9,0.180,1.197,1.582,0.243,0.299,0.206,0.0667,4.445,0.552,1872,0.053,1.883,,13.45,1.192,1.557,0.0198,0.0184,0.0271,1.075,,12,0.0184,1.192,36,0.000072,1.554
,9,353,19:30,1170,8.855,43,73.73,75.02,853.0,0.196,1.210,1.529,0.209,0.384,0.268,0.0602,4.013,0.432,1552,0.089,1.948,,13.62,1.206,1.507,0.0127,0.0181,0.0221,0.703,,14,0.0126,1.206,36,-0.000110,1.511
,10,442,20:33,1233,8.937,43,81.11,81.11,1076,0.216,1.204,1.474,0.184,0.446,0.212,0.0606,4.043,0.478,1552,0.130,2.020,,9.001,1.199,1.459,0.0226,0.0180,0.0289,1.254,,12,0.0121,1.199,36,0.000001,1.459
,11,547,21:36,1296,8.679,44,84.93,85.77,1444,0.226,1.197,1.417,0.155,0.518,0.233,0.0658,4.383,0.480,1680,0.176,2.103,,6.958,1.189,1.414,0.0268,0.0182,0.0324,1.475,,12,0.0107,1.189,36,0.000655,1.390
,12,671,22:39,1359,8.464,44,114.7,88.76,1879,0.305,1.130,1.362,0.171,0.456,0.029,0.0698,4.651,0.320,1680,0.223,2.187,,9.189,1.126,1.359,0.0179,0.0179,0.0253,0.999,,13,0.0123,1.126,36,0.000515,1.340
,13,819,23:42,1422,8.145,44,96.26,89.94,1351,0.256,1.139,1.291,0.118,0.611,0.019,0.0411,2.739,0.740,3203,0.290,2.308,,6.209,1.130,1.290,0.0189,0.0175,0.0258,1.077,,22,0.005670,1.130,36,0.000540,1.270
,14,995,24:45,1485,7.730,45,106.5,89.30,,0.283,1.078,1.207,0.107,0.629,,,,,,0.380,2.468,,3.857,1.078,1.207,0.0246,0.0227,0.0335,1.084,,12,0.005263,1.078,36,0.000116,1.203
,15,1204,25:48,1548,7.187,46,115.7,87.02,,0.308,1.022,1.131,0.096,0.651,,,,,,0.473,2.635,,3.156,1.022,1.131,0.0227,0.0259,0.0344,0.879,,23,0.002442,1.022,36,0.000702,1.105
,16,1451,26:51,1611,7.040,48,122.2,83.49,,0.325,0.973,1.063,0.084,0.680,,,,,,0.568,2.803,,3.222,0.973,1.063,0.0200,0.0193,0.0278,1.034,,12,0.002625,0.973,36,0.000661,1.039
,17,1745,27:54,1674,6.465,49,159.6,79.13,,0.424,0.895,0.985,0.091,0.632,,,,,,0.691,3.023,,2.807,0.895,0.985,0.0197,0.0254,0.0321,0.776,,16,0.004883,0.895,36,-0.000304,0.996
,18,2094,28:57,1737,5.932,52,-2583995,74.42,,,,,,,,,,,,,,,0.798,0.911,0.933,0.0224,0.0171,0.0282,1.314,,26,-0.000080,0.911,36,0.000172,0.927
,19,2508,30:00,1800,,51,221.2,69.80,,0.588,0.813,0.892,0.088,0.617,,,,,,0.868,3.341,,2.624,0.813,0.892,0.0178,0.0241,0.0300,0.741,,26,0.001755,0.813,36,0.000546,0.872
,20,3000,31:04,1864,5.714,61,41.03,65.60,,0.109,0.835,0.847,0.014,0.938,,,,,,0.967,3.518,,0.323,0.835,0.847,0.0262,0.0244,0.0358,1.075,,12,0.002239,0.835,36,0.000283,0.837
,21,0,32:07,1927,6.675,28,0.000000,0.000000,0.000000,0.000000,0.904,1.309,0.309,,0.216,0.0731,4.875,0.648,1283,0.273,2.276,,36.84,0.920,1.277,0.006591,0.007100,0.009688,0.928,,12,0.0164,0.920,36,-0.000094,1.281
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,7.023,37,0.000000,0.000000,0.000000,0.000000,0.848,1.339,0.367,,0.232,0.0674,3.747,0.686,1757,0.076,1.835,,95.78,0.864,1.308,0.003565,0.002972,0.004641,1.200,,12,0.0192,0.864,36,0.000127,1.304
,2,22,12:08,728,7.916,43,7.727,7.308,46.03,0.0182,0.917,1.413,0.351,0.038,0.110,0.0625,3.475,0.572,2128,0.020,1.739,,21.75,0.938,1.380,0.0137,0.0150,0.0203,0.912,,12,0.0183,0.938,36,0.000158,1.374
,3,49,13:11,791,8.265,43,14.88,15.52,99.43,0.0351,0.997,1.432,0.304,0.175,0.258,0.0607,3.370,0.524,2320,0.007,1.716,,18.53,0.993,1.401,0.0158,0.0153,0.0220,1.029,,13,0.0173,0.993,36,-0.000135,1.406
,4,81,14:14,854,8.594,44,23.85,24.27,161.2,0.0562,1.017,1.441,0.294,0.203,0.254,0.0595,3.304,0.494,2589,0.000,1.705,,19.78,1.021,1.415,0.0139,0.0143,0.0199,0.969,,12,0.0159,1.021,36,0.000114,1.411
