File path:,
File note:,
File date:,08/06/17
File time:,06:55:28
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.415,0.419,0.423,0.428
Ek:,260.8,267.8,260.4,287.1
Pm:,108.3,147.0,110.2,113.2
Em:,,,,1138
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.970,0.077,0.098,0.124
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,24.77,40,0.000000,0.000000,0.000000,0.000000,4.129,7.270,0.432,,0.217,0.0472,4.721,0.697,2051,0.277,1.325,,194.5,4.205,7.101,0.007850,0.0127,0.0149,0.620,,12,0.0907,4.205,36,0.001942,7.031
,2,22,12:08,728,31.68,51,9.034,8.765,63.32,0.0880,5.280,8.959,0.411,0.148,0.120,0.0478,4.779,0.616,3011,0.037,1.075,,48.13,5.414,8.754,0.0396,0.0569,0.0694,0.696,,12,0.112,5.414,36,0.002311,8.670
,3,49,13:11,791,33.72,53,18.81,18.56,140.3,0.183,5.620,9.123,0.384,0.211,0.087,0.0476,4.755,0.518,3152,0.018,1.056,,47.00,5.733,8.909,0.0288,0.0611,0.0676,0.471,,12,0.109,5.733,36,0.001284,8.863
,4,81,14:14,854,36.57,53,27.56,28.92,243.1,0.269,6.096,9.240,0.340,0.305,0.292,0.0498,4.985,0.476,3600,0.005,1.042,,41.85,6.010,9.156,0.0459,0.0596,0.0752,0.770,,12,0.112,6.010,36,0.004148,9.006
,5,118,15:17,917,37.88,54,37.77,39.43,361.3,0.368,6.314,9.286,0.320,0.348,0.279,0.0508,5.085,0.524,3152,0.000,1.037,,36.61,6.273,9.199,0.0413,0.0684,0.0799,0.604,,12,0.101,6.273,36,0.003008,9.091
,6,163,16:20,980,38.38,54,49.60,50.35,516.2,0.483,6.396,9.194,0.304,0.377,0.261,0.0526,5.259,0.494,2960,0.010,1.047,,41.48,6.390,9.052,0.0420,0.0485,0.0642,0.866,,12,0.0985,6.390,36,0.001647,8.992
,7,216,17:23,1043,38.78,53,59.01,61.01,641.5,0.575,6.464,8.893,0.273,0.431,0.235,0.0493,4.932,0.536,2640,0.044,1.083,,31.68,6.432,8.777,0.0397,0.0625,0.0740,0.635,,12,0.0863,6.432,36,0.002142,8.700
,8,279,18:26,1106,38.74,53,73.09,71.17,848.6,0.712,6.457,8.749,0.262,0.450,0.188,0.0505,5.051,0.536,2448,0.061,1.101,,28.01,6.453,8.670,0.0520,0.0596,0.0791,0.873,,12,0.0808,6.453,36,0.003501,8.544
,9,353,19:29,1169,38.89,51,81.26,80.35,1115,0.792,6.481,8.419,0.230,0.506,0.203,0.0524,5.243,0.567,2269,0.103,1.144,,42.09,6.436,8.341,0.0349,0.0288,0.0453,1.214,,12,0.0764,6.436,36,0.000708,8.315
,10,442,20:33,1233,38.03,50,93.57,88.44,1405,0.912,6.338,8.040,0.212,0.535,0.176,0.0528,5.280,0.546,2051,0.155,1.198,,24.97,6.350,7.965,0.0436,0.0477,0.0646,0.913,,12,0.0609,6.350,36,0.000839,7.934
,11,547,21:36,1296,36.16,48,102.4,95.03,1681,0.998,6.026,7.414,0.187,0.570,0.175,0.0510,5.104,0.497,2051,0.252,1.299,,21.04,6.044,7.391,0.0379,0.0516,0.0640,0.735,,12,0.0467,6.044,36,0.002616,7.297
,12,671,22:39,1359,34.78,45,105.5,100.1,2097,1.028,5.797,6.878,0.157,0.623,0.228,0.0519,5.191,0.458,1757,0.350,1.400,,15.63,5.789,6.843,0.0476,0.0478,0.0674,0.997,,12,0.0386,5.789,36,0.001159,6.802
,13,819,23:42,1422,33.25,44,99.97,103.6,2399,0.974,5.542,6.313,0.122,0.692,0.181,0.0486,4.864,0.582,1603,0.471,1.525,,11.69,5.515,6.316,0.0458,0.0509,0.0685,0.899,,15,0.0292,5.515,36,0.001616,6.257
,14,995,24:45,1485,30.91,42,112.8,105.9,2464,1.099,5.151,5.810,0.113,0.699,0.174,0.0411,4.112,0.522,1872,0.598,1.658,,9.366,5.135,5.807,0.0610,0.0379,0.0718,1.610,,14,0.0216,5.135,36,0.001097,5.768
,15,1204,25:48,1548,28.67,41,134.1,107.3,2396,1.307,4.779,5.378,0.111,0.689,0.018,0.0330,3.305,0.554,3280,0.727,1.791,,10.44,4.773,5.341,0.0346,0.0420,0.0544,0.823,,12,0.0169,4.773,36,0.001774,5.277
,16,1451,26:51,1611,27.06,40,121.8,107.9,4775,1.187,4.511,4.924,0.084,0.752,0.013,0.0546,5.464,0.784,1680,0.886,1.956,,6.553,4.541,4.906,0.0330,0.0449,0.0557,0.735,,12,0.0177,4.541,36,0.000367,4.893
,17,1745,27:54,1674,26.02,40,119.1,108.2,,1.160,4.337,4.654,0.068,0.791,,,,,,0.995,2.069,,3.838,4.337,4.654,0.0698,0.0444,0.0827,1.573,,12,0.008829,4.337,36,0.000084,4.651
,18,2094,28:57,1737,25.01,41,108.1,108.3,,1.053,4.168,4.395,0.052,0.835,,,,,,1.113,2.191,,2.898,4.168,4.395,0.0514,0.0591,0.0783,0.870,,19,0.007654,4.168,36,0.001865,4.328
,19,2508,30:00,1800,24.48,41,20.79,108.3,,0.203,4.080,4.114,0.008,0.972,,,,,,1.257,2.341,,0.629,4.080,4.114,0.0326,0.0434,0.0542,0.751,,14,0.004746,4.080,36,-0.000110,4.118
,20,3000,31:03,1863,22.48,44,139.7,108.3,,1.361,3.747,3.930,0.047,0.839,,,,,,1.363,2.450,,1.730,3.747,3.930,0.0833,0.0652,0.106,1.278,,16,0.007800,3.747,36,0.000049,3.928
,21,0,32:06,1926,23.15,28,0.000000,0.000000,0.000000,0.000000,3.858,5.956,0.352,,0.181,0.0506,5.062,0.731,1629,0.559,1.617,,78.85,3.898,5.849,0.0174,0.0176,0.0247,0.993,,14,0.0668,3.898,36,0.000667,5.825
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,24.77,50,0.000000,0.000000,0.000000,0.000000,3.504,6.181,0.433,,0.314,0.0573,3.819,0.666,2077,0.272,1.207,,196.9,3.550,6.040,0.005918,0.0112,0.0126,0.529,,12,0.0902,3.550,36,0.000562,6.020
,2,22,12:08,728,31.68,63,9.010,8.853,50.99,0.0743,4.442,7.523,0.410,0.184,0.240,0.0577,3.849,0.562,3011,0.045,0.992,,51.97,4.491,7.348,0.0387,0.0391,0.0550,0.990,,12,0.109,4.491,36,0.000279,7.338
,3,49,13:11,791,33.72,65,18.56,18.77,109.5,0.153,4.754,7.653,0.379,0.252,0.144,0.0557,3.712,0.534,3472,0.027,0.975,,62.96,4.805,7.462,0.0271,0.0324,0.0422,0.836,,12,0.103,4.805,36,0.000410,7.447
,4,81,14:14,854,36.57,66,30.08,29.30,185.2,0.248,4.942,7.861,0.371,0.276,0.054,0.0569,3.796,0.558,3152,0.000,0.949,,51.04,5.077,7.669,0.0401,0.0311,0.0508,1.288,,12,0.103,5.077,36,0.000747,7.642
,5,118,15:17,917,37.88,66,38.07,40.00,279.3,0.314,5.291,7.810,0.323,0.369,0.282,0.0590,3.930,0.514,3229,0.007,0.955,,47.92,5.248,7.662,0.0370,0.0342,0.0504,1.080,,12,0.101,5.248,36,0.000035,7.660
,6,163,16:20,980,38.38,66,49.34,51.18,391.9,0.407,5.397,7.740,0.303,0.406,0.262,0.0599,3.992,0.478,2909,0.016,0.964,,36.14,5.382,7.612,0.0477,0.0392,0.0617,1.215,,12,0.0926,5.382,36,0.000629,7.590
,7,216,17:23,1043,38.78,64,60.08,62.14,526.8,0.496,5.377,7.449,0.278,0.443,0.247,0.0607,4.050,0.510,2640,0.055,1.002,,32.28,5.382,7.368,0.0348,0.0507,0.0615,0.686,,12,0.0787,5.382,36,0.001014,7.331
,8,279,18:26,1106,38.74,64,74.46,72.78,659.0,0.614,5.410,7.379,0.267,0.463,0.225,0.0588,3.923,0.490,2512,0.065,1.011,,31.78,5.404,7.265,0.0413,0.0415,0.0585,0.993,,12,0.0806,5.404,36,0.000873,7.233
,9,353,19:29,1169,38.89,63,84.64,83.25,832.9,0.698,5.443,7.160,0.240,0.510,0.264,0.0588,3.918,0.482,2640,0.098,1.042,,30.67,5.419,7.069,0.0297,0.0449,0.0538,0.662,,13,0.0698,5.419,36,0.001508,7.015
,10,442,20:33,1233,38.03,61,93.42,92.81,1125,0.771,5.324,6.751,0.211,0.555,0.206,0.0634,4.228,0.540,2000,0.164,1.105,,23.15,5.318,6.672,0.0394,0.0432,0.0585,0.914,,13,0.0602,5.318,36,-0.000049,6.674
,11,547,21:36,1296,36.16,58,100.5,101.0,1295,0.829,5.116,6.267,0.184,0.597,0.237,0.0590,3.931,0.464,2192,0.254,1.190,,19.92,5.081,6.210,0.0441,0.0356,0.0567,1.238,,12,0.0489,5.081,36,0.000795,6.182
,12,671,22:39,1359,34.78,55,106.3,107.8,1507,0.877,4.861,5.776,0.158,0.637,0.136,0.0559,3.729,0.497,2051,0.361,1.292,,18.12,4.828,5.716,0.0304,0.0385,0.0490,0.790,,12,0.0419,4.828,36,-0.000090,5.719
,13,819,23:42,1422,33.25,52,107.3,113.2,1894,0.885,4.596,5.289,0.131,0.684,0.200,0.0576,3.839,0.457,1923,0.486,1.410,,13.28,4.590,5.273,0.0316,0.0406,0.0514,0.777,,12,0.0274,4.590,36,0.000668,5.249
,14,995,24:45,1485,30.91,50,122.1,117.5,2088,1.007,4.291,4.891,0.123,0.690,0.153,0.0523,3.484,0.551,1603,0.607,1.525,,11.16,4.298,4.863,0.0378,0.0337,0.0506,1.121,,18,0.0204,4.298,36,0.000813,4.834
,15,1204,25:48,1548,28.67,48,108.4,120.9,1836,0.894,4.072,4.475,0.090,0.760,0.031,0.0380,2.532,0.466,2051,0.757,1.667,,8.440,4.077,4.471,0.0279,0.0373,0.0466,0.749,,17,0.0112,4.077,36,0.001564,4.414
,16,1451,26:51,1611,27.06,47,133.0,123.8,3254,1.097,3.773,4.154,0.092,0.744,0.131,0.0559,3.724,0.490,2000,0.893,1.796,,7.663,3.776,4.147,0.0297,0.0382,0.0484,0.778,,13,0.0141,3.776,36,0.000814,4.118
,17,1745,27:54,1674,26.02,47,131.6,126.4,3638,1.085,3.616,3.911,0.075,0.781,0.108,0.0519,3.462,0.822,2128,1.010,1.908,,6.245,3.611,3.908,0.0198,0.0433,0.0476,0.459,,14,0.0117,3.611,36,0.000089,3.905
,18,2094,28:57,1737,25.01,46,130.0,128.9,,1.073,3.462,3.692,0.062,0.812,,,,,,1.129,2.021,,4.572,3.462,3.692,0.0387,0.0319,0.0501,1.211,,13,0.009434,3.462,36,-0.000129,3.696
,19,2508,30:00,1800,24.48,49,179.0,131.5,,1.477,3.301,3.555,0.071,0.779,,,,,,1.212,2.099,,5.399,3.301,3.555,0.0292,0.0368,0.0470,0.793,,30,0.004583,3.301,36,0.002308,3.471
,20,3000,31:03,1863,22.48,49,121.9,134.0,,1.006,3.167,3.302,0.041,0.868,,,,,,1.381,2.260,,2.714,3.167,3.302,0.0303,0.0390,0.0494,0.777,,12,0.005483,3.167,36,0.000251,3.293
,21,0,32:06,1926,23.15,34,0.000000,0.000000,0.000000,0.000000,3.255,5.124,0.365,,0.250,0.0608,4.055,0.725,1603,0.534,1.456,,87.03,3.312,4.994,0.0147,0.0126,0.0193,1.167,,12,0.0654,3.312,36,-0.000318,5.005
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,24.77,50,0.000000,0.000000,0.000000,0.000000,2.899,5.113,0.433,,0.290,0.0554,3.077,0.682,2051,0.259,1.297,,166.0,2.940,4.989,0.007421,0.009866,0.0123,0.752,,12,0.0723,2.940,36,0.000155,4.984
,2,22,12:08,728,31.68,63,9.063,8.929,41.12,0.0619,3.642,6.194,0.412,0.147,0.209,0.0559,3.104,0.543,2909,0.040,1.071,,60.63,3.685,6.058,0.0231,0.0316,0.0391,0.733,,12,0.0917,3.685,36,0.000829,6.028
,3,49,13:11,791,33.72,64,19.45,18.90,89.10,0.133,3.815,6.325,0.397,0.187,0.059,0.0544,3.020,0.574,3037,0.018,1.049,,42.87,3.919,6.177,0.0324,0.0415,0.0527,0.782,,12,0.0870,3.919,36,0.001554,6.121
,4,81,14:14,854,36.57,65,28.41,29.46,158.1,0.194,4.181,6.439,0.351,0.288,0.302,0.0583,3.241,0.470,3357,0.000,1.030,,42.68,4.173,6.316,0.0384,0.0324,0.0502,1.186,,12,0.0855,4.173,36,0.000793,6.288
,5,118,15:17,917,37.88,66,38.35,40.16,226.1,0.262,4.332,6.417,0.325,0.339,0.283,0.0573,3.182,0.506,3203,0.003,1.033,,36.75,4.320,6.325,0.0409,0.0362,0.0546,1.130,,12,0.0785,4.320,36,0.001526,6.270
,6,163,16:20,980,38.38,66,50.33,51.28,315.9,0.344,4.396,6.360,0.309,0.369,0.265,0.0579,3.218,0.514,2832,0.012,1.043,,46.05,4.386,6.258,0.0241,0.0327,0.0406,0.739,,12,0.0755,4.386,36,0.000681,6.233
,7,216,17:23,1043,38.78,63,60.95,62.13,415.3,0.416,4.399,6.129,0.282,0.413,0.246,0.0575,3.193,0.500,2717,0.051,1.082,,45.17,4.377,6.054,0.0213,0.0304,0.0371,0.701,,13,0.0680,4.377,36,0.000831,6.024
,8,279,18:26,1106,38.74,63,72.49,72.46,554.2,0.495,4.470,6.038,0.260,0.455,0.231,0.0594,3.298,0.473,2397,0.066,1.098,,38.19,4.458,5.973,0.0212,0.0335,0.0397,0.632,,12,0.0618,4.458,36,0.000828,5.944
,9,353,19:29,1169,38.89,63,85.64,81.80,663.7,0.585,4.462,5.892,0.243,0.484,0.204,0.0562,3.122,0.549,2371,0.093,1.126,,29.55,4.445,5.800,0.0254,0.0381,0.0458,0.668,,12,0.0564,4.445,36,0.000308,5.789
,10,442,20:33,1233,38.03,60,94.99,90.03,869.4,0.648,4.326,5.511,0.215,0.526,0.187,0.0588,3.266,0.530,2051,0.168,1.203,,21.01,4.322,5.444,0.0361,0.0394,0.0534,0.916,,12,0.0494,4.322,36,-0.000007,5.444
,11,547,21:36,1296,36.16,56,99.89,96.73,1053,0.682,4.187,5.122,0.183,0.581,0.155,0.0575,3.197,0.586,1808,0.257,1.295,,24.19,4.157,5.070,0.0286,0.0246,0.0377,1.162,,12,0.0406,4.157,36,-0.000030,5.071
,12,671,22:39,1359,34.78,54,106.6,101.8,1282,0.728,3.979,4.730,0.159,0.618,0.211,0.0571,3.173,0.530,2051,0.361,1.402,,18.63,3.952,4.686,0.0278,0.0280,0.0394,0.992,,12,0.0332,3.952,36,-0.000201,4.693
,13,819,23:42,1422,33.25,52,110.4,105.5,1213,0.754,3.774,4.363,0.135,0.660,0.022,0.0443,2.459,0.554,2640,0.476,1.520,,16.07,3.739,4.340,0.0254,0.0274,0.0374,0.928,,13,0.0261,3.739,36,0.001255,4.294
