File path:,
File note:,
File date:,08/06/17
File time:,10:12:55
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.442,0.455,0.457,0.461
Ek:,276.9,274.0,249.5,269.4
Pm:,117.2,78.72,110.2,109.7
Em:,1529,,1374,930.9
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.068,0.110,0.119,0.133
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,16.19,34,0.000000,0.000000,0.000000,0.000000,2.699,4.935,0.453,,0.280,0.0522,5.221,0.670,2192,0.226,1.171,,167.2,2.739,4.820,0.007670,0.009801,0.0124,0.783,,12,0.0692,2.739,36,0.000839,4.790
,2,22,12:06,726,20.12,43,9.372,9.344,68.11,0.0569,3.353,5.841,0.426,0.153,0.221,0.0514,5.141,0.562,3139,0.036,0.989,,49.70,3.391,5.714,0.0305,0.0354,0.0467,0.863,,12,0.0798,3.391,36,0.001267,5.668
,3,49,13:09,789,21.44,45,20.05,19.84,155.8,0.122,3.574,6.049,0.409,0.200,0.212,0.0528,5.281,0.560,3331,0.000,0.955,,39.26,3.639,5.963,0.0313,0.0502,0.0592,0.623,,13,0.0790,3.639,36,0.002345,5.878
,4,81,14:12,852,22.54,45,30.41,31.03,263.9,0.185,3.757,6.015,0.375,0.264,0.260,0.0541,5.411,0.524,2832,0.006,0.960,,37.13,3.740,5.900,0.0337,0.0474,0.0582,0.711,,12,0.0824,3.740,36,0.000857,5.869
,5,118,15:15,915,23.16,44,41.10,42.45,362.5,0.250,3.860,5.923,0.348,0.312,0.306,0.0510,5.102,0.497,3203,0.021,0.975,,33.15,3.810,5.862,0.0441,0.0435,0.0619,1.013,,12,0.0752,3.810,36,0.002237,5.781
,6,163,16:18,978,23.16,44,56.77,54.44,539.4,0.345,3.860,5.922,0.348,0.312,0.102,0.0549,5.495,0.578,2512,0.021,0.975,,34.46,3.960,5.778,0.0404,0.0339,0.0527,1.190,,12,0.0686,3.960,36,-0.000332,5.789
,7,216,17:21,1041,24.57,45,65.80,66.27,748.5,0.400,4.096,5.890,0.305,0.397,0.260,0.0575,5.754,0.483,2243,0.027,0.981,,32.67,4.085,5.800,0.0322,0.0415,0.0525,0.776,,12,0.0659,4.085,36,0.000690,5.775
,8,279,18:25,1105,24.84,45,78.18,77.66,919.1,0.475,4.141,5.753,0.280,0.438,0.244,0.0547,5.470,0.511,2589,0.052,1.004,,29.39,4.120,5.701,0.0364,0.0395,0.0538,0.922,,12,0.0607,4.120,36,0.001728,5.638
,9,353,19:27,1167,24.88,44,87.86,87.66,1107,0.534,4.147,5.521,0.249,0.491,0.250,0.0521,5.209,0.510,2589,0.096,1.046,,23.67,4.116,5.462,0.0392,0.0412,0.0569,0.951,,12,0.0531,4.116,36,0.001338,5.413
,10,442,20:31,1231,24.21,43,97.70,96.52,1490,0.593,4.035,5.180,0.221,0.532,0.187,0.0560,5.599,0.501,2243,0.168,1.115,,16.97,4.054,5.120,0.0479,0.0406,0.0628,1.180,,13,0.0405,4.054,36,0.000085,5.117
,11,547,21:34,1294,24.68,43,104.4,103.8,1744,0.634,4.114,5.084,0.191,0.592,0.122,0.0529,5.294,0.554,2192,0.190,1.136,,16.80,4.109,5.072,0.0417,0.0393,0.0573,1.061,,12,0.0378,4.109,36,0.001557,5.015
