File path:,
File note:,
File date:,09/06/17
File time:,04:04:11
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.380,0.393,0.384,0.388
Ek:,355.3,330.1,357.2,368.1
Pm:,125.5,110.3,105.4,116.2
Em:,1244,1028,879.6,1038
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.151,0.149,0.232,0.120
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,16.46,31,0.000000,0.000000,0.000000,0.000000,2.744,4.560,0.398,,0.275,0.0588,5.885,0.725,1603,0.176,1.314,,126.8,2.788,4.449,0.006738,0.0112,0.0131,0.600,,12,0.0625,2.788,36,0.000075,4.446
,2,22,12:08,728,18.98,38,8.230,8.105,77.10,0.0578,3.163,5.053,0.374,0.182,0.242,0.0582,5.819,0.611,1949,0.062,1.186,,35.69,3.207,4.930,0.0336,0.0347,0.0483,0.970,,13,0.0652,3.207,36,-0.000208,4.937
,3,49,13:12,792,20.43,39,17.05,17.39,162.2,0.120,3.405,5.221,0.348,0.253,0.131,0.0550,5.498,0.664,2192,0.027,1.148,,33.94,3.439,5.100,0.0323,0.0367,0.0489,0.881,,12,0.0635,3.439,36,0.000756,5.073
,4,81,14:15,855,21.07,41,27.98,27.52,288.0,0.197,3.511,5.364,0.345,0.269,0.118,0.0590,5.904,0.618,1949,0.000,1.117,,32.20,3.595,5.222,0.0287,0.0416,0.0505,0.689,,12,0.0648,3.595,36,-0.000208,5.230
,5,118,15:17,917,21.49,41,39.17,38.15,442.8,0.275,3.581,5.361,0.332,0.297,0.125,0.0623,6.232,0.640,2000,0.001,1.118,,33.38,3.667,5.268,0.0347,0.0331,0.0480,1.046,,14,0.0637,3.667,36,0.000632,5.245
,6,163,16:20,980,22.78,41,46.61,49.67,590.5,0.327,3.796,5.317,0.286,0.392,0.242,0.0602,6.016,0.528,1872,0.009,1.127,,26.94,3.785,5.227,0.0341,0.0412,0.0535,0.829,,14,0.0592,3.785,36,0.000503,5.209
,7,216,17:24,1044,22.99,41,59.06,61.49,834.7,0.415,3.831,5.273,0.273,0.416,0.265,0.0642,6.417,0.490,1731,0.017,1.136,,23.55,3.836,5.175,0.0362,0.0438,0.0569,0.827,,13,0.0571,3.836,36,0.000402,5.160
,8,279,18:27,1107,23.17,42,71.63,73.44,1013,0.503,3.862,5.196,0.257,0.447,0.235,0.0603,6.030,0.606,2051,0.032,1.153,,21.40,3.864,5.156,0.0464,0.0386,0.0603,1.202,,12,0.0519,3.864,36,0.001226,5.112
,9,353,19:30,1170,22.84,42,87.98,85.01,1198,0.618,3.807,5.071,0.249,0.456,0.213,0.0564,5.637,0.562,2051,0.058,1.182,,21.70,3.795,5.022,0.0331,0.0458,0.0566,0.723,,12,0.0495,3.795,36,0.001589,4.965
,10,442,20:33,1233,23.75,42,98.52,95.83,1518,0.692,3.958,5.094,0.223,0.515,0.222,0.0570,5.703,0.614,1680,0.053,1.176,,17.82,3.961,5.040,0.0450,0.0405,0.0605,1.112,,16,0.0408,3.961,36,0.000209,5.032
