File path:,
File note:,
File date:,09/06/17
File time:,16:58:15
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.478,0.486,0.485,0.491
Ek:,704.4,725.4,724.9,754.5
Pm:,246.1,267.9,248.7,234.2
Em:,1761,5287,1563,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.067,0.040,0.034,0.041
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,20.66,34,0.000000,0.000000,0.000000,0.000000,3.443,6.293,0.453,,0.332,0.0446,4.459,0.731,1629,0.352,1.239,,135.6,3.480,6.189,0.0115,0.0163,0.0200,0.708,,16,0.0742,3.480,36,0.001983,6.117
,2,22,12:06,726,23.92,43,10.26,10.36,60.16,0.0795,3.986,7.468,0.466,0.047,0.313,0.0454,4.541,0.623,1731,0.140,1.044,,48.09,4.103,7.302,0.0514,0.0422,0.0665,1.217,,13,0.0890,4.103,36,0.000977,7.266
,3,49,13:09,789,25.60,46,21.84,22.64,127.1,0.169,4.266,7.696,0.446,0.103,0.325,0.0431,4.308,0.614,1872,0.106,1.013,,51.61,4.286,7.562,0.0401,0.0492,0.0635,0.815,,19,0.0889,4.286,36,0.002487,7.473
,4,81,14:13,853,26.79,47,35.77,36.60,218.0,0.277,4.465,7.996,0.442,0.128,0.323,0.0447,4.469,0.633,1731,0.064,0.975,,49.88,4.499,7.857,0.0377,0.0558,0.0673,0.675,,14,0.0952,4.499,36,0.002411,7.770
,5,118,15:16,916,27.69,49,52.78,51.97,327.8,0.409,4.615,8.349,0.447,0.135,0.288,0.0461,4.614,0.625,1603,0.019,0.934,,64.56,4.688,8.161,0.0313,0.0438,0.0538,0.715,,15,0.102,4.688,36,0.001999,8.089
,6,163,16:18,978,28.72,50,70.38,69.61,457.9,0.546,4.787,8.424,0.432,0.169,0.312,0.0466,4.665,0.622,1603,0.010,0.926,,55.04,4.866,8.244,0.0401,0.0465,0.0614,0.862,,13,0.0981,4.866,36,0.002139,8.167
,7,216,17:22,1042,28.95,49,91.52,88.98,582.1,0.709,4.825,8.372,0.424,0.182,0.230,0.0448,4.475,0.628,1488,0.016,0.931,,53.19,4.923,8.195,0.0372,0.0490,0.0615,0.759,,14,0.0959,4.923,36,0.002192,8.116
,8,279,18:25,1105,30.14,51,114.3,110.2,757.7,0.886,5.023,8.510,0.410,0.215,0.239,0.0451,4.509,0.658,1437,0.000,0.916,,51.01,5.071,8.318,0.0404,0.0492,0.0637,0.823,,13,0.100,5.071,36,0.002097,8.243
,9,353,19:28,1168,31.50,50,132.3,132.8,970.7,1.025,5.251,8.397,0.375,0.277,0.323,0.0457,4.567,0.565,1437,0.014,0.929,,47.83,5.219,8.270,0.0463,0.0439,0.0638,1.053,,14,0.0919,5.219,36,0.003299,8.151
,10,442,20:31,1231,32.47,52,159.8,157.0,1220,1.239,5.412,8.477,0.362,0.306,0.308,0.0458,4.582,0.586,1360,0.004,0.920,,44.48,5.397,8.324,0.0300,0.0585,0.0658,0.513,,12,0.0914,5.397,36,0.001707,8.262
