File path:,
File note:,
File date:,10/06/17
File time:,10:21:40
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.19
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.507,0.514,0.517,0.531
Ek:,349.6,349.7,351.2,344.0
Pm:,138.9,113.6,114.7,144.7
Em:,9787,,,906.6
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.059,0.076,0.082,0.088
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,24.90,30,0.000000,0.000000,0.000000,0.000000,4.150,8.056,0.485,,0.300,0.0479,4.009,0.676,2397,0.467,1.038,,207.2,4.224,7.878,0.009071,0.0151,0.0176,0.600,,12,0.110,4.224,36,0.002177,7.800
,2,22,12:08,728,32.51,46,10.62,10.82,53.35,0.0927,5.419,10.48,0.483,0.132,0.262,0.0481,4.027,0.587,2781,0.128,0.798,,55.55,5.499,10.22,0.0644,0.0555,0.0850,1.160,,12,0.150,5.499,36,0.002950,10.11
,3,49,13:11,791,34.52,48,22.77,23.19,124.2,0.199,5.753,10.75,0.465,0.174,0.252,0.0503,4.208,0.579,2717,0.099,0.778,,63.54,5.869,10.48,0.0544,0.0481,0.0726,1.132,,14,0.150,5.869,36,0.001962,10.41
,4,81,14:14,854,36.16,48,36.17,36.68,212.3,0.316,6.027,10.89,0.446,0.211,0.266,0.0520,4.352,0.552,2448,0.085,0.768,,61.21,6.119,10.66,0.0484,0.0562,0.0742,0.862,,14,0.151,6.119,36,0.001647,10.60
,5,118,15:17,917,37.37,49,52.24,50.80,309.8,0.456,6.229,11.18,0.443,0.226,0.223,0.0521,4.359,0.610,2269,0.057,0.748,,60.05,6.365,10.88,0.0484,0.0575,0.0751,0.841,,12,0.153,6.365,36,-0.000396,10.89
,6,163,16:20,980,39.45,49,67.05,66.09,432.2,0.585,6.575,11.17,0.411,0.281,0.251,0.0526,4.403,0.572,2128,0.058,0.749,,59.75,6.606,10.90,0.0366,0.0618,0.0718,0.593,,12,0.156,6.606,36,0.000178,10.89
,7,216,17:23,1043,40.92,50,86.00,81.74,587.1,0.750,6.821,11.33,0.398,0.308,0.194,0.0539,4.514,0.590,1872,0.043,0.738,,55.64,6.948,11.05,0.0421,0.0605,0.0737,0.696,,12,0.148,6.948,36,0.000844,11.02
,8,279,18:27,1107,44.65,51,99.38,97.50,741.1,0.867,7.442,11.56,0.356,0.386,0.309,0.0527,4.411,0.540,2000,0.022,0.723,,52.96,7.368,11.36,0.0415,0.0629,0.0753,0.659,,13,0.147,7.368,36,0.001710,11.30
,9,353,19:30,1170,45.89,53,124.5,112.4,922.4,1.086,7.648,11.81,0.353,0.398,0.061,0.0518,4.339,0.649,1821,0.000,0.708,,56.06,7.830,11.56,0.0382,0.0545,0.0666,0.700,,12,0.137,7.830,36,0.002569,11.47
,10,442,20:33,1233,34.69,51,112.3,118.5,1100,0.980,5.782,7.752,0.254,0.472,0.224,0.0493,4.131,0.528,1808,0.524,1.079,,26.56,5.745,7.694,0.0537,0.0500,0.0734,1.072,,12,0.0715,5.745,36,0.001456,7.641
