File path:,
File note:,
File date:,10/06/17
File time:,20:52:27
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.384,0.366,0.360,0.384
Ek:,471.0,630.9,616.2,583.8
Pm:,141.2,145.8,140.2,141.6
Em:,1479,,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.116,0.163,0.096,0.080
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:49,49,23.09,38,0.000000,0.000000,0.000000,0.000000,3.849,5.657,0.320,,0.265,0.0469,4.693,0.712,1552,0.140,2.346,,114.4,3.882,5.566,0.009911,0.0109,0.0147,0.910,,12,0.0516,3.882,36,0.000948,5.532
,2,22,12:07,727,23.64,42,6.802,8.254,57.30,0.0835,3.939,5.702,0.309,,0.376,0.0433,4.325,0.549,1757,0.131,2.327,,34.71,3.949,5.652,0.0300,0.0388,0.0491,0.774,,18,0.0442,3.949,36,0.002537,5.560
,3,49,13:09,789,25.03,45,15.28,17.87,131.8,0.188,4.172,6.063,0.312,0.006,0.362,0.0446,4.465,0.512,1808,0.064,2.189,,41.75,4.143,6.021,0.0225,0.0389,0.0450,0.578,,13,0.0556,4.143,36,0.003387,5.899
,4,81,14:12,852,24.04,43,24.91,28.58,204.5,0.306,4.006,5.786,0.308,,0.260,0.0419,4.192,0.636,1808,0.114,2.293,,30.53,4.012,5.724,0.0342,0.0445,0.0561,0.768,,13,0.0488,4.012,36,0.001991,5.653
,5,118,15:16,916,23.96,43,36.01,40.08,307.9,0.442,3.994,5.748,0.305,,0.264,0.0433,4.334,0.535,1603,0.122,2.309,,30.73,3.999,5.685,0.0377,0.0399,0.0549,0.947,,19,0.0483,3.999,36,0.001944,5.615
,6,163,16:19,979,24.80,44,50.87,52.91,432.4,0.624,4.133,6.008,0.312,,0.270,0.0440,4.405,0.601,1603,0.073,2.209,,38.17,4.152,5.952,0.0363,0.0301,0.0472,1.204,,18,0.0511,4.152,36,0.002451,5.863
,7,216,17:22,1042,26.71,48,66.87,66.53,578.5,0.821,4.452,6.448,0.310,0.053,0.339,0.0445,4.447,0.530,1680,0.000,2.058,,31.74,4.428,6.382,0.0402,0.0466,0.0616,0.862,,15,0.0586,4.428,36,0.003144,6.268
,8,279,18:25,1105,26.15,48,81.77,80.84,769.5,1.004,4.359,6.165,0.293,0.076,0.313,0.0458,4.580,0.527,1539,0.046,2.152,,34.01,4.361,6.140,0.0340,0.0397,0.0523,0.855,,13,0.0517,4.361,36,0.002738,6.041
,9,353,19:28,1168,25.42,45,96.11,95.38,914.7,1.180,4.237,5.822,0.272,0.107,0.280,0.0430,4.303,0.691,1309,0.107,2.279,,30.59,4.221,5.780,0.0253,0.0442,0.0510,0.573,,15,0.0457,4.221,36,0.001892,5.711
,10,442,20:31,1231,27.05,48,121.1,110.1,1263,1.487,4.508,6.210,0.274,0.141,0.268,0.0475,4.746,0.642,1232,0.038,2.137,,25.52,4.554,6.156,0.0337,0.0530,0.0628,0.636,,12,0.0479,4.554,36,0.001433,6.105
,11,547,21:34,1294,25.51,45,123.6,120.4,1530,1.517,4.252,5.494,0.226,0.228,0.226,0.0464,4.644,0.624,1283,0.174,2.415,,20.17,4.270,5.455,0.0493,0.0320,0.0587,1.539,,13,0.0370,4.270,36,0.001541,5.400
,12,671,22:37,1357,24.69,43,133.7,127.8,1681,1.641,4.116,5.140,0.199,0.286,0.262,0.0416,4.159,0.662,1232,0.254,2.582,,16.88,4.097,5.126,0.0427,0.0434,0.0609,0.984,,12,0.0312,4.097,36,0.002272,5.044
,13,819,23:40,1420,22.72,41,140.1,133.8,2110,1.719,3.787,4.568,0.171,0.332,0.226,0.0428,4.279,0.426,1283,0.412,2.905,,12.56,3.812,4.511,0.0412,0.0374,0.0557,1.101,,21,0.0196,3.812,36,-0.000118,4.515
,14,995,24:43,1483,22.74,40,144.9,138.0,2519,1.779,3.790,4.436,0.146,0.419,0.184,0.0420,4.205,0.842,963.2,0.454,2.992,,11.43,3.822,4.436,0.0318,0.0432,0.0537,0.736,,15,0.0171,3.822,36,0.001805,4.371
