File path:,
File note:,
File date:,12/06/17
File time:,00:34:49
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.496,0.506,0.509,0.515
Ek:,700.0,698.0,678.4,700.9
Pm:,268.1,223.1,266.8,271.4
Em:,1761,,1806,2221
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.025,0.034,0.026,0.022
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,37.20,33,0.000000,0.000000,0.000000,0.000000,6.201,11.80,0.474,,0.347,0.0465,4.645,0.705,1821,0.501,1.043,,203.7,6.256,11.53,0.0183,0.0184,0.0259,0.994,,16,0.151,6.256,36,0.002275,11.45
,2,22,12:07,727,47.01,43,10.47,10.75,62.73,0.139,7.836,14.95,0.476,0.133,0.319,0.0473,4.735,0.647,1923,0.185,0.823,,70.55,7.939,14.56,0.0476,0.0809,0.0939,0.589,,12,0.199,7.939,36,0.003164,14.45
,3,49,13:11,791,49.40,46,23.04,23.50,144.9,0.307,8.234,15.54,0.470,0.158,0.340,0.0491,4.912,0.638,1872,0.140,0.792,,67.38,8.319,15.18,0.0691,0.0748,0.102,0.924,,16,0.210,8.319,36,0.001834,15.11
,4,81,14:14,854,50.30,46,37.50,37.97,242.7,0.500,8.384,15.61,0.463,0.172,0.338,0.0498,4.976,0.639,1757,0.135,0.788,,60.62,8.461,15.22,0.0759,0.0817,0.112,0.929,,15,0.210,8.461,36,0.000123,15.22
,5,118,15:17,917,51.52,47,54.08,53.91,362.7,0.721,8.586,15.85,0.458,0.186,0.333,0.0510,5.104,0.636,1680,0.117,0.776,,78.84,8.713,15.49,0.0412,0.0754,0.0860,0.547,,13,0.214,8.713,36,0.001962,15.42
,6,163,16:20,980,55.18,48,72.86,72.19,504.4,0.971,9.197,16.63,0.447,0.222,0.301,0.0514,5.139,0.667,1603,0.065,0.740,,83.76,9.315,16.24,0.0473,0.0678,0.0827,0.698,,12,0.226,9.315,36,0.002956,16.13
,7,216,17:23,1043,55.82,49,95.34,92.27,669.4,1.271,9.303,16.65,0.441,0.232,0.272,0.0515,5.146,0.665,1501,0.063,0.739,,83.25,9.447,16.28,0.0438,0.0694,0.0821,0.630,,12,0.231,9.447,36,0.002486,16.19
,8,279,18:26,1106,59.22,49,115.7,114.2,882.3,1.542,9.871,16.86,0.415,0.283,0.298,0.0525,5.251,0.633,1411,0.050,0.730,,65.26,10.01,16.45,0.0771,0.0615,0.0986,1.253,,12,0.214,10.01,36,0.000185,16.44
,9,353,19:29,1169,63.22,52,143.0,137.6,1100,1.906,10.54,17.71,0.405,0.314,0.211,0.0517,5.173,0.667,1309,0.000,0.695,,62.85,10.66,17.28,0.0652,0.0828,0.105,0.788,,12,0.230,10.66,36,0.002570,17.19
,10,442,20:32,1232,65.35,52,170.0,162.7,1454,2.265,10.89,17.70,0.385,0.348,0.223,0.0546,5.463,0.694,1309,0.001,0.695,,68.91,11.06,17.29,0.0528,0.0733,0.0903,0.721,,12,0.225,11.06,36,0.001056,17.25
