File path:,
File note:,
File date:,12/06/17
File time:,13:18:57
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.492,0.501,0.496,0.509
Ek:,478.4,489.8,486.5,495.7
Pm:,158.9,191.9,152.5,197.0
Em:,856.1,1436,,1715
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.112,0.048,0.049,0.047
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,20.56,34,0.000000,0.000000,0.000000,0.000000,3.426,6.448,0.469,,0.329,0.0431,4.307,0.698,2269,0.339,1.052,,155.5,3.457,6.299,0.0103,0.0151,0.0183,0.682,,17,0.0760,3.457,36,0.002043,6.225
,2,22,12:06,726,25.51,45,9.831,10.57,59.84,0.0733,4.252,7.687,0.447,0.159,0.404,0.0452,4.517,0.570,2717,0.123,0.882,,58.00,4.179,7.588,0.0402,0.0429,0.0588,0.937,,14,0.0965,4.179,36,0.002922,7.483
,3,49,13:09,789,26.39,48,22.28,22.90,134.1,0.166,4.398,8.064,0.455,0.163,0.301,0.0455,4.546,0.586,2448,0.071,0.841,,65.08,4.440,7.916,0.0410,0.0342,0.0534,1.200,,14,0.100,4.440,36,0.001921,7.847
,4,81,14:12,852,27.72,49,36.60,36.63,213.2,0.273,4.620,8.427,0.452,0.185,0.284,0.0437,4.371,0.604,2320,0.025,0.805,,45.58,4.637,8.218,0.0556,0.0555,0.0786,1.004,,13,0.107,4.637,36,0.001994,8.146
,5,118,15:16,916,28.31,49,51.32,51.41,312.5,0.383,4.718,8.349,0.435,0.212,0.234,0.0440,4.398,0.637,2051,0.034,0.812,,61.82,4.758,8.159,0.0368,0.0409,0.0550,0.900,,12,0.104,4.758,36,0.002487,8.069
,6,163,16:18,978,30.03,51,68.53,67.91,442.5,0.511,5.005,8.636,0.420,0.249,0.292,0.0451,4.508,0.581,1949,0.000,0.785,,42.43,5.027,8.443,0.0590,0.0548,0.0805,1.077,,13,0.102,5.027,36,0.001675,8.383
,7,216,17:21,1041,30.94,51,85.26,85.45,633.9,0.636,5.157,8.520,0.395,0.291,0.342,0.0487,4.873,0.541,1923,0.014,0.796,,58.39,5.142,8.407,0.0316,0.0461,0.0559,0.685,,14,0.103,5.142,36,0.002904,8.302
,8,279,18:24,1104,31.86,52,106.6,103.9,818.5,0.795,5.309,8.593,0.382,0.316,0.197,0.0487,4.872,0.575,1603,0.005,0.789,,65.72,5.403,8.426,0.0170,0.0427,0.0460,0.397,,15,0.0965,5.403,36,0.001399,8.376
,9,353,19:28,1168,31.99,51,132.7,122.7,1010,0.989,5.332,8.545,0.376,0.326,0.096,0.0475,4.751,0.654,1552,0.011,0.794,,37.49,5.454,8.338,0.0580,0.0505,0.0769,1.149,,12,0.0988,5.454,36,0.001066,8.300
,10,442,20:31,1231,33.60,51,141.8,141.8,1243,1.057,5.599,8.246,0.321,0.415,0.276,0.0467,4.670,0.562,1552,0.047,0.823,,35.64,5.580,8.120,0.0426,0.0571,0.0712,0.745,,12,0.0844,5.580,36,0.001478,8.066
,11,547,21:34,1294,33.14,49,156.9,152.5,1533,1.169,5.523,7.743,0.287,0.462,0.253,0.0465,4.652,0.598,1603,0.115,0.876,,29.28,5.491,7.671,0.0566,0.0483,0.0744,1.172,,12,0.0734,5.491,36,0.002013,7.598
,12,671,22:37,1357,32.45,49,175.3,156.9,1896,1.307,5.408,7.321,0.261,0.497,0.224,0.0469,4.692,0.601,1629,0.180,0.927,,23.34,5.368,7.256,0.0545,0.0597,0.0809,0.913,,15,0.0655,5.368,36,0.002473,7.167
,13,819,23:40,1420,30.97,46,180.0,158.8,2405,1.342,5.162,6.616,0.220,0.555,0.282,0.0488,4.875,0.570,1629,0.305,1.025,,19.15,5.110,6.571,0.0551,0.0527,0.0762,1.045,,12,0.0548,5.110,36,0.002005,6.498
,14,995,24:43,1483,29.42,44,188.5,158.0,2662,1.405,4.903,6.049,0.189,0.598,0.215,0.0444,4.443,0.464,1360,0.428,1.121,,17.57,4.913,6.012,0.0432,0.0451,0.0625,0.958,,12,0.0343,4.913,36,0.001597,5.954
,15,1204,25:46,1546,28.52,42,164.7,154.7,1767,1.228,4.753,5.506,0.137,0.695,0.020,0.0244,2.437,0.904,784.0,0.568,1.232,,9.092,4.649,5.393,0.0413,0.0706,0.0818,0.584,,23,0.0204,4.649,36,0.001457,5.340
,16,1451,26:49,1609,27.34,41,131.1,149.1,,0.977,4.556,5.008,0.090,0.787,,,,,,0.724,1.354,,5.313,4.556,5.008,0.0644,0.0557,0.0852,1.155,,12,0.0120,4.556,36,0.000565,4.988
,17,1745,27:52,1672,25.70,42,177.2,142.1,5245,1.321,4.283,4.767,0.102,0.754,0.156,0.0499,4.991,0.768,656.0,0.812,1.423,,7.346,4.298,4.712,0.0391,0.0405,0.0563,0.966,,12,0.0149,4.298,36,-0.001809,4.777
,18,2094,28:55,1735,25.30,44,129.0,134.3,,0.962,4.216,4.493,0.062,0.845,,,,,,0.922,1.510,,3.212,4.216,4.493,0.0665,0.0548,0.0862,1.212,,16,0.0152,4.216,36,-0.002485,4.582
,19,2508,29:58,1798,25.89,45,97.46,126.9,,0.726,4.314,4.489,0.039,0.902,,,,,,0.924,1.511,,2.488,4.314,4.489,0.0389,0.0583,0.0701,0.668,,15,0.0138,4.314,36,-0.001407,4.540
,20,3000,31:01,1861,25.38,48,140.0,120.6,,1.044,4.230,4.437,0.047,0.882,,,,,,0.946,1.529,,2.043,4.230,4.437,0.0781,0.0645,0.101,1.211,,19,0.008919,4.230,36,0.000576,4.416
,21,0,32:04,1924,24.25,32,0.000000,0.000000,0.000000,0.000000,4.042,7.478,0.459,,0.332,0.0503,5.026,0.774,1360,0.155,0.907,,95.79,4.135,7.307,0.0248,0.0220,0.0331,1.126,,12,0.0969,4.135,36,0.001106,7.267
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,20.56,44,0.000000,0.000000,0.000000,0.000000,2.936,5.626,0.478,,0.392,0.0529,3.524,0.674,2269,0.317,1.022,,192.2,2.969,5.479,0.0105,0.007726,0.0131,1.362,,14,0.0794,2.969,36,-0.000365,5.492
,2,22,12:06,726,25.51,57,10.46,10.77,46.44,0.0655,3.524,6.717,0.475,0.118,0.349,0.0526,3.505,0.603,2589,0.104,0.856,,62.16,3.563,6.509,0.0253,0.0401,0.0474,0.630,,14,0.0974,3.563,36,-0.000592,6.530
,3,49,13:09,789,26.39,59,22.92,23.34,107.8,0.144,3.672,6.899,0.468,0.142,0.339,0.0548,3.653,0.626,2371,0.074,0.834,,59.90,3.745,6.690,0.0305,0.0385,0.0492,0.792,,15,0.0997,3.745,36,-0.000708,6.716
,4,81,14:12,852,27.72,62,37.47,37.38,180.4,0.235,3.902,7.260,0.463,0.171,0.337,0.0555,3.699,0.582,2192,0.021,0.792,,67.93,3.965,7.084,0.0316,0.0333,0.0459,0.946,,13,0.107,3.965,36,0.000275,7.074
,5,118,15:16,916,28.31,62,53.10,52.50,266.5,0.332,4.005,7.281,0.450,0.195,0.326,0.0563,3.751,0.582,2051,0.018,0.790,,51.76,4.070,7.098,0.0429,0.0397,0.0585,1.081,,12,0.106,4.070,36,0.000286,7.088
,6,163,16:18,978,30.03,63,71.38,69.41,366.5,0.447,4.136,7.358,0.438,0.220,0.267,0.0560,3.734,0.611,1949,0.007,0.782,,58.11,4.216,7.170,0.0360,0.0359,0.0508,1.005,,12,0.107,4.216,36,0.001057,7.132
,7,216,17:21,1041,30.94,63,90.06,87.44,489.0,0.564,4.322,7.412,0.417,0.260,0.275,0.0564,3.760,0.628,1872,0.000,0.776,,53.70,4.409,7.223,0.0286,0.0439,0.0524,0.651,,15,0.101,4.409,36,-0.000351,7.236
,8,279,18:24,1104,31.86,64,108.6,106.5,662.1,0.680,4.509,7.384,0.389,0.307,0.279,0.0591,3.941,0.563,1757,0.004,0.779,,47.17,4.585,7.199,0.0379,0.0404,0.0554,0.939,,14,0.0972,4.585,36,-0.000465,7.216
,9,353,19:28,1168,31.99,64,131.0,125.9,835.8,0.820,4.594,7.304,0.371,0.337,0.215,0.0590,3.932,0.647,1603,0.015,0.787,,41.47,4.695,7.096,0.0441,0.0375,0.0579,1.178,,12,0.0940,4.695,36,-0.001067,7.134
,10,442,20:31,1231,33.60,62,143.9,145.8,979.1,0.901,4.761,7.060,0.326,0.409,0.285,0.0552,3.678,0.590,1680,0.050,0.814,,42.55,4.715,6.951,0.0310,0.0424,0.0526,0.732,,12,0.0888,4.715,36,0.001676,6.891
,11,547,21:34,1294,33.14,61,163.7,161.4,1216,1.025,4.705,6.714,0.299,0.444,0.256,0.0554,3.691,0.545,1629,0.104,0.856,,36.17,4.718,6.610,0.0410,0.0325,0.0523,1.260,,14,0.0696,4.718,36,0.000748,6.583
