File path:,
File note:,
File date:,12/06/17
File time:,19:12:56
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.319,0.359,0.347,0.348
Ek:,519.2,428.5,450.8,462.5
Pm:,138.6,103.8,113.7,119.9
Em:,1753,762.2,985.3,1063
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.073,0.258,0.167,0.143
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:49,49,11.29,31,0.000000,0.000000,0.000000,0.000000,1.881,2.601,0.277,,0.292,0.0552,5.525,0.704,1488,0.500,2.291,,82.60,1.881,2.557,0.004544,0.006810,0.008186,0.667,,12,0.0244,1.881,36,0.000137,2.552
,2,22,12:06,726,14.55,46,6.611,6.869,72.59,0.0458,2.425,3.467,0.300,0.183,0.301,0.0548,5.479,0.726,1731,0.126,1.719,,23.76,2.432,3.412,0.0253,0.0326,0.0412,0.775,,13,0.0344,2.432,36,0.000561,3.391
,3,49,13:10,790,15.25,50,14.72,14.91,164.6,0.102,2.542,3.632,0.300,0.207,0.242,0.0558,5.578,0.582,1808,0.074,1.641,,26.72,2.532,3.608,0.0285,0.0284,0.0403,1.005,,13,0.0409,2.532,36,0.001763,3.545
,4,81,14:12,852,15.30,49,23.83,23.92,277.9,0.165,2.550,3.613,0.294,0.221,0.302,0.0570,5.697,0.584,1872,0.080,1.649,,25.29,2.557,3.559,0.0303,0.0256,0.0396,1.185,,13,0.0366,2.557,36,0.000638,3.536
,5,118,15:16,916,16.31,52,34.22,33.66,405.0,0.237,2.719,3.829,0.290,0.259,0.243,0.0570,5.700,0.567,1603,0.019,1.556,,27.81,2.728,3.765,0.0283,0.0243,0.0373,1.169,,15,0.0396,2.728,36,0.000081,3.763
,6,163,16:19,979,16.86,55,45.62,44.61,534.4,0.316,2.810,3.902,0.280,0.293,0.242,0.0544,5.444,0.618,1552,0.000,1.527,,29.45,2.799,3.874,0.0204,0.0303,0.0365,0.673,,13,0.0404,2.799,36,0.001068,3.835
,7,216,17:22,1042,16.86,54,60.11,56.35,687.9,0.416,2.810,3.894,0.278,0.296,0.241,0.0529,5.288,0.615,1731,0.002,1.530,,21.85,2.816,3.830,0.0354,0.0300,0.0464,1.182,,12,0.0396,2.816,36,0.000599,3.809
,8,279,18:25,1105,17.11,55,70.04,68.83,922.6,0.485,2.851,3.807,0.251,0.356,0.261,0.0549,5.491,0.638,1488,0.025,1.565,,23.99,2.840,3.760,0.0165,0.0346,0.0383,0.478,,12,0.0354,2.840,36,-0.000259,3.769
,9,353,19:28,1168,17.79,55,82.72,81.68,1097,0.573,2.964,3.872,0.234,0.405,0.205,0.0516,5.159,0.692,1091,0.008,1.539,,18.10,2.956,3.834,0.0322,0.0363,0.0485,0.887,,12,0.0339,2.956,36,0.000700,3.809
,10,442,20:31,1231,17.75,55,87.61,94.89,1472,0.607,2.959,3.690,0.198,0.482,0.283,0.0553,5.531,0.639,1168,0.057,1.615,,13.62,2.952,3.670,0.0387,0.0359,0.0528,1.078,,16,0.0260,2.952,36,0.000879,3.639
,11,547,21:34,1294,17.68,56,107.4,107.1,1719,0.744,2.947,3.667,0.196,0.485,0.207,0.0522,5.219,0.560,1117,0.064,1.625,,17.79,2.915,3.626,0.0239,0.0320,0.0400,0.747,,12,0.0311,2.915,36,0.000041,3.624
,12,671,22:37,1357,17.19,54,116.1,116.4,2241,0.804,2.865,3.464,0.173,0.529,0.235,0.0555,5.546,0.802,1091,0.127,1.720,,11.34,2.853,3.439,0.0355,0.0376,0.0517,0.944,,13,0.0235,2.853,36,0.000241,3.431
