File path:,
File note:,
File date:,12/06/17
File time:,22:11:52
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.246,0.303,0.234,0.282
Ek:,975.6,289.7,792.6,395.7
Pm:,151.9,63.72,117.4,70.43
Em:,,782.0,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.487,0.216,1.789,0.365
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,3.436,30,0.000000,0.000000,0.000000,0.000000,0.573,0.748,0.234,,0.240,0.0607,6.070,0.783,1411,0.168,4.343,,25.19,0.576,0.733,0.003785,0.004924,0.006211,0.769,,12,0.006369,0.576,36,-0.000138,0.738
,2,22,12:06,726,3.889,44,5.135,5.357,58.54,0.0128,0.648,0.846,0.233,,0.032,0.0442,4.419,0.794,1949,0.033,3.841,,7.943,0.643,0.824,0.0159,0.0163,0.0228,0.970,,17,0.006749,0.643,36,0.000139,0.819
,3,49,13:09,789,3.883,44,11.92,11.77,178.4,0.0297,0.647,0.855,0.243,,0.357,0.0604,6.045,0.392,1872,0.022,3.799,,9.062,0.643,0.844,0.0153,0.0161,0.0222,0.956,,13,0.008063,0.643,36,0.000071,0.842
,4,81,14:13,853,3.932,46,20.24,19.14,295.4,0.0504,0.655,0.874,0.250,,0.263,0.0606,6.055,0.693,1757,0.000,3.718,,10.09,0.654,0.855,0.0129,0.0153,0.0200,0.845,,13,0.009054,0.654,36,-0.000145,0.861
,5,118,15:15,915,3.997,49,27.30,27.37,416.2,0.0680,0.666,0.867,0.231,,0.327,0.0586,5.857,0.551,1629,0.008,3.748,,10.17,0.664,0.866,0.0126,0.0154,0.0199,0.821,,12,0.007559,0.664,36,0.000435,0.850
,6,163,16:19,979,4.129,49,33.84,36.97,513.1,0.0843,0.688,0.868,0.208,0.016,0.272,0.0523,5.227,0.646,1411,0.006,3.740,,9.520,0.687,0.861,0.0113,0.0144,0.0183,0.783,,13,0.006753,0.687,36,0.000352,0.848
,7,216,17:22,1042,3.926,50,49.97,47.72,737.1,0.125,0.654,0.851,0.231,,0.115,0.0567,5.667,0.763,1629,0.026,3.816,,8.320,0.652,0.836,0.0122,0.0184,0.0221,0.666,,13,0.008289,0.652,36,-0.000292,0.847
,8,279,18:25,1105,4.007,51,55.11,59.76,834.7,0.137,0.668,0.832,0.198,0.031,0.295,0.0497,4.968,0.603,1539,0.050,3.903,,6.492,0.657,0.826,0.0182,0.0187,0.0261,0.976,,13,0.006313,0.657,36,0.000065,0.824
,9,353,19:28,1168,3.627,53,85.52,72.94,1119,0.213,0.604,0.798,0.242,,0.077,0.0527,5.265,0.567,2269,0.095,4.072,,6.172,0.625,0.789,0.0228,0.0137,0.0266,1.670,,14,0.005595,0.625,36,0.000034,0.788
,10,442,20:31,1231,3.817,53,73.21,87.53,,0.182,0.636,0.762,0.166,0.129,,,,,,0.146,4.260,,3.849,0.636,0.762,0.0237,0.0227,0.0328,1.041,,12,0.004953,0.636,36,0.000537,0.743
,11,547,21:34,1294,3.851,55,50.83,103.1,,0.127,0.642,0.708,0.093,0.480,,,,,,0.235,4.591,,2.182,0.642,0.708,0.0234,0.0190,0.0301,1.227,,13,0.003275,0.642,36,-0.000306,0.719
,12,671,22:37,1357,3.589,59,94.60,119.5,,0.236,0.598,0.696,0.141,0.201,,,,,,0.255,4.665,,2.867,0.598,0.696,0.0247,0.0237,0.0342,1.041,,18,0.002895,0.598,36,0.000951,0.662
,13,819,23:40,1420,3.298,61,111.2,136.5,,0.277,0.550,0.636,0.136,0.171,,,,,,0.374,5.107,,2.812,0.550,0.636,0.0229,0.0205,0.0307,1.120,,13,0.006064,0.550,36,-0.000042,0.638
,14,995,24:43,1483,3.337,62,63.10,151.6,,0.157,0.556,0.594,0.063,0.590,,,,,,0.471,5.470,,1.235,0.556,0.594,0.0140,0.0271,0.0305,0.515,,20,0.002105,0.556,36,-0.000249,0.603
,15,1204,25:46,1546,3.074,68,108.4,153.2,,0.270,0.512,0.563,0.090,0.390,,,,,,0.552,5.769,,1.489,0.512,0.563,0.0255,0.0225,0.0341,1.133,,21,0.001167,0.512,36,0.000080,0.560
,16,1451,26:49,1609,2.848,75,269.4,160.2,,0.671,0.475,0.583,0.186,,,,,,,0.499,5.572,,2.597,0.475,0.583,0.0334,0.0249,0.0417,1.339,,12,0.004291,0.475,36,0.000667,0.559
,17,1745,27:52,1672,,86,-2153329,170.0,,,,,,,,,,,,,,,,0.476,0.469,0.0248,0.0261,0.0360,0.950,,12,0.001696,0.476,36,-0.000748,0.496
,18,2094,28:55,1735,,88,-2583995,180.2,,,,,,,,,,,,,,,,0.361,0.354,0.0315,0.0252,0.0403,1.246,,13,0.002432,0.361,36,-0.000521,0.373
,19,2508,29:58,1798,1.593,94,6.392,189.3,,0.0159,0.265,0.266,0.003,0.966,,,,,,2.282,12.20,,0.0141,0.265,0.266,0.0362,0.0317,0.0481,1.141,,33,0.000641,0.265,36,0.000676,0.242
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,3.436,42,0.000000,0.000000,0.000000,0.000000,0.490,0.637,0.231,,0.326,0.0692,4.613,0.777,1411,0.162,3.509,,51.39,0.489,0.626,0.001221,0.002365,0.002661,0.516,,14,0.005986,0.489,36,-0.000046,0.627
,2,22,12:06,726,3.889,54,4.997,6.412,55.72,0.0108,0.548,0.709,0.227,0.057,0.314,0.0631,4.206,0.698,1488,0.043,3.152,,10.41,0.546,0.692,0.0100,0.009786,0.0140,1.027,,16,0.005921,0.546,36,-0.000222,0.700
,3,49,13:09,789,3.883,55,13.68,13.64,159.8,0.0296,0.522,0.724,0.279,,0.177,0.0812,5.416,0.737,1309,0.022,3.088,,9.430,0.541,0.702,0.0133,0.0107,0.0170,1.243,,12,0.008288,0.541,36,-0.000278,0.712
,4,81,14:13,853,3.932,58,21.56,21.39,216.0,0.0466,0.543,0.740,0.266,,0.111,0.0664,4.428,0.815,1437,0.000,3.021,,12.65,0.551,0.720,0.007738,0.0109,0.0134,0.711,,13,0.007713,0.551,36,-0.000171,0.726
,5,118,15:15,915,3.997,60,27.89,29.33,306.4,0.0603,0.561,0.735,0.236,0.045,0.269,0.0647,4.311,0.622,1488,0.006,3.040,,9.693,0.559,0.727,0.0112,0.0132,0.0174,0.850,,13,0.007352,0.559,36,0.000173,0.721
