File path:,
File note:,
File date:,13/06/17
File time:,05:16:48
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.319,0.327,0.345,0.363
Ek:,212.7,189.1,166.0,168.1
Pm:,62.66,64.57,55.28,57.69
Em:,781.6,,793.4,756.4
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.287,0.120,0.233,0.149
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,17.56,50,0.000000,0.000000,0.000000,0.000000,2.927,4.698,0.377,,0.239,0.0587,5.869,0.697,1923,0.175,1.605,,103.9,2.973,4.588,0.007228,0.0138,0.0156,0.525,,12,0.0615,2.973,36,0.000236,4.580
,2,22,12:06,726,21.96,57,6.759,6.663,73.47,0.0535,3.660,5.282,0.307,0.254,0.271,0.0555,5.546,0.524,3549,0.045,1.428,,31.26,3.627,5.217,0.0400,0.0314,0.0509,1.271,,12,0.0630,3.627,36,0.000975,5.182
,3,49,13:09,789,23.66,59,14.01,13.95,170.3,0.111,3.943,5.522,0.286,0.323,0.199,0.0577,5.770,0.484,4029,0.000,1.366,,22.59,3.947,5.426,0.0476,0.0450,0.0655,1.059,,12,0.0605,3.947,36,0.000076,5.423
,4,81,14:12,852,24.02,59,21.00,21.48,301.6,0.166,4.004,5.405,0.259,0.379,0.253,0.0618,6.182,0.488,3152,0.022,1.396,,31.65,3.994,5.351,0.0260,0.0341,0.0429,0.763,,12,0.0575,3.994,36,0.001060,5.312
,5,118,15:15,915,24.47,60,27.84,28.87,383.8,0.220,4.078,5.337,0.236,0.431,0.206,0.0540,5.401,0.534,3549,0.035,1.413,,19.99,4.067,5.287,0.0428,0.0435,0.0610,0.982,,12,0.0492,4.067,36,0.001322,5.240
,6,163,16:18,978,24.40,57,35.88,36.30,596.9,0.284,4.067,5.215,0.220,0.461,0.184,0.0608,6.081,0.614,2883,0.059,1.447,,19.91,4.073,5.124,0.0359,0.0387,0.0528,0.926,,12,0.0455,4.073,36,-0.000490,5.142
,7,216,17:22,1042,24.30,59,46.15,43.24,759.2,0.365,4.050,5.150,0.214,0.473,0.034,0.0584,5.837,0.557,2563,0.072,1.465,,17.68,4.091,5.133,0.0437,0.0396,0.0589,1.104,,12,0.0444,4.091,36,0.002006,5.061
,8,279,18:24,1104,24.50,57,48.07,49.25,927.4,0.381,4.084,4.934,0.172,0.564,0.055,0.0552,5.520,0.482,2128,0.119,1.529,,13.04,4.092,4.915,0.0390,0.0497,0.0632,0.786,,12,0.0340,4.092,36,0.001387,4.865
,9,353,19:27,1167,23.37,55,52.60,54.25,1160,0.416,3.896,4.578,0.149,0.605,0.194,0.0546,5.457,0.522,2128,0.206,1.648,,12.04,3.878,4.541,0.0364,0.0413,0.0550,0.881,,14,0.0269,3.878,36,0.000631,4.518
,10,442,20:30,1230,22.88,53,58.90,58.19,1573,0.466,3.813,4.399,0.133,0.638,0.174,0.0591,5.909,0.472,2128,0.255,1.715,,8.088,3.801,4.370,0.0508,0.0488,0.0704,1.042,,14,0.0238,3.801,36,0.000639,4.347
,11,547,21:34,1294,21.95,53,64.52,60.87,2032,0.511,3.658,4.147,0.118,0.667,0.173,0.0617,6.170,0.634,1488,0.332,1.819,,9.164,3.659,4.136,0.0292,0.0431,0.0521,0.677,,13,0.0194,3.659,36,0.000338,4.124
