File path:,
File note:,
File date:,13/06/17
File time:,12:16:17
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.365,0.393,0.399,0.414
Ek:,295.6,244.6,226.6,228.0
Pm:,87.49,89.93,59.34,94.43
Em:,1198,2043,360.5,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.187,0.159,0.771,0.092
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,31.50,38,0.000000,0.000000,0.000000,0.000000,5.250,8.650,0.393,,0.282,0.0637,6.370,0.817,1411,0.181,1.578,,170.3,5.330,8.420,0.0128,0.0128,0.0181,0.999,,12,0.123,5.330,36,-0.001220,8.463
,2,22,12:08,728,37.27,46,8.054,7.742,77.87,0.110,6.212,9.800,0.366,0.124,0.251,0.0588,5.878,0.570,2909,0.042,1.393,,48.74,6.204,9.622,0.0356,0.0604,0.0701,0.589,,12,0.140,6.204,36,0.002859,9.519
,3,49,13:12,792,40.99,48,16.22,16.49,181.7,0.221,6.832,10.21,0.331,0.226,0.284,0.0616,6.158,0.546,3357,0.000,1.337,,46.29,6.816,10.04,0.0416,0.0557,0.0695,0.746,,12,0.134,6.816,36,0.001832,9.969
,4,81,14:15,855,41.50,48,25.66,25.87,298.2,0.349,6.917,10.12,0.317,0.256,0.271,0.0611,6.113,0.594,2640,0.009,1.348,,44.06,6.913,9.944,0.0475,0.0497,0.0688,0.955,,12,0.127,6.913,36,0.001268,9.898
,5,118,15:17,917,41.16,46,34.78,35.53,417.7,0.474,6.859,9.727,0.295,0.292,0.250,0.0588,5.878,0.576,2448,0.050,1.404,,39.65,6.843,9.542,0.0310,0.0606,0.0681,0.511,,13,0.114,6.843,36,-0.000202,9.549
,6,163,16:20,980,40.94,46,44.73,45.75,593.1,0.609,6.823,9.403,0.274,0.327,0.234,0.0604,6.043,0.600,2000,0.086,1.452,,27.27,6.827,9.229,0.0664,0.0578,0.0880,1.147,,12,0.103,6.827,36,0.000026,9.228
,7,216,17:24,1044,41.57,45,54.60,55.96,755.4,0.743,6.928,9.271,0.253,0.375,0.216,0.0581,5.808,0.566,2077,0.102,1.473,,30.82,6.898,9.140,0.0454,0.0569,0.0728,0.798,,12,0.0992,6.898,36,0.001470,9.087
,8,279,18:27,1107,38.91,42,63.68,65.94,1021,0.867,6.486,8.404,0.228,0.401,0.193,0.0608,6.078,0.585,1603,0.215,1.624,,21.66,6.509,8.266,0.0698,0.0412,0.0811,1.695,,12,0.0775,6.509,36,0.000034,8.265
,9,353,19:30,1170,36.35,40,74.49,72.66,1206,1.014,6.058,7.678,0.211,0.414,0.184,0.0567,5.674,0.633,1757,0.330,1.778,,22.80,6.040,7.598,0.0517,0.0446,0.0683,1.160,,12,0.0683,6.040,36,0.000158,7.592
,10,442,20:33,1233,33.62,37,84.54,77.75,1414,1.151,5.604,6.929,0.191,0.432,0.163,0.0531,5.313,0.622,1552,0.474,1.970,,16.97,5.613,6.865,0.0544,0.0498,0.0737,1.091,,12,0.0479,5.613,36,0.000642,6.842
,11,547,21:36,1296,30.94,34,91.74,81.75,1820,1.249,5.157,6.197,0.168,0.463,0.026,0.0553,5.525,0.561,1603,0.648,2.203,,14.02,5.190,6.159,0.0477,0.0499,0.0691,0.955,,13,0.0384,5.190,36,0.001921,6.090
,12,671,22:39,1359,29.01,33,91.55,84.61,2077,1.246,4.835,5.598,0.136,0.531,0.051,0.0514,5.139,0.625,1603,0.824,2.438,,11.71,4.860,5.563,0.0299,0.0521,0.0601,0.573,,14,0.0257,4.860,36,0.000760,5.536
,13,819,23:42,1422,26.13,31,97.45,86.39,2318,1.327,4.354,4.943,0.119,0.552,0.145,0.0470,4.701,0.468,1411,1.067,2.762,,9.262,4.349,4.895,0.0406,0.0428,0.0590,0.950,,14,0.0213,4.349,36,-0.000763,4.923
,14,995,24:45,1485,24.08,29,89.51,87.27,,1.219,4.013,4.409,0.090,0.632,,,,,,1.316,3.096,,5.947,4.013,4.409,0.0418,0.0520,0.0667,0.803,,19,0.0125,4.013,36,0.001651,4.350
,15,1204,25:48,1548,22.13,28,80.04,87.49,,1.090,3.688,3.951,0.066,0.704,,,,,,1.585,3.455,,4.200,3.688,3.951,0.0448,0.0436,0.0625,1.026,,21,0.009553,3.688,36,0.000945,3.917
,16,1451,26:51,1611,20.45,28,77.97,87.34,,1.062,3.409,3.602,0.054,0.743,,,,,,1.835,3.790,,3.358,3.409,3.602,0.0308,0.0487,0.0577,0.633,,19,0.0111,3.409,36,-0.001075,3.641
,17,1745,27:54,1674,19.40,29,87.56,87.07,,1.192,3.234,3.405,0.050,0.749,,,,,,2.000,4.009,,2.584,3.234,3.405,0.0511,0.0420,0.0661,1.216,,17,0.0105,3.234,36,-0.001072,3.443
,18,2094,28:57,1737,18.69,31,74.07,86.83,,1.008,3.116,3.230,0.035,0.815,,,,,,2.162,4.227,,1.590,3.116,3.230,0.0582,0.0421,0.0718,1.382,,35,0.002232,3.116,36,-0.000501,3.248
,19,2508,30:00,1800,17.44,31,139.1,86.67,,1.894,2.907,3.078,0.055,0.699,,,,,,2.319,4.435,,2.339,2.907,3.078,0.0561,0.0467,0.0730,1.201,,24,0.007519,2.907,36,-0.001179,3.120
,20,3000,31:03,1863,17.23,33,251.2,86.58,,3.420,2.872,3.135,0.084,0.552,,,,,,2.258,4.355,,4.312,2.872,3.135,0.0364,0.0488,0.0609,0.747,,13,0.009944,2.872,36,0.004612,2.969
,21,0,32:07,1927,19.83,19,0.000000,0.000000,0.000000,0.000000,3.305,4.640,0.288,,0.274,0.0574,5.741,0.784,1168,1.201,2.942,,56.74,3.309,4.567,0.0183,0.0125,0.0222,1.463,,12,0.0482,3.309,36,0.000155,4.561
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,31.50,47,0.000000,0.000000,0.000000,0.000000,4.392,7.468,0.412,,0.291,0.0767,5.111,0.843,1411,0.163,1.507,,128.8,4.543,7.187,0.0183,0.009320,0.0205,1.963,,12,0.124,4.543,36,-0.001698,7.248
,2,22,12:08,728,37.27,56,8.372,8.273,63.42,0.0910,5.186,8.372,0.381,0.108,0.221,0.0718,4.787,0.638,2589,0.037,1.344,,55.46,5.289,8.128,0.0344,0.0379,0.0512,0.909,,12,0.133,5.289,36,-0.001159,8.170
,3,49,13:12,792,40.99,59,17.24,17.46,145.8,0.187,5.628,8.684,0.352,0.192,0.188,0.0741,4.941,0.642,2781,0.000,1.296,,39.26,5.772,8.459,0.0586,0.0354,0.0684,1.657,,12,0.127,5.772,36,-0.000610,8.481
,4,81,14:15,855,41.50,59,26.48,27.11,243.6,0.288,5.766,8.567,0.327,0.244,0.208,0.0749,4.993,0.602,2512,0.014,1.314,,37.52,5.871,8.356,0.0395,0.0532,0.0662,0.743,,12,0.118,5.871,36,-0.000522,8.375
,5,118,15:17,917,41.16,57,36.92,36.81,337.1,0.401,5.704,8.301,0.313,0.263,0.094,0.0712,4.744,0.630,2192,0.046,1.356,,36.88,5.844,8.104,0.0466,0.0398,0.0613,1.169,,12,0.106,5.844,36,0.000068,8.101
,6,163,16:20,980,40.94,55,49.09,46.78,474.8,0.534,5.561,7.958,0.301,0.273,0.043,0.0726,4.837,0.676,1808,0.091,1.414,,36.37,5.716,7.764,0.0435,0.0358,0.0563,1.215,,12,0.101,5.716,36,-0.000095,7.768
,7,216,17:24,1044,41.57,55,54.49,56.41,587.7,0.592,5.879,7.862,0.252,0.387,0.216,0.0678,4.518,0.638,1949,0.105,1.431,,35.22,5.871,7.738,0.0368,0.0382,0.0530,0.964,,12,0.0898,5.871,36,0.000236,7.729
,8,279,18:27,1107,38.91,51,65.94,64.84,807.7,0.717,5.418,7.095,0.236,0.389,0.199,0.0721,4.807,0.650,1629,0.224,1.586,,30.84,5.414,6.966,0.0164,0.0475,0.0503,0.345,,12,0.0783,5.414,36,-0.001204,7.009
,9,353,19:30,1170,36.35,48,72.65,71.76,901.7,0.790,5.101,6.423,0.206,0.434,0.171,0.0636,4.242,0.558,1872,0.352,1.752,,21.26,5.102,6.314,0.0347,0.0453,0.0570,0.767,,13,0.0552,5.102,36,-0.000397,6.329
,10,442,20:33,1233,33.62,44,77.48,77.64,1085,0.842,4.759,5.771,0.175,0.483,0.079,0.0611,4.076,0.588,1552,0.505,1.950,,17.69,4.761,5.725,0.0337,0.0428,0.0545,0.787,,12,0.0450,4.761,36,0.000622,5.702
,11,547,21:36,1296,30.94,42,86.64,82.22,1208,0.942,4.420,5.252,0.158,0.502,0.211,0.0550,3.667,0.590,1680,0.654,2.143,,17.41,4.393,5.214,0.0328,0.0338,0.0471,0.971,,12,0.0360,4.393,36,0.001020,5.178
,12,671,22:39,1359,29.01,38,90.65,85.52,1572,0.986,4.024,4.652,0.135,0.538,0.110,0.0583,3.890,0.650,1680,0.867,2.419,,12.89,4.047,4.591,0.0294,0.0303,0.0422,0.972,,13,0.0232,4.047,36,-0.000853,4.622
,13,819,23:42,1422,26.13,36,97.00,87.70,1887,1.055,3.648,4.138,0.118,0.559,0.158,0.0574,3.826,0.657,1629,1.099,2.719,,11.16,3.647,4.106,0.0265,0.0315,0.0411,0.842,,14,0.0187,3.647,36,0.000158,4.101
,14,995,24:45,1485,24.08,34,100.8,88.97,1762,1.096,3.326,3.701,0.101,0.591,0.015,0.0441,2.941,0.499,1411,1.346,3.041,,8.124,3.323,3.686,0.0315,0.0317,0.0447,0.994,,13,0.0140,3.323,36,0.000601,3.664
,15,1204,25:48,1548,22.13,34,76.94,89.60,,0.837,3.117,3.329,0.064,0.720,,,,,,1.608,3.380,,5.172,3.117,3.329,0.0204,0.0357,0.0411,0.571,,12,0.0110,3.117,36,-0.001319,3.377
,16,1451,26:51,1611,20.45,33,71.51,89.85,,0.778,2.921,3.072,0.049,0.770,,,,,,1.827,3.663,,3.944,2.921,3.072,0.0240,0.0300,0.0384,0.799,,12,0.007085,2.921,36,0.000455,3.056
,17,1745,27:54,1674,19.40,32,85.98,89.92,,0.935,2.761,2.905,0.049,0.760,,,,,,1.990,3.874,,3.316,2.761,2.905,0.0295,0.0315,0.0432,0.937,,14,0.005351,2.761,36,0.000400,2.890
,18,2094,28:57,1737,18.69,34,95.97,89.93,,1.043,2.569,2.692,0.046,0.763,,,,,,2.226,4.180,,2.493,2.569,2.692,0.0371,0.0327,0.0495,1.136,,14,0.004931,2.569,36,0.000119,2.688
,19,2508,30:00,1800,17.44,36,107.9,89.93,,1.173,2.485,2.597,0.043,0.770,,,,,,2.344,4.334,,2.200,2.485,2.597,0.0378,0.0339,0.0508,1.114,,16,0.003555,2.485,36,0.000714,2.571
,20,3000,31:03,1863,17.23,37,206.3,89.93,,2.243,2.415,2.594,0.069,0.633,,,,,,2.348,4.339,,3.001,2.415,2.594,0.0445,0.0394,0.0594,1.131,,12,0.007529,2.415,36,0.001093,2.554
,21,0,32:07,1927,19.83,22,0.000000,0.000000,0.000000,0.000000,2.780,4.029,0.310,,0.134,0.0652,4.349,0.952,1040,1.155,2.793,,62.02,2.837,3.927,0.0139,0.0107,0.0176,1.305,,12,0.0474,2.837,36,-0.000198,3.934
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,31.50,46,0.000000,0.000000,0.000000,0.000000,3.565,6.048,0.411,,0.285,0.0738,4.099,0.824,1360,0.158,1.494,,183.0,3.677,5.813,0.008445,0.008054,0.0117,1.049,,12,0.0962,3.677,36,-0.001712,5.874
,2,22,12:08,728,37.27,55,8.488,8.373,50.53,0.0752,4.173,6.794,0.386,0.101,0.209,0.0687,3.814,0.626,2768,0.031,1.330,,56.80,4.253,6.576,0.0267,0.0310,0.0409,0.864,,12,0.105,4.253,36,-0.000743,6.603
,3,49,13:12,792,40.99,58,17.14,17.60,114.3,0.152,4.556,7.007,0.350,0.199,0.153,0.0697,3.874,0.626,2717,0.000,1.289,,49.09,4.668,6.821,0.0338,0.0279,0.0438,1.214,,12,0.0975,4.668,36,-0.000289,6.831
,4,81,14:15,855,41.50,57,27.18,27.20,193.5,0.241,4.603,6.927,0.336,0.227,0.196,0.0714,3.967,0.574,2269,0.011,1.304,,42.64,4.687,6.763,0.0357,0.0331,0.0487,1.077,,12,0.0954,4.687,36,0.000224,6.755
,5,118,15:17,917,41.16,55,37.99,36.74,271.7,0.336,4.563,6.730,0.322,0.246,0.046,0.0688,3.824,0.670,2000,0.041,1.342,,36.89,4.695,6.585,0.0382,0.0342,0.0512,1.117,,12,0.0874,4.695,36,0.001316,6.537
,6,163,16:20,980,40.94,54,45.74,46.42,370.4,0.405,4.615,6.416,0.281,0.324,0.238,0.0679,3.774,0.637,2051,0.092,1.408,,44.35,4.630,6.293,0.0235,0.0292,0.0375,0.807,,13,0.0756,4.630,36,0.000064,6.290
,7,216,17:24,1044,41.57,53,54.70,55.61,487.0,0.484,4.669,6.253,0.253,0.381,0.213,0.0674,3.744,0.611,1923,0.121,1.445,,40.48,4.677,6.150,0.0236,0.0277,0.0364,0.849,,12,0.0688,4.677,36,-0.000030,6.151
,8,279,18:27,1107,38.91,49,62.19,58.64,603.3,0.551,4.402,5.664,0.223,0.422,0.233,0.0646,3.591,0.536,1680,0.237,1.595,,29.59,4.392,5.593,0.0259,0.0313,0.0406,0.827,,12,0.0536,4.392,36,-0.000008,5.594
,9,353,19:30,1170,36.35,47,67.12,59.34,781.2,0.594,4.162,5.139,0.190,0.476,0.197,0.0661,3.675,0.622,1603,0.364,1.758,,24.69,4.145,5.082,0.0241,0.0294,0.0380,0.818,,13,0.0438,4.145,36,0.000425,5.067
,10,442,20:33,1233,33.62,43,78.34,58.85,891.3,0.694,3.813,4.635,0.177,0.477,0.235,0.0603,3.349,0.618,1808,0.512,1.949,,28.98,3.785,4.594,0.0159,0.0230,0.0279,0.690,,12,0.0356,3.785,36,0.000078,4.591
,11,547,21:36,1296,30.94,40,89.11,57.30,1208,0.789,3.534,4.222,0.163,0.489,0.166,0.0660,3.667,0.727,1283,0.660,2.140,,12.66,3.552,4.186,0.0394,0.0309,0.0501,1.273,,14,0.0273,3.552,36,0.000701,4.161
,12,671,22:39,1359,29.01,38,96.03,54.93,1288,0.850,3.232,3.771,0.143,0.514,0.023,0.0574,3.189,0.888,1168,0.858,2.395,,9.603,3.254,3.732,0.0368,0.0334,0.0497,1.103,,12,0.0200,3.254,36,-0.000268,3.741
,13,819,23:42,1422,26.13,35,87.83,52.09,1609,0.778,2.966,3.322,0.107,0.601,0.166,0.0587,3.262,0.632,963.2,1.109,2.719,,8.724,2.970,3.302,0.0267,0.0271,0.0380,0.987,,12,0.0134,2.970,36,-0.000407,3.316
,14,995,24:45,1485,24.08,33,102.2,49.21,1984,0.905,2.676,2.982,0.103,0.586,0.017,0.0596,3.311,1.000,1091,1.349,3.029,,9.046,2.674,2.972,0.0227,0.0237,0.0329,0.957,,12,0.0143,2.674,36,-0.000109,2.975
,15,1204,25:48,1548,22.13,32,93.14,46.64,,0.825,2.508,2.718,0.077,0.666,,,,,,1.578,3.324,,4.478,2.508,2.718,0.0381,0.0274,0.0470,1.389,,12,0.007957,2.508,36,-0.000652,2.742
,16,1451,26:51,1611,20.45,32,87.96,44.64,,0.779,2.349,2.500,0.061,0.720,,,,,,1.803,3.613,,3.226,2.349,2.500,0.0381,0.0275,0.0470,1.384,,13,0.004350,2.349,36,0.000829,2.470
,17,1745,27:54,1674,19.40,32,129.3,43.25,,1.145,2.176,2.350,0.074,0.641,,,,,,1.982,3.844,,5.096,2.176,2.350,0.0241,0.0243,0.0342,0.992,,13,0.0108,2.176,36,-0.000380,2.364
,18,2094,28:57,1737,18.69,33,23.71,42.42,,0.210,2.147,2.171,0.011,0.942,,,,,,2.227,4.160,,0.533,2.147,2.171,0.0362,0.0287,0.0462,1.260,,33,0.000982,2.147,36,-0.000625,2.194
,19,2508,30:00,1800,17.44,33,10.80,41.99,,0.0957,2.083,2.092,0.004,0.977,,,,,,2.350,4.319,,0.214,2.083,2.092,0.0354,0.0230,0.0422,1.540,,26,0.002084,2.083,36,-0.001593,2.149
,20,3000,31:03,1863,17.23,36,175.7,41.80,,1.556,1.976,2.099,0.059,0.689,,,,,,2.338,4.304,,2.557,1.976,2.099,0.0359,0.0320,0.0481,1.120,,20,0.003221,1.976,36,0.000303,2.088
,21,0,32:07,1927,19.83,22,0.000000,0.000000,0.000000,0.000000,2.288,3.275,0.301,,0.193,0.0644,3.579,0.962,1040,1.139,2.758,,93.16,2.319,3.209,0.006066,0.007385,0.009557,0.821,,12,0.0376,2.319,36,-0.000246,3.218
,LED combination D (450 + 530 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,31.50,55,0.000000,0.000000,0.000000,0.000000,3.479,5.821,0.402,,0.379,0.0842,3.663,0.830,1437,0.154,1.440,,111.1,3.513,5.559,0.0164,0.008366,0.0184,1.961,,12,0.106,3.513,36,-0.001844,5.625
,2,22,12:08,728,37.27,66,8.754,8.687,47.10,0.0772,3.895,6.469,0.398,0.086,0.225,0.0818,3.555,0.666,2640,0.039,1.296,,51.01,4.041,6.244,0.0279,0.0329,0.0432,0.848,,12,0.112,4.041,36,-0.000633,6.267
,3,49,13:12,792,40.99,69,18.24,18.26,105.2,0.161,4.219,6.719,0.372,0.163,0.134,0.0820,3.566,0.638,2589,0.000,1.248,,37.40,4.387,6.496,0.0475,0.0304,0.0564,1.563,,12,0.109,4.387,36,-0.000446,6.512
