File path:,
File note:,
File date:,13/06/17
File time:,17:21:47
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.396,0.400,0.391,0.408
Ek:,390.8,418.5,424.0,408.4
Pm:,97.85,138.2,129.0,124.9
Em:,,1440,1250,967.4
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.104,0.072,0.143,0.141
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,28.09,32,0.000000,0.000000,0.000000,0.000000,4.681,7.345,0.363,,0.258,0.0652,6.525,0.909,1091,0.309,1.420,,143.3,4.755,7.156,0.0127,0.0109,0.0168,1.159,,12,0.0986,4.755,36,-0.000519,7.175
,2,22,12:08,728,34.79,52,8.065,8.474,82.97,0.106,5.798,9.154,0.367,0.216,0.261,0.0626,6.263,0.758,1360,0.050,1.139,,38.92,5.916,8.924,0.0579,0.0512,0.0773,1.129,,14,0.117,5.916,36,0.000387,8.910
,3,49,13:11,791,36.19,54,18.00,18.24,179.3,0.237,6.031,9.534,0.367,0.231,0.240,0.0608,6.078,0.712,1488,0.008,1.094,,51.91,6.148,9.260,0.0298,0.0520,0.0600,0.574,,13,0.123,6.148,36,-0.000665,9.284
,4,81,14:15,855,36.83,55,28.21,28.98,304.3,0.371,6.139,9.419,0.348,0.266,0.247,0.0624,6.239,0.709,1411,0.021,1.107,,41.57,6.251,9.183,0.0557,0.0433,0.0705,1.288,,13,0.118,6.251,36,-0.000872,9.214
,5,118,15:17,917,37.03,55,40.44,40.34,430.2,0.532,6.172,9.390,0.343,0.277,0.209,0.0605,6.055,0.694,1309,0.024,1.111,,43.97,6.279,9.167,0.0373,0.0540,0.0657,0.691,,12,0.114,6.279,36,0.000121,9.163
,6,163,16:20,980,38.04,56,54.67,52.79,593.5,0.719,6.339,9.538,0.335,0.298,0.147,0.0605,6.046,0.762,1232,0.008,1.093,,39.91,6.436,9.302,0.0413,0.0588,0.0718,0.703,,13,0.119,6.436,36,-0.000290,9.313
,7,216,17:24,1044,38.97,56,68.99,65.73,754.6,0.908,6.495,9.543,0.319,0.332,0.118,0.0580,5.801,0.774,1232,0.007,1.093,,36.49,6.588,9.295,0.0423,0.0609,0.0742,0.694,,13,0.111,6.588,36,-0.000827,9.324
,8,279,18:27,1107,41.51,56,78.22,78.99,1003,1.029,6.919,9.615,0.280,0.416,0.237,0.0597,5.967,0.718,1117,0.000,1.085,,33.69,6.928,9.434,0.0527,0.0525,0.0744,1.003,,12,0.101,6.928,36,0.000106,9.430
,9,353,19:30,1170,41.82,57,93.99,92.07,1259,1.237,6.970,9.500,0.266,0.441,0.225,0.0592,5.924,0.766,1181,0.012,1.098,,30.75,6.973,9.363,0.0516,0.0581,0.0777,0.888,,14,0.0989,6.973,36,0.001940,9.293
,10,442,20:33,1233,42.44,56,99.70,101.1,1472,1.312,7.073,9.134,0.226,0.517,0.217,0.0553,5.529,0.718,1283,0.053,1.142,,29.61,7.050,9.021,0.0515,0.0421,0.0666,1.223,,12,0.0779,7.050,36,0.000483,9.004
,11,547,21:36,1296,41.86,56,109.9,112.2,1967,1.446,6.977,8.731,0.201,0.559,0.204,0.0597,5.972,0.830,988.8,0.101,1.194,,25.40,6.961,8.638,0.0332,0.0570,0.0660,0.582,,12,0.0700,6.961,36,0.000057,8.636
,12,671,22:39,1359,37.77,51,126.5,122.6,2373,1.665,6.295,7.758,0.189,0.558,0.156,0.0587,5.872,0.636,1091,0.239,1.344,,18.97,6.341,7.660,0.0455,0.0525,0.0695,0.866,,12,0.0522,6.341,36,-0.000571,7.680
,13,819,23:42,1422,34.67,47,127.5,131.4,2780,1.678,5.779,6.844,0.156,0.607,0.199,0.0564,5.638,0.661,912.0,0.405,1.524,,15.12,5.771,6.791,0.0473,0.0480,0.0674,0.983,,12,0.0413,5.771,36,0.000804,6.762
,14,995,24:45,1485,29.59,42,141.4,138.3,3248,1.861,4.932,5.749,0.142,0.600,0.187,0.0542,5.420,0.981,963.2,0.672,1.814,,12.30,4.885,5.717,0.0487,0.0470,0.0677,1.037,,13,0.0372,4.885,36,0.000704,5.692
,15,1204,25:48,1548,26.51,39,119.0,143.3,3473,1.567,4.419,4.904,0.099,0.691,0.015,0.0479,4.790,1.000,400.0,0.961,2.126,,7.374,4.415,4.891,0.0378,0.0523,0.0646,0.723,,13,0.0199,4.415,36,0.001264,4.846
,16,1451,26:51,1611,23.05,37,160.7,146.6,4003,2.115,3.842,4.320,0.111,0.622,0.017,0.0458,4.582,0.706,1411,1.225,2.414,,6.913,3.860,4.348,0.0469,0.0529,0.0707,0.887,,12,0.0198,3.860,36,0.002846,4.246
,17,1745,27:54,1674,19.26,34,142.9,148.6,,1.881,3.211,3.497,0.082,0.674,,,,,,1.749,2.982,,5.275,3.211,3.497,0.0313,0.0443,0.0543,0.706,,16,0.0119,3.211,36,0.000272,3.487
,18,2094,28:57,1737,18.28,35,160.0,149.7,,2.106,3.047,3.299,0.076,0.682,,,,,,1.914,3.161,,4.079,3.047,3.299,0.0474,0.0396,0.0618,1.197,,15,0.006356,3.047,36,0.000856,3.268
,19,2508,30:00,1800,,33,-3094871,150.2,,,,,,,,,,,,,,,,2.925,2.893,0.0595,0.0453,0.0748,1.315,,12,0.005512,2.925,36,-0.002050,2.966
,20,3000,31:03,1863,15.64,37,234.7,150.3,,3.089,2.607,2.828,0.078,0.633,,,,,,2.400,3.687,,2.975,2.607,2.828,0.0478,0.0570,0.0744,0.840,,12,0.0108,2.607,36,0.000480,2.811
,21,0,32:07,1927,18.62,21,0.000000,0.000000,0.000000,0.000000,3.103,4.532,0.315,,0.142,0.0556,5.560,0.955,963.2,1.121,2.301,,58.99,3.136,4.450,0.0156,0.0159,0.0223,0.986,,14,0.0491,3.136,36,0.000229,4.442
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,28.09,39,0.000000,0.000000,0.000000,0.000000,3.914,6.322,0.381,,0.261,0.0782,5.216,0.936,1040,0.289,1.434,,128.5,4.041,6.093,0.0136,0.008304,0.0160,1.643,,12,0.0977,4.041,36,-0.001129,6.134
,2,22,12:08,728,34.79,64,8.015,8.568,65.01,0.0840,4.963,7.807,0.364,0.213,0.338,0.0736,4.907,0.769,1411,0.044,1.161,,52.23,5.047,7.527,0.0328,0.0343,0.0475,0.955,,12,0.112,5.047,36,-0.002130,7.604
,3,49,13:11,791,36.19,67,17.90,18.49,148.7,0.188,5.121,8.068,0.365,0.224,0.349,0.0756,5.039,0.644,1488,0.010,1.124,,55.86,5.183,7.794,0.0297,0.0361,0.0467,0.822,,13,0.123,5.183,36,-0.001807,7.859
,4,81,14:15,855,36.83,68,29.24,29.44,233.9,0.306,5.139,8.041,0.361,0.232,0.251,0.0719,4.794,0.680,1360,0.014,1.127,,46.55,5.248,7.790,0.0348,0.0421,0.0546,0.825,,13,0.116,5.248,36,-0.000211,7.797
