File path:,
File note:,
File date:,14/06/17
File time:,07:10:05
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.378,0.399,0.399,0.402
Ek:,150.7,138.2,145.6,141.2
Pm:,58.58,60.67,57.36,55.60
Em:,,,886.0,764.3
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.168,0.215,0.246,0.192
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,29.09,31,0.000000,0.000000,0.000000,0.000000,4.849,8.188,0.408,,0.293,0.0620,6.204,0.754,1680,0.174,1.465,,128.2,4.945,7.974,0.0187,0.0144,0.0236,1.305,,12,0.118,4.945,36,-0.000858,8.004
,2,22,11:37,697,35.24,36,8.108,7.745,76.48,0.0983,5.874,9.302,0.369,0.156,0.140,0.0577,5.773,0.610,3280,0.034,1.289,,44.67,5.976,9.126,0.0430,0.0558,0.0705,0.771,,12,0.124,5.976,36,0.001411,9.075
,3,49,12:40,760,39.87,37,15.02,15.83,183.1,0.182,6.645,9.581,0.306,0.310,0.269,0.0621,6.205,0.546,3792,0.004,1.252,,39.86,6.611,9.482,0.0502,0.0516,0.0720,0.972,,12,0.120,6.611,36,0.002191,9.403
,4,81,13:43,823,41.58,38,22.62,23.71,308.4,0.274,6.930,9.616,0.279,0.372,0.240,0.0632,6.323,0.513,3523,0.000,1.247,,34.23,6.879,9.478,0.0537,0.0536,0.0759,1.002,,12,0.116,6.879,36,0.001353,9.429
,5,118,14:46,886,43.03,37,29.41,30.96,435.3,0.356,7.172,9.553,0.249,0.438,0.217,0.0613,6.126,0.543,2909,0.007,1.256,,33.55,7.133,9.466,0.0380,0.0582,0.0695,0.653,,12,0.102,7.133,36,0.001809,9.401
,6,163,15:49,949,42.78,36,38.07,38.05,643.6,0.462,7.130,9.303,0.234,0.465,0.204,0.0656,6.557,0.570,2589,0.034,1.289,,23.00,7.156,9.176,0.0723,0.0498,0.0878,1.450,,12,0.0939,7.156,36,-0.000147,9.181
,7,216,16:52,1012,43.89,37,45.31,44.59,811.1,0.549,7.315,9.257,0.210,0.518,0.183,0.0624,6.236,0.546,2448,0.039,1.296,,19.26,7.341,9.172,0.0781,0.0542,0.0951,1.440,,12,0.0792,7.341,36,0.001651,9.113
,8,279,17:55,1075,45.06,37,47.65,49.53,1020,0.578,7.510,9.057,0.171,0.603,0.234,0.0607,6.072,0.535,2051,0.062,1.324,,27.26,7.433,8.999,0.0437,0.0373,0.0575,1.172,,12,0.0696,7.433,36,0.001855,8.933
,9,353,18:58,1138,43.29,36,56.03,53.08,1266,0.679,7.215,8.577,0.159,0.619,0.184,0.0596,5.957,0.460,2000,0.121,1.399,,16.29,7.187,8.507,0.0535,0.0608,0.0810,0.881,,13,0.0589,7.187,36,0.001518,8.453
,10,442,20:01,1201,41.63,34,62.80,55.54,1784,0.761,6.939,8.088,0.142,0.647,0.148,0.0670,6.703,0.494,1488,0.189,1.483,,12.10,6.957,8.008,0.0702,0.0511,0.0868,1.373,,12,0.0500,6.957,36,-0.000416,8.023
,11,547,21:04,1264,39.98,33,63.76,57.07,1921,0.773,6.664,7.543,0.117,0.698,0.157,0.0583,5.831,0.444,1680,0.275,1.590,,10.38,6.672,7.480,0.0527,0.0572,0.0778,0.920,,17,0.0314,6.672,36,0.000080,7.477
,12,671,22:07,1327,36.46,31,70.35,57.92,2489,0.853,6.077,6.789,0.105,0.710,0.142,0.0616,6.160,0.625,1603,0.416,1.767,,9.077,6.051,6.712,0.0483,0.0543,0.0727,0.889,,12,0.0353,6.051,36,-0.001047,6.749
