File path:,
File note:,
File date:,14/06/17
File time:,08:58:52
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.388,0.398,0.403,0.416
Ek:,161.8,162.6,157.7,150.9
Pm:,61.62,73.66,62.54,85.76
Em:,873.5,,899.9,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.120,0.118,0.222,0.134
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,28.66,31,0.000000,0.000000,0.000000,0.000000,4.777,8.182,0.416,,0.260,0.0616,6.155,0.778,1629,0.189,1.562,,174.8,4.881,7.935,0.0104,0.0140,0.0175,0.746,,12,0.120,4.881,36,-0.000230,7.943
,2,22,11:36,696,35.51,36,8.238,7.989,78.62,0.0964,5.919,9.462,0.374,0.120,0.167,0.0593,5.934,0.586,3037,0.028,1.350,,44.17,6.003,9.245,0.0338,0.0652,0.0734,0.519,,12,0.133,6.003,36,0.000573,9.225
,3,49,12:40,760,39.86,38,15.53,16.42,184.4,0.182,6.644,9.728,0.317,0.267,0.277,0.0625,6.250,0.506,3728,0.000,1.313,,40.83,6.601,9.587,0.0333,0.0651,0.0731,0.512,,12,0.128,6.601,36,0.001865,9.520
,4,81,13:43,823,40.03,37,25.42,24.75,315.6,0.297,6.671,9.722,0.314,0.274,0.045,0.0647,6.470,0.600,2717,0.001,1.314,,32.10,6.864,9.493,0.0560,0.0598,0.0819,0.936,,12,0.115,6.864,36,0.000331,9.481
,5,118,14:46,886,42.82,38,31.16,32.54,433.2,0.365,7.137,9.698,0.264,0.388,0.227,0.0610,6.096,0.546,3011,0.003,1.317,,29.40,7.095,9.547,0.0523,0.0650,0.0834,0.805,,12,0.112,7.095,36,0.000777,9.519
,6,163,15:49,949,44.16,38,38.67,39.89,633.4,0.452,7.360,9.649,0.237,0.449,0.207,0.0645,6.452,0.490,2512,0.008,1.324,,32.38,7.337,9.527,0.0491,0.0465,0.0676,1.054,,12,0.103,7.337,36,0.000197,9.520
,7,216,16:52,1012,44.70,38,44.94,46.25,872.8,0.526,7.451,9.408,0.208,0.509,0.179,0.0671,6.710,0.550,2077,0.034,1.358,,23.19,7.449,9.306,0.0549,0.0583,0.0801,0.941,,12,0.0865,7.449,36,0.000546,9.286
,8,279,17:55,1075,44.21,37,52.97,51.52,1070,0.620,7.369,9.096,0.190,0.543,0.169,0.0637,6.368,0.541,1923,0.069,1.405,,22.54,7.375,9.001,0.0544,0.0473,0.0721,1.150,,12,0.0721,7.375,36,0.000650,8.977
,9,353,18:58,1138,43.65,36,59.07,55.55,1260,0.691,7.275,8.736,0.167,0.588,0.222,0.0593,5.925,0.566,2128,0.113,1.463,,18.90,7.226,8.643,0.0419,0.0622,0.0750,0.674,,12,0.0634,7.226,36,-0.000465,8.660
,10,442,20:01,1201,42.28,35,64.45,58.45,1512,0.754,7.046,8.249,0.146,0.628,0.194,0.0568,5.682,0.640,2320,0.179,1.549,,19.24,7.011,8.177,0.0342,0.0500,0.0606,0.683,,12,0.0518,7.011,36,0.001016,8.140
,11,547,21:04,1264,40.31,33,71.54,60.27,2000,0.837,6.718,7.729,0.131,0.653,0.173,0.0607,6.073,0.493,1731,0.259,1.653,,17.27,6.674,7.677,0.0395,0.0425,0.0581,0.930,,12,0.0480,6.674,36,0.000310,7.666
,12,671,22:07,1327,37.30,31,73.69,61.24,2280,0.862,6.217,6.984,0.110,0.689,0.159,0.0564,5.643,0.526,1552,0.393,1.830,,9.859,6.207,6.940,0.0529,0.0523,0.0744,1.012,,12,0.0300,6.207,36,0.000110,6.936
,13,819,23:10,1390,34.88,30,70.25,61.60,2606,0.822,5.814,6.360,0.086,0.742,0.111,0.0528,5.284,0.705,1117,0.530,2.009,,7.410,5.791,6.303,0.0461,0.0515,0.0691,0.897,,12,0.0249,5.791,36,-0.001032,6.340
