File path:,
File note:,
File date:,14/06/17
File time:,10:48:47
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.412,0.420,0.418,0.437
Ek:,251.8,250.5,271.2,242.6
Pm:,102.0,162.0,109.9,114.2
Em:,1458,,2425,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.139,0.066,0.074,0.065
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,23.25,43,0.000000,0.000000,0.000000,0.000000,3.874,6.728,0.424,,0.306,0.0625,6.251,0.798,1552,0.260,1.332,,213.7,3.938,6.544,0.003352,0.0117,0.0122,0.286,,12,0.101,3.938,36,-0.000863,6.575
,2,22,11:37,697,29.29,57,8.855,8.672,79.40,0.0825,4.882,8.170,0.403,0.156,0.224,0.0599,5.993,0.606,2768,0.038,1.097,,48.38,4.982,7.951,0.0405,0.0462,0.0614,0.877,,12,0.115,4.982,36,-0.000539,7.971
,3,49,12:39,759,32.21,60,17.97,18.33,181.2,0.167,5.369,8.478,0.367,0.246,0.214,0.0614,6.139,0.578,2960,0.000,1.057,,47.83,5.461,8.277,0.0445,0.0385,0.0589,1.157,,12,0.112,5.461,36,0.000502,8.259
,4,81,13:42,822,32.17,60,29.14,28.51,302.7,0.271,5.362,8.375,0.360,0.255,0.111,0.0621,6.207,0.584,2512,0.012,1.070,,43.91,5.471,8.181,0.0379,0.0487,0.0617,0.778,,12,0.117,5.471,36,0.000132,8.176
,5,118,14:45,885,34.15,60,37.19,38.78,431.4,0.346,5.692,8.311,0.315,0.345,0.268,0.0607,6.071,0.547,2589,0.020,1.078,,38.66,5.711,8.162,0.0395,0.0496,0.0634,0.798,,12,0.0986,5.711,36,0.000683,8.138
,6,163,15:49,949,34.20,59,48.39,49.40,578.2,0.451,5.701,8.108,0.297,0.375,0.207,0.0589,5.891,0.574,2320,0.046,1.105,,39.93,5.672,7.985,0.0332,0.0475,0.0579,0.700,,12,0.102,5.672,36,0.001258,7.940
,7,216,16:52,1012,33.78,58,58.97,59.70,794.5,0.549,5.631,7.745,0.273,0.411,0.231,0.0611,6.108,0.537,2051,0.095,1.157,,30.99,5.628,7.627,0.0444,0.0468,0.0645,0.947,,12,0.0863,5.628,36,0.001610,7.569
,8,279,17:55,1075,33.10,55,69.80,69.40,1037,0.650,5.516,7.357,0.250,0.445,0.211,0.0617,6.172,0.658,1872,0.152,1.218,,27.81,5.526,7.234,0.0350,0.0505,0.0614,0.694,,12,0.0739,5.526,36,-0.000601,7.256
,9,353,18:58,1138,31.84,53,79.78,78.04,1265,0.743,5.306,6.855,0.226,0.479,0.199,0.0595,5.952,0.616,2000,0.237,1.307,,20.49,5.329,6.772,0.0587,0.0390,0.0704,1.506,,12,0.0589,5.329,36,0.000139,6.767
,10,442,20:01,1201,31.16,50,83.97,85.54,1553,0.782,5.193,6.410,0.190,0.545,0.259,0.0583,5.833,0.642,1552,0.323,1.398,,19.86,5.128,6.347,0.0410,0.0457,0.0614,0.897,,12,0.0543,5.128,36,0.000174,6.341
,11,547,21:04,1264,29.19,48,92.96,91.53,1860,0.866,4.865,5.861,0.170,0.570,0.266,0.0565,5.647,0.484,1488,0.446,1.529,,13.38,4.850,5.864,0.0585,0.0482,0.0758,1.212,,12,0.0381,4.850,36,0.002826,5.763
,12,671,22:07,1327,26.75,45,104.0,95.99,2165,0.969,4.458,5.276,0.155,0.582,0.209,0.0536,5.358,0.526,1552,0.607,1.698,,14.92,4.421,5.243,0.0368,0.0410,0.0551,0.897,,12,0.0351,4.421,36,0.000223,5.235
,13,819,23:10,1390,24.47,42,108.4,99.03,2742,1.009,4.078,4.700,0.132,0.615,0.195,0.0556,5.560,0.642,1283,0.804,1.906,,8.659,4.086,4.671,0.0589,0.0330,0.0676,1.785,,12,0.0226,4.086,36,0.000469,4.654
