File path:,
File note:,
File date:,14/06/17
File time:,13:53:13
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.439,0.451,0.450,0.456
Ek:,347.0,336.3,337.6,337.9
Pm:,124.5,135.0,96.13,129.6
Em:,978.4,1198,,1293
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.120,0.088,0.128,0.106
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,24.80,51,0.000000,0.000000,0.000000,0.000000,4.133,7.374,0.439,,0.364,0.0615,6.150,0.799,1411,0.171,1.246,,165.7,4.190,7.137,0.0114,0.0137,0.0178,0.831,,13,0.112,4.190,36,-0.001016,7.173
,2,22,11:37,697,28.56,57,9.279,9.366,79.16,0.0890,4.759,8.231,0.422,0.107,0.276,0.0597,5.975,0.694,2000,0.049,1.116,,63.09,4.828,8.006,0.0375,0.0337,0.0504,1.113,,12,0.122,4.828,36,-0.000488,8.024
,3,49,12:40,760,30.69,61,19.87,20.08,173.2,0.190,5.116,8.604,0.405,0.162,0.253,0.0587,5.870,0.666,2051,0.003,1.068,,51.13,5.200,8.344,0.0352,0.0504,0.0615,0.699,,12,0.121,5.200,36,-0.001506,8.398
,4,81,13:43,823,31.90,62,30.95,31.74,300.6,0.297,5.316,8.604,0.382,0.210,0.330,0.0616,6.163,0.598,1872,0.003,1.068,,52.20,5.314,8.437,0.0355,0.0482,0.0598,0.737,,13,0.124,5.314,36,0.001503,8.383
,5,118,14:46,886,32.15,62,44.77,43.95,440.9,0.429,5.358,8.634,0.379,0.217,0.241,0.0621,6.205,0.693,1731,0.000,1.064,,53.39,5.424,8.435,0.0422,0.0374,0.0564,1.126,,12,0.125,5.424,36,0.000319,8.423
,6,163,15:49,949,33.11,62,58.59,57.15,604.9,0.562,5.519,8.615,0.359,0.257,0.234,0.0616,6.162,0.612,1552,0.002,1.067,,48.28,5.590,8.400,0.0305,0.0496,0.0582,0.614,,12,0.115,5.590,36,-0.000366,8.413
,7,216,16:52,1012,33.35,62,74.72,70.65,810.1,0.716,5.558,8.497,0.346,0.280,0.128,0.0623,6.228,0.724,1360,0.016,1.081,,34.85,5.701,8.268,0.0511,0.0530,0.0737,0.964,,12,0.106,5.701,36,-0.000916,8.301
,8,279,17:55,1075,35.26,63,86.38,84.23,984.0,0.828,5.876,8.512,0.310,0.356,0.114,0.0586,5.857,0.680,1360,0.014,1.080,,36.22,5.974,8.295,0.0473,0.0433,0.0641,1.092,,13,0.0925,5.974,36,-0.000159,8.300
,9,353,18:58,1138,36.03,62,95.02,97.13,1322,0.911,6.004,8.216,0.269,0.430,0.232,0.0622,6.218,0.650,1488,0.051,1.118,,29.80,6.029,8.096,0.0482,0.0499,0.0694,0.967,,12,0.0866,6.029,36,0.001004,8.060
,10,442,20:01,1201,35.93,61,103.2,106.6,1530,0.989,5.988,7.811,0.233,0.492,0.304,0.0575,5.748,0.538,1488,0.105,1.176,,28.32,5.964,7.747,0.0347,0.0525,0.0630,0.661,,12,0.0685,5.964,36,0.002295,7.665
,11,547,21:04,1264,33.89,57,115.2,114.4,1972,1.105,5.649,7.156,0.211,0.519,0.269,0.0599,5.986,0.518,1437,0.207,1.284,,22.75,5.622,7.090,0.0314,0.0563,0.0645,0.558,,12,0.0604,5.622,36,0.000959,7.055
,12,671,22:08,1328,31.62,53,121.8,120.1,2421,1.168,5.270,6.440,0.182,0.559,0.243,0.0599,5.991,0.596,1360,0.341,1.427,,18.14,5.229,6.397,0.0462,0.0449,0.0644,1.031,,12,0.0516,5.229,36,0.001536,6.342
,13,819,23:11,1391,28.60,49,128.0,123.5,2714,1.228,4.767,5.650,0.156,0.589,0.204,0.0550,5.504,0.652,1117,0.528,1.626,,13.91,4.744,5.594,0.0404,0.0459,0.0611,0.882,,12,0.0367,4.744,36,-0.000119,5.598
,14,995,24:13,1453,25.33,46,142.2,124.5,2599,1.363,4.222,4.926,0.143,0.591,0.023,0.0434,4.337,0.699,1731,0.753,1.865,,9.873,4.200,4.893,0.0507,0.0486,0.0702,1.043,,13,0.0279,4.200,36,0.000621,4.871
,15,1204,25:16,1516,22.88,44,148.0,123.2,2783,1.419,3.813,4.347,0.123,0.617,0.021,0.0384,3.838,0.974,1040,0.986,2.114,,8.727,3.796,4.372,0.0442,0.0490,0.0660,0.901,,18,0.0169,3.796,36,0.003581,4.243
,16,1451,26:19,1579,21.25,42,127.9,120.0,,1.226,3.542,3.884,0.088,0.703,,,,,,1.223,2.366,,5.553,3.542,3.884,0.0433,0.0438,0.0616,0.989,,12,0.0158,3.542,36,0.000747,3.857
,17,1745,27:23,1643,19.95,40,110.5,115.4,,1.060,3.325,3.550,0.063,0.773,,,,,,1.432,2.589,,3.232,3.325,3.550,0.0476,0.0507,0.0696,0.939,,16,0.006745,3.325,36,-0.000936,3.584
