File path:,
File note:,
File date:,14/06/17
File time:,20:15:44
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.327,0.344,0.346,0.347
Ek:,469.8,457.0,449.6,446.8
Pm:,106.6,99.45,129.1,98.12
Em:,907.9,,1320,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.122,0.054,0.097,0.047
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,25.46,30,0.000000,0.000000,0.000000,0.000000,4.244,5.803,0.269,,0.339,0.0620,6.201,0.784,1168,0.406,2.630,,108.4,4.240,5.704,0.007434,0.0113,0.0135,0.660,,12,0.0581,4.240,36,-0.000177,5.710
,2,22,12:07,727,32.21,54,6.476,7.036,81.50,0.104,5.368,7.607,0.294,0.115,0.313,0.0615,6.152,0.724,1360,0.072,2.006,,31.95,5.370,7.473,0.0555,0.0354,0.0658,1.565,,12,0.0851,5.370,36,0.000614,7.451
,3,49,13:10,790,32.76,56,15.01,15.23,176.3,0.242,5.459,7.871,0.306,0.099,0.262,0.0598,5.975,0.734,1552,0.036,1.939,,34.24,5.469,7.705,0.0426,0.0495,0.0653,0.859,,12,0.0908,5.469,36,-0.000170,7.711
,4,81,14:12,852,34.24,57,23.31,24.36,284.6,0.375,5.707,8.013,0.288,0.164,0.264,0.0583,5.834,0.682,1411,0.018,1.905,,37.67,5.675,7.868,0.0342,0.0471,0.0582,0.727,,12,0.0878,5.675,36,-0.000062,7.870
,5,118,15:15,915,34.41,59,34.38,34.16,420.2,0.554,5.735,8.093,0.291,0.159,0.247,0.0591,5.913,0.683,1411,0.008,1.886,,39.93,5.730,7.976,0.0371,0.0423,0.0562,0.876,,12,0.0909,5.730,36,0.001262,7.931
,6,163,16:19,979,34.77,59,47.08,45.09,576.7,0.758,5.795,8.149,0.289,0.170,0.245,0.0588,5.875,0.640,1360,0.001,1.873,,29.09,5.834,8.014,0.0544,0.0515,0.0749,1.056,,12,0.0848,5.834,36,0.000849,7.983
,7,216,17:22,1042,35.71,59,58.38,56.68,745.6,0.940,5.952,8.156,0.270,0.224,0.228,0.0573,5.732,0.662,1232,0.000,1.871,,36.04,5.972,8.015,0.0369,0.0431,0.0567,0.857,,12,0.0789,5.972,36,-0.000639,8.038
,8,279,18:25,1105,36.68,60,69.76,68.87,975.3,1.123,6.114,8.152,0.250,0.282,0.245,0.0580,5.805,0.639,1168,0.001,1.872,,25.65,6.107,8.019,0.0592,0.0453,0.0746,1.306,,12,0.0763,6.107,36,-0.000259,8.029
,9,353,19:28,1168,36.81,59,82.34,81.24,1200,1.326,6.135,8.001,0.233,0.322,0.227,0.0565,5.647,0.619,1168,0.019,1.907,,27.62,6.105,7.863,0.0403,0.0492,0.0636,0.819,,12,0.0751,6.105,36,-0.000253,7.872
,10,442,20:31,1231,36.94,59,94.86,93.76,1493,1.528,6.157,7.840,0.215,0.368,0.287,0.0561,5.609,0.640,1360,0.040,1.947,,25.74,6.127,7.783,0.0476,0.0433,0.0644,1.099,,15,0.0650,6.127,36,0.002210,7.704
,11,547,21:34,1294,36.85,58,103.6,100.7,1836,1.668,6.141,7.576,0.189,0.429,0.159,0.0557,5.573,0.738,1040,0.077,2.015,,20.84,6.150,7.507,0.0429,0.0490,0.0651,0.876,,12,0.0541,6.150,36,0.000667,7.483
,12,671,22:37,1357,35.10,55,114.0,104.3,2283,1.835,5.850,7.047,0.170,0.462,0.164,0.0565,5.650,0.647,1117,0.158,2.166,,15.02,5.873,6.973,0.0530,0.0506,0.0733,1.048,,15,0.0437,5.873,36,0.000368,6.960
,13,819,23:40,1420,32.54,52,117.5,106.3,2845,1.893,5.424,6.332,0.143,0.511,0.190,0.0577,5.769,0.673,1181,0.288,2.410,,12.72,5.390,6.302,0.0544,0.0467,0.0717,1.166,,12,0.0407,5.390,36,0.002021,6.229
,14,995,24:43,1483,29.75,48,123.8,106.3,3621,1.993,4.959,5.663,0.124,0.540,0.171,0.0604,6.043,0.508,912.0,0.440,2.695,,14.92,4.912,5.639,0.0329,0.0359,0.0487,0.915,,13,0.0372,4.912,36,0.001271,5.593
,15,1204,25:46,1546,26.70,45,130.1,104.5,3984,2.095,4.450,4.989,0.108,0.561,0.134,0.0550,5.495,0.488,707.2,0.635,3.059,,7.845,4.464,4.955,0.0354,0.0516,0.0626,0.685,,12,0.0188,4.464,36,0.000536,4.936
,16,1451,26:50,1610,23.33,42,153.1,101.0,4228,2.466,3.889,4.348,0.106,0.524,0.015,0.0484,4.839,0.606,1168,0.876,3.510,,6.824,3.912,4.337,0.0383,0.0489,0.0622,0.784,,17,0.0142,3.912,36,0.001929,4.267
,17,1745,27:52,1672,21.30,39,89.73,96.35,,1.445,3.550,3.742,0.051,0.739,,,,,,1.180,4.079,,3.335,3.550,3.742,0.0364,0.0448,0.0577,0.812,,12,0.006529,3.550,36,-0.000668,3.766
,18,2094,28:55,1735,19.38,38,77.42,91.05,,1.247,3.230,3.354,0.037,0.795,,,,,,1.432,4.550,,1.960,3.230,3.354,0.0543,0.0326,0.0633,1.667,,16,0.004728,3.230,36,-0.000914,3.387
,19,2508,29:58,1798,17.99,38,71.29,85.79,,1.148,2.998,3.086,0.028,0.831,,,,,,1.643,4.946,,1.544,2.998,3.086,0.0468,0.0322,0.0568,1.450,,16,0.003575,2.998,36,-0.001115,3.126
,20,3000,31:02,1862,16.78,39,85.38,81.08,,1.375,2.796,2.878,0.028,0.821,,,,,,1.834,5.303,,1.135,2.796,2.878,0.0500,0.0520,0.0721,0.961,,16,0.004270,2.796,36,0.000272,2.868
,21,0,32:05,1925,18.91,26,0.000000,0.000000,0.000000,0.000000,3.152,4.318,0.270,,0.224,0.0533,5.333,0.765,1117,0.889,3.534,,56.94,3.171,4.246,0.0135,0.0132,0.0189,1.027,,12,0.0393,3.171,36,0.000423,4.231
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,25.46,37,0.000000,0.000000,0.000000,0.000000,3.500,4.958,0.294,,0.203,0.0726,4.841,0.936,1040,0.397,2.491,,102.4,3.563,4.824,0.009686,0.007618,0.0123,1.271,,12,0.0584,3.563,36,-0.000639,4.847
,2,22,12:07,727,32.21,66,7.012,7.395,67.44,0.0851,4.408,6.471,0.319,0.073,0.263,0.0764,5.091,0.794,1283,0.070,1.908,,36.13,4.504,6.271,0.0344,0.0348,0.0489,0.987,,12,0.0842,4.504,36,-0.000918,6.304
,3,49,13:10,790,32.76,69,15.57,16.00,142.0,0.189,4.542,6.657,0.318,0.093,0.219,0.0722,4.812,0.740,1360,0.040,1.855,,37.78,4.629,6.490,0.0329,0.0367,0.0493,0.897,,14,0.0840,4.629,36,-0.000149,6.496
,4,81,14:12,852,34.24,71,25.78,25.55,231.8,0.313,4.632,6.794,0.318,0.103,0.221,0.0713,4.752,0.769,1411,0.019,1.818,,35.55,4.727,6.601,0.0352,0.0393,0.0527,0.895,,12,0.0862,4.727,36,-0.000804,6.630
,5,118,15:15,915,34.41,72,36.45,35.80,323.6,0.442,4.745,6.866,0.309,0.136,0.173,0.0683,4.554,0.737,1309,0.009,1.799,,41.73,4.823,6.661,0.0220,0.0381,0.0440,0.578,,12,0.0844,4.823,36,-0.001473,6.714
,6,163,16:19,979,34.77,73,48.91,47.20,454.3,0.593,4.815,6.879,0.300,0.161,0.208,0.0694,4.629,0.694,1309,0.007,1.795,,37.88,4.900,6.713,0.0352,0.0325,0.0479,1.082,,12,0.0812,4.900,36,-0.000361,6.726
,7,216,17:22,1042,35.71,73,62.42,59.26,616.0,0.757,4.907,6.902,0.289,0.194,0.179,0.0710,4.736,0.619,1168,0.003,1.789,,33.79,4.993,6.726,0.0330,0.0393,0.0513,0.839,,12,0.0807,4.993,36,-0.001187,6.768
,8,279,18:25,1105,36.68,73,77.58,71.89,776.2,0.941,4.999,6.924,0.278,0.226,0.132,0.0693,4.620,0.738,1232,0.000,1.783,,30.02,5.140,6.751,0.0412,0.0344,0.0537,1.198,,12,0.0701,5.140,36,-0.000601,6.773
,9,353,19:28,1168,36.81,73,85.41,84.66,971.7,1.036,5.129,6.766,0.242,0.316,0.236,0.0686,4.571,0.676,1091,0.023,1.825,,26.05,5.143,6.636,0.0464,0.0335,0.0573,1.386,,12,0.0681,5.143,36,-0.000660,6.659
,10,442,20:31,1231,36.94,72,94.62,97.52,1081,1.148,5.209,6.628,0.214,0.387,0.178,0.0609,4.062,0.766,1181,0.045,1.863,,27.29,5.218,6.515,0.0250,0.0404,0.0475,0.619,,15,0.0555,5.218,36,-0.000264,6.525
,11,547,21:34,1294,36.85,70,97.91,103.4,1347,1.188,5.215,6.351,0.179,0.473,0.185,0.0614,4.090,0.614,1040,0.090,1.944,,20.11,5.195,6.292,0.0336,0.0430,0.0546,0.783,,12,0.0471,5.195,36,0.000508,6.274
,12,671,22:37,1357,35.10,67,112.1,108.0,1649,1.360,4.914,5.899,0.167,0.483,0.141,0.0612,4.080,0.674,1040,0.174,2.093,,19.31,4.898,5.820,0.0336,0.0339,0.0477,0.993,,13,0.0427,4.898,36,-0.000681,5.844
,13,819,23:40,1420,32.54,62,121.0,112.5,2054,1.468,4.514,5.297,0.148,0.508,0.128,0.0625,4.164,0.570,1040,0.307,2.332,,17.29,4.521,5.241,0.0297,0.0292,0.0417,1.016,,12,0.0331,4.521,36,-0.000066,5.244
,14,995,24:43,1483,29.75,58,119.2,116.5,2413,1.446,4.171,4.738,0.120,0.568,0.160,0.0604,4.028,0.805,988.8,0.461,2.606,,9.870,4.148,4.701,0.0358,0.0430,0.0560,0.832,,13,0.0254,4.148,36,0.000204,4.693
,15,1204,25:46,1546,26.70,53,112.7,119.9,2666,1.367,3.735,4.121,0.094,0.626,0.145,0.0552,3.677,0.520,835.2,0.680,2.997,,9.641,3.731,4.124,0.0247,0.0325,0.0409,0.758,,12,0.0150,3.731,36,0.000904,4.092
,16,1451,26:50,1610,23.33,49,120.1,122.5,2465,1.457,3.316,3.615,0.083,0.634,0.117,0.0423,2.822,0.790,1040,0.916,3.416,,7.077,3.317,3.605,0.0258,0.0315,0.0407,0.818,,12,0.008980,3.317,36,0.000497,3.587
,17,1745,27:52,1672,21.30,45,124.2,124.4,,1.506,2.922,3.146,0.071,0.650,,,,,,1.201,3.925,,5.155,2.922,3.146,0.0298,0.0316,0.0434,0.944,,12,0.0116,2.922,36,0.000520,3.127
,18,2094,28:55,1735,19.38,45,114.7,125.6,,1.392,2.677,2.832,0.055,0.706,,,,,,1.445,4.361,,3.430,2.677,2.832,0.0350,0.0286,0.0452,1.223,,13,0.006003,2.677,36,0.000421,2.817
,19,2508,29:58,1798,17.99,44,144.9,126.3,,1.758,2.476,2.628,0.058,0.671,,,,,,1.635,4.699,,2.997,2.476,2.628,0.0330,0.0384,0.0506,0.860,,20,0.003815,2.476,36,0.001221,2.584
,20,3000,31:02,1862,16.78,43,132.4,126.6,,1.606,2.309,2.415,0.044,0.730,,,,,,1.867,5.113,,2.433,2.309,2.415,0.0328,0.0290,0.0438,1.131,,16,0.003911,2.309,36,0.000333,2.403
,21,0,32:05,1925,18.91,32,0.000000,0.000000,0.000000,0.000000,2.686,3.688,0.272,,0.287,0.0629,4.195,0.779,1091,0.877,3.348,,68.71,2.682,3.629,0.008777,0.0106,0.0138,0.826,,12,0.0403,2.682,36,0.000210,3.621
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,25.46,37,0.000000,0.000000,0.000000,0.000000,2.919,4.127,0.293,,0.200,0.0710,3.945,0.920,1040,0.382,2.412,,109.6,2.982,4.016,0.006517,0.006818,0.009431,0.956,,12,0.0461,2.982,36,-0.000581,4.037
,2,22,12:07,727,32.21,66,7.089,7.418,53.44,0.0721,3.622,5.344,0.322,0.078,0.222,0.0726,4.034,0.826,1232,0.067,1.863,,38.74,3.711,5.178,0.0251,0.0284,0.0379,0.884,,12,0.0662,3.711,36,-0.001322,5.225
,3,49,13:10,790,32.76,69,15.39,16.04,115.5,0.156,3.755,5.475,0.314,0.115,0.220,0.0704,3.913,0.740,1360,0.042,1.818,,41.18,3.817,5.341,0.0204,0.0309,0.0370,0.659,,12,0.0675,3.817,36,-0.000166,5.347
,4,81,14:12,852,34.24,70,25.64,25.61,185.0,0.261,3.828,5.602,0.317,0.121,0.216,0.0683,3.793,0.709,1411,0.018,1.777,,39.77,3.913,5.445,0.0219,0.0317,0.0385,0.692,,12,0.0659,3.913,36,-0.000997,5.481
,5,118,15:15,915,34.41,71,36.23,35.86,271.4,0.368,3.924,5.663,0.307,0.153,0.211,0.0688,3.820,0.710,1232,0.007,1.758,,38.46,3.999,5.509,0.0256,0.0298,0.0393,0.857,,12,0.0673,3.999,36,-0.000708,5.535
,6,163,16:19,979,34.77,72,50.86,47.24,365.7,0.517,3.913,5.688,0.312,0.142,0.113,0.0671,3.725,0.732,1232,0.003,1.750,,36.07,4.015,5.538,0.0305,0.0292,0.0422,1.045,,12,0.0673,4.015,36,-0.000604,5.559
,7,216,17:22,1042,35.71,72,64.78,59.26,497.9,0.659,3.993,5.703,0.300,0.177,0.050,0.0689,3.828,0.782,1117,0.000,1.745,,41.30,4.113,5.558,0.0206,0.0283,0.0350,0.728,,12,0.0670,4.113,36,-0.000019,5.559
,8,279,18:25,1105,36.68,72,71.80,71.83,617.2,0.730,4.212,5.672,0.257,0.291,0.270,0.0661,3.673,0.702,1283,0.006,1.755,,34.59,4.210,5.568,0.0227,0.0320,0.0393,0.710,,12,0.0598,4.210,36,-0.000177,5.575
,9,353,19:28,1168,36.81,72,83.78,84.50,785.9,0.852,4.236,5.555,0.237,0.337,0.215,0.0665,3.697,0.668,1117,0.027,1.792,,34.81,4.240,5.450,0.0212,0.0275,0.0347,0.771,,13,0.0548,4.240,36,-0.000591,5.471
,10,442,20:31,1231,36.94,71,92.81,97.22,912.8,0.944,4.289,5.430,0.210,0.405,0.283,0.0617,3.429,0.604,1360,0.050,1.833,,22.93,4.266,5.372,0.0355,0.0326,0.0482,1.089,,15,0.0466,4.266,36,0.001115,5.332
,11,547,21:34,1294,36.85,69,102.6,107.1,1214,1.043,4.239,5.218,0.188,0.455,0.217,0.0663,3.685,0.648,988.8,0.093,1.908,,22.80,4.225,5.156,0.0275,0.0302,0.0408,0.910,,12,0.0427,4.225,36,-0.000538,5.175
,12,671,22:37,1357,35.10,66,110.2,115.4,1348,1.121,4.034,4.827,0.164,0.497,0.141,0.0600,3.335,0.744,1168,0.182,2.062,,20.12,4.020,4.782,0.0257,0.0277,0.0378,0.928,,12,0.0348,4.020,36,0.000293,4.771
,13,819,23:40,1420,32.54,62,119.4,122.0,1688,1.214,3.714,4.348,0.146,0.520,0.191,0.0616,3.423,0.601,1117,0.312,2.290,,15.38,3.695,4.314,0.0338,0.0218,0.0402,1.553,,14,0.0273,3.695,36,0.000579,4.293
