File path:,
File note:,
File date:,15/06/17
File time:,03:59:53
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.447,0.444,0.445,0.452
Ek:,280.9,293.0,298.5,313.0
Pm:,106.3,106.7,111.5,89.35
Em:,4969,839.0,922.6,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.214,0.129,0.126,0.055
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,21.77,36,0.000000,0.000000,0.000000,0.000000,3.628,6.368,0.430,,0.311,0.0531,5.312,0.763,1629,0.153,1.311,,152.4,3.685,6.219,0.0113,0.0122,0.0166,0.924,,12,0.0834,3.685,36,0.000041,6.218
,2,22,12:08,728,25.38,42,8.810,9.467,70.20,0.0757,4.230,7.055,0.400,0.126,0.365,0.0530,5.298,0.562,2461,0.041,1.183,,39.97,4.192,6.951,0.0414,0.0552,0.0690,0.751,,14,0.0944,4.192,36,0.001757,6.888
,3,49,13:11,791,25.79,44,20.03,20.12,149.9,0.172,4.299,7.272,0.409,0.122,0.188,0.0508,5.079,0.630,2397,0.010,1.148,,48.46,4.372,7.116,0.0421,0.0379,0.0566,1.111,,13,0.0944,4.372,36,0.001556,7.060
,4,81,14:14,854,27.49,44,30.45,31.48,237.4,0.262,4.582,7.342,0.376,0.197,0.220,0.0487,4.867,0.630,2243,0.000,1.137,,43.40,4.613,7.180,0.0411,0.0425,0.0592,0.966,,15,0.0846,4.613,36,0.001425,7.129
,5,118,15:17,917,27.70,45,43.75,43.11,357.6,0.376,4.616,7.337,0.371,0.207,0.115,0.0503,5.033,0.650,2000,0.001,1.138,,44.40,4.715,7.205,0.0354,0.0435,0.0561,0.816,,12,0.0851,4.715,36,0.001185,7.162
,6,163,16:20,980,28.10,45,58.05,55.33,514.2,0.499,4.683,7.274,0.356,0.235,0.104,0.0524,5.238,0.658,1808,0.009,1.148,,29.98,4.800,7.104,0.0465,0.0612,0.0769,0.761,,13,0.0831,4.800,36,0.000323,7.092
,7,216,17:23,1043,29.24,45,68.81,67.42,705.9,0.592,4.873,7.151,0.319,0.310,0.273,0.0543,5.427,0.590,2000,0.027,1.167,,29.59,4.899,7.053,0.0517,0.0512,0.0728,1.009,,17,0.0749,4.899,36,0.001464,7.000
,8,279,18:27,1107,30.24,44,76.88,79.12,828.0,0.661,5.040,6.957,0.276,0.394,0.259,0.0493,4.928,0.522,1872,0.055,1.200,,24.00,5.030,6.850,0.0614,0.0445,0.0758,1.380,,12,0.0629,5.030,36,-0.000256,6.859
,9,353,19:29,1169,30.38,45,88.61,85.73,1162,0.762,5.064,6.761,0.251,0.439,0.215,0.0546,5.465,0.610,1680,0.086,1.234,,25.52,5.070,6.723,0.0352,0.0544,0.0648,0.648,,12,0.0639,5.070,36,0.002565,6.631
,10,442,20:32,1232,30.18,44,97.51,91.51,1325,0.838,5.030,6.453,0.221,0.494,0.198,0.0498,4.976,0.456,1360,0.138,1.293,,19.50,4.991,6.386,0.0536,0.0474,0.0715,1.132,,12,0.0535,4.991,36,-0.000249,6.395
,11,547,21:35,1295,29.29,42,102.2,96.28,1702,0.878,4.881,6.002,0.187,0.553,0.146,0.0517,5.166,0.536,1437,0.223,1.391,,13.24,4.874,6.006,0.0639,0.0568,0.0855,1.125,,14,0.0412,4.874,36,0.002600,5.912
,12,671,22:39,1359,27.82,40,110.2,99.98,2110,0.947,4.637,5.548,0.164,0.589,0.164,0.0522,5.222,0.580,1680,0.323,1.504,,10.90,4.661,5.502,0.0534,0.0556,0.0771,0.960,,16,0.0298,4.661,36,0.000583,5.481
,13,819,23:42,1422,26.43,40,110.6,102.7,2314,0.951,4.405,5.093,0.135,0.644,0.170,0.0469,4.692,0.498,1040,0.442,1.639,,10.36,4.401,5.055,0.0385,0.0501,0.0632,0.769,,14,0.0243,4.401,36,0.000432,5.040
,14,995,24:45,1485,23.92,39,118.4,104.4,2247,1.018,3.987,4.526,0.119,0.661,0.148,0.0375,3.750,0.806,2640,0.622,1.844,,6.931,3.991,4.490,0.0554,0.0459,0.0720,1.208,,18,0.0156,3.991,36,-0.000098,4.494
,15,1204,25:48,1548,22.81,38,68.61,105.4,,0.590,3.801,4.031,0.057,0.825,,,,,,0.821,2.071,,2.956,3.801,4.031,0.0509,0.0587,0.0777,0.866,,16,0.0160,3.801,36,-0.001772,4.095
,16,1451,26:51,1611,20.35,39,123.8,105.9,,1.065,3.392,3.708,0.085,0.723,,,,,,0.980,2.251,,4.714,3.392,3.708,0.0531,0.0410,0.0671,1.295,,36,0.008774,3.392,36,-0.003198,3.823
,17,1745,27:54,1674,19.45,41,112.8,106.2,,0.970,3.241,3.465,0.065,0.780,,,,,,1.119,2.409,,3.643,3.241,3.465,0.0379,0.0484,0.0615,0.782,,12,0.0118,3.241,36,0.000324,3.454
,18,2094,28:57,1737,18.11,42,188.6,106.3,,1.622,3.018,3.317,0.090,0.683,,,,,,1.213,2.516,,2.944,3.018,3.317,0.0813,0.0607,0.102,1.339,,12,0.007484,3.018,36,0.003354,3.196
,19,2508,30:00,1800,16.87,43,244.9,106.3,,2.106,2.811,3.115,0.098,0.641,,,,,,1.357,2.679,,4.037,2.811,3.115,0.0451,0.0604,0.0754,0.746,,14,0.0220,2.811,36,-0.002097,3.191
,20,3000,31:03,1863,16.62,48,102.3,106.3,,0.880,2.771,2.868,0.034,0.867,,,,,,1.560,2.910,,1.345,2.771,2.868,0.0381,0.0620,0.0728,0.614,,16,0.007203,2.771,36,-0.000799,2.897
,21,0,32:06,1926,18.87,23,0.000000,0.000000,0.000000,0.000000,3.145,4.940,0.363,,0.237,0.0532,5.323,0.802,1360,0.486,1.690,,126.4,3.203,4.823,0.009269,0.008846,0.0128,1.048,,12,0.0558,3.203,36,0.000254,4.814
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
