File path:,
File note:,
File date:,15/06/17
File time:,07:03:50
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.335,0.373,0.373,0.379
Ek:,325.5,212.8,189.9,222.1
Pm:,68.86,50.24,50.20,53.17
Em:,,,389.5,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.341,0.241,0.606,0.211
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,21.06,34,0.000000,0.000000,0.000000,0.000000,3.510,5.879,0.403,,0.290,0.0586,5.857,0.773,1731,0.125,1.449,,141.6,3.566,5.734,0.009669,0.0119,0.0153,0.814,,12,0.0803,3.566,36,-0.000028,5.735
,2,22,12:08,728,24.20,38,8.010,7.120,72.68,0.0712,4.034,6.343,0.364,0.147,0.189,0.0549,5.486,0.584,3280,0.043,1.343,,33.34,4.109,6.197,0.0388,0.0491,0.0626,0.790,,12,0.0759,4.109,36,0.000258,6.187
,3,49,13:11,791,26.97,40,15.39,15.22,174.4,0.137,4.496,6.554,0.314,0.278,0.276,0.0591,5.911,0.540,3600,0.009,1.300,,38.14,4.485,6.425,0.0349,0.0370,0.0509,0.943,,13,0.0787,4.485,36,-0.000722,6.451
,4,81,14:14,854,28.58,41,22.66,24.00,276.7,0.201,4.764,6.614,0.280,0.360,0.237,0.0567,5.672,0.492,3088,0.000,1.288,,32.11,4.738,6.517,0.0437,0.0340,0.0554,1.288,,12,0.0733,4.738,36,0.001035,6.480
,5,118,15:17,917,29.43,41,30.29,33.13,438.2,0.269,4.905,6.599,0.257,0.412,0.221,0.0617,6.167,0.516,2640,0.002,1.291,,23.46,4.887,6.524,0.0423,0.0555,0.0698,0.762,,13,0.0714,4.887,36,0.000761,6.497
,6,163,16:20,980,30.21,41,37.27,42.91,584.2,0.331,5.036,6.528,0.229,0.473,0.200,0.0595,5.952,0.518,2192,0.013,1.305,,20.28,5.046,6.456,0.0516,0.0466,0.0695,1.106,,12,0.0594,5.046,36,0.000807,6.427
,7,216,17:23,1043,30.36,41,44.32,52.84,806.5,0.394,5.060,6.366,0.205,0.520,0.178,0.0620,6.200,0.541,1923,0.039,1.338,,20.39,5.053,6.317,0.0418,0.0458,0.0620,0.914,,12,0.0568,5.053,36,0.001461,6.265
,8,279,18:26,1106,29.67,41,54.49,62.71,826.5,0.484,4.945,6.146,0.195,0.534,0.171,0.0492,4.919,0.518,2589,0.076,1.386,,17.94,4.939,6.077,0.0393,0.0498,0.0635,0.790,,12,0.0432,4.939,36,0.000298,6.067
,9,353,19:29,1169,29.76,41,54.10,68.40,1268,0.481,4.960,5.858,0.153,0.624,0.076,0.0597,5.965,0.586,2077,0.129,1.454,,14.73,4.951,5.830,0.0446,0.0397,0.0597,1.124,,12,0.0405,4.951,36,0.001290,5.784
,10,442,20:32,1232,28.67,40,70.38,67.02,1232,0.625,4.778,5.682,0.159,0.602,0.026,0.0463,4.630,0.590,2512,0.164,1.499,,12.45,4.760,5.658,0.0516,0.0505,0.0722,1.023,,12,0.0351,4.760,36,0.002406,5.572
,11,547,21:35,1295,27.95,39,67.86,65.61,1826,0.603,4.658,5.318,0.124,0.677,0.113,0.0554,5.542,0.691,1629,0.244,1.602,,10.31,4.666,5.251,0.0360,0.0439,0.0568,0.820,,19,0.0238,4.666,36,-0.000276,5.261
,12,671,22:39,1359,26.02,39,75.70,64.25,2059,0.672,4.337,4.889,0.113,0.691,0.161,0.0510,5.096,0.481,1923,0.353,1.743,,7.999,4.345,4.872,0.0432,0.0497,0.0658,0.871,,12,0.0194,4.345,36,0.000625,4.849
,13,819,23:42,1422,24.81,37,63.64,62.99,,0.565,4.135,4.483,0.078,0.775,,,,,,0.475,1.900,,5.308,4.135,4.483,0.0450,0.0478,0.0656,0.942,,14,0.0162,4.135,36,-0.001450,4.535
