File path:,
File note:,
File date:,15/06/17
File time:,10:44:33
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.398,0.413,0.415,0.417
Ek:,227.9,207.4,203.7,223.3
Pm:,139.7,79.11,80.79,110.7
Em:,,762.0,1125,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.148,0.426,0.181,0.091
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,21.47,35,0.000000,0.000000,0.000000,0.000000,3.578,6.156,0.419,,0.275,0.0596,5.961,0.787,1603,0.310,1.516,,163.3,3.650,5.969,0.009836,0.0102,0.0142,0.961,,12,0.0884,3.650,36,-0.000285,5.979
,2,22,12:08,728,25.23,41,8.625,8.356,73.64,0.0751,4.206,6.918,0.392,0.079,0.144,0.0556,5.559,0.622,2512,0.166,1.349,,43.97,4.271,6.753,0.0399,0.0400,0.0565,0.998,,13,0.0968,4.271,36,0.000480,6.736
,3,49,13:11,791,31.73,47,16.76,17.57,184.9,0.146,5.288,8.037,0.342,0.261,0.295,0.0627,6.268,0.556,3088,0.003,1.161,,40.56,5.241,7.889,0.0381,0.0530,0.0653,0.719,,12,0.116,5.241,36,0.000701,7.864
,4,81,14:14,854,31.87,47,27.51,27.16,304.7,0.240,5.311,8.042,0.340,0.266,0.085,0.0625,6.247,0.606,2691,0.003,1.161,,42.85,5.432,7.848,0.0340,0.0450,0.0564,0.756,,12,0.104,5.432,36,-0.000205,7.855
,5,118,15:17,917,32.94,47,37.69,36.70,442.7,0.328,5.489,8.065,0.319,0.311,0.053,0.0623,6.230,0.598,2448,0.000,1.157,,45.26,5.612,7.873,0.0330,0.0375,0.0500,0.881,,12,0.0968,5.612,36,0.000081,7.870
,6,163,16:20,980,34.78,47,42.12,46.39,593.0,0.367,5.797,7.817,0.258,0.433,0.311,0.0604,6.041,0.454,2512,0.032,1.194,,28.68,5.720,7.731,0.0469,0.0521,0.0701,0.901,,12,0.0872,5.720,36,0.001078,7.693
,7,216,17:23,1043,34.06,46,53.56,55.60,822.9,0.466,5.676,7.548,0.248,0.445,0.209,0.0633,6.327,0.570,2243,0.069,1.237,,28.28,5.681,7.430,0.0400,0.0472,0.0618,0.848,,12,0.0800,5.681,36,0.000740,7.403
,8,279,18:26,1106,33.37,45,63.32,64.85,1046,0.551,5.562,7.195,0.227,0.479,0.197,0.0623,6.227,0.560,2000,0.121,1.297,,20.33,5.562,7.118,0.0603,0.0471,0.0765,1.280,,12,0.0671,5.562,36,0.000654,7.094
,9,353,19:30,1170,32.33,44,74.85,73.32,1276,0.652,5.389,6.839,0.212,0.499,0.147,0.0600,6.003,0.595,2077,0.179,1.365,,18.71,5.394,6.776,0.0573,0.0467,0.0739,1.227,,12,0.0606,5.394,36,0.001056,6.738
,10,442,20:33,1233,31.41,41,76.44,80.80,1495,0.666,5.235,6.330,0.173,0.572,0.232,0.0562,5.617,0.510,1552,0.274,1.475,,17.93,5.214,6.257,0.0413,0.0409,0.0581,1.012,,12,0.0439,5.214,36,-0.000297,6.267
