File path:,
File note:,
File date:,15/06/17
File time:,12:34:55
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.418,0.427,0.427,0.436
Ek:,308.0,320.8,317.9,313.6
Pm:,144.6,115.7,99.99,122.7
Em:,,1178,712.5,1138
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.118,0.107,0.284,0.119
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,22.51,36,0.000000,0.000000,0.000000,0.000000,3.751,6.505,0.423,,0.303,0.0621,6.210,0.785,1501,0.178,1.380,,184.0,3.804,6.295,0.006057,0.0121,0.0135,0.501,,12,0.0982,3.804,36,-0.000682,6.320
,2,22,12:08,728,26.32,43,8.899,8.880,80.40,0.0804,4.387,7.368,0.405,0.102,0.258,0.0607,6.069,0.642,2448,0.040,1.219,,51.63,4.483,7.170,0.0334,0.0399,0.0520,0.838,,13,0.102,4.483,36,-0.000811,7.199
,3,49,13:11,791,28.17,46,18.91,18.95,175.3,0.171,4.695,7.646,0.386,0.161,0.141,0.0594,5.941,0.620,2320,0.002,1.174,,45.93,4.783,7.460,0.0429,0.0394,0.0583,1.090,,12,0.108,4.783,36,0.000112,7.456
,4,81,14:14,854,28.61,45,30.59,29.79,303.0,0.276,4.769,7.663,0.378,0.180,0.135,0.0621,6.212,0.637,2051,0.000,1.172,,34.10,4.899,7.469,0.0521,0.0545,0.0754,0.956,,12,0.107,4.899,36,0.001017,7.432
,5,118,15:17,917,30.50,46,39.34,41.00,415.3,0.355,5.084,7.626,0.333,0.274,0.285,0.0584,5.844,0.584,2000,0.005,1.177,,39.72,5.075,7.471,0.0477,0.0370,0.0603,1.288,,12,0.0950,5.075,36,-0.000288,7.481
,6,163,16:20,980,30.32,45,52.58,52.93,569.1,0.475,5.053,7.459,0.323,0.289,0.281,0.0580,5.798,0.589,2051,0.027,1.204,,40.37,5.003,7.311,0.0366,0.0439,0.0572,0.834,,12,0.0981,5.003,36,0.000039,7.309
,7,216,17:23,1043,30.69,45,65.79,64.93,754.7,0.594,5.114,7.354,0.305,0.324,0.094,0.0580,5.802,0.601,1629,0.042,1.221,,31.75,5.168,7.226,0.0369,0.0533,0.0648,0.691,,15,0.0827,5.168,36,-0.000133,7.231
,8,279,18:26,1106,31.19,45,75.62,76.74,964.0,0.683,5.198,7.131,0.271,0.388,0.238,0.0574,5.738,0.644,1680,0.075,1.259,,22.23,5.156,7.017,0.0701,0.0458,0.0837,1.530,,12,0.0797,5.156,36,-0.001023,7.054
,9,353,19:29,1169,30.49,43,88.55,88.07,1271,0.800,5.081,6.783,0.251,0.417,0.185,0.0598,5.980,0.596,1680,0.130,1.324,,30.24,5.036,6.745,0.0328,0.0460,0.0565,0.713,,12,0.0763,5.036,36,0.002505,6.655
,10,442,20:32,1232,29.65,42,96.98,98.73,1587,0.876,4.942,6.331,0.219,0.469,0.190,0.0596,5.964,0.693,1437,0.210,1.418,,20.02,4.941,6.264,0.0535,0.0388,0.0661,1.379,,12,0.0552,4.941,36,0.000146,6.259
,11,547,21:35,1295,28.14,40,108.7,108.0,1712,0.982,4.691,5.854,0.199,0.496,0.171,0.0520,5.197,0.726,1731,0.309,1.534,,21.61,4.670,5.792,0.0280,0.0438,0.0520,0.640,,13,0.0461,4.670,36,0.000283,5.782
,12,671,22:38,1358,26.21,38,112.9,115.8,2308,1.020,4.368,5.252,0.168,0.544,0.139,0.0571,5.712,0.649,1411,0.459,1.710,,14.97,4.378,5.214,0.0269,0.0490,0.0559,0.548,,14,0.0345,4.378,36,0.001185,5.171
,13,819,23:42,1422,24.60,36,106.5,121.9,1226,0.962,4.100,4.713,0.130,0.622,0.020,0.0249,2.486,0.840,1949,0.626,1.905,,10.43,3.981,4.598,0.0438,0.0399,0.0592,1.100,,12,0.0219,3.981,36,-0.000022,4.599
,14,995,24:45,1485,21.49,34,124.3,126.5,2996,1.123,3.581,4.092,0.125,0.601,0.184,0.0500,5.001,0.838,1552,0.873,2.194,,7.439,3.575,4.072,0.0536,0.0399,0.0668,1.343,,12,0.0195,3.575,36,0.000844,4.042
,15,1204,25:48,1548,19.07,33,151.0,129.8,2431,1.364,3.179,3.635,0.125,0.565,0.020,0.0335,3.353,0.747,1629,1.108,2.470,,7.725,3.171,3.637,0.0403,0.0450,0.0604,0.896,,23,0.0128,3.171,36,0.001948,3.567
,16,1451,26:51,1611,17.80,33,131.4,132.1,2138,1.187,2.967,3.262,0.091,0.660,0.015,0.0245,2.447,0.942,7933,1.349,2.752,,6.245,2.931,3.251,0.0297,0.0417,0.0512,0.712,,19,0.009824,2.931,36,0.002721,3.153
,17,1745,27:54,1674,16.50,33,112.6,133.7,,1.017,2.749,2.939,0.065,0.738,,,,,,1.607,3.055,,3.902,2.749,2.939,0.0289,0.0391,0.0486,0.740,,13,0.006506,2.749,36,0.000927,2.906
,18,2094,28:57,1737,15.08,34,234.7,135.0,,2.120,2.513,2.830,0.112,0.532,,,,,,1.708,3.173,,4.340,2.513,2.830,0.0569,0.0459,0.0731,1.239,,17,0.0129,2.513,36,0.002368,2.745
,19,2508,30:00,1800,14.70,36,142.7,136.2,,1.289,2.450,2.597,0.057,0.746,,,,,,1.950,3.457,,2.170,2.450,2.597,0.0527,0.0431,0.0681,1.221,,22,0.005280,2.450,36,0.001199,2.554
,20,3000,31:03,1863,14.47,37,129.0,137.3,,1.166,2.412,2.521,0.043,0.804,,,,,,2.040,3.562,,1.309,2.412,2.521,0.0560,0.0610,0.0828,0.918,,36,0.003118,2.412,36,-0.000875,2.552
,21,0,32:06,1926,16.69,20,0.000000,0.000000,0.000000,0.000000,2.782,4.281,0.350,,0.222,0.0600,5.998,0.859,1117,0.790,2.097,,80.00,2.838,4.179,0.0101,0.0134,0.0168,0.759,,13,0.0517,2.838,36,0.000244,4.170
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,22.51,45,0.000000,0.000000,0.000000,0.000000,3.127,5.572,0.439,,0.337,0.0765,5.097,0.794,1488,0.161,1.390,,124.4,3.224,5.364,0.0132,0.0110,0.0172,1.206,,12,0.0982,3.224,36,-0.001183,5.406
,2,22,12:08,728,26.32,53,9.025,9.080,61.47,0.0656,3.715,6.299,0.410,0.085,0.257,0.0696,4.640,0.658,2499,0.027,1.230,,45.25,3.788,6.069,0.0356,0.0357,0.0504,0.998,,12,0.102,3.788,36,-0.001493,6.123
,3,49,13:11,791,28.17,55,19.15,19.41,145.0,0.139,3.928,6.447,0.391,0.140,0.249,0.0737,4.915,0.614,2512,0.004,1.202,,42.11,4.014,6.280,0.0431,0.0321,0.0538,1.342,,12,0.105,4.014,36,0.000073,6.277
,4,81,14:14,854,28.61,56,30.31,30.57,233.0,0.220,4.049,6.471,0.374,0.178,0.217,0.0717,4.777,0.626,2128,0.000,1.197,,42.05,4.138,6.302,0.0350,0.0377,0.0515,0.927,,12,0.100,4.138,36,-0.000351,6.315
,5,118,15:17,917,30.50,56,42.19,42.16,346.4,0.307,4.147,6.455,0.358,0.213,0.180,0.0731,4.875,0.642,1808,0.003,1.200,,41.84,4.229,6.278,0.0345,0.0347,0.0490,0.994,,13,0.0974,4.229,36,-0.000056,6.280
,6,163,16:20,980,30.32,55,57.35,54.57,455.3,0.417,4.092,6.313,0.352,0.216,0.051,0.0696,4.639,0.702,1680,0.025,1.227,,36.40,4.216,6.150,0.0371,0.0381,0.0531,0.973,,12,0.0909,4.216,36,0.000567,6.129
,7,216,17:23,1043,30.69,55,69.02,67.13,610.8,0.501,4.234,6.222,0.320,0.283,0.109,0.0704,4.695,0.667,1629,0.040,1.245,,29.61,4.351,6.067,0.0416,0.0404,0.0580,1.030,,12,0.0785,4.351,36,0.000191,6.060
,8,279,18:26,1106,31.19,54,79.52,79.58,780.9,0.578,4.314,6.034,0.285,0.349,0.242,0.0697,4.648,0.592,1872,0.072,1.284,,31.80,4.332,5.914,0.0316,0.0384,0.0498,0.823,,12,0.0743,4.332,36,0.000041,5.913
,9,353,19:29,1169,30.49,53,87.19,90.29,977.2,0.633,4.321,5.738,0.247,0.419,0.208,0.0690,4.597,0.638,1552,0.128,1.350,,25.03,4.319,5.630,0.0380,0.0360,0.0524,1.057,,12,0.0650,4.319,36,-0.000524,5.649
,10,442,20:32,1232,29.65,51,102.6,98.49,1197,0.746,4.112,5.356,0.232,0.432,0.195,0.0675,4.498,0.531,1603,0.208,1.447,,23.26,4.129,5.274,0.0307,0.0385,0.0492,0.799,,12,0.0537,4.129,36,0.000444,5.258
,11,547,21:35,1295,28.14,48,105.0,105.2,1358,0.763,3.946,4.883,0.192,0.503,0.197,0.0618,4.123,0.515,1757,0.325,1.587,,18.66,3.938,4.826,0.0296,0.0372,0.0476,0.796,,12,0.0392,3.938,36,0.000454,4.809
,12,671,22:38,1358,26.21,45,118.8,110.2,1712,0.863,3.628,4.409,0.177,0.512,0.153,0.0636,4.237,0.588,1552,0.468,1.757,,17.99,3.619,4.358,0.0250,0.0326,0.0410,0.766,,12,0.0356,3.619,36,-0.000092,4.361
,13,819,23:42,1422,24.60,42,121.0,113.5,1912,0.879,3.306,3.879,0.148,0.557,0.199,0.0582,3.877,0.592,1872,0.668,1.997,,13.20,3.284,3.853,0.0344,0.0259,0.0430,1.331,,12,0.0263,3.284,36,0.000665,3.829
,14,995,24:45,1485,21.49,39,131.3,115.3,2561,0.954,2.984,3.438,0.132,0.571,0.192,0.0641,4.274,0.574,1488,0.882,2.254,,8.151,2.978,3.400,0.0397,0.0332,0.0518,1.193,,16,0.0195,2.978,36,0.000160,3.395
,15,1204,25:48,1548,19.07,37,109.3,115.7,2145,0.794,2.719,2.991,0.091,0.674,0.084,0.0444,2.959,0.690,1680,1.164,2.590,,6.340,2.711,2.986,0.0276,0.0335,0.0433,0.824,,18,0.008979,2.711,36,0.000669,2.962
,16,1451,26:51,1611,17.80,37,119.5,115.2,,0.869,2.472,2.694,0.082,0.681,,,,,,1.402,2.876,,5.212,2.472,2.694,0.0259,0.0338,0.0426,0.764,,12,0.008217,2.472,36,0.001346,2.645
