File path:,
File note:,
File date:,15/06/17
File time:,13:48:30
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.431,0.444,0.440,0.454
Ek:,336.8,341.6,365.1,342.5
Pm:,110.1,109.7,101.6,112.7
Em:,861.5,736.0,,825.8
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.142,0.286,0.143,0.140
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,21.17,36,0.000000,0.000000,0.000000,0.000000,3.528,6.272,0.438,,0.331,0.0621,6.209,0.806,1360,0.124,1.208,,184.8,3.589,6.066,0.007900,0.0108,0.0134,0.730,,12,0.0951,3.589,36,-0.000710,6.092
,2,22,12:08,728,24.11,41,9.087,9.181,79.67,0.0747,4.018,6.846,0.413,0.130,0.298,0.0601,6.014,0.624,2000,0.030,1.107,,45.24,4.084,6.669,0.0321,0.0473,0.0571,0.678,,12,0.100,4.084,36,-0.000160,6.675
,3,49,13:11,791,25.00,43,20.01,19.66,170.1,0.165,4.166,7.042,0.408,0.152,0.217,0.0576,5.764,0.682,2128,0.001,1.076,,51.65,4.220,6.854,0.0277,0.0428,0.0510,0.646,,13,0.104,4.220,36,-0.000213,6.861
,4,81,14:14,854,26.46,43,30.08,31.04,283.3,0.247,4.410,7.016,0.371,0.228,0.322,0.0581,5.808,0.622,2051,0.005,1.080,,44.38,4.390,6.887,0.0414,0.0381,0.0563,1.084,,12,0.0966,4.390,36,0.001615,6.829
,5,118,15:17,917,26.74,43,42.72,42.91,432.3,0.351,4.457,6.986,0.362,0.245,0.318,0.0608,6.084,0.584,1872,0.010,1.084,,39.85,4.431,6.835,0.0392,0.0458,0.0603,0.855,,12,0.0965,4.431,36,0.000317,6.823
,6,163,16:20,980,27.17,43,57.71,55.70,601.6,0.474,4.528,7.010,0.354,0.263,0.229,0.0613,6.129,0.585,1629,0.006,1.081,,36.77,4.618,6.882,0.0493,0.0370,0.0616,1.333,,12,0.0871,4.618,36,0.001202,6.839
,7,216,17:24,1044,28.75,44,69.26,68.73,768.7,0.569,4.791,7.053,0.321,0.335,0.305,0.0591,5.909,0.615,1603,0.000,1.074,,39.20,4.788,6.872,0.0269,0.0459,0.0532,0.586,,13,0.0809,4.788,36,-0.001780,6.936
,8,279,18:27,1107,29.68,43,80.47,81.77,1006,0.662,4.946,6.951,0.288,0.397,0.259,0.0599,5.986,0.718,1488,0.015,1.090,,36.19,4.921,6.870,0.0301,0.0446,0.0539,0.675,,12,0.0798,4.921,36,0.000675,6.846
,9,353,19:30,1170,29.75,44,95.98,93.31,1273,0.789,4.958,6.809,0.272,0.426,0.234,0.0599,5.988,0.604,1360,0.036,1.113,,26.95,4.950,6.698,0.0387,0.0521,0.0649,0.743,,12,0.0769,4.950,36,0.000515,6.679
,10,442,20:33,1233,28.56,42,106.8,100.1,1562,0.878,4.760,6.278,0.242,0.467,0.210,0.0587,5.870,0.615,1501,0.123,1.207,,18.99,4.753,6.201,0.0575,0.0500,0.0763,1.150,,12,0.0599,4.753,36,-0.000044,6.203
,11,547,21:36,1296,26.97,40,117.0,105.3,1974,0.962,4.495,5.718,0.214,0.503,0.221,0.0599,5.993,0.618,1488,0.233,1.325,,17.21,4.496,5.650,0.0435,0.0511,0.0671,0.852,,13,0.0472,4.496,36,-0.000385,5.664
,12,671,22:39,1359,25.11,39,124.0,108.6,2169,1.019,4.184,5.133,0.185,0.543,0.161,0.0537,5.369,0.698,1488,0.374,1.476,,14.49,4.166,5.080,0.0444,0.0448,0.0631,0.989,,13,0.0386,4.166,36,0.000070,5.078
,13,819,23:42,1422,22.81,36,131.6,110.0,2593,1.082,3.802,4.529,0.161,0.571,0.212,0.0526,5.257,0.686,1232,0.557,1.673,,11.41,3.760,4.502,0.0457,0.0462,0.0650,0.991,,12,0.0328,3.760,36,0.001304,4.455
,14,995,24:45,1485,21.05,34,103.8,109.6,2012,0.853,3.509,3.917,0.104,0.694,0.016,0.0336,3.358,0.568,784.0,0.800,1.934,,6.062,3.450,3.868,0.0531,0.0440,0.0689,1.206,,17,0.0150,3.450,36,0.000520,3.849
,15,1204,25:48,1548,18.45,33,113.2,107.8,,0.930,3.074,3.393,0.094,0.696,,,,,,1.079,2.233,,5.538,3.074,3.393,0.0363,0.0447,0.0576,0.811,,18,0.0144,3.074,36,0.000790,3.365
