File path:,
File note:,
File date:,15/06/17
File time:,16:30:17
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.430,0.450,0.434,0.446
Ek:,461.8,433.5,468.9,462.7
Pm:,160.8,163.4,135.0,139.1
Em:,3099,2280,783.9,822.7
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.135,0.120,0.195,0.185
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,20.91,35,0.000000,0.000000,0.000000,0.000000,3.484,5.983,0.418,,0.343,0.0643,6.432,0.826,1232,0.322,1.160,,163.3,3.532,5.779,0.009925,0.009534,0.0138,1.041,,12,0.0905,3.532,36,-0.001115,5.819
,2,22,12:06,726,25.04,50,9.007,9.231,82.48,0.0766,4.174,7.067,0.409,0.189,0.289,0.0623,6.226,0.733,1501,0.119,0.982,,51.36,4.254,6.834,0.0333,0.0376,0.0502,0.887,,13,0.101,4.254,36,-0.001365,6.883
,3,49,13:09,789,26.76,53,19.31,19.97,180.1,0.164,4.461,7.362,0.394,0.234,0.326,0.0610,6.104,0.655,1731,0.074,0.942,,51.90,4.512,7.173,0.0376,0.0348,0.0513,1.081,,15,0.101,4.512,36,-0.000303,7.184
,4,81,14:12,852,27.78,55,31.99,31.92,311.4,0.272,4.631,7.653,0.395,0.247,0.234,0.0638,6.384,0.718,1488,0.033,0.907,,45.20,4.732,7.468,0.0394,0.0460,0.0605,0.856,,14,0.110,4.732,36,0.001224,7.424
,5,118,15:15,915,28.89,58,45.48,44.74,449.9,0.387,4.815,7.834,0.385,0.273,0.245,0.0633,6.331,0.638,1552,0.009,0.886,,35.00,4.912,7.616,0.0501,0.0588,0.0773,0.853,,12,0.110,4.912,36,-0.000241,7.624
,6,163,16:19,979,29.74,58,60.81,59.01,624.5,0.517,4.957,7.907,0.373,0.300,0.246,0.0636,6.362,0.634,1488,0.000,0.878,,40.35,5.032,7.694,0.0468,0.0465,0.0660,1.008,,12,0.113,5.032,36,-0.000505,7.712
,7,216,17:21,1041,29.95,58,78.31,74.12,807.8,0.666,4.991,7.829,0.363,0.316,0.176,0.0621,6.210,0.686,1360,0.010,0.886,,35.20,5.066,7.638,0.0425,0.0595,0.0731,0.714,,12,0.109,5.066,36,0.000061,7.635
,8,279,18:25,1105,30.93,58,93.53,89.97,1053,0.796,5.155,7.755,0.335,0.365,0.111,0.0627,6.270,0.750,1168,0.020,0.895,,34.15,5.260,7.568,0.0547,0.0396,0.0676,1.379,,12,0.101,5.260,36,-0.000115,7.572
,9,353,19:28,1168,32.36,58,103.9,106.0,1319,0.884,5.393,7.641,0.294,0.438,0.253,0.0620,6.203,0.679,1168,0.035,0.908,,31.65,5.404,7.535,0.0437,0.0512,0.0673,0.854,,12,0.0898,5.404,36,0.001874,7.467
,10,442,20:31,1231,32.47,59,122.3,122.2,1608,1.040,5.412,7.482,0.277,0.467,0.236,0.0604,6.042,0.675,1411,0.057,0.927,,32.52,5.413,7.368,0.0470,0.0374,0.0601,1.256,,12,0.0829,5.413,36,0.001216,7.324
,11,547,21:34,1294,31.79,57,131.9,132.2,1984,1.122,5.298,6.982,0.241,0.519,0.209,0.0602,6.022,0.632,1232,0.133,0.994,,22.28,5.285,6.932,0.0475,0.0567,0.0739,0.837,,12,0.0692,5.285,36,0.001670,6.872
,12,671,22:37,1357,30.36,54,141.2,139.9,2620,1.201,5.060,6.408,0.210,0.562,0.220,0.0648,6.483,0.736,1091,0.234,1.083,,18.10,5.061,6.315,0.0400,0.0566,0.0693,0.706,,12,0.0572,5.061,36,-0.001080,6.354
,13,819,23:40,1420,28.70,53,141.8,146.5,2604,1.206,4.784,5.786,0.173,0.619,0.173,0.0528,5.280,0.708,1232,0.367,1.199,,14.33,4.785,5.730,0.0464,0.0469,0.0660,0.988,,16,0.0360,4.785,36,0.000111,5.726
,14,995,24:43,1483,25.48,49,163.7,151.7,3133,1.392,4.247,5.083,0.164,0.611,0.167,0.0523,5.228,0.981,1283,0.556,1.365,,13.99,4.252,5.033,0.0447,0.0333,0.0558,1.343,,19,0.0289,4.252,36,0.000484,5.015
,15,1204,25:46,1546,22.19,46,190.2,155.6,2884,1.617,3.698,4.391,0.158,0.593,0.210,0.0398,3.978,0.812,1488,0.801,1.580,,10.31,3.667,4.367,0.0423,0.0531,0.0679,0.797,,12,0.0243,3.667,36,0.000899,4.335
,16,1451,26:49,1609,19.70,43,146.3,158.2,,1.245,3.284,3.652,0.101,0.708,,,,,,1.165,1.900,,5.011,3.284,3.652,0.0522,0.0518,0.0735,1.008,,12,0.0211,3.284,36,-0.001277,3.698
,17,1745,27:52,1672,17.43,43,184.3,159.7,,1.567,2.904,3.247,0.106,0.669,,,,,,1.435,2.137,,4.112,2.904,3.247,0.0675,0.0490,0.0834,1.378,,12,0.0155,2.904,36,0.001453,3.195
,18,2094,28:55,1735,16.10,44,116.8,160.4,,0.993,2.683,2.842,0.056,0.808,,,,,,1.783,2.442,,2.082,2.683,2.842,0.0604,0.0463,0.0761,1.305,,13,0.0107,2.683,36,0.000733,2.815
,19,2508,29:58,1798,15.19,48,202.0,160.7,,1.718,2.532,2.754,0.081,0.716,,,,,,1.871,2.520,,2.866,2.532,2.754,0.0546,0.0549,0.0774,0.994,,25,0.001920,2.532,36,0.002424,2.667
,20,3000,31:01,1861,14.33,53,231.8,160.8,,1.971,2.388,2.588,0.077,0.716,,,,,,2.055,2.681,,2.278,2.388,2.588,0.0664,0.0574,0.0878,1.158,,19,0.007620,2.388,36,-0.000978,2.623
,21,0,32:05,1925,17.11,24,0.000000,0.000000,0.000000,0.000000,2.852,4.531,0.371,,0.264,0.0641,6.409,0.901,988.8,0.745,1.531,,61.89,2.899,4.419,0.0197,0.0147,0.0246,1.344,,12,0.0615,2.899,36,-0.000156,4.425
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,20.91,43,0.000000,0.000000,0.000000,0.000000,2.915,5.093,0.428,,0.365,0.0780,5.197,0.859,1181,0.308,1.151,,136.3,2.974,4.899,0.0110,0.008887,0.0141,1.235,,12,0.0907,2.974,36,-0.001360,4.948
,2,22,12:06,726,25.04,62,9.124,9.644,64.92,0.0634,3.526,6.025,0.415,0.182,0.328,0.0735,4.900,0.694,1552,0.106,0.973,,50.44,3.619,5.774,0.0256,0.0342,0.0427,0.749,,12,0.0964,3.619,36,-0.001388,5.824
,3,49,13:09,789,26.76,65,20.41,20.83,151.7,0.142,3.644,6.246,0.416,0.193,0.289,0.0771,5.141,0.718,1488,0.067,0.939,,64.11,3.750,6.008,0.0201,0.0289,0.0352,0.694,,12,0.108,3.750,36,-0.001493,6.061
,4,81,14:12,852,27.78,68,33.25,33.22,249.3,0.231,3.827,6.492,0.410,0.219,0.258,0.0767,5.110,0.725,1437,0.026,0.903,,72.73,3.945,6.263,0.0237,0.0213,0.0319,1.110,,12,0.111,3.945,36,-0.000685,6.288
,5,118,15:15,915,28.89,70,45.76,46.44,354.7,0.318,4.050,6.615,0.388,0.268,0.272,0.0749,4.991,0.706,1411,0.007,0.886,,43.13,4.140,6.362,0.0316,0.0407,0.0515,0.775,,13,0.104,4.140,36,-0.001987,6.433
,6,163,16:19,979,29.74,71,61.99,61.08,486.3,0.431,4.128,6.661,0.380,0.285,0.206,0.0743,4.954,0.730,1411,0.000,0.880,,39.82,4.241,6.450,0.0413,0.0370,0.0555,1.115,,12,0.106,4.241,36,0.000183,6.444
,7,216,17:21,1041,29.95,71,78.68,76.48,646.7,0.547,4.173,6.563,0.364,0.310,0.215,0.0746,4.972,0.670,1309,0.015,0.893,,36.63,4.259,6.389,0.0421,0.0401,0.0582,1.051,,12,0.103,4.259,36,-0.000590,6.410
,8,279,18:25,1105,30.93,70,95.76,92.50,864.9,0.665,4.314,6.569,0.343,0.350,0.183,0.0772,5.148,0.730,1181,0.014,0.892,,33.77,4.446,6.353,0.0389,0.0410,0.0565,0.949,,12,0.0933,4.446,36,-0.001010,6.390
,9,353,19:28,1168,32.36,71,108.8,108.6,1071,0.756,4.447,6.428,0.308,0.411,0.215,0.0755,5.036,0.706,1232,0.036,0.912,,30.58,4.523,6.278,0.0438,0.0370,0.0574,1.184,,12,0.0841,4.523,36,0.000030,6.277
,10,442,20:31,1231,32.47,71,127.9,124.1,1411,0.889,4.484,6.310,0.289,0.442,0.073,0.0795,5.299,0.758,988.8,0.056,0.929,,35.63,4.619,6.145,0.0227,0.0363,0.0428,0.623,,13,0.0773,4.619,36,-0.000343,6.157
,11,547,21:34,1294,31.79,68,132.6,134.1,1574,0.921,4.430,5.848,0.242,0.515,0.218,0.0717,4.778,0.552,1168,0.139,1.002,,20.38,4.435,5.725,0.0444,0.0451,0.0633,0.984,,12,0.0639,4.435,36,-0.001435,5.777
,12,671,22:37,1357,30.36,64,145.3,142.9,1943,1.009,4.220,5.386,0.216,0.548,0.218,0.0721,4.810,0.541,1117,0.237,1.088,,22.31,4.207,5.290,0.0335,0.0352,0.0485,0.952,,12,0.0559,4.207,36,-0.001051,5.328
,13,819,23:40,1420,28.70,61,160.8,150.1,2416,1.117,3.894,4.845,0.196,0.566,0.163,0.0735,4.899,0.612,1091,0.375,1.210,,20.81,3.904,4.761,0.0273,0.0308,0.0412,0.887,,12,0.0444,3.904,36,-0.000451,4.777
,14,995,24:43,1483,25.48,57,165.7,155.7,2427,1.151,3.526,4.231,0.167,0.603,0.173,0.0608,4.051,0.751,1309,0.574,1.386,,17.00,3.511,4.182,0.0230,0.0321,0.0394,0.716,,13,0.0315,3.511,36,-0.000507,4.200
,15,1204,25:46,1546,22.19,54,166.7,159.5,3147,1.158,3.143,3.649,0.138,0.639,0.194,0.0651,4.341,0.128,476.8,0.826,1.607,,9.223,3.163,3.550,0.0324,0.0267,0.0420,1.212,,12,0.0180,3.163,36,-0.002384,3.636
,16,1451,26:49,1609,19.70,49,142.6,161.8,,0.990,2.755,3.055,0.098,0.713,,,,,,1.180,1.919,,5.561,2.755,3.055,0.0340,0.0419,0.0540,0.811,,12,0.0157,2.755,36,-0.000863,3.086
,17,1745,27:52,1672,17.43,51,207.6,163.0,3571,1.442,2.416,2.742,0.119,0.627,0.170,0.0510,3.399,0.774,988.8,1.429,2.138,,6.675,2.425,2.740,0.0301,0.0364,0.0472,0.827,,22,0.0101,2.425,36,0.001403,2.690
,18,2094,28:55,1735,16.10,50,122.6,163.4,,0.852,2.249,2.389,0.059,0.798,,,,,,1.788,2.454,,2.170,2.249,2.389,0.0508,0.0397,0.0645,1.281,,14,0.008952,2.249,36,0.000649,2.366
,19,2508,29:58,1798,15.19,53,192.4,163.4,,1.336,2.105,2.280,0.077,0.726,,,,,,1.922,2.571,,2.608,2.105,2.280,0.0504,0.0442,0.0671,1.141,,12,0.008437,2.105,36,0.001256,2.235
,20,3000,31:01,1861,14.33,57,215.1,163.3,,1.494,2.046,2.203,0.072,0.738,,,,,,2.023,2.661,,3.235,2.046,2.203,0.0293,0.0390,0.0488,0.752,,13,0.003844,2.046,36,0.001807,2.138
,21,0,32:05,1925,17.11,29,0.000000,0.000000,0.000000,0.000000,2.444,3.903,0.374,,0.337,0.0752,5.012,0.883,988.8,0.707,1.502,,79.51,2.486,3.773,0.0112,0.0117,0.0162,0.962,,12,0.0585,2.486,36,-0.000465,3.790
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,20.91,43,0.000000,0.000000,0.000000,0.000000,2.353,4.131,0.430,,0.346,0.0751,4.170,0.858,1232,0.296,1.121,,138.1,2.427,3.979,0.008859,0.006907,0.0112,1.283,,12,0.0694,2.427,36,-0.000858,4.010
,2,22,12:06,726,25.04,60,9.044,9.330,53.37,0.0504,2.862,4.860,0.411,0.197,0.366,0.0725,4.028,0.712,1552,0.102,0.953,,52.83,2.902,4.672,0.0193,0.0274,0.0335,0.704,,13,0.0797,2.902,36,-0.001657,4.732
,3,49,13:09,789,26.76,64,19.79,20.20,117.7,0.110,3.009,5.047,0.404,0.225,0.312,0.0718,3.989,0.687,1501,0.061,0.918,,51.85,3.040,4.877,0.0171,0.0310,0.0354,0.551,,13,0.0844,3.040,36,-0.001166,4.919
,4,81,14:12,852,27.78,66,32.16,32.29,199.0,0.179,3.143,5.213,0.397,0.250,0.336,0.0734,4.080,0.672,1552,0.027,0.888,,54.25,3.191,5.028,0.0254,0.0223,0.0339,1.139,,13,0.0838,3.191,36,-0.001211,5.072
,5,118,15:15,915,28.89,68,46.28,45.29,289.2,0.258,3.228,5.311,0.392,0.266,0.281,0.0733,4.070,0.691,1437,0.008,0.872,,54.15,3.294,5.127,0.0205,0.0269,0.0338,0.763,,12,0.0856,3.294,36,-0.001058,5.165
,6,163,16:19,979,29.74,69,61.22,59.77,403.7,0.341,3.344,5.355,0.376,0.300,0.215,0.0740,4.112,0.711,1283,0.000,0.865,,37.35,3.430,5.167,0.0344,0.0313,0.0465,1.100,,12,0.0826,3.430,36,-0.001150,5.209
,7,216,17:21,1041,29.95,69,77.79,75.14,548.7,0.434,3.379,5.281,0.360,0.324,0.193,0.0759,4.218,0.632,1168,0.014,0.877,,39.22,3.477,5.109,0.0354,0.0218,0.0416,1.626,,12,0.0788,3.477,36,-0.000403,5.123
,8,279,18:25,1105,30.93,68,95.45,91.28,661.9,0.532,3.466,5.268,0.342,0.357,0.186,0.0709,3.939,0.618,1117,0.017,0.879,,45.26,3.548,5.099,0.0246,0.0239,0.0343,1.029,,13,0.0718,3.548,36,-0.001536,5.154
,9,353,19:28,1168,32.36,68,109.6,107.7,860.9,0.611,3.585,5.198,0.310,0.413,0.217,0.0729,4.050,0.679,1168,0.030,0.891,,37.61,3.654,5.053,0.0263,0.0263,0.0372,0.998,,12,0.0656,3.654,36,-0.000968,5.088
,10,442,20:31,1231,32.47,69,125.9,124.3,1178,0.702,3.633,5.081,0.285,0.455,0.196,0.0797,4.425,0.650,1040,0.054,0.911,,30.74,3.704,4.949,0.0226,0.0336,0.0405,0.673,,12,0.0635,3.704,36,-0.000401,4.964
,11,547,21:34,1294,31.79,66,131.9,131.7,1401,0.736,3.579,4.716,0.241,0.522,0.236,0.0765,4.253,0.580,1040,0.135,0.982,,22.79,3.578,4.627,0.0346,0.0303,0.0460,1.142,,12,0.0543,3.578,36,-0.000319,4.638
,12,671,22:37,1357,30.36,63,143.5,134.3,1503,0.800,3.407,4.334,0.214,0.558,0.237,0.0670,3.720,0.274,1040,0.236,1.069,,20.68,3.415,4.247,0.0325,0.0237,0.0402,1.370,,13,0.0378,3.415,36,-0.000965,4.281
,13,819,23:40,1420,28.70,59,151.5,134.9,1761,0.845,3.175,3.895,0.185,0.595,0.159,0.0643,3.570,0.762,1091,0.375,1.189,,15.83,3.171,3.856,0.0335,0.0274,0.0433,1.221,,13,0.0311,3.171,36,0.000488,3.839
,14,995,24:43,1483,25.48,56,164.2,133.4,2045,0.915,2.832,3.391,0.165,0.610,0.162,0.0614,3.414,0.610,1040,0.579,1.366,,11.79,2.819,3.378,0.0319,0.0350,0.0474,0.911,,12,0.0250,2.819,36,0.000649,3.354
,15,1204,25:46,1546,22.19,51,130.9,129.8,2931,0.730,2.560,2.872,0.109,0.716,0.154,0.0728,4.043,0.806,400.0,0.865,1.612,,8.163,2.536,2.851,0.0261,0.0284,0.0386,0.921,,12,0.0173,2.536,36,0.000392,2.837
,16,1451,26:49,1609,19.70,50,204.6,124.6,3017,1.141,2.165,2.520,0.141,0.600,0.032,0.0622,3.453,0.562,1488,1.125,1.838,,6.061,2.212,2.493,0.0303,0.0352,0.0464,0.861,,21,0.0102,2.212,36,0.000476,2.476
