File path:,
File note:,
File date:,16/06/17
File time:,02:22:21
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.392,0.396,0.392,0.408
Ek:,321.1,354.9,358.8,330.7
Pm:,115.9,111.8,117.7,109.9
Em:,1268,966.6,4125,928.4
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.057,0.051,0.055,0.056
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,32.17,39,0.000000,0.000000,0.000000,0.000000,5.361,8.639,0.379,,0.271,0.0618,6.184,0.761,1309,0.129,1.622,,144.2,5.445,8.415,0.0168,0.0120,0.0206,1.402,,12,0.116,5.445,36,-0.000846,8.446
,2,19,12:08,728,36.36,45,7.103,7.238,66.44,0.102,6.060,9.678,0.374,0.085,0.201,0.0581,5.807,0.706,1757,0.008,1.448,,55.09,6.160,9.427,0.0408,0.0430,0.0593,0.948,,13,0.129,6.160,36,-0.000260,9.436
,3,42,13:11,791,37.31,46,15.22,15.45,144.6,0.219,6.219,9.751,0.362,0.117,0.185,0.0572,5.719,0.634,1808,0.000,1.437,,44.48,6.340,9.515,0.0560,0.0443,0.0714,1.262,,12,0.121,6.340,36,0.000700,9.490
,4,68,14:14,854,37.32,46,24.52,24.04,227.8,0.353,6.220,9.728,0.361,0.120,0.150,0.0556,5.563,0.712,1808,0.002,1.440,,40.76,6.312,9.480,0.0525,0.0573,0.0777,0.917,,12,0.123,6.312,36,0.000291,9.470
,5,99,15:17,917,37.28,46,34.99,33.42,342.8,0.504,6.214,9.610,0.353,0.131,0.094,0.0575,5.751,0.654,1680,0.015,1.458,,44.61,6.356,9.369,0.0425,0.0524,0.0675,0.811,,12,0.122,6.356,36,0.000855,9.338
,6,134,16:21,981,38.90,45,41.81,42.98,474.2,0.602,6.484,9.424,0.312,0.224,0.283,0.0588,5.876,0.667,1603,0.035,1.487,,44.30,6.469,9.247,0.0355,0.0517,0.0627,0.686,,13,0.111,6.469,36,0.000131,9.242
,7,176,17:23,1043,39.15,45,52.91,53.15,617.8,0.762,6.525,9.329,0.301,0.248,0.255,0.0583,5.829,0.652,1488,0.045,1.502,,38.32,6.498,9.174,0.0439,0.0543,0.0698,0.807,,12,0.109,6.498,36,0.000682,9.149
,8,224,18:27,1107,39.56,45,62.94,63.26,822.3,0.907,6.593,9.170,0.281,0.290,0.261,0.0610,6.096,0.622,1411,0.063,1.528,,36.31,6.570,9.079,0.0457,0.0519,0.0691,0.880,,14,0.102,6.570,36,0.002499,8.989
,9,280,19:30,1170,40.20,45,75.47,73.30,986.8,1.087,6.700,9.172,0.270,0.319,0.228,0.0585,5.853,0.614,1360,0.063,1.528,,41.54,6.683,9.008,0.0362,0.0427,0.0560,0.849,,12,0.0988,6.683,36,-0.000119,9.012
,10,344,20:33,1233,41.28,45,81.79,82.62,1270,1.178,6.880,9.026,0.238,0.393,0.200,0.0613,6.133,0.768,1117,0.080,1.552,,27.98,6.895,8.866,0.0405,0.0576,0.0704,0.703,,13,0.0853,6.895,36,-0.001226,8.910
