File path:,
File note:,
File date:,16/06/17
File time:,04:50:51
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.374,0.394,0.398,0.410
Ek:,242.8,240.7,212.1,216.4
Pm:,86.50,86.61,87.49,83.74
Em:,1289,926.3,,973.6
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.119,0.093,0.097,0.065
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,21.32,47,0.000000,0.000000,0.000000,0.000000,3.554,5.891,0.397,,0.285,0.0577,5.772,0.744,1680,0.109,1.383,,154.1,3.605,5.754,0.009722,0.0100,0.0140,0.972,,12,0.0793,3.605,36,0.000151,5.749
,2,19,12:08,728,24.91,57,6.783,6.831,62.48,0.0619,4.151,6.456,0.357,0.192,0.307,0.0546,5.461,0.578,2512,0.012,1.262,,44.95,4.133,6.330,0.0249,0.0420,0.0489,0.593,,14,0.0810,4.133,36,-0.000178,6.336
,3,42,13:11,791,25.53,58,14.60,14.41,137.0,0.133,4.255,6.524,0.348,0.218,0.179,0.0542,5.418,0.594,2832,0.002,1.249,,37.42,4.344,6.396,0.0308,0.0454,0.0548,0.679,,13,0.0712,4.344,36,0.000398,6.382
,4,68,14:15,855,26.18,58,22.59,22.17,220.7,0.206,4.363,6.535,0.332,0.253,0.139,0.0539,5.390,0.636,2640,0.000,1.247,,35.00,4.391,6.376,0.0322,0.0467,0.0567,0.690,,12,0.0770,4.391,36,-0.000018,6.376
,5,99,15:17,917,26.99,58,29.87,30.39,320.2,0.273,4.499,6.443,0.302,0.317,0.261,0.0537,5.371,0.562,2512,0.014,1.265,,33.97,4.475,6.337,0.0414,0.0360,0.0548,1.150,,13,0.0732,4.475,36,0.000981,6.302
,6,134,16:20,980,26.83,57,38.51,38.49,473.0,0.352,4.471,6.275,0.287,0.339,0.246,0.0586,5.861,0.570,2243,0.041,1.299,,26.33,4.473,6.175,0.0438,0.0476,0.0646,0.921,,12,0.0700,4.473,36,0.000508,6.157
,7,176,17:24,1044,27.15,56,45.01,46.79,614.5,0.411,4.525,6.080,0.256,0.401,0.225,0.0580,5.798,0.564,2192,0.075,1.340,,29.67,4.490,6.009,0.0342,0.0382,0.0512,0.896,,12,0.0652,4.490,36,0.000071,6.007
,8,224,18:27,1107,27.33,55,52.41,54.67,765.0,0.479,4.556,5.947,0.234,0.445,0.312,0.0567,5.671,0.537,2243,0.099,1.370,,24.94,4.493,5.883,0.0250,0.0498,0.0558,0.502,,13,0.0579,4.493,36,0.000441,5.867
,9,280,19:30,1170,27.05,55,62.74,61.87,1004,0.573,4.508,5.810,0.224,0.462,0.194,0.0595,5.952,0.644,1680,0.125,1.403,,16.50,4.507,5.748,0.0594,0.0461,0.0752,1.289,,13,0.0520,4.507,36,0.000209,5.740
,10,344,20:33,1233,26.81,54,70.47,68.14,1154,0.643,4.468,5.620,0.205,0.498,0.270,0.0557,5.571,0.602,1872,0.163,1.450,,25.46,4.432,5.587,0.0255,0.0376,0.0454,0.678,,12,0.0460,4.432,36,0.001264,5.542
,11,420,21:36,1296,26.24,52,76.64,73.65,1472,0.700,4.374,5.350,0.182,0.540,0.250,0.0582,5.819,0.564,1680,0.221,1.523,,18.61,4.330,5.300,0.0358,0.0378,0.0521,0.947,,12,0.0426,4.330,36,0.000762,5.272
,12,507,22:39,1359,25.25,51,82.20,78.07,1769,0.750,4.208,5.022,0.162,0.575,0.230,0.0579,5.793,0.618,1872,0.301,1.623,,11.82,4.174,4.977,0.0583,0.0348,0.0679,1.675,,12,0.0362,4.174,36,0.000032,4.976
,13,609,23:42,1422,24.15,49,86.70,81.48,2064,0.792,4.025,4.693,0.142,0.610,0.183,0.0563,5.627,0.625,1629,0.392,1.736,,10.34,4.001,4.661,0.0427,0.0475,0.0639,0.898,,12,0.0296,4.001,36,0.000438,4.646
,14,727,24:45,1485,22.98,48,85.09,83.88,2414,0.777,3.831,4.338,0.117,0.663,0.141,0.0551,5.513,0.576,1232,0.506,1.878,,8.672,3.850,4.310,0.0376,0.0375,0.0531,1.004,,12,0.0171,3.850,36,0.000830,4.280
,15,865,25:48,1548,21.22,46,96.14,85.39,3094,0.878,3.537,3.979,0.111,0.661,0.139,0.0594,5.941,0.637,1309,0.642,2.048,,7.816,3.517,3.952,0.0422,0.0362,0.0556,1.167,,17,0.0202,3.517,36,0.000247,3.943
,16,1024,26:51,1611,19.76,44,94.25,86.19,,0.860,3.293,3.627,0.092,0.701,,,,,,0.802,2.247,,5.769,3.293,3.627,0.0449,0.0365,0.0579,1.229,,16,0.0151,3.293,36,0.000503,3.609
,17,1210,27:54,1674,18.37,44,73.74,86.48,,0.673,3.062,3.261,0.061,0.787,,,,,,1.004,2.499,,3.144,3.062,3.261,0.0476,0.0416,0.0632,1.145,,15,0.008962,3.062,36,-0.000377,3.275
,18,1426,28:57,1737,17.37,45,76.30,86.46,,0.697,2.894,3.058,0.054,0.804,,,,,,1.137,2.665,,2.950,2.894,3.058,0.0356,0.0425,0.0555,0.837,,26,0.006413,2.894,36,-0.001134,3.099
,19,1677,30:01,1801,16.35,48,78.37,86.28,,0.716,2.726,2.859,0.047,0.820,,,,,,1.285,2.850,,2.458,2.726,2.859,0.0359,0.0408,0.0544,0.878,,16,0.006382,2.726,36,-0.000424,2.875
,20,1968,31:03,1863,15.29,46,148.9,86.06,,1.359,2.549,2.758,0.076,0.701,,,,,,1.370,2.955,,3.210,2.549,2.758,0.0416,0.0499,0.0650,0.834,,14,0.004653,2.549,36,0.001016,2.721
,21,0,32:06,1926,17.03,30,0.000000,0.000000,0.000000,0.000000,2.839,4.271,0.335,,0.147,0.0557,5.567,0.809,1411,0.530,1.908,,79.95,2.886,4.167,0.0119,0.0107,0.0160,1.113,,12,0.0483,2.886,36,0.000146,4.162
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,21.32,59,0.000000,0.000000,0.000000,0.000000,3.015,5.082,0.407,,0.289,0.0671,4.474,0.765,1629,0.098,1.434,,193.2,3.065,4.907,0.005829,0.007548,0.009537,0.772,,12,0.0789,3.065,36,-0.000999,4.943
,2,19,12:08,728,24.91,71,7.156,7.194,49.06,0.0541,3.450,5.534,0.377,0.127,0.232,0.0643,4.287,0.640,2320,0.008,1.317,,44.84,3.508,5.377,0.0259,0.0327,0.0417,0.793,,12,0.0789,3.508,36,-0.000653,5.401
