File path:,
File note:,
File date:,16/06/17
File time:,06:04:25
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.373,0.378,0.384,0.390
Ek:,195.7,196.4,194.4,198.4
Pm:,77.95,79.09,76.69,73.51
Em:,,,,785.9
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.103,0.084,0.051,0.085
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,19.90,47,0.000000,0.000000,0.000000,0.000000,3.316,5.476,0.394,,0.251,0.0562,5.617,0.749,1731,0.163,1.530,,98.57,3.374,5.352,0.0167,0.0111,0.0201,1.512,,12,0.0715,3.374,36,0.000513,5.334
,2,19,12:08,728,23.61,54,6.899,6.746,58.23,0.0591,3.935,6.179,0.363,0.145,0.141,0.0509,5.089,0.624,2640,0.031,1.356,,42.59,3.985,6.042,0.0323,0.0359,0.0483,0.900,,12,0.0743,3.985,36,0.001149,6.001
,3,42,13:11,791,25.01,57,14.51,14.08,137.6,0.124,4.168,6.368,0.345,0.200,0.050,0.0544,5.442,0.586,2717,0.000,1.316,,45.18,4.273,6.212,0.0237,0.0357,0.0429,0.664,,12,0.0749,4.273,36,-0.000082,6.215
,4,68,14:14,854,26.99,57,19.86,21.40,230.5,0.170,4.499,6.356,0.292,0.323,0.342,0.0563,5.629,0.530,3229,0.002,1.318,,28.59,4.460,6.274,0.0360,0.0522,0.0634,0.690,,12,0.0683,4.460,36,0.001694,6.213
,5,99,15:17,917,27.06,57,28.07,28.95,338.6,0.241,4.511,6.296,0.284,0.339,0.240,0.0568,5.680,0.603,2717,0.011,1.331,,30.73,4.496,6.203,0.0332,0.0445,0.0555,0.747,,12,0.0697,4.496,36,0.000810,6.174
,6,134,16:20,980,27.65,57,35.31,36.15,448.5,0.303,4.609,6.257,0.264,0.384,0.222,0.0556,5.558,0.574,2563,0.018,1.339,,25.15,4.605,6.168,0.0470,0.0407,0.0622,1.153,,13,0.0616,4.605,36,0.001044,6.131
,7,176,17:23,1043,27.68,57,43.96,43.25,614.2,0.377,4.613,6.148,0.250,0.410,0.216,0.0579,5.795,0.548,2128,0.036,1.363,,23.06,4.620,6.090,0.0463,0.0439,0.0638,1.055,,12,0.0576,4.620,36,0.000851,6.060
,8,224,18:26,1106,28.44,56,47.17,50.44,757.1,0.404,4.739,6.004,0.211,0.496,0.270,0.0561,5.612,0.670,2077,0.061,1.396,,18.10,4.661,5.909,0.0465,0.0509,0.0690,0.914,,13,0.0579,4.661,36,-0.000740,5.936
,9,280,19:30,1170,28.13,55,54.45,57.37,854.5,0.467,4.688,5.820,0.194,0.526,0.251,0.0507,5.068,0.598,2128,0.094,1.440,,23.67,4.640,5.785,0.0282,0.0393,0.0484,0.716,,12,0.0437,4.640,36,0.001148,5.744
,10,344,20:33,1233,27.59,54,63.62,63.18,1118,0.545,4.598,5.642,0.185,0.540,0.215,0.0539,5.395,0.516,2000,0.129,1.485,,19.96,4.565,5.589,0.0295,0.0420,0.0513,0.702,,13,0.0420,4.565,36,0.000726,5.562
,11,420,21:36,1296,26.94,53,67.44,67.99,1575,0.578,4.490,5.349,0.161,0.588,0.184,0.0623,6.225,0.568,1872,0.190,1.566,,13.54,4.487,5.313,0.0402,0.0458,0.0609,0.877,,12,0.0360,4.487,36,0.000840,5.282
,12,507,22:39,1359,25.71,51,80.08,71.61,2180,0.686,4.286,5.089,0.158,0.582,0.133,0.0714,7.141,0.432,1283,0.251,1.646,,13.62,4.301,5.033,0.0278,0.0460,0.0537,0.604,,12,0.0371,4.301,36,0.000390,5.019
,13,609,23:42,1422,24.99,50,75.34,74.21,2146,0.646,4.166,4.754,0.124,0.658,0.144,0.0585,5.852,0.666,1680,0.340,1.762,,10.03,4.166,4.739,0.0330,0.0466,0.0571,0.709,,16,0.0230,4.166,36,0.000616,4.717
,14,727,24:45,1485,23.47,48,75.24,75.92,2484,0.645,3.912,4.363,0.103,0.698,0.085,0.0567,5.673,0.744,1040,0.460,1.920,,7.609,3.894,4.363,0.0448,0.0423,0.0616,1.059,,12,0.0216,3.894,36,0.000934,4.329
,15,865,25:48,1548,21.43,46,87.78,76.96,3054,0.752,3.571,3.975,0.101,0.685,0.151,0.0586,5.863,0.192,1411,0.602,2.108,,7.056,3.578,3.946,0.0292,0.0433,0.0522,0.675,,13,0.0150,3.578,36,-0.000562,3.967
,16,1024,26:51,1611,20.22,45,76.67,77.52,,0.657,3.369,3.642,0.075,0.753,,,,,,0.749,2.300,,4.221,3.369,3.642,0.0529,0.0371,0.0646,1.428,,12,0.0130,3.369,36,0.000798,3.613
,17,1210,27:54,1674,18.75,43,83.22,77.79,,0.713,3.125,3.356,0.069,0.760,,,,,,0.898,2.497,,2.888,3.125,3.356,0.0638,0.0481,0.0799,1.325,,12,0.0137,3.125,36,-0.000547,3.375
,18,1426,28:57,1737,17.32,44,104.6,77.90,,0.896,2.886,3.114,0.073,0.729,,,,,,1.045,2.690,,3.729,2.886,3.114,0.0246,0.0561,0.0612,0.438,,12,0.006531,2.886,36,0.001997,3.043
,19,1677,30:00,1800,16.36,43,60.13,77.94,,0.515,2.727,2.828,0.036,0.858,,,,,,1.252,2.962,,1.576,2.727,2.828,0.0521,0.0377,0.0644,1.383,,15,0.004892,2.727,36,-0.000770,2.856
,20,1968,31:03,1863,15.70,45,80.71,77.95,,0.692,2.616,2.728,0.041,0.833,,,,,,1.334,3.071,,2.031,2.616,2.728,0.0369,0.0409,0.0551,0.900,,12,0.003405,2.616,36,0.001369,2.679
,21,0,32:06,1926,16.41,29,0.000000,0.000000,0.000000,0.000000,2.735,4.003,0.317,,0.142,0.0566,5.658,0.772,1488,0.591,2.093,,68.04,2.764,3.931,0.0112,0.0130,0.0171,0.864,,12,0.0444,2.764,36,0.000199,3.924
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,19.90,59,0.000000,0.000000,0.000000,0.000000,2.825,4.728,0.402,,0.289,0.0662,4.412,0.742,1731,0.145,1.501,,127.9,2.879,4.579,0.0105,0.008089,0.0133,1.303,,12,0.0718,2.879,36,-0.000578,4.599
,2,19,12:08,728,23.61,68,6.960,6.841,49.23,0.0498,3.325,5.247,0.366,0.138,0.261,0.0645,4.303,0.610,2589,0.032,1.353,,41.21,3.377,5.120,0.0193,0.0376,0.0423,0.514,,13,0.0730,3.377,36,-0.000129,5.125
,3,42,13:11,791,25.01,70,14.55,14.28,109.3,0.104,3.539,5.414,0.346,0.200,0.176,0.0648,4.321,0.581,2883,0.000,1.311,,42.16,3.596,5.279,0.0258,0.0305,0.0399,0.846,,12,0.0737,3.596,36,-0.000221,5.287
,4,68,14:14,854,26.99,71,21.22,21.71,180.4,0.152,3.719,5.405,0.312,0.278,0.267,0.0661,4.406,0.561,2883,0.002,1.313,,32.36,3.721,5.304,0.0334,0.0358,0.0489,0.934,,12,0.0691,3.721,36,0.000136,5.299
,5,99,15:17,917,27.06,70,28.53,29.38,262.6,0.204,3.825,5.374,0.288,0.331,0.244,0.0661,4.404,0.560,2640,0.007,1.320,,38.37,3.830,5.271,0.0232,0.0295,0.0375,0.787,,12,0.0644,3.830,36,0.000021,5.270
,6,134,16:20,980,27.65,70,35.27,36.69,370.9,0.252,3.901,5.295,0.263,0.384,0.222,0.0690,4.597,0.570,2320,0.023,1.340,,37.55,3.901,5.205,0.0241,0.0250,0.0347,0.963,,12,0.0619,3.901,36,-0.000003,5.205
,7,176,17:23,1043,27.68,70,42.47,43.91,456.0,0.304,3.971,5.234,0.241,0.432,0.211,0.0645,4.302,0.577,2243,0.034,1.356,,27.62,3.960,5.177,0.0299,0.0323,0.0441,0.926,,12,0.0567,3.960,36,0.000713,5.151
,8,224,18:26,1106,28.44,69,50.38,51.23,617.0,0.361,3.956,5.104,0.225,0.462,0.196,0.0686,4.574,0.558,1923,0.061,1.390,,22.37,3.959,5.035,0.0353,0.0326,0.0481,1.082,,12,0.0521,3.959,36,0.000081,5.032
,9,280,19:30,1170,28.13,68,58.62,58.30,769.2,0.420,3.897,4.929,0.209,0.489,0.183,0.0684,4.562,0.603,1949,0.098,1.440,,22.98,3.889,4.880,0.0285,0.0324,0.0431,0.882,,12,0.0475,3.889,36,0.000082,4.877
,10,344,20:33,1233,27.59,66,59.86,64.20,884.9,0.428,3.933,4.761,0.174,0.567,0.150,0.0641,4.272,0.574,1923,0.137,1.490,,16.34,3.928,4.717,0.0356,0.0325,0.0482,1.095,,12,0.0370,3.928,36,0.000747,4.690
,11,420,21:36,1296,26.94,65,69.54,69.07,1084,0.498,3.812,4.569,0.166,0.577,0.143,0.0643,4.286,0.617,1731,0.185,1.553,,14.34,3.791,4.517,0.0377,0.0338,0.0506,1.113,,12,0.0378,3.791,36,-0.000326,4.529
,12,507,22:39,1359,25.71,62,78.27,72.72,1364,0.560,3.664,4.333,0.154,0.593,0.130,0.0670,4.467,0.593,1731,0.249,1.638,,14.23,3.678,4.259,0.0245,0.0327,0.0409,0.748,,12,0.0283,3.678,36,-0.001319,4.307
,13,609,23:42,1422,24.99,60,77.84,75.34,1562,0.557,3.527,4.044,0.128,0.648,0.176,0.0639,4.260,0.622,1808,0.339,1.755,,12.37,3.498,4.002,0.0282,0.0294,0.0407,0.957,,12,0.0276,3.498,36,0.000086,3.999
,14,727,24:45,1485,23.47,58,77.88,77.06,1768,0.557,3.294,3.689,0.107,0.687,0.054,0.0606,4.039,0.438,1808,0.468,1.924,,9.253,3.303,3.667,0.0239,0.0313,0.0394,0.764,,12,0.0165,3.303,36,0.000260,3.658
,15,865,25:48,1548,21.43,55,87.13,78.09,2029,0.624,3.030,3.369,0.101,0.687,0.054,0.0584,3.894,0.447,1923,0.607,2.106,,7.666,3.045,3.360,0.0256,0.0321,0.0410,0.799,,16,0.0126,3.045,36,0.001148,3.318
,16,1024,26:51,1611,20.22,53,78.53,78.65,,0.562,2.821,3.055,0.077,0.745,,,,,,0.772,2.323,,5.848,2.821,3.055,0.0261,0.0304,0.0401,0.861,,15,0.0107,2.821,36,-0.000120,3.059
,17,1210,27:54,1674,18.75,52,89.43,78.92,,0.640,2.617,2.825,0.074,0.740,,,,,,0.916,2.512,,4.833,2.617,2.825,0.0252,0.0351,0.0432,0.717,,14,0.009307,2.617,36,0.001618,2.767
,18,1426,28:57,1737,17.32,51,97.58,79.03,,0.698,2.419,2.597,0.068,0.745,,,,,,1.085,2.733,,5.109,2.419,2.597,0.0196,0.0287,0.0348,0.685,,12,0.0108,2.419,36,-0.000256,2.606
,19,1677,30:00,1800,16.36,51,65.15,79.07,,0.466,2.325,2.419,0.039,0.847,,,,,,1.238,2.934,,2.477,2.325,2.419,0.0262,0.0274,0.0379,0.958,,15,0.005251,2.325,36,-0.000570,2.439
,20,1968,31:03,1863,15.70,52,71.64,79.08,,0.513,2.187,2.270,0.036,0.850,,,,,,1.385,3.126,,2.071,2.187,2.270,0.0268,0.0296,0.0399,0.904,,27,0.003224,2.187,36,0.001100,2.230
,21,0,32:06,1926,16.41,36,0.000000,0.000000,0.000000,0.000000,2.328,3.469,0.329,,0.223,0.0687,4.580,0.764,1488,0.561,2.046,,56.70,2.372,3.381,0.0144,0.0104,0.0178,1.384,,12,0.0443,2.372,36,-0.000167,3.387
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
