File path:,
File note:,
File date:,16/06/17
File time:,09:45:09
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.387,0.415,0.407,0.423
Ek:,236.5,219.6,218.0,222.9
Pm:,82.77,84.68,136.5,80.27
Em:,789.3,1006,,696.4
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.153,0.143,0.110,0.123
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,17.99,41,0.000000,0.000000,0.000000,0.000000,2.999,5.050,0.406,,0.265,0.0556,5.560,0.757,1757,0.179,1.378,,136.8,3.038,4.925,0.007540,0.0115,0.0138,0.653,,12,0.0684,3.038,36,0.000063,4.923
,2,19,12:08,728,21.26,51,7.339,7.056,62.90,0.0552,3.543,5.772,0.386,0.148,0.200,0.0550,5.498,0.615,2461,0.031,1.206,,36.19,3.634,5.654,0.0421,0.0366,0.0558,1.151,,12,0.0728,3.634,36,0.000409,5.639
,3,42,13:11,791,23.34,54,14.55,14.87,139.9,0.110,3.891,5.954,0.347,0.248,0.303,0.0553,5.531,0.568,2883,0.000,1.169,,27.63,3.867,5.821,0.0552,0.0442,0.0707,1.249,,13,0.0740,3.867,36,-0.000556,5.841
,4,68,14:14,854,23.85,53,22.38,22.84,226.4,0.168,3.975,5.924,0.329,0.284,0.281,0.0553,5.528,0.576,2768,0.005,1.175,,35.16,3.962,5.829,0.0283,0.0449,0.0531,0.632,,12,0.0704,3.962,36,0.001663,5.769
,5,99,15:18,918,24.69,54,30.28,31.27,343.6,0.228,4.116,5.929,0.306,0.335,0.284,0.0576,5.764,0.502,2448,0.004,1.174,,24.33,4.100,5.853,0.0578,0.0430,0.0720,1.342,,13,0.0677,4.100,36,0.001158,5.811
,6,134,16:21,981,24.92,54,39.30,39.54,477.0,0.296,4.153,5.876,0.293,0.359,0.252,0.0591,5.911,0.554,2192,0.013,1.185,,29.83,4.159,5.779,0.0404,0.0363,0.0543,1.112,,12,0.0650,4.159,36,0.000119,5.774
,7,176,17:24,1044,25.11,54,46.38,47.98,589.9,0.349,4.185,5.682,0.264,0.414,0.230,0.0557,5.566,0.566,2051,0.048,1.225,,21.07,4.164,5.626,0.0531,0.0447,0.0694,1.188,,12,0.0574,4.164,36,0.001038,5.588
,8,224,18:27,1107,24.68,52,58.74,55.96,727.4,0.442,4.113,5.575,0.262,0.410,0.221,0.0539,5.393,0.548,2192,0.068,1.248,,22.79,4.097,5.469,0.0432,0.0419,0.0602,1.030,,12,0.0544,4.097,36,-0.000604,5.491
,9,280,19:30,1170,25.41,52,61.64,63.14,881.5,0.464,4.234,5.430,0.220,0.498,0.264,0.0523,5.228,0.554,1949,0.097,1.282,,27.17,4.188,5.368,0.0246,0.0358,0.0434,0.688,,12,0.0487,4.188,36,0.000831,5.338
,10,344,20:33,1233,24.93,51,67.89,69.30,1181,0.511,4.155,5.176,0.197,0.537,0.269,0.0570,5.702,0.578,1808,0.150,1.345,,16.98,4.129,5.152,0.0476,0.0370,0.0603,1.287,,12,0.0416,4.129,36,0.002106,5.077
,11,420,21:36,1296,23.95,49,78.19,74.56,1561,0.588,3.991,4.904,0.186,0.550,0.159,0.0617,6.172,0.658,1552,0.214,1.419,,14.88,4.003,4.844,0.0447,0.0346,0.0565,1.290,,14,0.0369,4.003,36,0.000773,4.816
,12,507,22:39,1359,22.88,48,85.92,78.54,1671,0.647,3.813,4.591,0.169,0.574,0.070,0.0547,5.473,0.690,1680,0.297,1.516,,14.39,3.820,4.575,0.0391,0.0349,0.0524,1.119,,12,0.0304,3.820,36,0.001431,4.523
,13,609,23:42,1422,21.67,47,92.91,81.26,2083,0.699,3.611,4.261,0.153,0.598,0.106,0.0568,5.680,0.730,1411,0.397,1.633,,9.118,3.635,4.245,0.0571,0.0348,0.0669,1.640,,12,0.0238,3.635,36,0.001230,4.201
,14,727,24:45,1485,20.50,45,90.17,82.62,2238,0.679,3.417,3.900,0.124,0.655,0.189,0.0511,5.111,0.564,1360,0.526,1.785,,7.520,3.430,3.888,0.0444,0.0415,0.0608,1.070,,13,0.0166,3.430,36,0.000300,3.877
,15,865,25:48,1548,18.61,43,106.9,82.57,3486,0.805,3.101,3.538,0.124,0.633,0.148,0.0669,6.692,0.410,1232,0.683,1.967,,7.566,3.120,3.496,0.0305,0.0393,0.0498,0.776,,16,0.0169,3.120,36,-0.000595,3.518
,16,1024,26:51,1611,17.54,42,104.3,81.04,3310,0.785,2.923,3.255,0.102,0.680,0.149,0.0537,5.367,0.641,1117,0.829,2.138,,6.317,2.906,3.234,0.0343,0.0390,0.0519,0.880,,12,0.0154,2.906,36,-0.000440,3.250
,17,1210,27:54,1674,16.69,43,61.10,77.75,,0.460,2.782,2.930,0.050,0.830,,,,,,1.032,2.375,,2.672,2.782,2.930,0.0386,0.0397,0.0554,0.973,,17,0.009880,2.782,36,0.000813,2.901
,18,1426,28:57,1737,15.06,43,89.83,72.10,,0.676,2.509,2.678,0.063,0.773,,,,,,1.223,2.599,,3.426,2.509,2.678,0.0298,0.0392,0.0493,0.761,,21,0.007596,2.509,36,-0.000962,2.713
,19,1677,30:01,1801,14.59,43,46.20,62.79,,0.348,2.432,2.501,0.028,0.896,,,,,,1.381,2.783,,1.105,2.432,2.501,0.0407,0.0472,0.0623,0.863,,12,0.005129,2.432,36,-0.002127,2.577
,20,1968,31:04,1864,13.85,43,62.75,47.14,,0.472,2.309,2.385,0.032,0.875,,,,,,1.497,2.919,,0.908,2.309,2.385,0.0679,0.0489,0.0837,1.388,,12,0.004625,2.309,36,-0.001722,2.447
,21,0,32:06,1926,14.91,27,0.000000,0.000000,0.000000,0.000000,2.485,3.799,0.346,,0.190,0.0553,5.526,0.793,1437,0.567,1.832,,65.89,2.530,3.711,0.0128,0.0126,0.0179,1.015,,12,0.0431,2.530,36,0.000301,3.700
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,17.99,51,0.000000,0.000000,0.000000,0.000000,2.560,4.380,0.416,,0.296,0.0666,4.440,0.763,1731,0.166,1.393,,152.7,2.605,4.234,0.007631,0.007452,0.0107,1.024,,12,0.0683,2.605,36,-0.000648,4.257
,2,19,12:08,728,21.26,64,7.545,7.558,49.14,0.0474,3.002,4.980,0.397,0.116,0.228,0.0644,4.295,0.660,2640,0.025,1.225,,40.40,3.062,4.832,0.0328,0.0290,0.0438,1.131,,12,0.0743,3.062,36,-0.000087,4.835
