File path:,
File note:,
File date:,16/06/17
File time:,18:49:37
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.385,0.408,0.406,0.399
Ek:,384.0,376.6,372.6,406.4
Pm:,115.9,97.10,122.0,122.9
Em:,989.7,,1022,972.5
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.193,0.116,0.101,0.145
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,14.20,39,0.000000,0.000000,0.000000,0.000000,2.367,3.795,0.376,,0.267,0.0616,6.157,0.835,1181,0.110,1.606,,115.8,2.405,3.700,0.006655,0.008992,0.0112,0.740,,12,0.0497,2.405,36,-0.000109,3.704
,2,22,12:08,728,15.80,46,8.225,8.228,80.12,0.0528,2.633,4.205,0.374,0.084,0.225,0.0605,6.047,0.746,1488,0.002,1.449,,34.00,2.675,4.078,0.0266,0.0315,0.0412,0.842,,12,0.0578,2.675,36,-0.000553,4.097
,3,49,13:11,791,16.13,47,17.74,17.70,161.7,0.114,2.688,4.213,0.362,0.114,0.212,0.0548,5.479,0.736,1808,0.000,1.446,,38.27,2.710,4.103,0.0252,0.0263,0.0364,0.957,,12,0.0530,2.710,36,-0.000014,4.104
,4,81,14:14,854,16.68,48,27.10,28.10,282.4,0.174,2.779,4.177,0.335,0.177,0.312,0.0579,5.789,0.683,1629,0.009,1.459,,29.74,2.764,4.090,0.0259,0.0363,0.0446,0.712,,12,0.0525,2.764,36,-0.000905,4.123
,5,118,15:17,917,16.38,48,40.37,39.10,417.3,0.259,2.729,4.148,0.342,0.155,0.106,0.0587,5.873,0.686,1360,0.016,1.469,,33.38,2.765,4.073,0.0203,0.0335,0.0392,0.608,,12,0.0545,2.765,36,0.000353,4.060
,6,163,16:21,981,16.85,47,50.70,51.11,565.9,0.325,2.808,4.076,0.311,0.224,0.325,0.0577,5.766,0.628,1552,0.034,1.495,,28.96,2.804,4.000,0.0194,0.0365,0.0413,0.532,,15,0.0447,2.804,36,-0.000188,4.007
,7,216,17:24,1044,17.69,49,64.19,63.58,764.6,0.412,2.949,4.196,0.297,0.271,0.298,0.0588,5.878,0.722,1411,0.004,1.452,,23.76,2.920,4.122,0.0360,0.0356,0.0506,1.011,,14,0.0474,2.920,36,0.000556,4.102
,8,279,18:27,1107,17.70,48,78.01,76.32,995.3,0.501,2.951,4.096,0.280,0.304,0.286,0.0592,5.924,0.566,1283,0.029,1.488,,22.01,2.941,4.036,0.0373,0.0330,0.0498,1.131,,13,0.0436,2.941,36,-0.000187,4.043
,9,353,19:30,1170,17.76,47,89.32,88.84,1264,0.573,2.960,3.963,0.253,0.358,0.246,0.0595,5.947,0.742,1232,0.063,1.537,,19.34,2.936,3.931,0.0413,0.0308,0.0515,1.341,,12,0.0432,2.936,36,0.000932,3.898
,10,442,20:33,1233,18.51,47,97.08,98.78,1462,0.623,3.085,3.954,0.220,0.442,0.213,0.0549,5.493,0.726,1232,0.066,1.541,,18.50,3.076,3.920,0.0264,0.0372,0.0456,0.708,,12,0.0336,3.076,36,0.000772,3.892
,11,547,21:36,1296,18.02,47,114.1,106.0,1885,0.732,3.003,3.795,0.209,0.456,0.178,0.0572,5.721,0.730,1168,0.110,1.606,,14.98,3.003,3.765,0.0356,0.0364,0.0509,0.979,,14,0.0308,3.003,36,0.000604,3.744
,12,671,22:39,1359,17.39,45,120.7,111.5,2315,0.775,2.899,3.535,0.180,0.510,0.086,0.0573,5.729,1.000,835.2,0.192,1.724,,13.47,2.900,3.522,0.0327,0.0326,0.0462,1.004,,15,0.0252,2.900,36,0.000554,3.502
,13,819,23:42,1422,16.17,43,126.3,114.8,3291,0.810,2.696,3.187,0.154,0.551,0.160,0.0667,6.672,0.688,860.8,0.322,1.912,,9.189,2.694,3.153,0.0355,0.0352,0.0500,1.007,,12,0.0235,2.694,36,0.000054,3.151
,14,995,24:45,1485,14.69,40,125.2,115.9,3004,0.803,2.448,2.801,0.126,0.600,0.167,0.0501,5.013,0.686,1040,0.504,2.176,,7.638,2.427,2.755,0.0313,0.0294,0.0430,1.065,,14,0.0164,2.427,36,-0.000877,2.786
