File path:,
File note:,
File date:,16/06/17
File time:,21:12:04
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.358,0.385,0.379,0.390
Ek:,450.6,396.6,434.8,413.0
Pm:,248.0,112.3,104.1,125.4
Em:,,900.7,,1136
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.152,0.193,0.144,0.133
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,14.26,45,0.000000,0.000000,0.000000,0.000000,2.376,3.704,0.359,,0.252,0.0609,6.089,0.858,1168,0.169,1.792,,103.6,2.418,3.613,0.008863,0.007370,0.0115,1.203,,12,0.0455,2.418,36,-0.000194,3.620
,2,22,12:08,728,15.72,54,7.755,7.677,80.41,0.0524,2.619,4.045,0.352,0.069,0.250,0.0607,6.070,0.724,1360,0.070,1.641,,26.68,2.659,3.935,0.0317,0.0358,0.0478,0.887,,12,0.0505,2.659,36,-0.000468,3.951
,3,49,13:11,791,16.27,55,16.52,16.60,167.5,0.112,2.711,4.090,0.337,0.116,0.330,0.0568,5.678,0.549,1757,0.059,1.623,,30.70,2.710,4.011,0.0292,0.0307,0.0424,0.949,,12,0.0470,2.710,36,0.000116,4.007
,4,81,14:14,854,16.71,55,25.69,26.51,274.5,0.174,2.785,4.078,0.317,0.167,0.345,0.0563,5.628,0.601,1629,0.062,1.628,,27.81,2.753,3.983,0.0347,0.0274,0.0442,1.266,,12,0.0486,2.753,36,-0.000849,4.014
,5,118,15:17,917,17.17,57,37.06,37.12,421.1,0.250,2.861,4.172,0.314,0.186,0.290,0.0593,5.926,0.690,1411,0.038,1.591,,27.37,2.847,4.107,0.0266,0.0376,0.0460,0.706,,12,0.0506,2.847,36,0.000257,4.098
,6,163,16:20,980,17.82,58,49.49,48.90,553.3,0.334,2.969,4.264,0.304,0.224,0.279,0.0564,5.637,0.631,1629,0.015,1.557,,27.76,2.967,4.180,0.0227,0.0373,0.0437,0.608,,14,0.0458,2.967,36,0.000060,4.178
,7,216,17:23,1043,18.32,60,63.62,61.35,709.1,0.430,3.054,4.329,0.295,0.254,0.251,0.0545,5.452,0.632,1552,0.000,1.533,,23.17,3.065,4.248,0.0248,0.0447,0.0511,0.554,,12,0.0453,3.065,36,0.000009,4.248
,8,279,18:26,1106,18.64,59,75.62,74.37,995.0,0.511,3.107,4.262,0.271,0.307,0.250,0.0592,5.922,0.626,1168,0.016,1.558,,18.44,3.101,4.194,0.0475,0.0354,0.0592,1.340,,12,0.0460,3.101,36,-0.000036,4.195
,9,353,19:29,1169,19.29,61,84.45,87.51,1277,0.571,3.215,4.226,0.239,0.385,0.243,0.0601,6.008,0.584,1181,0.024,1.571,,17.42,3.222,4.157,0.0320,0.0431,0.0537,0.743,,13,0.0374,3.222,36,-0.000435,4.173
,10,442,20:33,1233,19.34,61,100.9,100.7,1579,0.682,3.224,4.177,0.228,0.409,0.227,0.0593,5.930,0.654,1168,0.036,1.589,,15.96,3.217,4.130,0.0421,0.0388,0.0572,1.084,,17,0.0364,3.217,36,0.000437,4.115
,11,547,21:35,1295,19.16,60,110.0,113.3,1913,0.743,3.194,3.998,0.201,0.465,0.214,0.0581,5.809,0.650,1040,0.083,1.661,,16.98,3.201,3.960,0.0279,0.0350,0.0448,0.796,,16,0.0288,3.201,36,0.000438,3.945
,12,671,22:38,1358,18.69,59,116.6,124.9,2222,0.787,3.115,3.770,0.174,0.520,0.254,0.0550,5.499,0.538,1309,0.148,1.761,,15.92,3.109,3.765,0.0265,0.0315,0.0412,0.842,,12,0.0242,3.109,36,0.001307,3.718
,13,819,23:42,1422,17.52,56,134.4,135.1,2579,0.908,2.920,3.494,0.164,0.524,0.147,0.0523,5.229,0.744,1168,0.239,1.900,,10.03,2.921,3.456,0.0424,0.0324,0.0534,1.310,,14,0.0216,2.921,36,-0.000093,3.460
,14,995,24:45,1485,15.89,53,148.2,143.7,3596,1.001,2.649,3.112,0.149,0.533,0.128,0.0600,6.001,0.568,912.0,0.391,2.133,,6.736,2.657,3.069,0.0490,0.0366,0.0612,1.339,,12,0.0182,2.657,36,-0.000656,3.093
,15,1204,25:48,1548,14.22,51,142.5,150.4,4034,0.963,2.371,2.689,0.118,0.589,0.174,0.0556,5.563,0.752,1552,0.610,2.469,,8.720,2.370,2.684,0.0259,0.0250,0.0360,1.035,,15,0.0123,2.370,36,0.000438,2.668
,16,1451,26:51,1611,12.94,48,145.0,155.2,,0.980,2.157,2.396,0.100,0.623,,,,,,0.807,2.770,,4.719,2.157,2.396,0.0315,0.0398,0.0507,0.792,,16,0.007833,2.157,36,0.001546,2.341
,17,1745,27:54,1674,11.77,46,106.9,158.5,,0.722,1.962,2.090,0.061,0.744,,,,,,1.071,3.176,,2.403,1.962,2.090,0.0326,0.0422,0.0533,0.772,,24,0.004255,1.962,36,-0.000310,2.102
,18,2094,28:57,1737,10.33,48,242.1,160.4,,1.636,1.722,1.947,0.116,0.490,,,,,,1.223,3.409,,3.486,1.722,1.947,0.0548,0.0343,0.0646,1.598,,13,0.0113,1.722,36,0.000695,1.922
,19,2508,30:00,1800,9.712,50,206.2,161.6,,1.393,1.619,1.764,0.082,0.608,,,,,,1.455,3.764,,2.752,1.619,1.764,0.0313,0.0424,0.0527,0.737,,12,0.006718,1.619,36,0.000890,1.732
,20,3000,31:03,1863,9.305,52,192.6,162.3,,1.301,1.551,1.657,0.064,0.679,,,,,,1.612,4.006,,1.754,1.551,1.657,0.0449,0.0408,0.0606,1.100,,13,0.009126,1.551,36,-0.001056,1.695
,21,0,32:06,1926,11.39,29,0.000000,0.000000,0.000000,0.000000,1.898,2.686,0.294,,0.298,0.0563,5.625,0.774,1117,0.612,2.472,,52.74,1.892,2.643,0.0106,0.009480,0.0142,1.121,,12,0.0277,1.892,36,0.000368,2.630
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,14.26,56,0.000000,0.000000,0.000000,0.000000,2.015,3.196,0.369,,0.322,0.0720,4.803,0.829,1181,0.155,1.541,,110.9,2.049,3.085,0.007147,0.006008,0.009337,1.190,,12,0.0466,2.049,36,-0.000677,3.109
