File path:,
File note:,
File date:,16/06/17
File time:,21:48:51
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.367,0.374,0.369,0.389
Ek:,434.1,437.1,474.2,430.9
Pm:,100.8,141.5,142.1,105.9
Em:,,1445,6708,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.082,0.063,0.130,0.119
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.92,33,0.000000,0.000000,0.000000,0.000000,1.986,2.987,0.335,,0.235,0.0623,6.232,0.858,1168,0.353,1.927,,90.04,2.021,2.912,0.006134,0.007758,0.009890,0.791,,12,0.0355,2.021,36,-0.000207,2.919
,2,22,12:08,728,14.33,50,7.694,7.879,83.78,0.0465,2.389,3.673,0.350,0.102,0.238,0.0632,6.324,0.659,1411,0.100,1.567,,27.61,2.444,3.581,0.0281,0.0301,0.0412,0.936,,12,0.0477,2.444,36,-0.000542,3.601
,3,49,13:11,791,14.98,51,17.05,17.02,168.8,0.103,2.496,3.829,0.348,0.129,0.175,0.0572,5.721,0.686,1680,0.056,1.503,,27.69,2.535,3.726,0.0317,0.0291,0.0430,1.088,,12,0.0468,2.535,36,-0.000783,3.755
,4,81,14:14,854,15.74,53,26.21,27.14,281.5,0.159,2.624,3.879,0.324,0.196,0.276,0.0577,5.771,0.610,1629,0.042,1.483,,33.27,2.618,3.807,0.0231,0.0273,0.0357,0.845,,14,0.0465,2.618,36,0.000445,3.791
,5,118,15:17,917,15.78,54,40.59,37.95,416.6,0.245,2.630,4.009,0.344,0.162,0.114,0.0586,5.863,0.685,1437,0.008,1.435,,29.66,2.689,3.917,0.0237,0.0339,0.0414,0.699,,12,0.0497,2.689,36,0.000431,3.901
,6,163,16:20,980,16.49,55,50.74,49.91,576.8,0.307,2.749,3.992,0.311,0.240,0.266,0.0588,5.876,0.602,1552,0.013,1.442,,23.07,2.753,3.929,0.0391,0.0327,0.0510,1.194,,12,0.0469,2.753,36,0.000668,3.905
,7,216,17:23,1043,17.30,58,61.81,62.50,740.4,0.374,2.884,4.040,0.286,0.306,0.243,0.0569,5.692,0.630,1360,0.000,1.424,,24.76,2.872,3.971,0.0338,0.0287,0.0444,1.178,,13,0.0438,2.872,36,-0.000058,3.973
,8,279,18:26,1106,17.81,57,74.07,75.59,993.1,0.448,2.969,4.042,0.266,0.356,0.278,0.0591,5.911,0.564,1360,0.000,1.424,,27.56,2.977,3.977,0.0199,0.0303,0.0363,0.655,,12,0.0379,2.977,36,-0.000049,3.979
,9,353,19:30,1170,17.96,57,88.82,88.74,1288,0.537,2.994,4.000,0.252,0.386,0.221,0.0606,6.060,0.639,1168,0.010,1.439,,18.78,3.001,3.959,0.0415,0.0297,0.0510,1.395,,12,0.0408,3.001,36,0.000551,3.940
,10,442,20:33,1233,18.49,58,101.5,101.7,1698,0.614,3.082,4.001,0.230,0.440,0.237,0.0638,6.379,0.636,1040,0.010,1.438,,19.98,3.067,3.940,0.0192,0.0392,0.0437,0.490,,13,0.0406,3.067,36,-0.000583,3.961
,11,547,21:36,1296,18.48,58,111.3,112.7,1747,0.673,3.079,3.866,0.203,0.494,0.279,0.0530,5.303,0.570,1309,0.045,1.489,,14.31,3.052,3.839,0.0370,0.0408,0.0550,0.907,,12,0.0317,3.052,36,0.001239,3.794
,12,671,22:39,1359,17.93,58,127.5,123.3,2277,0.771,2.989,3.690,0.190,0.514,0.164,0.0564,5.635,0.776,1091,0.095,1.560,,14.07,2.984,3.652,0.0313,0.0357,0.0475,0.876,,13,0.0285,2.984,36,-0.000057,3.654
,13,819,23:42,1422,17.03,55,130.2,132.8,2833,0.787,2.839,3.375,0.159,0.570,0.238,0.0574,5.745,0.619,1168,0.198,1.705,,14.10,2.837,3.371,0.0245,0.0289,0.0379,0.849,,18,0.0197,2.837,36,0.001066,3.332
,14,995,24:45,1485,15.82,53,138.1,140.8,3124,0.835,2.636,3.061,0.139,0.600,0.183,0.0521,5.213,0.747,912.0,0.320,1.880,,6.708,2.649,3.027,0.0466,0.0317,0.0564,1.469,,16,0.0131,2.649,36,-0.000447,3.043
,15,1204,25:48,1548,14.48,51,118.4,147.0,2324,0.716,2.413,2.676,0.098,0.690,0.111,0.0320,3.205,0.882,912.0,0.510,2.151,,6.165,2.385,2.685,0.0351,0.0337,0.0487,1.042,,13,0.0107,2.385,36,0.001176,2.642
,16,1451,26:51,1611,12.33,49,170.5,151.3,,1.031,2.056,2.329,0.118,0.592,,,,,,0.735,2.471,,5.354,2.056,2.329,0.0389,0.0331,0.0511,1.176,,12,0.008554,2.056,36,0.002076,2.255
,17,1745,27:54,1674,11.21,47,143.9,154.1,,0.870,1.868,2.036,0.082,0.684,,,,,,0.986,2.827,,3.735,1.868,2.036,0.0286,0.0347,0.0449,0.826,,14,0.006506,1.868,36,0.000319,2.024
,18,2094,28:57,1737,9.997,48,188.2,155.6,,1.138,1.666,1.831,0.090,0.628,,,,,,1.208,3.143,,2.774,1.666,1.831,0.0481,0.0347,0.0593,1.388,,36,0.003638,1.666,36,-0.001379,1.880
,19,2508,30:00,1800,9.626,51,172.6,156.4,,1.044,1.604,1.723,0.069,0.701,,,,,,1.346,3.340,,2.490,1.604,1.723,0.0349,0.0324,0.0476,1.075,,29,0.002181,1.604,36,0.001494,1.669
,20,3000,31:03,1863,9.159,54,165.8,156.8,,1.002,1.527,1.616,0.055,0.748,,,,,,1.501,3.562,,1.445,1.527,1.616,0.0449,0.0424,0.0618,1.059,,17,0.002150,1.527,36,0.001707,1.554
,21,0,32:06,1926,10.68,28,0.000000,0.000000,0.000000,0.000000,1.780,2.547,0.301,,0.306,0.0580,5.796,0.760,1168,0.587,2.259,,53.74,1.780,2.500,0.008126,0.0106,0.0134,0.764,,14,0.0272,1.780,36,0.000042,2.498
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,11.92,40,0.000000,0.000000,0.000000,0.000000,1.690,2.579,0.345,,0.237,0.0733,4.890,0.869,1091,0.346,1.984,,93.39,1.730,2.494,0.005667,0.005897,0.008178,0.961,,12,0.0352,1.730,36,-0.000437,2.510
,2,22,12:08,728,14.33,61,7.626,8.026,62.03,0.0381,2.057,3.148,0.347,0.090,0.245,0.0702,4.682,0.786,1360,0.102,1.625,,34.06,2.092,3.052,0.0157,0.0234,0.0282,0.671,,12,0.0446,2.092,36,-0.000742,3.079
,3,49,13:11,791,14.98,64,17.10,17.34,133.1,0.0855,2.128,3.269,0.349,0.104,0.212,0.0676,4.509,0.706,1552,0.062,1.565,,29.40,2.179,3.186,0.0229,0.0254,0.0342,0.901,,12,0.0419,2.179,36,0.000539,3.166
,4,81,14:14,854,15.74,65,27.16,27.66,216.9,0.136,2.205,3.317,0.335,0.147,0.214,0.0667,4.447,0.698,1488,0.047,1.543,,35.86,2.231,3.233,0.0159,0.0229,0.0279,0.694,,12,0.0440,2.231,36,-0.000083,3.236
,5,118,15:17,917,15.78,67,38.67,38.68,333.1,0.193,2.275,3.383,0.328,0.177,0.280,0.0703,4.688,0.594,1488,0.026,1.512,,40.04,2.279,3.322,0.0191,0.0177,0.0261,1.076,,12,0.0467,2.279,36,0.001208,3.279
,6,163,16:20,980,16.49,69,52.50,50.90,456.1,0.262,2.315,3.415,0.322,0.195,0.140,0.0697,4.646,0.743,1411,0.017,1.499,,26.35,2.370,3.331,0.0283,0.0230,0.0365,1.234,,12,0.0432,2.370,36,-0.000044,3.333
,7,216,17:23,1043,17.30,70,64.71,63.76,587.9,0.323,2.406,3.435,0.300,0.254,0.206,0.0678,4.520,0.686,1360,0.010,1.489,,25.12,2.444,3.347,0.0205,0.0295,0.0359,0.695,,15,0.0381,2.444,36,-0.000845,3.377
,8,279,18:26,1106,17.81,70,77.03,77.14,745.1,0.385,2.513,3.471,0.276,0.317,0.329,0.0665,4.435,0.669,1437,0.000,1.474,,20.52,2.506,3.390,0.0330,0.0278,0.0431,1.188,,12,0.0387,2.506,36,-0.000856,3.421
,9,353,19:30,1170,17.96,71,95.10,90.60,972.5,0.475,2.510,3.436,0.269,0.329,0.228,0.0686,4.575,0.638,1309,0.010,1.489,,20.78,2.535,3.370,0.0312,0.0254,0.0402,1.226,,12,0.0381,2.535,36,0.000282,3.360
,10,442,20:33,1233,18.49,71,100.8,103.9,1141,0.504,2.640,3.419,0.228,0.431,0.206,0.0643,4.286,0.830,1168,0.015,1.496,,16.99,2.633,3.364,0.0332,0.0273,0.0430,1.214,,12,0.0327,2.633,36,0.000213,3.356
,11,547,21:36,1296,18.48,70,117.0,114.7,1456,0.585,2.598,3.305,0.214,0.455,0.178,0.0663,4.421,0.734,988.8,0.050,1.548,,13.65,2.617,3.233,0.0340,0.0296,0.0451,1.150,,12,0.0287,2.617,36,-0.000667,3.257
,12,671,22:39,1359,17.93,69,126.6,124.1,1888,0.633,2.531,3.119,0.189,0.502,0.176,0.0701,4.671,0.546,1040,0.113,1.640,,12.59,2.542,3.067,0.0292,0.0298,0.0417,0.981,,12,0.0253,2.542,36,-0.000418,3.082
,13,819,23:42,1422,17.03,66,131.6,131.8,1987,0.658,2.400,2.859,0.161,0.552,0.230,0.0604,4.029,0.646,1232,0.214,1.790,,10.72,2.405,2.829,0.0297,0.0261,0.0396,1.137,,12,0.0163,2.405,36,-0.000060,2.831
,14,995,24:45,1485,15.82,63,135.3,137.3,2292,0.677,2.230,2.581,0.136,0.594,0.136,0.0574,3.826,0.614,912.0,0.345,1.982,,8.413,2.219,2.552,0.0313,0.0243,0.0396,1.291,,12,0.0161,2.219,36,-0.000313,2.563
,15,1204,25:48,1548,14.48,60,136.7,140.5,1290,0.683,2.037,2.298,0.114,0.634,0.017,0.0267,1.779,0.981,2192,0.511,2.227,,7.195,1.978,2.244,0.0278,0.0244,0.0370,1.140,,12,0.0107,1.978,36,0.000129,2.240
,16,1451,26:51,1611,12.33,56,149.2,141.5,,0.746,1.720,1.917,0.103,0.623,,,,,,0.811,2.669,,5.236,1.720,1.917,0.0285,0.0246,0.0376,1.158,,13,0.0145,1.720,36,-0.000684,1.942
,17,1745,27:54,1674,11.21,54,123.8,140.5,,0.619,1.588,1.710,0.071,0.717,,,,,,1.030,2.993,,3.016,1.588,1.710,0.0291,0.0278,0.0402,1.046,,20,0.005106,1.588,36,-0.000395,1.724
