File path:,
File note:,
File date:,17/06/17
File time:,21:53:46
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.350,0.352,0.342,0.360
Ek:,510.8,503.5,561.8,480.5
Pm:,125.4,136.8,121.5,143.7
Em:,1020,1255,,1407
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.225,0.120,0.152,0.114
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.154,30,0.000000,0.000000,0.000000,0.000000,1.526,2.313,0.340,,0.238,0.0666,6.658,0.858,1168,0.162,1.832,,75.36,1.555,2.251,0.004187,0.008236,0.009239,0.508,,12,0.0283,1.555,36,-0.000367,2.264
,2,22,12:08,728,10.13,36,7.473,7.538,89.90,0.0342,1.688,2.556,0.340,0.097,0.257,0.0679,6.786,0.626,1552,0.051,1.657,,18.08,1.711,2.469,0.0207,0.0365,0.0419,0.567,,12,0.0353,1.711,36,-0.000802,2.498
,3,49,13:11,791,10.40,37,16.58,16.36,188.8,0.0758,1.734,2.621,0.338,0.114,0.236,0.0640,6.398,0.717,1629,0.025,1.617,,24.37,1.775,2.526,0.0213,0.0222,0.0308,0.960,,14,0.0306,1.775,36,-0.001135,2.566
,4,81,14:14,854,10.82,38,26.05,26.22,301.6,0.119,1.803,2.658,0.322,0.166,0.220,0.0618,6.184,0.794,1680,0.011,1.594,,17.95,1.828,2.586,0.0298,0.0299,0.0422,0.996,,16,0.0299,1.828,36,-0.000172,2.593
,5,118,15:17,917,11.03,39,37.28,36.88,480.9,0.170,1.838,2.687,0.316,0.186,0.220,0.0677,6.768,0.745,1309,0.000,1.577,,19.00,1.869,2.605,0.0139,0.0362,0.0387,0.384,,13,0.0331,1.869,36,-0.000759,2.632
,6,163,16:20,980,11.32,40,47.96,48.85,608.1,0.219,1.887,2.674,0.294,0.240,0.321,0.0620,6.195,0.556,1552,0.005,1.584,,23.70,1.886,2.628,0.0194,0.0246,0.0313,0.787,,12,0.0304,1.886,36,0.000115,2.624
,7,216,17:23,1043,11.33,40,63.76,61.66,767.4,0.291,1.888,2.679,0.295,0.238,0.288,0.0590,5.900,0.614,1872,0.003,1.581,,18.85,1.901,2.646,0.0272,0.0287,0.0395,0.950,,14,0.0274,1.901,36,0.001360,2.597
,8,279,18:27,1107,11.70,40,72.67,75.25,1067,0.332,1.950,2.636,0.260,0.321,0.373,0.0635,6.352,0.678,1488,0.019,1.607,,13.08,1.942,2.570,0.0367,0.0310,0.0481,1.182,,13,0.0266,1.942,36,-0.001025,2.607
,9,353,19:30,1170,11.52,40,88.89,89.22,1334,0.406,1.920,2.566,0.252,0.332,0.288,0.0628,6.277,0.570,1232,0.047,1.651,,15.59,1.914,2.558,0.0223,0.0347,0.0413,0.644,,12,0.0262,1.914,36,0.001401,2.507
,10,442,20:33,1233,11.62,41,96.55,103.5,1643,0.441,1.937,2.478,0.218,0.408,0.310,0.0617,6.172,0.822,1117,0.084,1.710,,13.15,1.933,2.455,0.0240,0.0316,0.0397,0.760,,15,0.0202,1.933,36,0.000371,2.442
