File path:,
File note:,
File date:,18/06/17
File time:,01:55:41
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.336,0.348,0.337,0.360
Ek:,440.0,451.6,440.0,408.2
Pm:,227.4,120.7,119.2,120.4
Em:,,1360,1199,1177
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.123,0.126,0.078,0.115
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,18.00,32,0.000000,0.000000,0.000000,0.000000,3.001,4.498,0.333,,0.235,0.0704,7.040,0.838,1117,0.180,2.106,,110.5,3.051,4.381,0.009573,0.007299,0.0120,1.311,,12,0.0589,3.051,36,-0.000245,4.390
,2,22,12:08,728,20.71,37,6.828,7.205,87.95,0.0627,3.451,5.005,0.310,0.102,0.215,0.0664,6.639,0.753,1411,0.061,1.893,,26.99,3.494,4.874,0.0384,0.0337,0.0511,1.139,,12,0.0594,3.494,36,-0.000935,4.908
,3,49,13:11,791,20.83,38,15.75,15.57,193.7,0.145,3.471,5.115,0.321,0.084,0.160,0.0656,6.564,0.693,1437,0.038,1.852,,27.31,3.559,4.969,0.0398,0.0329,0.0516,1.209,,12,0.0603,3.559,36,-0.000597,4.990
,4,81,14:14,854,21.67,39,25.07,24.84,307.6,0.230,3.612,5.232,0.310,0.130,0.094,0.0631,6.306,0.714,1360,0.015,1.811,,23.90,3.711,5.093,0.0470,0.0336,0.0578,1.397,,12,0.0596,3.711,36,-0.000792,5.121
,5,118,15:17,917,22.53,39,32.86,34.75,450.8,0.302,3.756,5.205,0.278,0.215,0.332,0.0634,6.344,0.612,1552,0.020,1.820,,23.02,3.755,5.090,0.0378,0.0440,0.0580,0.858,,13,0.0558,3.755,36,-0.000698,5.115
,6,163,16:20,980,22.80,40,45.37,45.74,624.4,0.417,3.800,5.266,0.278,0.221,0.267,0.0636,6.361,0.683,1411,0.008,1.799,,24.36,3.790,5.171,0.0390,0.0411,0.0567,0.949,,12,0.0611,3.790,36,-0.000734,5.197
,7,216,17:23,1043,23.00,41,60.02,57.31,855.4,0.552,3.833,5.308,0.278,0.226,0.184,0.0658,6.576,0.604,1360,0.000,1.784,,27.08,3.913,5.178,0.0283,0.0371,0.0467,0.761,,12,0.0551,3.913,36,-0.000484,5.195
,8,279,18:26,1106,23.66,41,69.66,69.38,1090,0.640,3.944,5.256,0.250,0.300,0.212,0.0649,6.486,0.675,1283,0.010,1.802,,24.34,3.955,5.152,0.0264,0.0415,0.0492,0.637,,12,0.0553,3.955,36,-0.000741,5.179
,9,353,19:29,1169,23.82,41,81.69,81.51,1424,0.751,3.971,5.166,0.231,0.344,0.273,0.0670,6.700,0.625,1437,0.027,1.833,,17.97,3.968,5.078,0.0447,0.0426,0.0617,1.047,,12,0.0496,3.968,36,-0.000168,5.084
,10,442,20:33,1233,23.86,41,94.35,93.64,1736,0.867,3.977,5.056,0.213,0.387,0.178,0.0652,6.523,0.686,1232,0.050,1.873,,16.33,3.992,4.964,0.0429,0.0413,0.0595,1.039,,13,0.0448,3.992,36,-0.000430,4.979
