File path:,
File note:,
File date:,18/06/17
File time:,04:22:51
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.323,0.333,0.335,0.353
Ek:,273.5,304.6,304.1,277.3
Pm:,88.39,64.04,81.58,90.20
Em:,,,820.0,1105
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.566,0.148,0.194,0.081
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,22.39,41,0.000000,0.000000,0.000000,0.000000,3.731,5.673,0.342,,0.242,0.0681,6.814,0.741,1603,0.121,2.048,,112.7,3.797,5.535,0.0124,0.009225,0.0154,1.339,,12,0.0753,3.797,36,-0.000342,5.547
,2,22,12:08,728,25.19,45,7.010,6.832,86.09,0.0779,4.198,6.161,0.319,0.080,0.117,0.0650,6.498,0.676,2000,0.032,1.886,,27.13,4.279,6.020,0.0372,0.0523,0.0642,0.710,,12,0.0764,4.279,36,0.000573,6.000
,3,49,13:11,791,26.13,45,14.46,14.50,196.7,0.161,4.355,6.179,0.295,0.150,0.168,0.0667,6.665,0.654,1949,0.029,1.881,,36.45,4.419,6.074,0.0221,0.0397,0.0454,0.558,,13,0.0724,4.419,36,0.001010,6.038
,4,81,14:14,854,27.78,46,21.63,22.66,325.3,0.240,4.630,6.317,0.267,0.242,0.336,0.0667,6.669,0.590,2000,0.006,1.839,,29.16,4.625,6.210,0.0398,0.0371,0.0544,1.072,,14,0.0664,4.625,36,-0.000253,6.219
,5,118,15:18,918,28.12,47,30.13,30.98,469.3,0.335,4.686,6.293,0.255,0.273,0.303,0.0660,6.605,0.657,1923,0.010,1.846,,27.83,4.676,6.172,0.0304,0.0444,0.0538,0.684,,12,0.0669,4.676,36,-0.000799,6.201
,6,163,16:21,981,28.01,47,40.46,39.69,671.5,0.450,4.668,6.209,0.248,0.287,0.227,0.0684,6.841,0.627,1923,0.024,1.871,,28.33,4.682,6.136,0.0405,0.0316,0.0513,1.279,,12,0.0654,4.682,36,0.001388,6.086
,7,216,17:24,1044,29.37,47,49.72,48.27,865.8,0.553,4.894,6.358,0.230,0.349,0.214,0.0666,6.656,0.672,1552,0.000,1.828,,22.43,4.899,6.255,0.0490,0.0354,0.0605,1.387,,13,0.0624,4.899,36,-0.000961,6.290
,8,279,18:27,1107,30.18,47,55.34,56.52,1193,0.615,5.030,6.275,0.198,0.434,0.276,0.0710,7.101,0.491,1603,0.013,1.852,,16.49,5.022,6.188,0.0531,0.0467,0.0707,1.139,,12,0.0535,5.022,36,-0.000343,6.200
,9,353,19:30,1170,29.96,47,63.92,64.08,1354,0.710,4.993,6.097,0.181,0.474,0.220,0.0637,6.368,0.625,1603,0.043,1.906,,18.94,4.973,5.989,0.0281,0.0458,0.0537,0.613,,12,0.0470,4.973,36,-0.000960,6.024
,10,442,20:33,1233,29.61,47,71.82,70.83,1787,0.798,4.935,5.892,0.162,0.517,0.168,0.0671,6.714,0.670,1360,0.079,1.972,,17.50,4.929,5.821,0.0361,0.0360,0.0510,1.005,,12,0.0425,4.929,36,-0.000867,5.852
,11,547,21:36,1296,28.76,46,79.24,76.43,1869,0.881,4.793,5.605,0.145,0.555,0.125,0.0567,5.675,0.652,1488,0.134,2.073,,11.65,4.775,5.538,0.0416,0.0506,0.0655,0.822,,13,0.0355,4.775,36,-0.000447,5.554
,12,671,22:39,1359,28.14,44,74.09,80.79,2504,0.823,4.691,5.273,0.110,0.646,0.172,0.0620,6.198,0.672,988.8,0.206,2.204,,10.11,4.677,5.274,0.0324,0.0494,0.0591,0.656,,13,0.0264,4.677,36,0.001211,5.230
,13,819,23:42,1422,26.02,43,86.54,83.96,3288,0.962,4.337,4.850,0.106,0.641,0.151,0.0667,6.666,0.568,1488,0.311,2.396,,7.883,4.359,4.833,0.0368,0.0476,0.0602,0.773,,13,0.0189,4.359,36,0.000597,4.812
,14,995,24:45,1485,24.65,42,96.15,86.06,3803,1.069,4.108,4.547,0.097,0.656,0.134,0.0635,6.347,0.328,912.0,0.398,2.555,,6.532,4.097,4.514,0.0501,0.0397,0.0639,1.264,,15,0.0189,4.097,36,-0.000225,4.522
,15,1204,25:48,1548,23.09,41,97.24,87.31,,1.081,3.849,4.187,0.081,0.695,,,,,,0.519,2.775,,5.117,3.849,4.187,0.0459,0.0475,0.0661,0.966,,12,0.0170,3.849,36,0.000239,4.178
,16,1451,26:51,1611,21.36,40,89.73,87.95,,0.997,3.559,3.794,0.062,0.749,,,,,,0.676,3.063,,4.118,3.559,3.794,0.0348,0.0451,0.0570,0.772,,12,0.0132,3.559,36,-0.001159,3.836
,17,1745,27:54,1674,19.90,39,105.2,88.24,,1.170,3.317,3.530,0.060,0.741,,,,,,0.801,3.291,,2.897,3.317,3.530,0.0611,0.0408,0.0735,1.500,,14,0.0123,3.317,36,-0.000322,3.542
,18,2094,28:57,1737,18.64,41,97.02,88.35,,1.078,3.107,3.258,0.046,0.788,,,,,,0.951,3.566,,2.314,3.107,3.258,0.0360,0.0544,0.0652,0.660,,12,0.009299,3.107,36,0.001555,3.202
,19,2508,30:01,1801,17.73,41,52.88,88.38,,0.588,2.955,3.018,0.021,0.898,,,,,,1.107,3.850,,0.765,2.955,3.018,0.0639,0.0533,0.0832,1.199,,21,0.003482,2.955,36,-0.001469,3.071
,20,3000,31:04,1864,17.15,44,26.31,88.39,,0.292,2.859,2.884,0.009,0.956,,,,,,1.204,4.029,,0.348,2.859,2.884,0.0498,0.0530,0.0727,0.940,,12,0.003181,2.859,36,-0.000677,2.909
,21,0,32:07,1927,17.93,26,0.000000,0.000000,0.000000,0.000000,2.988,4.286,0.303,,0.209,0.0726,7.256,0.824,1040,0.483,2.711,,58.66,3.052,4.167,0.0119,0.0148,0.0190,0.800,,12,0.0514,3.052,36,-0.000623,4.190
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,22.39,50,0.000000,0.000000,0.000000,0.000000,3.072,4.817,0.362,,0.211,0.0816,5.437,0.782,1488,0.106,1.889,,75.76,3.185,4.649,0.0172,0.008789,0.0193,1.958,,12,0.0738,3.185,36,-0.000879,4.681
,2,22,12:08,728,25.19,54,6.840,7.059,67.84,0.0592,3.542,5.140,0.311,0.139,0.216,0.0768,5.121,0.673,2051,0.036,1.770,,37.50,3.597,5.014,0.0222,0.0306,0.0378,0.727,,12,0.0691,3.597,36,0.000268,5.005
,3,49,13:11,791,26.13,55,15.02,15.05,151.5,0.130,3.598,5.190,0.307,0.156,0.160,0.0770,5.134,0.698,1872,0.026,1.753,,27.84,3.697,5.039,0.0399,0.0271,0.0482,1.470,,12,0.0654,3.697,36,-0.000944,5.073
,4,81,14:14,854,27.78,56,24.32,23.66,256.4,0.210,3.727,5.326,0.300,0.187,0.169,0.0788,5.256,0.609,1821,0.000,1.708,,30.41,3.811,5.206,0.0342,0.0306,0.0459,1.116,,12,0.0704,3.811,36,0.000383,5.193
,5,118,15:18,918,28.12,57,33.34,32.54,377.5,0.288,3.812,5.314,0.283,0.234,0.178,0.0797,5.312,0.670,1757,0.002,1.712,,36.64,3.896,5.173,0.0271,0.0220,0.0349,1.232,,12,0.0647,3.896,36,-0.000367,5.186
,6,163,16:21,981,28.01,56,43.52,41.98,549.6,0.376,3.830,5.225,0.267,0.268,0.174,0.0840,5.599,0.620,1680,0.019,1.741,,28.98,3.917,5.092,0.0293,0.0280,0.0406,1.045,,12,0.0609,3.917,36,-0.000400,5.106
,7,216,17:24,1044,29.37,58,49.93,51.46,651.3,0.432,4.083,5.310,0.231,0.373,0.229,0.0751,5.007,0.593,1757,0.003,1.713,,23.35,4.092,5.199,0.0335,0.0335,0.0474,1.000,,12,0.0573,4.092,36,-0.000939,5.233
,8,279,18:27,1107,30.18,57,59.28,60.77,911.2,0.513,4.139,5.255,0.212,0.420,0.238,0.0814,5.423,0.557,1731,0.014,1.731,,22.89,4.136,5.159,0.0334,0.0297,0.0447,1.122,,12,0.0575,4.136,36,-0.000241,5.168
,9,353,19:30,1170,29.96,57,67.71,67.79,1156,0.586,4.110,5.086,0.192,0.465,0.242,0.0815,5.436,0.638,1552,0.047,1.789,,20.99,4.127,5.008,0.0284,0.0309,0.0420,0.920,,12,0.0464,4.127,36,0.000370,4.994
,10,442,20:33,1233,29.61,56,77.67,75.02,1427,0.672,4.079,4.949,0.176,0.501,0.208,0.0804,5.360,0.544,1488,0.076,1.839,,18.97,4.085,4.853,0.0323,0.0244,0.0405,1.327,,12,0.0422,4.085,36,-0.000605,4.875
,11,547,21:36,1296,28.76,55,81.47,81.81,1779,0.705,3.951,4.642,0.149,0.559,0.218,0.0810,5.400,0.561,1629,0.147,1.960,,12.28,3.943,4.584,0.0372,0.0366,0.0522,1.018,,13,0.0350,3.943,36,-0.000347,4.596
,12,671,22:39,1359,28.14,53,85.34,87.42,1994,0.738,3.848,4.408,0.127,0.610,0.195,0.0740,4.934,0.538,1309,0.208,2.064,,15.76,3.801,4.352,0.0229,0.0264,0.0349,0.866,,12,0.0319,3.801,36,-0.000552,4.372
,13,819,23:42,1422,26.02,51,97.48,91.72,2303,0.843,3.579,4.062,0.119,0.614,0.018,0.0700,4.669,0.388,1603,0.311,2.240,,12.30,3.599,4.041,0.0211,0.0292,0.0360,0.723,,13,0.0219,3.599,36,0.000825,4.012
,14,995,24:45,1485,24.65,49,78.73,94.74,,0.681,3.453,3.749,0.079,0.729,,,,,,0.421,2.427,,5.420,3.453,3.749,0.0420,0.0352,0.0547,1.193,,12,0.0127,3.453,36,-0.000695,3.775
,15,1204,25:48,1548,23.09,48,112.1,96.66,1849,0.969,3.218,3.548,0.093,0.668,0.015,0.0382,2.550,0.794,2589,0.501,2.564,,8.534,3.215,3.553,0.0208,0.0337,0.0396,0.617,,12,0.0108,3.215,36,0.001706,3.492
,16,1451,26:51,1611,21.36,47,78.76,97.74,,0.681,3.003,3.175,0.054,0.790,,,,,,0.677,2.865,,4.108,3.003,3.175,0.0315,0.0277,0.0420,1.135,,15,0.009117,3.003,36,-0.000424,3.191
,17,1745,27:54,1674,19.90,45,98.03,98.28,,0.848,2.819,2.987,0.056,0.773,,,,,,0.783,3.047,,3.366,2.819,2.987,0.0378,0.0325,0.0498,1.165,,12,0.008110,2.819,36,0.000807,2.958
,18,2094,28:57,1737,18.64,46,101.8,98.50,,0.880,2.596,2.728,0.049,0.789,,,,,,0.952,3.335,,2.911,2.596,2.728,0.0304,0.0339,0.0456,0.895,,23,0.002918,2.596,36,0.001887,2.660
,19,2508,30:01,1801,17.73,46,161.8,98.58,,1.399,2.413,2.580,0.064,0.708,,,,,,1.065,3.527,,3.661,2.413,2.580,0.0286,0.0353,0.0454,0.812,,16,0.006070,2.413,36,0.000429,2.564
,20,3000,31:04,1864,17.15,48,155.8,98.60,,1.347,2.352,2.481,0.052,0.758,,,,,,1.147,3.668,,2.654,2.352,2.481,0.0363,0.0322,0.0485,1.129,,22,0.002626,2.352,36,0.001407,2.430
,21,0,32:07,1927,17.93,32,0.000000,0.000000,0.000000,0.000000,2.542,3.630,0.300,,0.257,0.0834,5.557,0.930,1040,0.467,2.507,,62.43,2.579,3.523,0.0122,0.008950,0.0151,1.360,,12,0.0496,2.579,36,-0.000780,3.551
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,22.39,49,0.000000,0.000000,0.000000,0.000000,2.535,3.906,0.351,,0.235,0.0764,4.245,0.758,1488,0.108,2.048,,103.9,2.590,3.780,0.009389,0.006570,0.0115,1.429,,12,0.0579,2.590,36,-0.000538,3.799
,2,22,12:08,728,25.19,54,6.876,7.113,54.22,0.0506,2.865,4.168,0.313,0.087,0.218,0.0737,4.092,0.687,1949,0.039,1.920,,36.53,2.916,4.056,0.0174,0.0259,0.0312,0.669,,12,0.0545,2.916,36,-0.000588,4.077
,3,49,13:11,791,26.13,54,15.16,15.17,121.2,0.112,2.907,4.208,0.309,0.102,0.174,0.0739,4.106,0.658,1872,0.029,1.901,,40.01,2.947,4.112,0.0155,0.0247,0.0291,0.627,,12,0.0569,2.947,36,0.000432,4.097
,4,81,14:14,854,27.78,55,24.15,23.83,202.8,0.178,3.039,4.330,0.298,0.151,0.206,0.0749,4.159,0.611,1949,0.000,1.848,,27.15,3.107,4.209,0.0314,0.0258,0.0406,1.219,,12,0.0515,3.107,36,-0.000950,4.244
,5,118,15:18,918,28.12,55,34.41,32.78,296.7,0.253,3.037,4.287,0.292,0.164,0.049,0.0751,4.175,0.693,1731,0.010,1.867,,26.60,3.119,4.182,0.0304,0.0259,0.0400,1.175,,12,0.0522,3.119,36,-0.000120,4.187
,6,163,16:21,981,28.01,55,40.86,42.29,426.8,0.301,3.164,4.223,0.251,0.274,0.349,0.0783,4.348,0.558,1872,0.025,1.895,,29.66,3.159,4.153,0.0165,0.0292,0.0335,0.566,,12,0.0481,3.159,36,0.000360,4.140
,7,216,17:24,1044,29.37,56,55.33,51.82,580.4,0.407,3.206,4.310,0.256,0.268,0.035,0.0803,4.462,0.625,1437,0.005,1.857,,18.08,3.313,4.203,0.0407,0.0277,0.0492,1.468,,12,0.0456,3.313,36,-0.000368,4.217
,8,279,18:27,1107,30.18,56,58.12,61.20,674.1,0.428,3.373,4.260,0.208,0.400,0.216,0.0722,4.012,0.673,1757,0.016,1.878,,20.64,3.366,4.223,0.0300,0.0287,0.0415,1.042,,12,0.0408,3.366,36,0.000808,4.194
,9,353,19:30,1170,29.96,55,69.82,68.55,940.6,0.514,3.300,4.113,0.198,0.417,0.191,0.0796,4.425,0.656,1360,0.053,1.945,,17.00,3.318,4.048,0.0276,0.0328,0.0429,0.839,,13,0.0376,3.318,36,0.000162,4.042
,10,442,20:33,1233,29.61,54,74.12,74.12,1090,0.546,3.295,3.959,0.168,0.493,0.204,0.0737,4.093,0.544,1680,0.094,2.021,,25.37,3.284,3.936,0.0126,0.0224,0.0257,0.563,,12,0.0329,3.284,36,0.001200,3.892
,11,547,21:36,1296,28.76,53,84.41,78.24,1320,0.621,3.180,3.760,0.154,0.517,0.158,0.0721,4.008,0.615,1411,0.151,2.128,,13.76,3.187,3.723,0.0300,0.0249,0.0390,1.201,,12,0.0263,3.187,36,0.000415,3.708
,12,671,22:39,1359,28.14,51,84.39,80.74,1596,0.621,3.092,3.537,0.126,0.590,0.193,0.0711,3.950,0.793,1501,0.224,2.263,,13.26,3.074,3.510,0.0220,0.0244,0.0328,0.900,,12,0.0217,3.074,36,0.000367,3.496
,13,819,23:42,1422,26.02,50,85.90,81.58,1813,0.632,2.927,3.269,0.105,0.638,0.138,0.0662,3.675,0.909,1091,0.324,2.447,,9.518,2.926,3.251,0.0199,0.0278,0.0342,0.717,,12,0.0146,2.926,36,0.000572,3.231
,14,995,24:45,1485,24.65,48,92.86,80.82,2108,0.684,2.757,3.040,0.093,0.661,0.126,0.0633,3.519,0.561,1603,0.424,2.632,,6.632,2.754,3.010,0.0224,0.0314,0.0386,0.713,,12,0.0113,2.754,36,-0.000618,3.032
,15,1204,25:48,1548,23.09,47,87.63,78.68,1580,0.645,2.637,2.844,0.073,0.722,0.013,0.0392,2.179,1.000,860.8,0.522,2.814,,6.245,2.595,2.837,0.0245,0.0300,0.0387,0.816,,14,0.0103,2.595,36,0.000550,2.817
,16,1451,26:51,1611,21.36,45,93.45,75.52,,0.688,2.385,2.549,0.064,0.733,,,,,,0.698,3.139,,5.972,2.385,2.549,0.0131,0.0242,0.0275,0.543,,14,0.0102,2.385,36,-0.000526,2.568
,17,1745,27:54,1674,19.90,44,102.3,71.70,,0.753,2.257,2.397,0.059,0.746,,,,,,0.806,3.338,,3.878,2.257,2.397,0.0259,0.0254,0.0363,1.018,,13,0.007454,2.257,36,-0.000331,2.409
,18,2094,28:57,1737,18.64,44,120.9,67.59,,0.890,2.063,2.190,0.058,0.731,,,,,,0.977,3.655,,3.969,2.063,2.190,0.0210,0.0240,0.0318,0.876,,12,0.008620,2.063,36,0.001000,2.154
,19,2508,30:01,1801,17.73,45,40.86,63.48,,0.301,2.003,2.036,0.016,0.920,,,,,,1.126,3.930,,0.813,2.003,2.036,0.0297,0.0280,0.0408,1.061,,18,0.001584,2.003,36,-0.000471,2.053
,20,3000,31:04,1864,17.15,47,74.64,59.61,,0.549,1.917,1.966,0.025,0.874,,,,,,1.202,4.071,,1.193,1.917,1.966,0.0290,0.0290,0.0410,0.998,,13,0.002725,1.917,36,-0.000050,1.968
,21,0,32:07,1927,17.93,31,0.000000,0.000000,0.000000,0.000000,2.043,2.964,0.311,,0.210,0.0813,4.516,0.901,988.8,0.461,2.700,,50.53,2.093,2.872,0.0110,0.0108,0.0154,1.024,,12,0.0391,2.093,36,-0.000122,2.876
