File path:,
File note:,
File date:,18/06/17
File time:,07:26:47
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.311,0.321,0.314,0.329
Ek:,257.1,231.4,253.9,248.9
Pm:,123.0,114.4,75.19,67.19
Em:,,,1039,709.6
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.127,0.145,0.140,0.259
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,23.10,42,0.000000,0.000000,0.000000,0.000000,3.849,5.777,0.334,,0.226,0.0696,6.956,0.760,1680,0.115,2.415,,103.1,3.914,5.630,0.0140,0.009064,0.0166,1.540,,12,0.0770,3.914,36,-0.000183,5.637
,2,22,12:08,728,26.31,45,6.366,6.551,88.86,0.0749,4.385,6.171,0.289,0.057,0.245,0.0671,6.707,0.692,2128,0.044,2.261,,22.74,4.427,6.036,0.0507,0.0493,0.0708,1.029,,12,0.0687,4.427,36,-0.000762,6.063
,3,49,13:11,791,27.13,47,14.62,13.86,204.8,0.172,4.521,6.443,0.298,0.056,0.077,0.0694,6.940,0.653,2051,0.000,2.165,,26.26,4.659,6.293,0.0449,0.0431,0.0623,1.043,,12,0.0731,4.659,36,0.000501,6.275
,4,81,14:14,854,28.39,46,20.25,21.59,315.7,0.238,4.731,6.308,0.250,0.197,0.234,0.0647,6.473,0.588,2243,0.021,2.212,,25.75,4.725,6.195,0.0292,0.0490,0.0571,0.596,,12,0.0645,4.725,36,-0.000451,6.211
,5,118,15:17,917,28.96,47,28.50,29.40,478.1,0.335,4.827,6.365,0.242,0.229,0.269,0.0673,6.727,0.582,2128,0.012,2.192,,28.05,4.818,6.250,0.0349,0.0373,0.0511,0.937,,12,0.0628,4.818,36,0.000119,6.246
,6,163,16:20,980,28.81,46,36.39,37.51,652.7,0.428,4.802,6.182,0.223,0.273,0.248,0.0665,6.650,0.570,2192,0.042,2.257,,20.93,4.817,6.071,0.0498,0.0333,0.0599,1.498,,12,0.0562,4.817,36,-0.000481,6.089
,7,216,17:23,1043,28.65,46,45.16,45.40,842.1,0.531,4.775,6.037,0.209,0.308,0.216,0.0647,6.474,0.582,2128,0.067,2.311,,18.96,4.781,5.961,0.0449,0.0431,0.0622,1.041,,12,0.0524,4.781,36,0.000130,5.956
,8,279,18:26,1106,29.02,46,54.18,52.94,1085,0.637,4.837,6.003,0.194,0.355,0.168,0.0646,6.456,0.597,1923,0.073,2.324,,17.82,4.840,5.937,0.0413,0.0456,0.0615,0.906,,12,0.0501,4.840,36,0.000867,5.905
,9,353,19:30,1170,28.71,46,60.92,59.83,1383,0.716,4.785,5.782,0.173,0.411,0.228,0.0651,6.507,0.555,1731,0.114,2.413,,18.78,4.752,5.723,0.0339,0.0390,0.0517,0.869,,12,0.0449,4.752,36,0.000664,5.700
,10,442,20:33,1233,28.84,44,63.19,65.92,1584,0.743,4.807,5.609,0.143,0.501,0.207,0.0595,5.952,0.618,1872,0.149,2.487,,11.89,4.799,5.578,0.0505,0.0417,0.0655,1.212,,13,0.0314,4.799,36,0.000837,5.548
,11,547,21:36,1296,26.83,43,77.28,70.92,1985,0.909,4.472,5.208,0.141,0.480,0.179,0.0602,6.025,0.399,1757,0.237,2.679,,11.28,4.481,5.161,0.0445,0.0407,0.0603,1.093,,13,0.0286,4.481,36,0.000502,5.143
,12,671,22:39,1359,26.41,42,80.40,74.80,2438,0.946,4.401,5.000,0.120,0.546,0.166,0.0603,6.034,0.663,1757,0.288,2.790,,9.375,4.392,4.960,0.0411,0.0445,0.0606,0.922,,13,0.0243,4.392,36,-0.000170,4.966
,13,819,23:42,1422,25.75,42,79.00,77.64,2992,0.929,4.292,4.750,0.096,0.620,0.131,0.0607,6.066,0.580,1360,0.356,2.937,,7.905,4.287,4.715,0.0386,0.0380,0.0541,1.017,,12,0.0191,4.287,36,0.000271,4.706
,14,995,24:45,1485,23.92,40,77.55,79.61,3212,0.912,3.987,4.324,0.078,0.671,0.012,0.0536,5.361,0.933,1091,0.490,3.227,,6.216,3.994,4.315,0.0409,0.0315,0.0517,1.298,,12,0.0129,3.994,36,0.000255,4.306
,15,1204,25:48,1548,21.40,39,83.24,80.92,,0.979,3.567,3.832,0.069,0.679,,,,,,0.681,3.641,,4.766,3.567,3.832,0.0294,0.0472,0.0556,0.622,,23,0.0105,3.567,36,-0.000787,3.860
,16,1451,26:51,1611,19.65,37,62.41,81.82,,0.734,3.275,3.422,0.043,0.782,,,,,,0.883,4.077,,2.728,3.275,3.422,0.0356,0.0406,0.0540,0.877,,26,0.006329,3.275,36,-0.002090,3.497
,17,1745,27:54,1674,18.22,37,94.81,82.54,,1.115,3.037,3.211,0.054,0.710,,,,,,1.006,4.344,,3.187,3.037,3.211,0.0357,0.0415,0.0547,0.862,,15,0.005791,3.037,36,0.000956,3.177
,18,2094,28:57,1737,16.76,38,129.0,83.23,,1.518,2.793,2.977,0.062,0.650,,,,,,1.165,4.687,,2.293,2.793,2.977,0.0650,0.0466,0.0800,1.396,,15,0.005181,2.793,36,0.001517,2.922
,19,2508,30:00,1800,15.99,39,73.22,83.97,,0.861,2.665,2.745,0.029,0.822,,,,,,1.347,5.083,,1.210,2.665,2.745,0.0509,0.0424,0.0662,1.201,,34,0.001879,2.665,36,0.001118,2.705
,20,3000,31:03,1863,14.99,39,98.07,84.81,,1.153,2.498,2.583,0.033,0.791,,,,,,1.495,5.402,,1.174,2.498,2.583,0.0500,0.0517,0.0719,0.967,,12,0.006948,2.498,36,-0.000903,2.615
,21,0,32:06,1926,16.37,24,0.000000,0.000000,0.000000,0.000000,2.728,3.819,0.286,,0.095,0.0677,6.771,0.814,1168,0.687,3.653,,43.82,2.797,3.729,0.0110,0.0182,0.0213,0.602,,12,0.0418,2.797,36,-0.000049,3.730
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
