File path:,
File note:,
File date:,18/06/17
File time:,17:03:02
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.405,0.410,0.412,0.425
Ek:,524.2,548.9,553.5,533.8
Pm:,134.3,142.3,178.9,185.5
Em:,,,1496,1833
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.077,0.045,0.065,0.039
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,32.13,47,0.000000,0.000000,0.000000,0.000000,5.355,8.703,0.385,,0.272,0.0567,5.673,0.790,1411,0.193,1.781,,148.8,5.458,8.493,0.0135,0.0153,0.0204,0.881,,12,0.107,5.458,36,0.000018,8.492
,2,22,12:07,727,36.48,55,8.334,8.734,71.00,0.118,6.080,9.788,0.379,0.021,0.271,0.0536,5.359,0.714,1629,0.061,1.583,,42.31,6.113,9.518,0.0539,0.0598,0.0805,0.901,,12,0.122,6.113,36,-0.000683,9.543
,3,49,13:10,790,38.39,59,18.81,18.96,165.3,0.267,6.399,10.39,0.384,0.043,0.275,0.0560,5.601,0.641,1629,0.000,1.492,,57.27,6.481,10.13,0.0295,0.0566,0.0638,0.521,,12,0.134,6.481,36,-0.000928,10.17
,4,81,14:12,852,33.49,52,29.57,30.43,244.7,0.420,5.582,8.792,0.365,,0.185,0.0502,5.017,0.694,1552,0.181,1.763,,47.07,5.660,8.588,0.0330,0.0527,0.0622,0.625,,14,0.0991,5.660,36,0.001147,8.547
,5,118,15:15,915,34.71,53,43.06,42.84,380.7,0.611,5.785,9.109,0.365,0.014,0.230,0.0536,5.358,0.675,1437,0.140,1.701,,44.95,5.874,8.894,0.0441,0.0507,0.0672,0.870,,12,0.107,5.874,36,0.000303,8.884
,6,163,16:19,979,34.77,51,58.02,56.79,511.8,0.824,5.795,8.998,0.356,0.031,0.179,0.0521,5.214,0.686,1360,0.154,1.722,,46.08,5.886,8.749,0.0293,0.0548,0.0622,0.534,,12,0.103,5.886,36,-0.001069,8.788
,7,216,17:22,1042,35.39,52,73.56,71.77,672.4,1.044,5.899,8.945,0.341,0.069,0.196,0.0517,5.169,0.683,1411,0.161,1.732,,45.68,5.991,8.725,0.0398,0.0447,0.0599,0.890,,12,0.0945,5.991,36,-0.000459,8.742
,8,279,18:25,1105,37.23,53,87.75,87.71,922.9,1.245,6.205,9.052,0.315,0.147,0.312,0.0549,5.493,0.666,1283,0.147,1.712,,36.28,6.155,8.886,0.0548,0.0516,0.0753,1.062,,14,0.101,6.155,36,0.000298,8.876
,9,353,19:28,1168,37.24,53,107.9,104.1,1154,1.532,6.207,8.940,0.306,0.164,0.261,0.0543,5.430,0.682,1283,0.162,1.733,,33.28,6.211,8.758,0.0444,0.0623,0.0765,0.713,,13,0.0974,6.211,36,-0.000435,8.773
,10,442,20:31,1231,37.40,51,118.7,121.1,1389,1.685,6.234,8.522,0.269,0.243,0.269,0.0522,5.218,0.618,1283,0.219,1.818,,32.43,6.231,8.446,0.0487,0.0478,0.0683,1.019,,12,0.0762,6.231,36,0.002177,8.367
