File path:,
File note:,
File date:,18/06/17
File time:,19:01:55
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.305,0.331,0.326,0.335
Ek:,429.4,374.9,354.8,359.9
Pm:,111.6,78.44,115.6,99.22
Em:,1728,,,1565
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.139,0.141,0.852,0.109
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,11.04,31,0.000000,0.000000,0.000000,0.000000,1.839,2.712,0.322,,0.224,0.0686,6.859,0.783,1411,0.061,2.030,,84.39,1.874,2.639,0.004920,0.007617,0.009068,0.646,,12,0.0327,1.874,36,-0.000425,2.654
,2,22,12:07,727,11.96,34,6.681,6.551,91.38,0.0389,1.993,2.862,0.304,0.112,0.211,0.0690,6.897,0.670,1629,0.005,1.923,,26.25,2.021,2.786,0.0163,0.0242,0.0291,0.674,,14,0.0341,2.021,36,-0.000641,2.809
,3,49,13:09,789,12.49,34,13.49,14.15,190.0,0.0786,2.082,2.873,0.275,0.197,0.306,0.0644,6.437,0.718,1949,0.002,1.917,,19.43,2.077,2.807,0.0249,0.0281,0.0376,0.885,,14,0.0314,2.077,36,-0.000872,2.838
,4,81,14:12,852,12.35,34,23.06,22.55,307.6,0.134,2.058,2.877,0.285,0.170,0.194,0.0631,6.306,0.628,1872,0.000,1.914,,20.41,2.098,2.795,0.0278,0.0198,0.0341,1.400,,12,0.0289,2.098,36,-0.000926,2.828
,5,118,15:16,916,12.57,34,31.60,31.52,449.1,0.184,2.095,2.861,0.268,0.217,0.278,0.0632,6.320,0.566,2000,0.006,1.924,,20.72,2.091,2.803,0.0176,0.0295,0.0343,0.595,,14,0.0302,2.091,36,0.000063,2.801
,6,163,16:19,979,12.56,34,40.99,41.43,652.3,0.239,2.093,2.797,0.251,0.254,0.357,0.0665,6.646,0.562,1757,0.029,1.969,,18.34,2.086,2.750,0.0296,0.0209,0.0362,1.412,,14,0.0276,2.086,36,0.000232,2.742
,7,216,17:22,1042,12.48,34,53.27,51.85,759.9,0.310,2.081,2.762,0.247,0.262,0.252,0.0584,5.842,0.583,1731,0.042,1.994,,25.60,2.065,2.731,0.0110,0.0236,0.0260,0.466,,12,0.0288,2.065,36,0.000891,2.698
,8,279,18:25,1105,12.56,34,59.73,62.68,1059,0.348,2.093,2.663,0.214,0.343,0.299,0.0630,6.304,0.496,1360,0.080,2.067,,15.39,2.087,2.629,0.0219,0.0276,0.0352,0.793,,12,0.0232,2.087,36,0.000013,2.628
,9,353,19:28,1168,12.19,33,76.01,73.52,1346,0.443,2.031,2.588,0.215,0.327,0.286,0.0633,6.333,0.526,1539,0.112,2.127,,14.10,2.019,2.556,0.0270,0.0268,0.0381,1.005,,13,0.0235,2.019,36,0.000201,2.548
,10,442,20:31,1231,12.17,33,81.21,83.98,1655,0.473,2.028,2.484,0.184,0.409,0.251,0.0622,6.220,0.586,1232,0.158,2.216,,11.59,2.007,2.464,0.0291,0.0266,0.0394,1.095,,14,0.0206,2.007,36,0.000260,2.454
