File path:,
File note:,
File date:,18/06/17
File time:,19:03:06
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.337,0.352,0.334,0.350
Ek:,405.8,435.7,448.9,404.7
Pm:,106.5,96.91,124.3,112.3
Em:,1400,,3189,1124
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.162,0.114,0.137,0.199
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,8.848,44,0.000000,0.000000,0.000000,0.000000,1.475,2.250,0.345,,0.236,0.0678,6.780,0.782,1283,0.029,2.122,,75.72,1.510,2.177,0.004393,0.007639,0.008812,0.575,,13,0.0279,1.510,36,-0.000412,2.192
,2,22,12:06,726,9.291,47,7.291,7.222,93.78,0.0318,1.548,2.316,0.331,,0.288,0.0708,7.078,0.670,1603,0.000,2.062,,18.72,1.593,2.260,0.0271,0.0231,0.0356,1.171,,16,0.0274,1.593,36,-0.000055,2.262
,3,49,13:10,790,9.445,47,15.69,15.57,194.5,0.0684,1.574,2.316,0.320,0.020,0.223,0.0659,6.593,0.688,1552,0.000,2.062,,21.19,1.610,2.250,0.0178,0.0244,0.0302,0.731,,12,0.0268,1.610,36,-0.000431,2.266
,4,81,14:13,853,9.530,47,25.24,24.76,327.2,0.110,1.588,2.307,0.312,0.044,0.213,0.0671,6.707,0.704,1360,0.004,2.070,,21.25,1.627,2.236,0.0179,0.0223,0.0286,0.802,,12,0.0263,1.627,36,-0.000519,2.254
,5,118,15:16,916,9.913,48,33.38,34.53,465.5,0.146,1.652,2.304,0.283,0.131,0.409,0.0655,6.550,0.601,1629,0.005,2.072,,17.85,1.651,2.244,0.0219,0.0249,0.0332,0.881,,13,0.0242,1.651,36,-0.000713,2.269
,6,163,16:19,979,10.13,48,42.67,45.27,669.1,0.186,1.689,2.287,0.262,0.192,0.380,0.0682,6.817,0.494,1488,0.013,2.088,,15.28,1.660,2.249,0.0309,0.0230,0.0385,1.342,,12,0.0279,1.660,36,0.000030,2.247
,7,216,17:22,1042,10.29,48,55.60,56.48,883.0,0.243,1.715,2.310,0.257,0.211,0.366,0.0679,6.788,0.546,1232,0.003,2.067,,15.83,1.706,2.269,0.0288,0.0209,0.0356,1.380,,12,0.0238,1.706,36,-0.000051,2.271
,8,279,18:25,1105,10.31,49,69.75,68.04,1022,0.304,1.718,2.291,0.250,0.229,0.228,0.0608,6.082,0.682,1283,0.011,2.084,,13.82,1.726,2.248,0.0307,0.0221,0.0378,1.391,,12,0.0216,1.726,36,0.000073,2.246
,9,353,19:28,1168,10.48,49,79.81,79.51,1390,0.348,1.746,2.256,0.226,0.295,0.233,0.0654,6.539,0.604,1040,0.027,2.116,,13.29,1.740,2.220,0.0230,0.0278,0.0361,0.828,,13,0.0216,1.740,36,-0.000434,2.235
,10,442,20:31,1231,10.43,50,94.58,88.97,1732,0.413,1.738,2.212,0.214,0.324,0.209,0.0651,6.507,0.962,1040,0.047,2.159,,12.39,1.748,2.178,0.0207,0.0279,0.0347,0.740,,13,0.0180,1.748,36,-0.000409,2.193
,11,547,21:34,1294,10.18,49,107.8,94.71,2145,0.470,1.697,2.113,0.197,0.358,0.168,0.0651,6.513,0.722,1091,0.096,2.260,,12.37,1.678,2.096,0.0231,0.0246,0.0338,0.941,,12,0.0204,1.678,36,0.000642,2.073
