File path:,
File note:,
File date:,19/06/17
File time:,03:10:41
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.399,0.404,0.387,0.398
Ek:,374.9,363.2,393.2,385.4
Pm:,101.2,92.71,96.19,120.1
Em:,674.1,,,1204
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.340,0.084,0.642,0.139
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,6.735,33,0.000000,0.000000,0.000000,0.000000,1.122,1.890,0.406,,0.333,0.0729,7.291,0.717,1629,0.062,1.406,,77.36,1.141,1.823,0.006943,0.005433,0.008816,1.278,,12,0.0308,1.141,36,-0.000324,1.835
,2,22,12:06,726,7.019,34,8.964,8.530,95.73,0.0253,1.170,1.974,0.407,0.044,0.149,0.0723,7.226,0.690,1923,0.016,1.345,,18.23,1.226,1.901,0.0251,0.0272,0.0370,0.922,,12,0.0316,1.226,36,-0.000747,1.927
,3,49,13:09,789,7.660,35,17.56,18.34,205.8,0.0495,1.277,1.990,0.358,0.163,0.315,0.0697,6.974,0.561,2269,0.008,1.335,,21.32,1.284,1.943,0.0190,0.0244,0.0309,0.780,,12,0.0299,1.284,36,0.000269,1.933
,4,81,14:12,852,7.854,35,28.15,29.08,313.8,0.0794,1.309,2.006,0.348,0.192,0.200,0.0643,6.433,0.646,2243,0.000,1.324,,18.68,1.321,1.960,0.0238,0.0245,0.0342,0.970,,12,0.0278,1.321,36,0.000148,1.955
,5,118,15:15,915,8.152,36,37.73,40.41,445.6,0.106,1.359,1.997,0.320,0.255,0.281,0.0627,6.271,0.688,2192,0.004,1.330,,21.77,1.349,1.949,0.0152,0.0230,0.0276,0.662,,12,0.0266,1.349,36,-0.000800,1.978
,6,163,16:18,978,7.802,36,56.01,52.77,741.9,0.158,1.300,1.981,0.344,0.196,0.112,0.0756,7.559,0.607,1629,0.013,1.341,,20.32,1.340,1.926,0.0160,0.0240,0.0288,0.666,,13,0.0281,1.340,36,-0.000236,1.934
,7,216,17:21,1041,8.164,36,65.62,65.55,854.6,0.185,1.361,1.954,0.304,0.283,0.212,0.0657,6.570,0.490,1923,0.026,1.359,,19.42,1.364,1.924,0.0221,0.0185,0.0288,1.199,,12,0.0248,1.364,36,0.000345,1.912
,8,279,18:24,1104,8.184,36,78.24,78.56,1033,0.221,1.364,1.896,0.280,0.327,0.237,0.0615,6.148,0.638,1872,0.058,1.401,,15.98,1.362,1.859,0.0224,0.0215,0.0311,1.044,,14,0.0208,1.362,36,-0.000095,1.862
,9,353,19:28,1168,8.195,36,90.65,91.30,1384,0.256,1.366,1.838,0.257,0.372,0.270,0.0651,6.509,0.493,1731,0.092,1.445,,13.34,1.368,1.800,0.0148,0.0288,0.0324,0.515,,12,0.0189,1.368,36,0.000048,1.799
,10,442,20:30,1230,8.093,35,106.2,97.60,1726,0.299,1.349,1.776,0.240,0.400,0.233,0.0648,6.483,0.647,1629,0.130,1.496,,10.62,1.356,1.732,0.0233,0.0267,0.0354,0.871,,12,0.0169,1.356,36,-0.000716,1.758
,11,547,21:33,1293,8.209,36,109.8,100.3,2140,0.310,1.368,1.712,0.201,0.488,0.205,0.0650,6.495,0.720,1360,0.172,1.552,,9.566,1.350,1.681,0.0233,0.0257,0.0347,0.908,,12,0.0174,1.350,36,-0.000551,1.701
,12,671,22:36,1356,8.034,36,124.7,101.2,2682,0.352,1.339,1.645,0.186,0.514,0.196,0.0664,6.639,1.000,1232,0.220,1.615,,6.535,1.349,1.629,0.0354,0.0241,0.0428,1.468,,13,0.0114,1.349,36,0.000002,1.629
,13,819,23:40,1420,7.579,36,148.8,100.4,3573,0.419,1.263,1.544,0.182,0.506,0.042,0.0724,7.244,0.442,1603,0.300,1.721,,6.411,1.280,1.538,0.0294,0.0275,0.0403,1.067,,12,0.0123,1.280,36,0.000683,1.514
,14,995,24:43,1483,7.343,35,114.9,97.77,,0.324,1.224,1.383,0.115,0.663,,,,,,0.450,1.920,,4.020,1.224,1.383,0.0216,0.0333,0.0397,0.649,,12,0.007817,1.224,36,-0.000015,1.384
,15,1204,25:46,1546,6.749,35,144.1,93.81,,0.406,1.125,1.278,0.120,0.631,,,,,,0.570,2.079,,4.022,1.125,1.278,0.0271,0.0267,0.0380,1.014,,15,0.004914,1.125,36,0.000966,1.243
,16,1451,26:49,1609,6.302,37,138.7,89.04,,0.391,1.050,1.161,0.096,0.686,,,,,,0.727,2.287,,2.693,1.050,1.161,0.0270,0.0312,0.0412,0.865,,20,0.003775,1.050,36,0.000907,1.129
,17,1745,27:52,1672,5.888,37,128.0,84.04,,0.361,0.981,1.059,0.073,0.743,,,,,,0.894,2.508,,1.649,0.981,1.059,0.0268,0.0388,0.0471,0.690,,13,0.003128,0.981,36,0.000268,1.049
,18,2094,28:55,1735,5.641,38,137.2,79.42,,0.387,0.940,1.006,0.066,0.762,,,,,,0.994,2.640,,1.602,0.940,1.006,0.0314,0.0266,0.0411,1.182,,12,0.003301,0.940,36,0.000893,0.974
,19,2508,29:58,1798,5.494,39,38.78,75.60,,0.109,0.916,0.930,0.015,0.940,,,,,,1.157,2.856,,0.322,0.916,0.930,0.0286,0.0343,0.0447,0.834,,14,0.002764,0.916,36,-0.000481,0.947
,20,3000,31:01,1861,5.031,44,288.5,72.77,,0.813,0.839,0.928,0.096,0.629,,,,,,1.162,2.863,,2.009,0.839,0.928,0.0356,0.0265,0.0444,1.341,,12,0.005629,0.839,36,0.000525,0.909
,21,0,32:04,1924,5.236,21,0.000000,0.000000,0.000000,0.000000,0.873,1.377,0.366,,0.226,0.0745,7.451,0.864,1040,0.457,1.929,,46.54,0.891,1.334,0.006774,0.006666,0.009503,1.016,,12,0.0212,0.891,36,-0.000072,1.336
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,6.735,39,0.000000,0.000000,0.000000,0.000000,0.921,1.558,0.409,,0.348,0.0842,5.614,0.731,1603,0.052,1.440,,78.69,0.942,1.492,0.005098,0.004787,0.006993,1.065,,12,0.0276,0.942,36,-0.000274,1.502
,2,22,12:06,726,7.019,41,7.552,8.620,67.03,0.0174,1.046,1.593,0.343,0.173,0.429,0.0759,5.060,0.578,2512,0.029,1.408,,24.65,1.038,1.555,0.008596,0.0191,0.0210,0.449,,12,0.0235,1.038,36,0.000088,1.552
,3,49,13:09,789,7.660,42,18.29,18.51,153.1,0.0420,1.028,1.639,0.373,0.116,0.264,0.0778,5.187,0.582,2141,0.000,1.369,,33.34,1.042,1.586,0.0101,0.0129,0.0163,0.784,,13,0.0273,1.042,36,-0.000130,1.591
,4,81,14:12,852,7.854,42,28.94,29.32,269.0,0.0665,1.049,1.632,0.357,0.152,0.323,0.0827,5.514,0.570,2192,0.004,1.374,,19.47,1.073,1.569,0.0181,0.0180,0.0255,1.003,,12,0.0257,1.073,36,-0.000752,1.596
